id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task123-63fea12a28e94839b3c582d1981b8ce1,task123_conala_sort_dictionary,Program Execution,"In this task you will be given a list of dictionaries. A dictionary is a set of key-value pairs, where each key is unique and has a value associated with that key. You should sort the list of dictionaries from smallest to largest by their 'first' key. If there is two dictionaries with the same 'first' value then sort them by their 'second' key. Negative numbers should come before positive numbers.","[{'first': 35, 'second': 13}, {'first': 78, 'second': -57}, {'first': -7, 'second': -20}, {'first': -70, 'second': -41}, {'first': -94, 'second': 73}]","[{'first': -94, 'second': 73}, {'first': -70, 'second': -41}, {'first': -7, 'second': -20}, {'first': 35, 'second': 13}, {'first': 78, 'second': -57}]","['first': -94, 'second': 73, 'first': -70, 'second': -41, 'first': -7, 'second': -20, 'first': 35, 'second': 13, 'first': 78, 'second': -57]",0.6597550511360168
task123-5a4a77ca4f2b4031867024c4aae75838,task123_conala_sort_dictionary,Program Execution,"In this task you will be given a list of dictionaries. A dictionary is a set of key-value pairs, where each key is unique and has a value associated with that key. You should sort the list of dictionaries from smallest to largest by their 'first' key. If there is two dictionaries with the same 'first' value then sort them by their 'second' key. Negative numbers should come before positive numbers.","[{'first': 70, 'second': -67}, {'first': 92, 'second': 1}, {'first': -74, 'second': 69}, {'first': 0, 'second': -18}, {'first': -11, 'second': 93}]","[{'first': -74, 'second': 69}, {'first': -11, 'second': 93}, {'first': 0, 'second': -18}, {'first': 70, 'second': -67}, {'first': 92, 'second': 1}]","['first': -74, 'second': 69, 'first': -11, 'second': 93, 'first': 0, 'second': -18, 'first': 70, 'second': -67, 'first': 92, 'second': 1]",0.6518075466156006
task123-a2cc291cfc444b3c972e2de40cb0645f,task123_conala_sort_dictionary,Program Execution,"In this task you will be given a list of dictionaries. A dictionary is a set of key-value pairs, where each key is unique and has a value associated with that key. You should sort the list of dictionaries from smallest to largest by their 'first' key. If there is two dictionaries with the same 'first' value then sort them by their 'second' key. Negative numbers should come before positive numbers.","[{'first': 41, 'second': 44}, {'first': 45, 'second': 72}, {'first': -29, 'second': 28}, {'first': 85, 'second': -19}, {'first': -14, 'second': 44}]","[{'first': -29, 'second': 28}, {'first': -14, 'second': 44}, {'first': 41, 'second': 44}, {'first': 45, 'second': 72}, {'first': 85, 'second': -19}]","['first': -29, 'second': 28, 'first': -14, 'second': 44, 'first': 41, 'second': 44, 'first': 45, 'second': 72, 'first': 85, 'second': -19]",0.6229053735733032
task123-3805ecab9f0e4044a9f83ad6fb4acf5f,task123_conala_sort_dictionary,Program Execution,"In this task you will be given a list of dictionaries. A dictionary is a set of key-value pairs, where each key is unique and has a value associated with that key. You should sort the list of dictionaries from smallest to largest by their 'first' key. If there is two dictionaries with the same 'first' value then sort them by their 'second' key. Negative numbers should come before positive numbers.","[{'first': 11, 'second': 47}, {'first': 62, 'second': -54}, {'first': -39, 'second': 1}]","[{'first': -39, 'second': 1}, {'first': 11, 'second': 47}, {'first': 62, 'second': -54}]","['first': -39, 'second': 1, 'first': 11, 'second': 47, 'first': 62, 'second': -54]",0.36853665113449097
task123-066e9f1bd27f47be8ee0ba3ab68f656c,task123_conala_sort_dictionary,Program Execution,"In this task you will be given a list of dictionaries. A dictionary is a set of key-value pairs, where each key is unique and has a value associated with that key. You should sort the list of dictionaries from smallest to largest by their 'first' key. If there is two dictionaries with the same 'first' value then sort them by their 'second' key. Negative numbers should come before positive numbers.","[{'first': -94, 'second': 84}, {'first': -16, 'second': -91}, {'first': -69, 'second': 9}, {'first': 91, 'second': -90}, {'first': -17, 'second': 48}, {'first': -83, 'second': 41}]","[{'first': -94, 'second': 84}, {'first': -83, 'second': 41}, {'first': -69, 'second': 9}, {'first': -17, 'second': 48}, {'first': -16, 'second': -91}, {'first': 91, 'second': -90}]","['first': -94, 'second': 84, 'first': -83, 'second': 41, 'first': -69, 'second': 9, 'first': -17, 'second': 48, 'first': -16, 'second': -91, 'first': 91, 'second': -90]",0.7701871991157532
task123-7914b83ac0f34359b7adf456d1352dc8,task123_conala_sort_dictionary,Program Execution,"In this task you will be given a list of dictionaries. A dictionary is a set of key-value pairs, where each key is unique and has a value associated with that key. You should sort the list of dictionaries from smallest to largest by their 'first' key. If there is two dictionaries with the same 'first' value then sort them by their 'second' key. Negative numbers should come before positive numbers.","[{'first': 87, 'second': 89}, {'first': -61, 'second': 49}, {'first': -62, 'second': 27}, {'first': -62, 'second': 16}, {'first': -80, 'second': 55}, {'first': -40, 'second': 58}, {'first': -28, 'second': 56}, {'first': 77, 'second': -52}, {'first': 62, 'second': -65}]","[{'first': -80, 'second': 55}, {'first': -62, 'second': 16}, {'first': -62, 'second': 27}, {'first': -61, 'second': 49}, {'first': -40, 'second': 58}, {'first': -28, 'second': 56}, {'first': 62, 'second': -65}, {'first': 77, 'second': -52}, {'first': 87, 'second': 89}]","['first': -80, 'second': 55, 'first': -62, 'second': 27, 'first': -62, 'second': 16, 'first': -61, 'second': 49, 'first': -40, 'second': 58, 'first': -28, 'second': 56, 'first': 62, 'second': -65, ",0.9035234451293945
task123-c0ba0814cdc8458e80f24470b7c9dd91,task123_conala_sort_dictionary,Program Execution,"In this task you will be given a list of dictionaries. A dictionary is a set of key-value pairs, where each key is unique and has a value associated with that key. You should sort the list of dictionaries from smallest to largest by their 'first' key. If there is two dictionaries with the same 'first' value then sort them by their 'second' key. Negative numbers should come before positive numbers.","[{'first': -66, 'second': 68}, {'first': 70, 'second': 36}]","[{'first': -66, 'second': 68}, {'first': 70, 'second': 36}]","['first': -66, 'second': 68, 'first': 70, 'second': 36]",0.2612687349319458
task123-98bf19b93ffe4e13b407f05cc564c3a9,task123_conala_sort_dictionary,Program Execution,"In this task you will be given a list of dictionaries. A dictionary is a set of key-value pairs, where each key is unique and has a value associated with that key. You should sort the list of dictionaries from smallest to largest by their 'first' key. If there is two dictionaries with the same 'first' value then sort them by their 'second' key. Negative numbers should come before positive numbers.","[{'first': 97, 'second': -73}, {'first': -60, 'second': 23}, {'first': 19, 'second': -44}, {'first': 45, 'second': -79}, {'first': 78, 'second': 34}]","[{'first': -60, 'second': 23}, {'first': 19, 'second': -44}, {'first': 45, 'second': -79}, {'first': 78, 'second': 34}, {'first': 97, 'second': -73}]","['first': -60, 'second': 23, 'first': 19, 'second': -44, 'first': 45, 'second': -79, 'first': 78, 'second': 34, 'first': 97, 'second': -73]",0.6207382082939148
task123-a3a39b5bd8314cb38be5b4a72c964dae,task123_conala_sort_dictionary,Program Execution,"In this task you will be given a list of dictionaries. A dictionary is a set of key-value pairs, where each key is unique and has a value associated with that key. You should sort the list of dictionaries from smallest to largest by their 'first' key. If there is two dictionaries with the same 'first' value then sort them by their 'second' key. Negative numbers should come before positive numbers.","[{'first': -86, 'second': -76}, {'first': -77, 'second': 94}, {'first': -98, 'second': 58}, {'first': 8, 'second': 17}, {'first': 36, 'second': 65}, {'first': -87, 'second': -56}, {'first': 30, 'second': 78}, {'first': -19, 'second': 6}]","[{'first': -98, 'second': 58}, {'first': -87, 'second': -56}, {'first': -86, 'second': -76}, {'first': -77, 'second': 94}, {'first': -19, 'second': 6}, {'first': 8, 'second': 17}, {'first': 30, 'second': 78}, {'first': 36, 'second': 65}]","['first': -98, 'second': 58, 'first': -87, 'second': -56, 'first': -86, 'second': -76, 'first': -77, 'second': 94, 'first': -19, 'second': 6, 'first': 8, 'second': 17, 'first': 30, 'second': 78, ",0.8967499136924744
task123-9d5547642a3d44f7a3ca67f5f702025f,task123_conala_sort_dictionary,Program Execution,"In this task you will be given a list of dictionaries. A dictionary is a set of key-value pairs, where each key is unique and has a value associated with that key. You should sort the list of dictionaries from smallest to largest by their 'first' key. If there is two dictionaries with the same 'first' value then sort them by their 'second' key. Negative numbers should come before positive numbers.","[{'first': 2, 'second': -70}, {'first': -90, 'second': -6}, {'first': -24, 'second': -32}, {'first': -36, 'second': 88}]","[{'first': -90, 'second': -6}, {'first': -36, 'second': 88}, {'first': -24, 'second': -32}, {'first': 2, 'second': -70}]","['first': -90, 'second': -6, 'first': -36, 'second': 88, 'first': -24, 'second': -32, 'first': 2, 'second': -70]",0.5586986541748047
