id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task344-5253a8eadd734cf69e01d4da2860b613,task344_hybridqa_answer_generation,Question Answering,"In this task, you will be presented with a question and you have to answer the question based on your knowledge. Your answers should be as short as possible.","What is the relation to NYU of the alumnus who died on February 7 , 1937 ?",Law,alumnus,0.2341618537902832
task344-b5b9da31404f4a42b157bfa273ca4820,task344_hybridqa_answer_generation,Question Answering,"In this task, you will be presented with a question and you have to answer the question based on your knowledge. Your answers should be as short as possible.",What year was the taekwondo athlete born ?,1984,1922,0.07464486360549927
task344-41a4b849c889415a9d932d16cf33a3be,task344_hybridqa_answer_generation,Question Answering,"In this task, you will be presented with a question and you have to answer the question based on your knowledge. Your answers should be as short as possible.",What is the competition of the team that was formerly the Gold Coast Clippers ?,Australian Baseball League,Australian Football League,0.03888142108917236
task344-0b8cee0450ac4f76a37fbe2305232f14,task344_hybridqa_answer_generation,Question Answering,"In this task, you will be presented with a question and you have to answer the question based on your knowledge. Your answers should be as short as possible.",When did the store with 465 locations establish its current name ?,1997,1898,0.12014108896255493
task344-66c0211808b6418f97e712f7306d9c9d,task344_hybridqa_answer_generation,Question Answering,"In this task, you will be presented with a question and you have to answer the question based on your knowledge. Your answers should be as short as possible.",The person that was honored for the actions performed at the latest date was born in what year ?,1926,1898,0.16959339380264282
task344-58b1ba4ec2ed40e08647b5f368f43e4e,task344_hybridqa_answer_generation,Question Answering,"In this task, you will be presented with a question and you have to answer the question based on your knowledge. Your answers should be as short as possible.","What is the Riding for the Candidate who was born on April 16 , 1962 ?",Burnaby - New Westminster,a member of the House of Representatives,0.10300230979919434
task344-34d2213acb2143e3b433cc86d332d63d,task344_hybridqa_answer_generation,Question Answering,"In this task, you will be presented with a question and you have to answer the question based on your knowledge. Your answers should be as short as possible.",What is the original chapter of the brother who was co-winner of 1984 Alfred P. Sloan Prize ?,Gettysburg College,The Order of St. John,0.061057090759277344
task344-5a8614d677bb4c76b975facd0568e2fb,task344_hybridqa_answer_generation,Question Answering,"In this task, you will be presented with a question and you have to answer the question based on your knowledge. Your answers should be as short as possible.","The team with a number of 8 and a season of 1936 - 37 , is based in what city ?",Esch-sur-Alzette,San Diego,0.05457663536071777
task344-88e8ce01d1064da2ae54c30d6c687eaf,task344_hybridqa_answer_generation,Question Answering,"In this task, you will be presented with a question and you have to answer the question based on your knowledge. Your answers should be as short as possible.","What team , besides the one with the most playoff appearances , is based in Alberta ?",Calgary Flames,Edmonton Oilers,0.2605237364768982
task344-d1200bc88b324bc0a0cbc16e08fc92fa,task344_hybridqa_answer_generation,Question Answering,"In this task, you will be presented with a question and you have to answer the question based on your knowledge. Your answers should be as short as possible.","In a game released by Nintendo , who do players control ?",Samus Aran,the characters,0.06591689586639404
task344-006e6a2a0d274a0abbe94732456efd1a,task344_hybridqa_answer_generation,Question Answering,"In this task, you will be presented with a question and you have to answer the question based on your knowledge. Your answers should be as short as possible.",What non-football events are held at the second-largest stadium ?,Estonian Dance Festivals,a variety of concerts,0.13349252939224243
task344-f55e7671b3014b5cbfebb81b9b355e6c,task344_hybridqa_answer_generation,Question Answering,"In this task, you will be presented with a question and you have to answer the question based on your knowledge. Your answers should be as short as possible.","Who wrote the screenplay of the 1984 horror film whose cast included an actor born on August 20 , 1953 ?",George Goldsmith,John Carpenter,0.03887218236923218
task344-9fed4d6d8ef44eb89d85c8523d2cd384,task344_hybridqa_answer_generation,Question Answering,"In this task, you will be presented with a question and you have to answer the question based on your knowledge. Your answers should be as short as possible.","What group did the wrestler involved in the event that took place on August 17 , 2014 join in November 2011 ?",Perros del Mal Producciones,The New Day,0.0721697211265564
task344-5fdf3c75371042a9af4d2ba00e2bd3fe,task344_hybridqa_answer_generation,Question Answering,"In this task, you will be presented with a question and you have to answer the question based on your knowledge. Your answers should be as short as possible.",What country is represented by the country with the fastest time ?,the Italian Republic,China,0.18651658296585083
task344-3ec5e9737234409a84968bc1c7e3adf9,task344_hybridqa_answer_generation,Question Answering,"In this task, you will be presented with a question and you have to answer the question based on your knowledge. Your answers should be as short as possible.","What is the name of the county for the historic Navajo habitation site near Grants , New Mexico , within Cibola National Forest ?",Sandoval,Lassen County,0.11555284261703491
task344-e6c4aee6a76441fd8b443cf9101191a2,task344_hybridqa_answer_generation,Question Answering,"In this task, you will be presented with a question and you have to answer the question based on your knowledge. Your answers should be as short as possible.",Roger Williams founded a church at 75 North Main Street how many years after founding the town the church is found in ?,2,a century,0.06681042909622192
task344-dc04290811a54615a74ad9d1eeadc088,task344_hybridqa_answer_generation,Question Answering,"In this task, you will be presented with a question and you have to answer the question based on your knowledge. Your answers should be as short as possible.",How many employees have been awarded the Nobel Prize working for a company whose industry is a combination of multiple business entities ?,Two,ten,0.4804777503013611
