id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task851-97f47a5f4ece4edd898ebdeb913bc677,task851_synthetic_multiply_evens,Program Execution,"In this task you will be given a list, of lists, of integers. For every inner list contained in the input list, you should multiply every even number in that list. The output should be a list of integers with the same length as the number of lists in the input list. If there are no even numbers in an inner list you should output 0 for that list.","[[11, -50, 43, -12], [14, -6, 2, 2, -26], [-10, 26, -29], [33, 33, -26], [22, -50, 27, -30]]","[600, 8736, -260, -26, 33000]","[600, -2848, -260, -26, -23000]",0.22485512495040894
task851-a73b561f0cad4fc384332227a939d541,task851_synthetic_multiply_evens,Program Execution,"In this task you will be given a list, of lists, of integers. For every inner list contained in the input list, you should multiply every even number in that list. The output should be a list of integers with the same length as the number of lists in the input list. If there are no even numbers in an inner list you should output 0 for that list.","[[-42, -16], [-45, 45, 1], [-46, 35, -33], [20, 25, -44, 26], [18, -5, -22], [39, 17, 12], [-48, 49, 48, 25, 24]]","[672, 0, -46, -22880, -396, 12, -55296]","[668, 0, -46, -28640, -336, 12, -28256]",0.17455345392227173
task851-1750b55bc05c48f7b27ef19d94d1ae91,task851_synthetic_multiply_evens,Program Execution,"In this task you will be given a list, of lists, of integers. For every inner list contained in the input list, you should multiply every even number in that list. The output should be a list of integers with the same length as the number of lists in the input list. If there are no even numbers in an inner list you should output 0 for that list.","[[-35, 50, 3, -19, -12], [37, 49, -34, 37], [-32, 32], [34, 15, -31, -8], [-34, -18], [48, 16, -47], [-37, 27], [-47, 35, 7, 35]]","[-600, -34, -1024, -272, 612, 768, 0, 0]","[-600, -34, -1024, -264, 528, 1056, 0, 0]",0.9237449169158936
task851-5b0e290cc1f34dfcb31a08e29b2bec7f,task851_synthetic_multiply_evens,Program Execution,"In this task you will be given a list, of lists, of integers. For every inner list contained in the input list, you should multiply every even number in that list. The output should be a list of integers with the same length as the number of lists in the input list. If there are no even numbers in an inner list you should output 0 for that list.","[[-1, -40], [9, -30], [-38, -9], [-4, -23, 11], [-1, -40, -40], [-44, -9, 19], [-34, 17, -26, 10, 29], [-19, -48], [1, 17, 39, -23, -14], [21, -47, 4], [32, -12, -7, 4]]","[-40, -30, -38, -4, 1600, -44, 8840, -48, -14, 4, -1536]","[-40, -30, -38, -4, 1600, -44, -7680, -48, -14, 4, -2016]",0.2634250521659851
task851-39b13917d3c84cd18ea4c1e2bffd992d,task851_synthetic_multiply_evens,Program Execution,"In this task you will be given a list, of lists, of integers. For every inner list contained in the input list, you should multiply every even number in that list. The output should be a list of integers with the same length as the number of lists in the input list. If there are no even numbers in an inner list you should output 0 for that list.","[[-32, -33, 19], [-6, -12], [-3, 49], [-46, 0, -36], [37, -45, 15], [18, -30, 19, -23, -27], [-10, -18, -34, 43], [-9, 14, -1, 27, -39]]","[-32, 72, 0, 0, 0, -540, -6120, 14]","[-32, 72, 0, 0, 0, -540, -5880, 14]",0.15925997495651245
task851-d792f13882104a49bfa85fc830e2f24c,task851_synthetic_multiply_evens,Program Execution,"In this task you will be given a list, of lists, of integers. For every inner list contained in the input list, you should multiply every even number in that list. The output should be a list of integers with the same length as the number of lists in the input list. If there are no even numbers in an inner list you should output 0 for that list.","[[-10, -20], [4, 2, -44, -15, 8], [15, 18, -4], [-47, 0, 36, -40], [-35, 15, -46], [2, 25, 0], [10, 36, -35], [35, 22, 4, -49, -42], [-25, 31, -13], [35, -27], [-49, 38, -31, -27], [0, 33, 12]]","[200, -2816, -72, 0, -46, 0, 360, -3696, 0, 0, 38, 0]","[200, -2832, -96, 0, -46, 0, 420, -3648, 0, 0, 38, 0]",0.2752942442893982
task851-f19e6c13203d4f0390a6dd3ec32e4ac1,task851_synthetic_multiply_evens,Program Execution,"In this task you will be given a list, of lists, of integers. For every inner list contained in the input list, you should multiply every even number in that list. The output should be a list of integers with the same length as the number of lists in the input list. If there are no even numbers in an inner list you should output 0 for that list.","[[33, -5, 25], [-22, 8, 47, 29, 50], [-19, -4, -36, 43], [-43, -42, -16, -8, 15], [-47, -49], [-23, -12, 5, -50], [21, 15, 49, 34, -25], [-47, -21, -23, 7, -15], [8, 4, -33, -41]]","[0, -8800, 144, -5376, 0, 600, 34, 0, 32]","[0, -2880, 192, -2848, 0, -600, 34, 0, 16]",0.19328367710113525
task851-16a99c4bbca34919bbc9a86cedec7d9a,task851_synthetic_multiply_evens,Program Execution,"In this task you will be given a list, of lists, of integers. For every inner list contained in the input list, you should multiply every even number in that list. The output should be a list of integers with the same length as the number of lists in the input list. If there are no even numbers in an inner list you should output 0 for that list.","[[48, 2], [-33, 45, 7], [43, -45], [-9, -27, 9, -28], [-27, -29, -43, -50], [-9, 28, -24, -24], [-29, -27], [11, -7, 8, -2, 47], [50, 6, 7, 34, 24], [47, 23, -20, -49]]","[96, 0, 0, -28, -50, 16128, 0, -16, 244800, -20]","[96, 0, 0, -28, -50, -2864, 0, -16, -388000, -20]",0.2488347291946411
task851-24155428e07f447da2e13c8b0c6d8586,task851_synthetic_multiply_evens,Program Execution,"In this task you will be given a list, of lists, of integers. For every inner list contained in the input list, you should multiply every even number in that list. The output should be a list of integers with the same length as the number of lists in the input list. If there are no even numbers in an inner list you should output 0 for that list.","[[17, 34, 31], [40, -2], [-12, -20], [-27, -47, -13], [-18, 26, 12, -43, 32], [36, -23, -18, -45], [21, -1, -40, -25, -3], [9, 13], [-29, -22, 20], [-30, -45], [-39, -50, -7, -11], [11, 6, -36], [47, 14, -5, -13, -3], [-13, 29, 38, 22, 19]]","[34, -80, 240, 0, -179712, -648, -40, 0, -440, -30, -50, -216, 14, 836]","[34, -80, 240, 0, -387616, -612, -40, 0, -440, -30, -50, -288, 14, 792]",0.32385045289993286
task851-83f3637529f7422f97a78e44f9434f7c,task851_synthetic_multiply_evens,Program Execution,"In this task you will be given a list, of lists, of integers. For every inner list contained in the input list, you should multiply every even number in that list. The output should be a list of integers with the same length as the number of lists in the input list. If there are no even numbers in an inner list you should output 0 for that list.","[[-33, -7, 36], [-27, 20, -2, -2], [-7, -7], [7, -29], [-3, 0, 30, -28], [27, 30, -13, 42], [33, -10, 21]]","[36, 80, 0, 0, 0, 1260, -10]","[36, 80, 0, 0, 0, 1360, -10]",0.11590880155563354
