id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task1656-f5522f7a7cec4c34b5e9c3c2d5344226,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1 acre equals how many kanals?,8,.25,0.23232018947601318
task1656-547f9ccdca9b40e4a9e504a7f0cc5399,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1 acre equal to how many hectares?,0.404686,1,0.2281785011291504
task1656-64f82f40ac4a4dd3a5d3e925e5147124,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1000 mg equals how many grams?,1,1000,0.10908240079879761
task1656-ff04d8e490394e6d98c458fb9c4c36b5,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1 acre equal to how many square meter?,4046.86,.04,0.08073896169662476
task1656-962502b2a45a49f3b8b8fc6b490c3868,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1/18 scale is how big?,11,1/18,0.03663933277130127
task1656-18493493f83d4f1e928ac0727e6cf5c3,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1 ac equals how many fans?,nine,ten,0.03781801462173462
task1656-b9dbb42d96f9498c8f22ecdc2d0e5a44,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1 acre equal to how much square foot?,43560,.25,0.09955364465713501
task1656-386b3ecf2d044dd2a7b4e8180852f214,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1 acre equal to how many cents?,100,0.000000000,0.11104750633239746
task1656-0f902ef617d440bc8f245cfd8349f674,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1 acer is equal to kanal?,8,acer,0.06540703773498535
task1656-611187b2ac2241e5bc24620c0214aece,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1 acer how much square meter?,4046.86,0.000000000,0.04657185077667236
task1656-8813786c1c724b32b2a39a646431d53b,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1/10 oz is how many grams?,3.393,.01,0.3744305372238159
task1656-bf9955c68da64ffd9353dec2d76d2b9e,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1 aana equals how many grams?,0.72875,.075,0.19483333826065063
task1656-2674abe34b2e4063821874526e60b8a7,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1 1 how many elements?,three elements,,0.13456213474273682
task1656-926e57fa8784411ea5affe718556a71c,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1 ac is how many meters?,4046.86,0.000000000,0.903599739074707
task1656-37a77d174d44463e9a623cfdd7d5259d,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1 acer land how many square feet?,43560,"66,080",0.05626183748245239
task1656-4a61ca5d532a445294b63af3f01c1d12,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1 acre equals how many furlongs?,0.0999996,.25,0.12028199434280396
task1656-73742b67b1cc4af391b5243ca236198f,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1/10 of a mile equals how many feet?,528,.04,0.13842928409576416
task1656-6e8c48e262c14f1f81bb110d6ed9a729,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1 kg how many grams?,1000,1 kg,0.033649444580078125
task1656-ad2fd201378f4acfaaf0a98eef61cb00,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1 1/4 ounce can in ml?,414.04,3.4 ml,0.05452167987823486
task1656-1f2cccd5c629472395548fc4fd5c9216,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1 acer how many square feet?,43560,"84,080",0.9100423455238342
task1656-4c4ceb1b368a4704a2068f5dc6829327,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1 acre equals how many guntas?,40,.25,0.033630311489105225
task1656-a173fbc1c83f43c0aadc19e4a221606d,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1 acre equal to how many bigha in rajasthan?,0.625,1 acre,0.12705135345458984
task1656-c63280ff0c6e49d5a7e70a63401e2ffa,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1 1/4 cup is how many tablespoons?,4,1 1/4 cup,0.05430150032043457
task1656-0cba2e01767f4ef9bfdf4baa95280c5e,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1 acre equal to how much square meter?,4046.86,.04,0.13252770900726318
task1656-3c9b13ddc748437b99894364746a15dc,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1/15 oz can to ml?,34.01,.5,0.08465534448623657
task1656-063848e9b97b4078a357c2c4bb894c45,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1 acre equal to how many bigha in up?,5.87,1 acre,0.28776735067367554
task1656-f8b7f0730f3e4d71b82dda4330c766a7,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1 aar is equal to how many square feet?,1076.39,.25,0.06666773557662964
task1656-ff1d135280004744ad5d1589041e77b3,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1 acer how many hectare?,0.404686,1 hectare,0.08966982364654541
task1656-d75833d527b04f4bbafdfa684bf5d4fc,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1000 mg is how many grams?,1,0.008,0.0892145037651062
task1656-bd9abab92d19475e9b34d612489969f2,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1/6 keg of beer is how many ounces?,660,.5,0.043242037296295166
task1656-0b662a08724548f1bbb3de01aa8dc473,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1/8 ounce equals how many grams?,3.543603875,.075,0.07096904516220093
task1656-432fb0b7cb334a29833122a793efc077,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1/15 oz can is how many cups?,2,1,0.027733147144317627
task1656-3f20e5818b24409eb831f2a503949f99,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1 liter how many ml?,1000,liters,0.03604936599731445
task1656-596a589a6cee4bad8ba5b186b7ad088e,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1 acer means how many square feet?,"43,560",5000,0.04637950658798218
task1656-557680e95a4441119aed750b68c4c46b,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1 acer how many square meter?,4046.86,0.000000000,0.04662919044494629
task1656-6103d90471bc481da05b8b250ade8f0e,task1656_gooaq_answer_generation,Question Answering,"Given a question as input, give its short_answer as the output ",1 acer equal to how many square yards?,4840,.25,0.059701740741729736
