id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task1425-a71d82a55af7483c8907c1c7ef40c804,task1425_country_iso_numeric,Misc.,"In this task, you are given a country name, and you need to return the numeric International Organization for Standardization (ISO) code of the given country. The codes are three-digit numbers defined by the ISO to represent countries, dependent territories, and special areas of geographical interest.",Jersey,832,370,0.10902303457260132
task1425-13150d9b8ac54bbcbbc81c5f5dd0e1d1,task1425_country_iso_numeric,Misc.,"In this task, you are given a country name, and you need to return the numeric International Organization for Standardization (ISO) code of the given country. The codes are three-digit numbers defined by the ISO to represent countries, dependent territories, and special areas of geographical interest.",French Polynesia,258,370,0.1309593915939331
task1425-0dc96e858268475395ae409b0f510a94,task1425_country_iso_numeric,Misc.,"In this task, you are given a country name, and you need to return the numeric International Organization for Standardization (ISO) code of the given country. The codes are three-digit numbers defined by the ISO to represent countries, dependent territories, and special areas of geographical interest.",Singapore,702,78,0.03607684373855591
task1425-3fc59374fe874c118fba63f3797a54de,task1425_country_iso_numeric,Misc.,"In this task, you are given a country name, and you need to return the numeric International Organization for Standardization (ISO) code of the given country. The codes are three-digit numbers defined by the ISO to represent countries, dependent territories, and special areas of geographical interest.",Ireland,372,98,0.09649866819381714
task1425-13fdce21adee480aac335985385c2b8e,task1425_country_iso_numeric,Misc.,"In this task, you are given a country name, and you need to return the numeric International Organization for Standardization (ISO) code of the given country. The codes are three-digit numbers defined by the ISO to represent countries, dependent territories, and special areas of geographical interest.",Slovenia,705,0,0.17135602235794067
task1425-8f5875dcf9fd4f858069f7a9d1334c5d,task1425_country_iso_numeric,Misc.,"In this task, you are given a country name, and you need to return the numeric International Organization for Standardization (ISO) code of the given country. The codes are three-digit numbers defined by the ISO to represent countries, dependent territories, and special areas of geographical interest.",Barbados,052,370,0.05707341432571411
task1425-594da0576ff84c47a63c17ffc4c91f3c,task1425_country_iso_numeric,Misc.,"In this task, you are given a country name, and you need to return the numeric International Organization for Standardization (ISO) code of the given country. The codes are three-digit numbers defined by the ISO to represent countries, dependent territories, and special areas of geographical interest.",British Indian Ocean Territory,086,0,0.030734598636627197
task1425-84acf358c0fa4375b05cceea54ddd3a1,task1425_country_iso_numeric,Misc.,"In this task, you are given a country name, and you need to return the numeric International Organization for Standardization (ISO) code of the given country. The codes are three-digit numbers defined by the ISO to represent countries, dependent territories, and special areas of geographical interest.",Northern Mariana Islands,580,370,0.03610396385192871
task1425-bb6d7493d9a04ed3b76b21704f5a0b71,task1425_country_iso_numeric,Misc.,"In this task, you are given a country name, and you need to return the numeric International Organization for Standardization (ISO) code of the given country. The codes are three-digit numbers defined by the ISO to represent countries, dependent territories, and special areas of geographical interest.",Seychelles,690,0,0.04121100902557373
task1425-dda509898e6543acad249db75dbfe87a,task1425_country_iso_numeric,Misc.,"In this task, you are given a country name, and you need to return the numeric International Organization for Standardization (ISO) code of the given country. The codes are three-digit numbers defined by the ISO to represent countries, dependent territories, and special areas of geographical interest.",Belize,084,0,0.04121100902557373
