id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task087-7f97dc8e693f440da228ecb46b888448,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",5036 @ 7988 @ 5098 # 2912 @ 7110 @ 3544,25864,6622,0.07441931962966919
task087-ec73325db7754850b46d261e12b1b8d4,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",136 @ 9772 # 2848 # 4980 @ 6156 # 883 @ 5407 @ 3211,15971,-2322,0.08089059591293335
task087-7db9459a9ccb42a5b45e777620496ac5,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",8082 @ 876 # 6266 @ 401,3093,-2322,0.17796331644058228
task087-53cf7eb273fc40faa0b6cf675bb4852f,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",249 @ 5697 @ 5245 # 9362 @ 6191 # 2685 @ 9552,14887,-2376,0.18913161754608154
task087-928a0dfeb06b420dabf9dd167c655eb2,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",2724 @ 8119 @ 1049 @ 9004,20896,8805,0.12594157457351685
task087-02e34271d20d4c00b689cb16244f5500,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",1482 # 6461 @ 804 # 8626 # 8564,-21365,-2318,0.15271735191345215
task087-6c46479d7b5245b6b7569dd6f5bc91db,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",2415 @ 4087 # 8960,-2458,-2312,0.18690794706344604
task087-87d00180cbc9452d91c58555582596a9,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",6181 @ 1214 @ 3376 # 2711 @ 1537,9597,6622,0.03894084692001343
task087-7160be6de86546e4a2e74c057b02731c,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",4495 @ 1180 # 7554 # 4842,-6721,-2312,0.10899472236633301
task087-3a152904dc034d98a384ec83c4786b03,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",4978 @ 6768 # 2130 @ 5075 # 6032,8659,-2322,0.1921619176864624
task087-88b023080c1d4793b09112e9b6cbde42,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",395 # 6676 # 4641 # 4079 @ 8885 @ 8630 # 7810 @ 3589,-1707,-3521,0.10271668434143066
task087-53c64895d21d4de7bd0c1cbcf43ed8bc,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",3113 @ 4970 @ 2898,10981,6622,0.38985735177993774
task087-cb0f3c3ab446485f9d71f7e75211a1f1,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",1234 @ 798 @ 5061 @ 627 # 549 @ 1629,8800,6622,0.05923360586166382
task087-07eae7921a37416a999e88239f381229,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",9694 # 1440 @ 1946 @ 530,10730,8822,0.10005706548690796
task087-ee5ad5d1ac69433f8725f03a5d32aa2f,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",1482 # 3555 @ 8947 # 4201 @ 6358 # 2249 @ 1805 # 5870 @ 4106,6823,-2322,0.3008514642715454
task087-d5cb94af70924ceaba96c431ae5aefc1,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",7894 @ 7649 # 4792,10751,-2322,0.16808778047561646
task087-511b7eea86a7469f85afd526d9f56eb3,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",4123 # 3743 # 220 # 8876 # 4930 @ 7303 @ 9562 @ 44,3263,-3586,0.19807279109954834
task087-0feb3bb91ccd4d64ab2b04802447521c,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",6031 # 6078 # 2209 @ 116 @ 16 @ 1417 @ 2264 @ 1638,3195,-2322,0.04568290710449219
task087-91fe8d45ebed42dc843980ba5067729b,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",6550 @ 1722 @ 7669 @ 39 @ 6144,22124,10523,0.03666353225708008
task087-a186a72cd93e4ae287234c55f522ad5b,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",5819 # 7724 @ 6446 # 9027 @ 49 # 7774 @ 1602 # 4917,-15526,-2376,0.04934227466583252
task087-6665c1ad8f8d4834a7d11b002714e612,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",533 # 7702 # 1823,-8992,-23,0.13197976350784302
task087-ee3d43f7d72543dfa53a4a1dfe68d4f5,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",9598 @ 8478 @ 604,18680,17618,0.07382017374038696
task087-a200693fd4d6418cb943ede3e71f5ea4,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",6036 @ 9181 # 7291,7926,-2312,0.09990304708480835
task087-bde88ac07c3a489c8bdae59519a7a5ac,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",4397 # 8340 @ 6322 @ 4315 # 7894 # 4413 @ 6379 @ 6717 @ 2228,9711,-2376,0.059075772762298584
task087-682b9f4cd3f7408aa5f000735d383b20,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",664 # 6835 @ 7254 @ 1190 # 1868 @ 9397 @ 398 # 8806 @ 541,1935,-2322,0.06559157371520996
task087-557ab19be9b74bff89d15422718ffc80,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",3147 # 6846 @ 2617 @ 6299 # 392,4825,-2322,0.04346400499343872
task087-a3491b425e554c00966c76ef87893c41,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",5781 # 2888 # 2466 @ 7119 @ 3688,11234,-2312,0.4109256863594055
task087-7346e011f38e485895bc2a9217d585df,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",4156 # 6994 @ 113 @ 1621 # 2605 # 3625 @ 2874 # 7266,-11726,-2322,0.12685436010360718
task087-f421c76bdaf9447086b3b11e9c847796,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",1041 @ 9733 # 7899 # 964 @ 3205 # 6059 @ 674 # 1825 # 3802,-5896,-2322,0.2210218906402588
task087-264ff8bf0a7b4882997c59b759e88ef6,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",2022 @ 5065 @ 7663 # 3807 @ 5927,16870,10523,0.06784200668334961
task087-bd41aba710884a15807d153d2393522f,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",3177 @ 7147 @ 2820 # 8858,4286,-2322,0.0727623701095581
task087-9e13b3cd351b4981be1d8dcdeda00ad6,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",5989 @ 460 @ 1448 # 8968 @ 4991 # 2069 # 3957 # 2989 @ 5365,270,-2322,0.098599374294281
task087-fd9e97f2d55a46c2996e16e5a664aa51,task087_new_operator_addsub_arithmetic,Mathematics,"In this task you will be given an arithmetic operation and you have to find its answer. The operators '+' and '-' have been replaced with new symbols. Specifically, '+' has been replaced with the symbol '@' and '-' with the symbol '#'. You need to perform the operations in the given equation return the answer",8237 @ 1948 @ 141 # 5681 # 306 # 7587 @ 5820,2572,-2322,0.040346503257751465
