id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task964-9da38b6cfb44422e84fa0b92e2a78ba0,task964_librispeech_asr_text_auto_completion,Text Completion,"You are given an unfinished English sentence, and you need to predict the rest of it.",supported by an honorable name how could she extricate herself from this labyrinth to whom would she apply to,help her out of this painful situation debray to whom she had run with the first instinct of a woman towards the man she loves and who yet betrays her,a sailor,0.12119144201278687
task964-f72653cf26b947e3aa6af35a019bb21c,task964_librispeech_asr_text_auto_completion,Text Completion,"You are given an unfinished English sentence, and you need to predict the rest of it.",and here she sat now knitting and the table behind her was laid for supper missus rachel before,she had fairly closed the door,he sat down and sat down and sat down and sat down and sat down and sat down and sat down and sat down and sat down and sat down and sat down and sat down and sat down and sat down and sat down and sat down and sat down and sat down and sat down and sat down and sat down and sat down and sat down and sat down and sat down and ,0.8674411177635193
task964-3bdeebd31e1c41b6b940ce094e5fdb2e,task964_librispeech_asr_text_auto_completion,Text Completion,"You are given an unfinished English sentence, and you need to predict the rest of it.",guess there's some mistake he said missus spencer came off the train with that girl and gave her into my charge said you and your sister were adopting her from an orphan asylum and that you would be along for her presently that's,all i know about it and i haven't got any more orphans concealed hereabouts,i 'm not sure i can do that i'm not sure i can do that i'm not sure i can do that i'm not sure i can do that i'm not sure i can do that i'm not sure i can do that i'm not sure i can do that i'm not sure i can do that i'm not sure i can do that i'm not sure i can do that i'm not sure i can do that i'm not sure,0.8882237672805786
task964-f5397dc1582b4b9c8bbec4b1eb6104b2,task964_librispeech_asr_text_auto_completion,Text Completion,"You are given an unfinished English sentence, and you need to predict the rest of it.",as avonlea housekeepers were wont to tell in awed voices and keeping a sharp eye on the main road that crossed the hollow,and wound up the steep red hill beyond,"he was a solitary man , a solitary man , a solitary man , a solitary man , a solitary man , a solitary man , a solitary man , a solitary man , a solitary man , a solitary man , a solitary man , a solitary man , a solitary man , a solitary man , a solitary man , a solitary",0.8965944647789001
task964-54966c1e6bf847eb8a82bec01d3437e9,task964_librispeech_asr_text_auto_completion,Text Completion,"You are given an unfinished English sentence, and you need to predict the rest of it.",but no on reflection the procureur was not a merciless man and it was not the magistrate,slave to his duties but the friend the loyal friend who roughly but firmly cut into the very core of the corruption,that was a merciless man,0.06076925992965698
task964-5a3e890363274e2b8400c4922b460951,task964_librispeech_asr_text_auto_completion,Text Completion,"You are given an unfinished English sentence, and you need to predict the rest of it.",he detested the way they had of sidling past him timidly with sidewise,glances as if they expected him to gobble them up at a mouthful if they ventured to say a word that was the avonlea type of well bred little girl but this freckled witch was very different,he was a slender man he was a slender man he was a slender man he was a slender man he was a slender man he was a slender man he was a slender man he was a slender man he was a slender man he was a slender man he was a slender man he was a slender man he was a sl,0.8872523903846741
task964-efa485b64e9f4461984c4b2a232e4008,task964_librispeech_asr_text_auto_completion,Text Completion,"You are given an unfinished English sentence, and you need to predict the rest of it.",and she said she didn't know and for pity's sake not to ask her any more questions she said i must have asked,her a thousand already i suppose i had too but how you going to find out about things if you don't ask questions and what does make the roads red well now i dunno said matthew,a lot of questions,0.06476724147796631
task964-01cb3cb898b6426aa1218dc809b6f6f4,task964_librispeech_asr_text_auto_completion,Text Completion,"You are given an unfinished English sentence, and you need to predict the rest of it.",and out,of a fault nay even a vice sometimes produces a blessing and then her thoughts cleaving through space like a bird in the air rested on cavalcanti this andrea was a wretch a robber an assassin,"he sat , he sat , he sat , he sat , he sat , he sat , he sat , he sat , he sat , he sat , he sat , he sat , he sat , he sat , he sat , he sat , he sat , he sat , he",0.9058023691177368
task964-a7736f21ee3e47fc8d2ce03ce9ed90cf,task964_librispeech_asr_text_auto_completion,Text Completion,"You are given an unfinished English sentence, and you need to predict the rest of it.",matthew went,to bright river we're getting a little boy from an orphan asylum in nova scotia and he's coming on the train tonight if marilla had said that matthew had gone to bright river to meet a kangaroo from australia missus rachel could not have been more astonished,to the sandbox and sat down on the floor,0.11006832122802734
task964-042566b145654a43b1f5b12c270d46df,task964_librispeech_asr_text_auto_completion,Text Completion,"You are given an unfinished English sentence, and you need to predict the rest of it.",thin woman with angles and without curves,her dark hair showed some gray streaks and was always twisted up in a hard little knot behind with two wire hairpins stuck aggressively through it she looked like a woman of narrow experience and rigid conscience which she was,is standing in a room with a slender figure and a slender figure.,0.17807579040527344
task964-9fe106dd5998480aae43e2baf73f7226,task964_librispeech_asr_text_auto_completion,Text Completion,"You are given an unfinished English sentence, and you need to predict the rest of it.",they were good you know the asylum people but there is so little scope for,the imagination in an asylum only just in the other orphans it was pretty interesting to imagine things about them,a sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy s,0.8750115036964417
task964-da76ee63227e4cbc9c87ee3d52b03fd1,task964_librispeech_asr_text_auto_completion,Text Completion,"You are given an unfinished English sentence, and you need to predict the rest of it.",we've got to drive a long piece haven't we missus spencer said it was eight miles i'm glad because i love driving oh it seems so wonderful that i'm going to live with you and belong to you i've never belonged to,anybody not really but the asylum was the worst i've only been in it four months but that was enough,you before,0.24544459581375122
task964-cf34700cc9c9499e9e5068ef5756c0fc,task964_librispeech_asr_text_auto_completion,Text Completion,"You are given an unfinished English sentence, and you need to predict the rest of it.",yet something must have happened since last night to start him off i'm clean puzzled that's what and i won't know a minute's peace of mind or conscience until i know what has taken matthew cuthbert out of avonlea today accordingly after tea missus rachel set out she,had not far to go,"'s a slut , a slut , a slut , a slut , a slut , a slut , a slut , a slut , a slut , a slut , a slut , a slut , a slut , a slut ",0.8875222206115723
task964-ca642b1c5f9a4011b42398f19a3b90aa,task964_librispeech_asr_text_auto_completion,Text Completion,"You are given an unfinished English sentence, and you need to predict the rest of it.",debray could but give her advice she must apply to some one more,powerful than he,.,0.061447083950042725
task964-413ae80154f94adcbbfc9e072567aa89,task964_librispeech_asr_text_auto_completion,Text Completion,"You are given an unfinished English sentence, and you need to predict the rest of it.",and since sitting and waiting was the only thing to do just then she sat and waited with all her might and main matthew,encountered the stationmaster locking up the ticket office preparatory to going home for supper and asked him if the five thirty train would soon be along,'s screams echoed through the house .,0.14148181676864624
task964-573d72a15c9946489905f09c846fbb20,task964_librispeech_asr_text_auto_completion,Text Completion,"You are given an unfinished English sentence, and you need to predict the rest of it.",had got as far away as he possibly could from his fellow men without,actually retreating into the woods when he founded his homestead green gables was built at the furthest edge of his cleared land and there it was to this day,a single scream,0.05683392286300659
task964-fba284dd49144370ba4fe39f35362c06,task964_librispeech_asr_text_auto_completion,Text Completion,"You are given an unfinished English sentence, and you need to predict the rest of it.",and her glance,was turned towards heaven,widened as she saw him squinting at the slender man.,0.4204840660095215
task964-cd2fc72dbd08459c921c03ce06cc3c3a,task964_librispeech_asr_text_auto_completion,Text Completion,"You are given an unfinished English sentence, and you need to predict the rest of it.",he had an uncomfortable feeling that the mysterious creatures were secretly laughing at him he may have been quite right in thinking so for he was an odd looking personage with,an ungainly figure and long iron gray hair that touched his stooping shoulders,a slender figure and a slender face,0.14934295415878296
task964-975dfb062ef14f5c93bffba91a3d051f,task964_librispeech_asr_text_auto_completion,Text Completion,"You are given an unfinished English sentence, and you need to predict the rest of it.",who had been afflicted with as severe a blow through her husband,and son eugenie she said to herself is lost and so are we the affair as it will be reported will cover us with shame,'s sex,0.059794723987579346
task964-db858e7b22fe4db58125a02025360858,task964_librispeech_asr_text_auto_completion,Text Completion,"You are given an unfinished English sentence, and you need to predict the rest of it.",and had gone to bed and to sleep she called the,maid and questioned her mademoiselle eugenie said the maid,snoring,0.12242019176483154
task964-4d1faa215eed47448bdb1ace6e9aade3,task964_librispeech_asr_text_auto_completion,Text Completion,"You are given an unfinished English sentence, and you need to predict the rest of it.",barely visible from the main road along which all the other avonlea houses were so sociably situated missus rachel lynde did not call living in such a place living at all it's just staying that's what she,said as she stepped along the deep rutted grassy lane,'s doing,0.11303985118865967
task964-78d0f019138743a7834a8e6eb783970e,task964_librispeech_asr_text_auto_completion,Text Completion,"You are given an unfinished English sentence, and you need to predict the rest of it.",missus alexander spencer was up here one day before christmas and she said she was going to get a little girl from the asylum over in hopeton,in the spring,st john 's,0.3011757731437683
