id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task739-e3ba6623438f44148ac5f91c0ed4c2b2,task739_lhoestq_question_generation,Question Generation,"In this task, you're given passages that contain mentions of names of people, places, or things. Some of these mentions refer to the same person, place, or thing. Your job is to write questions that evaluate one's understanding of such references. Good questions are expected to link pronouns (she, her, him, his, their, etc.) or other mentions to people, places, or things to which they may refer. 
 Avoid questions that can be answered correctly without actually understanding the paragraph. Avoid questions that do not link phrases referring to the same entity. Avoid questions that have multiple answers. 

 For each of your questions the answer should be one or more phrases in the paragraph. The answer for each question should be unambiguous. ","Context: In January 2013, Destiny's Child released Love Songs, a compilation album of the romance-themed songs from their previous albums and a newly recorded track, ""Nuclear"". Beyoncé performed the American national anthem singing along with a pre-recorded track at President Obama's second inauguration in Washington, D.C. The following month, Beyoncé performed at the Super Bowl XLVII halftime show, held at the Mercedes-Benz Superdome in New Orleans. The performance stands as the second most tweeted about moment in history at 268,000 tweets per minute. At the 55th Annual Grammy Awards, Beyoncé won for Best Traditional R&B Performance for ""Love on Top"". Her feature-length documentary film, Life Is But a Dream, first aired on HBO on February 16, 2013. The film, which she directed and produced herself, featured footage from her childhood, her as a mother and businesswoman, recording, rehearsing for live performances, and her return to the spotlight following Blue Ivy's birth. Its DVD release in November 2013 was accompanied by footage from the Revel Presents: Beyoncé Live concerts and a new song, ""God Made You Beautiful"". In February 2013, Beyoncé signed a global publishing agreement with Warner/Chappell Music, which would cover her future songwriting and then-upcoming studio album.","When did Destiny's Child release its album ""Love Songs""?","What is the first name of the person who performed the American national anthem singing along with a pre-recorded track at President Obama's second inauguration in Washington, D.C.?",0.3481236696243286
task739-e4a188ae10e64a36b6e266a32678e984,task739_lhoestq_question_generation,Question Generation,"In this task, you're given passages that contain mentions of names of people, places, or things. Some of these mentions refer to the same person, place, or thing. Your job is to write questions that evaluate one's understanding of such references. Good questions are expected to link pronouns (she, her, him, his, their, etc.) or other mentions to people, places, or things to which they may refer. 
 Avoid questions that can be answered correctly without actually understanding the paragraph. Avoid questions that do not link phrases referring to the same entity. Avoid questions that have multiple answers. 

 For each of your questions the answer should be one or more phrases in the paragraph. The answer for each question should be unambiguous. ","Context: Beyoncé and husband Jay Z are friends with President Barack Obama and First Lady Michelle Obama. She performed ""America the Beautiful"" at the 2009 presidential inauguration, as well as ""At Last"" during the first inaugural dance at the Neighborhood Ball two days later. Beyoncé and Jay Z held a fundraiser at the latter's 40/40 Club in Manhattan for Obama's 2012 presidential campaign which raised $4 million. Beyoncé uploaded pictures of her paper ballot on Tumblr, confirming she had voted in support for the Democratic Party and to encourage others to do so. She also performed the American national anthem at his second inauguration, singing along with a pre-recorded track. She publicly endorsed same sex marriage on March 26, 2013, after the Supreme Court debate on California's Proposition 8. In July 2013, Beyoncé and Jay-Z attended a rally in response to the acquittal of George Zimmerman for the shooting of Trayvon Martin.",Beyonce sang which song during the 2009 presidential inauguration?,"What is the first name of the person who performed ""America the Beautiful"" at the 2009 presidential inauguration?",0.2845824360847473
task739-80d0fa731057469f904c84428662a2f5,task739_lhoestq_question_generation,Question Generation,"In this task, you're given passages that contain mentions of names of people, places, or things. Some of these mentions refer to the same person, place, or thing. Your job is to write questions that evaluate one's understanding of such references. Good questions are expected to link pronouns (she, her, him, his, their, etc.) or other mentions to people, places, or things to which they may refer. 
 Avoid questions that can be answered correctly without actually understanding the paragraph. Avoid questions that do not link phrases referring to the same entity. Avoid questions that have multiple answers. 

 For each of your questions the answer should be one or more phrases in the paragraph. The answer for each question should be unambiguous. ","Context: The library system also includes branch libraries for Architecture, Chemistry & Physics, Engineering, Law, and Mathematics as well as information centers in the Mendoza College of Business, the Kellogg Institute for International Studies, the Joan B. Kroc Institute for International Peace Studies, and a slide library in O'Shaughnessy Hall. A theology library was also opened in fall of 2015. Located on the first floor of Stanford Hall, it is the first branch of the library system to be housed in a dorm room. The library system holds over three million volumes, was the single largest university library in the world upon its completion, and remains one of the 100 largest libraries in the country.",How many books are held by the Notre Dame libraries?,What is the name of the first branch of the library system to be housed in a dorm room?,0.20206093788146973
task739-1e3a2f46ef9041608f5f8dc5bd305d2f,task739_lhoestq_question_generation,Question Generation,"In this task, you're given passages that contain mentions of names of people, places, or things. Some of these mentions refer to the same person, place, or thing. Your job is to write questions that evaluate one's understanding of such references. Good questions are expected to link pronouns (she, her, him, his, their, etc.) or other mentions to people, places, or things to which they may refer. 
 Avoid questions that can be answered correctly without actually understanding the paragraph. Avoid questions that do not link phrases referring to the same entity. Avoid questions that have multiple answers. 

 For each of your questions the answer should be one or more phrases in the paragraph. The answer for each question should be unambiguous. ","Context: The release of a video-game Starpower: Beyoncé was cancelled after Beyoncé pulled out of a $100 million with GateFive who alleged the cancellation meant the sacking of 70 staff and millions of pounds lost in development. It was settled out of court by her lawyers in June 2013 who said that they had cancelled because GateFive had lost its financial backers. Beyoncé also has had deals with American Express, Nintendo DS and L'Oréal since the age of 18.",What video game did Beyoncé back out of?,What is the last name of the person who pulled out of a $100 million with GateFive?,0.18141603469848633
task739-615b037e97eb40358e31ea001d707f23,task739_lhoestq_question_generation,Question Generation,"In this task, you're given passages that contain mentions of names of people, places, or things. Some of these mentions refer to the same person, place, or thing. Your job is to write questions that evaluate one's understanding of such references. Good questions are expected to link pronouns (she, her, him, his, their, etc.) or other mentions to people, places, or things to which they may refer. 
 Avoid questions that can be answered correctly without actually understanding the paragraph. Avoid questions that do not link phrases referring to the same entity. Avoid questions that have multiple answers. 

 For each of your questions the answer should be one or more phrases in the paragraph. The answer for each question should be unambiguous. ","Context: On April 4, 2008, Beyoncé married Jay Z. She publicly revealed their marriage in a video montage at the listening party for her third studio album, I Am... Sasha Fierce, in Manhattan's Sony Club on October 22, 2008. I Am... Sasha Fierce was released on November 18, 2008 in the United States. The album formally introduces Beyoncé's alter ego Sasha Fierce, conceived during the making of her 2003 single ""Crazy in Love"", selling 482,000 copies in its first week, debuting atop the Billboard 200, and giving Beyoncé her third consecutive number-one album in the US. The album featured the number-one song ""Single Ladies (Put a Ring on It)"" and the top-five songs ""If I Were a Boy"" and ""Halo"". Achieving the accomplishment of becoming her longest-running Hot 100 single in her career, ""Halo""'s success in the US helped Beyoncé attain more top-ten singles on the list than any other woman during the 2000s. It also included the successful ""Sweet Dreams"", and singles ""Diva"", ""Ego"", ""Broken-Hearted Girl"" and ""Video Phone"". The music video for ""Single Ladies"" has been parodied and imitated around the world, spawning the ""first major dance craze"" of the Internet age according to the Toronto Star. The video has won several awards, including Best Video at the 2009 MTV Europe Music Awards, the 2009 Scottish MOBO Awards, and the 2009 BET Awards. At the 2009 MTV Video Music Awards, the video was nominated for nine awards, ultimately winning three including Video of the Year. Its failure to win the Best Female Video category, which went to American country pop singer Taylor Swift's ""You Belong with Me"", led to Kanye West interrupting the ceremony and Beyoncé improvising a re-presentation of Swift's award during her own acceptance speech. In March 2009, Beyoncé embarked on the I Am... World Tour, her second headlining worldwide concert tour, consisting of 108 shows, grossing $119.5 million.",The video for what song won Beyoncé the 2009 MTV Video of the Year award?,What is the first name of the person who publicly revealed their marriage in a video montage at the listening party for her third studio album?,0.24908488988876343
task739-77bf6a3ee4cd45d1bda6220d586bcbb8,task739_lhoestq_question_generation,Question Generation,"In this task, you're given passages that contain mentions of names of people, places, or things. Some of these mentions refer to the same person, place, or thing. Your job is to write questions that evaluate one's understanding of such references. Good questions are expected to link pronouns (she, her, him, his, their, etc.) or other mentions to people, places, or things to which they may refer. 
 Avoid questions that can be answered correctly without actually understanding the paragraph. Avoid questions that do not link phrases referring to the same entity. Avoid questions that have multiple answers. 

 For each of your questions the answer should be one or more phrases in the paragraph. The answer for each question should be unambiguous. ","Context: On July 1, 2014, the University of Notre Dame and Under Armour reached an agreement in which Under Armour will provide uniforms, apparel,equipment, and monetary compensation to Notre Dame for 10 years. This contract, worth almost $100 million, is the most lucrative in the history of the NCAA. The university marching band plays at home games for most of the sports. The band, which began in 1846 and has a claim as the oldest university band in continuous existence in the United States, was honored by the National Music Council as a ""Landmark of American Music"" during the United States Bicentennial. The band regularly plays the school's fight song the Notre Dame Victory March, which was named as the most played and most famous fight song by Northern Illinois Professor William Studwell. According to College Fight Songs: An Annotated Anthology published in 1998, the ""Notre Dame Victory March"" ranks as the greatest fight song of all time.",When did the Notre Dame marching band form?,What is the last name of the person who named the Notre Dame Victory March as the most played and most famous fight song?,0.2162598967552185
task739-20c6fd96c4d54ef4852f52443417b70f,task739_lhoestq_question_generation,Question Generation,"In this task, you're given passages that contain mentions of names of people, places, or things. Some of these mentions refer to the same person, place, or thing. Your job is to write questions that evaluate one's understanding of such references. Good questions are expected to link pronouns (she, her, him, his, their, etc.) or other mentions to people, places, or things to which they may refer. 
 Avoid questions that can be answered correctly without actually understanding the paragraph. Avoid questions that do not link phrases referring to the same entity. Avoid questions that have multiple answers. 

 For each of your questions the answer should be one or more phrases in the paragraph. The answer for each question should be unambiguous. ","Context: On February 6, 2016, one day before her performance at the Super Bowl, Beyoncé released a new single exclusively on music streaming service Tidal called ""Formation"".",What was the name of the streaming service?,"What is the first name of the person who released a new single exclusively on Tidal called ""Formation""?",0.21381890773773193
task739-044f0d3b2bd5485fb3b1c0ea5a027e1e,task739_lhoestq_question_generation,Question Generation,"In this task, you're given passages that contain mentions of names of people, places, or things. Some of these mentions refer to the same person, place, or thing. Your job is to write questions that evaluate one's understanding of such references. Good questions are expected to link pronouns (she, her, him, his, their, etc.) or other mentions to people, places, or things to which they may refer. 
 Avoid questions that can be answered correctly without actually understanding the paragraph. Avoid questions that do not link phrases referring to the same entity. Avoid questions that have multiple answers. 

 For each of your questions the answer should be one or more phrases in the paragraph. The answer for each question should be unambiguous. ","Context: In 2014 the Notre Dame student body consisted of 12,179 students, with 8,448 undergraduates, 2,138 graduate and professional and 1,593 professional (Law, M.Div., Business, M.Ed.) students. Around 21–24% of students are children of alumni, and although 37% of students come from the Midwestern United States, the student body represents all 50 states and 100 countries. As of March 2007[update] The Princeton Review ranked the school as the fifth highest 'dream school' for parents to send their children. As of March 2015[update] The Princeton Review ranked Notre Dame as the ninth highest. The school has been previously criticized for its lack of diversity, and The Princeton Review ranks the university highly among schools at which ""Alternative Lifestyles [are] Not an Alternative."" It has also been commended by some diversity oriented publications; Hispanic Magazine in 2004 ranked the university ninth on its list of the top–25 colleges for Latinos, and The Journal of Blacks in Higher Education recognized the university in 2006 for raising enrollment of African-American students. With 6,000 participants, the university's intramural sports program was named in 2004 by Sports Illustrated as the best program in the country, while in 2007 The Princeton Review named it as the top school where ""Everyone Plays Intramural Sports."" The annual Bookstore Basketball tournament is the largest outdoor five-on-five tournament in the world with over 700 teams participating each year, while the Notre Dame Men's Boxing Club hosts the annual Bengal Bouts tournament that raises money for the Holy Cross Missions in Bangladesh.",How many students in total were at Notre Dame in 2014?,What is the last name of the person who ranked Notre Dame as the fifth highest 'dream school' for parents to send their children?,0.24870777130126953
task739-1c41351a39b745b79835734589e7bdd8,task739_lhoestq_question_generation,Question Generation,"In this task, you're given passages that contain mentions of names of people, places, or things. Some of these mentions refer to the same person, place, or thing. Your job is to write questions that evaluate one's understanding of such references. Good questions are expected to link pronouns (she, her, him, his, their, etc.) or other mentions to people, places, or things to which they may refer. 
 Avoid questions that can be answered correctly without actually understanding the paragraph. Avoid questions that do not link phrases referring to the same entity. Avoid questions that have multiple answers. 

 For each of your questions the answer should be one or more phrases in the paragraph. The answer for each question should be unambiguous. ","Context: Beyoncé has been described as a having a wide-ranging sex appeal, with music journalist Touré writing that since the release of Dangerously in Love, she has ""become a crossover sex symbol"". Offstage Beyoncé says that while she likes to dress sexily, her onstage dress ""is absolutely for the stage."" Due to her curves and the term's catchiness, in the 2000s, the media often used the term ""Bootylicious"" (a portmanteau of the words booty and delicious) to describe Beyoncé, the term popularized by Destiny's Child's single of the same name. In 2006, it was added to the Oxford English Dictionary.",Oxford Dictionary added which word from the 2000s dedicated to Beyonce?,What is the first name of the person who has become a crossover sex symbol?,0.16128498315811157
task739-6b3a9313cdd34389aaaa52142c664a98,task739_lhoestq_question_generation,Question Generation,"In this task, you're given passages that contain mentions of names of people, places, or things. Some of these mentions refer to the same person, place, or thing. Your job is to write questions that evaluate one's understanding of such references. Good questions are expected to link pronouns (she, her, him, his, their, etc.) or other mentions to people, places, or things to which they may refer. 
 Avoid questions that can be answered correctly without actually understanding the paragraph. Avoid questions that do not link phrases referring to the same entity. Avoid questions that have multiple answers. 

 For each of your questions the answer should be one or more phrases in the paragraph. The answer for each question should be unambiguous. ","Context: Her first acting role of 2006 was in the comedy film The Pink Panther starring opposite Steve Martin, grossing $158.8 million at the box office worldwide. Her second film Dreamgirls, the film version of the 1981 Broadway musical loosely based on The Supremes, received acclaim from critics and grossed $154 million internationally. In it, she starred opposite Jennifer Hudson, Jamie Foxx, and Eddie Murphy playing a pop singer based on Diana Ross. To promote the film, Beyoncé released ""Listen"" as the lead single from the soundtrack album. In April 2007, Beyoncé embarked on The Beyoncé Experience, her first worldwide concert tour, visiting 97 venues and grossed over $24 million.[note 1] Beyoncé conducted pre-concert food donation drives during six major stops in conjunction with her pastor at St. John's and America's Second Harvest. At the same time, B'Day was re-released with five additional songs, including her duet with Shakira ""Beautiful Liar"".",What did Beyonce call her first concert tour?,"What is the first name of the person who starred opposite Jennifer Hudson, Jamie Foxx, and Eddie Murphy playing a pop singer based on Diana Ross?",0.267616868019104
