id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task455-4dbef3ec1d6b433d896cf9e306526f79,task455_swag_context_generation,Text Completion,"Given a sentence, generate a most likely context or previous statement. The previous statement should be relevant to the given statement.",Someone bites his lip and tenses himself.,Handcuffs and chains prevent him from lifting his hands any higher than his abdomen.,Someone's eyes widen.,0.4601982831954956
task455-087de4c70eab456fbfcfb5e3ae00bd07,task455_swag_context_generation,Text Completion,"Given a sentence, generate a most likely context or previous statement. The previous statement should be relevant to the given statement.",They watch tv and read magazines.,"Now, someone and someone sit side by side munching corn on the cob.",They sit in a living room.,0.8965944647789001
task455-32611c44d3dd4347823a7b10e627288c,task455_swag_context_generation,Text Completion,"Given a sentence, generate a most likely context or previous statement. The previous statement should be relevant to the given statement.",She shoots the bow even more.,More people practice archery and a girl poses for the camera.,She shoots the bow and arrows.,0.08665710687637329
task455-4edef8ee3a7b4888896432559e89bc6d,task455_swag_context_generation,Text Completion,"Given a sentence, generate a most likely context or previous statement. The previous statement should be relevant to the given statement.",She plays the violin as she talks.,She is plucking the strings with her hands.,She is playing the violin.,0.08798784017562866
task455-24a13168800a40d5b0ed6599ed4f38c8,task455_swag_context_generation,Text Completion,"Given a sentence, generate a most likely context or previous statement. The previous statement should be relevant to the given statement.","Someone looks on, with an approving smile.","When people's dance comes to an end, he leads her by the hand to present her to his sisters.","Someone's eyes widen, and he looks up at someone.",0.12233215570449829
task455-611047b369714ee48341b806051efbbc,task455_swag_context_generation,Text Completion,"Given a sentence, generate a most likely context or previous statement. The previous statement should be relevant to the given statement.",She adjusts the faucet while still speaking to the camera.,The woman bends down and sprays the liquid around.,She turns on the faucet and begins to wash her hair.,0.10179948806762695
task455-51972405bb7a47fda9fca18655b098ba,task455_swag_context_generation,Text Completion,"Given a sentence, generate a most likely context or previous statement. The previous statement should be relevant to the given statement.",the guy starts skiing down the sloop with other skiers also skiing down the sloop around him and comes to a big stop area but he continues to ski on while other skiers stop.,A guy films him self skiing down a snowy sloop.,A guy is standing on a sloop with other skiers skiing down the sloop.,0.25646722316741943
task455-5f649c201944441c80d7bdea3f658038,task455_swag_context_generation,Text Completion,"Given a sentence, generate a most likely context or previous statement. The previous statement should be relevant to the given statement.",He then begins ripping up carpet on the floor and showing it to the camera.,He holds up wood and tools while still speaking.,A man is seen standing on a carpeted floor.,0.20706617832183838
task455-6445aaf6fd564d37a4f67c252d1c40ab,task455_swag_context_generation,Text Completion,"Given a sentence, generate a most likely context or previous statement. The previous statement should be relevant to the given statement.",A black stretch limousine pulls onto the crowded parking lot.,"Stroking his own chin, someone stares at someone.",A man is seen putting on a suit and walking away.,0.19072067737579346
task455-e3a04936e8d242e99c4e5d05bbdd281e,task455_swag_context_generation,Text Completion,"Given a sentence, generate a most likely context or previous statement. The previous statement should be relevant to the given statement.","Someone walks over to someone's desk and resumes packing up, then walks on, then stops to hug someone.",Fighting tears he holds a towel to his neck and hurries out.,Someone walks over to someone's desk and begins packing up.,0.1262756586074829
task455-f522d4fd9f6b4f1a88576f3f62d46478,task455_swag_context_generation,Text Completion,"Given a sentence, generate a most likely context or previous statement. The previous statement should be relevant to the given statement.",A small kid enters and spins around a pole.,The hop back and forth and move their arms.,A man is seen standing on a pole.,0.08866673707962036
task455-8873d40357a64779be5cc7aaa4821131,task455_swag_context_generation,Text Completion,"Given a sentence, generate a most likely context or previous statement. The previous statement should be relevant to the given statement.","Someone climbs down into the tank and taps someone on the shoulder, startling him.",Someone has been left alone in the tank.,"Someone screams, then screams again.",0.1275591254234314
task455-c5e1fea532a547db87f71b081a889f67,task455_swag_context_generation,Text Completion,"Given a sentence, generate a most likely context or previous statement. The previous statement should be relevant to the given statement.",The child continues to mow the lawn pulling the starting mower back from the driveway.,"The man walks up and down, straight across the yard as he mows the lawn.",A child is seen standing in front of a lawnmower.,0.17661869525909424
task455-4e7964e53eeb41179016693e0963e4d3,task455_swag_context_generation,Text Completion,"Given a sentence, generate a most likely context or previous statement. The previous statement should be relevant to the given statement.","Someone stares at her, then turns and steps away.",A woman holding a baby approaches the captain.,Someone's eyes widen as she looks at him.,0.362398624420166
task455-9edaa99e17b848b280eb629c7e17cfa9,task455_swag_context_generation,Text Completion,"Given a sentence, generate a most likely context or previous statement. The previous statement should be relevant to the given statement.",Someone follows someone down a small corridor.,He leads her by the hand.,Someone's eyes widen as he reaches for someone.,0.11126983165740967
task455-c50b9e129bac4e46bd5036f743773bf7,task455_swag_context_generation,Text Completion,"Given a sentence, generate a most likely context or previous statement. The previous statement should be relevant to the given statement.",Suddenly someone is hit in the back with a rock.,They walk along an oaklined road.,Someone is seen slapping someone in the face.,0.32472652196884155
task455-b7c127d138b34e048f22183d97bae55d,task455_swag_context_generation,Text Completion,"Given a sentence, generate a most likely context or previous statement. The previous statement should be relevant to the given statement.",Someone ducks and strikes his armor.,"Someone advances, slicing someone's arm and cutting his leg.",Someone slams his sword into the sand.,0.1097143292427063
task455-9f2610cbc9a94e53ada1859f27018ecc,task455_swag_context_generation,Text Completion,"Given a sentence, generate a most likely context or previous statement. The previous statement should be relevant to the given statement.",Someone takes a step closer to her.,She and someone peer down at the unconscious man.,Someone's eyes widen.,0.07699030637741089
task455-78e8ffe78f514b6ea51646522bb7bded,task455_swag_context_generation,Text Completion,"Given a sentence, generate a most likely context or previous statement. The previous statement should be relevant to the given statement.",He continues playing as the people listen to him.,He is playing a long wooden flute.,A man is seen playing the guitar.,0.38369321823120117
task455-2163e2431795487c8ddbbd9f95021df0,task455_swag_context_generation,Text Completion,"Given a sentence, generate a most likely context or previous statement. The previous statement should be relevant to the given statement.",A dog walks in the yard where people pile grass.,People picks up piles of grass on a front yard.,A man is laying on the ground.,0.07652890682220459
task455-9407aac79b22440c9af9faecabcf920d,task455_swag_context_generation,Text Completion,"Given a sentence, generate a most likely context or previous statement. The previous statement should be relevant to the given statement.",She rises from the chaise lounge.,Now a light rises on someone in a platinum bobbed wig.,She slams the door shut.,0.08584928512573242
