id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task1150-4ac5f746494741008fc814e28d4e4585,task1150_delete_max_min,Program Execution,"In this task, you are given a list of numbers. The list of numbers is separated with comma and inside brackets. You need to remove the maximum(the number with the largest value) and minimum(the number with the smallest value) element from the list and return the list in the same order as input. Your answer should be a list of numbers separated by comma, inside brackets.","[498, 134, 471, 453, 333, 255, 40, 94, 230, 241, 116, 28, 109, 310, 375, 478, 160, 198, 420, 45]","[134, 471, 453, 333, 255, 40, 94, 230, 241, 116, 109, 310, 375, 478, 160, 198, 420, 45]","[498, 134, 471, 453, 333, 255, 40, 94, 230, 241, 116, 28, 109, 310, 375, 478, 160, 198, 420, 45]",0.3725939393043518
task1150-dae98058ef8542d7ab4d88d8f540d255,task1150_delete_max_min,Program Execution,"In this task, you are given a list of numbers. The list of numbers is separated with comma and inside brackets. You need to remove the maximum(the number with the largest value) and minimum(the number with the smallest value) element from the list and return the list in the same order as input. Your answer should be a list of numbers separated by comma, inside brackets.","[488, 258, 281, 422, 297, 175, 22, 290, 11, 178, 124, 161, 354, 191, 70, 334, 480, 153, 251, 371]","[258, 281, 422, 297, 175, 22, 290, 178, 124, 161, 354, 191, 70, 334, 480, 153, 251, 371]","[488, 258, 281, 422, 297, 175, 290, 178, 124, 161, 354, 191, 70, 334, 480, 153, 251, 371]",0.34549278020858765
task1150-b84c5254416044f890e21c3cad66b611,task1150_delete_max_min,Program Execution,"In this task, you are given a list of numbers. The list of numbers is separated with comma and inside brackets. You need to remove the maximum(the number with the largest value) and minimum(the number with the smallest value) element from the list and return the list in the same order as input. Your answer should be a list of numbers separated by comma, inside brackets.","[96, 173, 120, 362, 235, 73, 383, 490, 193, 394, 285, 328, 437, 381, 297, 158, 453, 60, 430, 282]","[96, 173, 120, 362, 235, 73, 383, 193, 394, 285, 328, 437, 381, 297, 158, 453, 430, 282]","[96, 173, 120, 362, 235, 73, 383, 490, 193, 394, 285, 328, 437, 381, 297, 158, 453, 60, 430, 282]",0.38124018907546997
task1150-caaf7f96f9c8443eb64014a63eeb45fd,task1150_delete_max_min,Program Execution,"In this task, you are given a list of numbers. The list of numbers is separated with comma and inside brackets. You need to remove the maximum(the number with the largest value) and minimum(the number with the smallest value) element from the list and return the list in the same order as input. Your answer should be a list of numbers separated by comma, inside brackets.","[283, 108, 28, 75, 152, 342, 390, 468, 423, 402, 265, 397, 163, 332, 320, 454, 192, 437, 121, 364]","[283, 108, 75, 152, 342, 390, 423, 402, 265, 397, 163, 332, 320, 454, 192, 437, 121, 364]","[283, 108, 75, 152, 342, 390, 468, 423, 402, 265, 397, 163, 332, 320, 454, 192, 437, 121, 364]",0.36504584550857544
task1150-874ed7a37df9499d9aee90766904f5b7,task1150_delete_max_min,Program Execution,"In this task, you are given a list of numbers. The list of numbers is separated with comma and inside brackets. You need to remove the maximum(the number with the largest value) and minimum(the number with the smallest value) element from the list and return the list in the same order as input. Your answer should be a list of numbers separated by comma, inside brackets.","[252, 280, 421, 34, 303, 47, 235, 130, 415, 335, 263, 377, 419, 473, 243, 296, 226, 479, 363, 326]","[252, 280, 421, 303, 47, 235, 130, 415, 335, 263, 377, 419, 473, 243, 296, 226, 363, 326]","[252, 280, 421, 303, 47, 235, 130, 415, 335, 263, 377, 419, 473, 243, 296, 226, 479, 326]",0.3540053963661194
task1150-368ad74ad0e04b899d58b279fcb354e8,task1150_delete_max_min,Program Execution,"In this task, you are given a list of numbers. The list of numbers is separated with comma and inside brackets. You need to remove the maximum(the number with the largest value) and minimum(the number with the smallest value) element from the list and return the list in the same order as input. Your answer should be a list of numbers separated by comma, inside brackets.","[392, 479, 350, 154, 365, 482, 375, 137, 94, 402, 220, 343, 175, 466, 36, 83, 104, 413, 296, 487]","[392, 479, 350, 154, 365, 482, 375, 137, 94, 402, 220, 343, 175, 466, 83, 104, 413, 296]","[392, 479, 350, 154, 365, 482, 375, 137, 94, 402, 220, 343, 175, 466, 36, 83, 104, 413, 296]",0.3986523151397705
task1150-6e4970038f444cd29da264faf1379988,task1150_delete_max_min,Program Execution,"In this task, you are given a list of numbers. The list of numbers is separated with comma and inside brackets. You need to remove the maximum(the number with the largest value) and minimum(the number with the smallest value) element from the list and return the list in the same order as input. Your answer should be a list of numbers separated by comma, inside brackets.","[349, 139, 299, 301, 361, 198, 119, 13, 225, 201, 249, 428, 271, 489, 368, 199, 46, 50, 487, 326]","[349, 139, 299, 301, 361, 198, 119, 225, 201, 249, 428, 271, 368, 199, 46, 50, 487, 326]","[349, 139, 299, 301, 361, 198, 119, 225, 201, 249, 428, 271, 368, 199, 46, 50, 487, 326]",0.3744305372238159
task1150-57baf63cadb340209222ef0179f3402c,task1150_delete_max_min,Program Execution,"In this task, you are given a list of numbers. The list of numbers is separated with comma and inside brackets. You need to remove the maximum(the number with the largest value) and minimum(the number with the smallest value) element from the list and return the list in the same order as input. Your answer should be a list of numbers separated by comma, inside brackets.","[169, 350, 185, 108, 112, 167, 64, 279, 397, 41, 277, 459, 151, 179, 408, 462, 474, 498, 306, 388]","[169, 350, 185, 108, 112, 167, 64, 279, 397, 277, 459, 151, 179, 408, 462, 474, 306, 388]","[169, 350, 185, 108, 112, 167, 64, 279, 397, 41, 277, 459, 151, 179, 408, 462, 474, 498, 306]",0.37901216745376587
task1150-6478b67d75ed4fab8e80b6bf40850008,task1150_delete_max_min,Program Execution,"In this task, you are given a list of numbers. The list of numbers is separated with comma and inside brackets. You need to remove the maximum(the number with the largest value) and minimum(the number with the smallest value) element from the list and return the list in the same order as input. Your answer should be a list of numbers separated by comma, inside brackets.","[308, 152, 482, 111, 406, 290, 466, 303, 153, 60, 15, 270, 398, 473, 417, 69, 499, 43, 454, 280]","[308, 152, 482, 111, 406, 290, 466, 303, 153, 60, 270, 398, 473, 417, 69, 43, 454, 280]","[308, 152, 482, 111, 406, 290, 466, 303, 153, 60, 270, 398, 473, 417, 69, 499, 43, 454, 280]",0.5558387041091919
task1150-034a1aeefb4341cd8d3f67acdb1a8eb4,task1150_delete_max_min,Program Execution,"In this task, you are given a list of numbers. The list of numbers is separated with comma and inside brackets. You need to remove the maximum(the number with the largest value) and minimum(the number with the smallest value) element from the list and return the list in the same order as input. Your answer should be a list of numbers separated by comma, inside brackets.","[163, 98, 437, 147, 434, 364, 60, 172, 375, 181, 225, 470, 366, 305, 153, 282, 290, 185, 322, 297]","[163, 98, 437, 147, 434, 364, 172, 375, 181, 225, 366, 305, 153, 282, 290, 185, 322, 297]","[163, 98, 437, 147, 434, 364, 172, 375, 181, 225, 470, 366, 305, 153, 282, 290, 185, 322, 297]",0.38111913204193115
task1150-bcf84db37da944559c58aee91c093b79,task1150_delete_max_min,Program Execution,"In this task, you are given a list of numbers. The list of numbers is separated with comma and inside brackets. You need to remove the maximum(the number with the largest value) and minimum(the number with the smallest value) element from the list and return the list in the same order as input. Your answer should be a list of numbers separated by comma, inside brackets.","[19, 50, 261, 131, 14, 321, 442, 132, 176, 403, 185, 382, 290, 279, 164, 18, 485, 54, 325, 438]","[19, 50, 261, 131, 321, 442, 132, 176, 403, 185, 382, 290, 279, 164, 18, 54, 325, 438]","[19, 50, 261, 131, 321, 442, 132, 176, 403, 185, 382, 290, 279, 164, 485, 325, 438]",0.31221234798431396
task1150-3a9d060bf5c04afab11e716d0b8b0a7a,task1150_delete_max_min,Program Execution,"In this task, you are given a list of numbers. The list of numbers is separated with comma and inside brackets. You need to remove the maximum(the number with the largest value) and minimum(the number with the smallest value) element from the list and return the list in the same order as input. Your answer should be a list of numbers separated by comma, inside brackets.","[107, 213, 316, 252, 111, 446, 455, 189, 63, 209, 263, 164, 287, 17, 24, 89, 354, 193, 296, 161]","[107, 213, 316, 252, 111, 446, 189, 63, 209, 263, 164, 287, 24, 89, 354, 193, 296, 161]","[107, 213, 316, 252, 111, 446, 455, 189, 63, 209, 263, 164, 287, 17, 89, 354, 193, 296, 161]",0.3499855399131775
task1150-e7366afec3f9464f95a4fcf937736ece,task1150_delete_max_min,Program Execution,"In this task, you are given a list of numbers. The list of numbers is separated with comma and inside brackets. You need to remove the maximum(the number with the largest value) and minimum(the number with the smallest value) element from the list and return the list in the same order as input. Your answer should be a list of numbers separated by comma, inside brackets.","[465, 197, 210, 43, 382, 223, 247, 65, 332, 73, 230, 25, 394, 224, 377, 238, 329, 249, 131, 420]","[197, 210, 43, 382, 223, 247, 65, 332, 73, 230, 394, 224, 377, 238, 329, 249, 131, 420]","[465, 197, 210, 43, 382, 223, 247, 65, 332, 73, 230, 394, 224, 377, 238, 329, 249, 131, 420]",0.38981497287750244
task1150-f806f7e790ef4c3096defc71352fdbe5,task1150_delete_max_min,Program Execution,"In this task, you are given a list of numbers. The list of numbers is separated with comma and inside brackets. You need to remove the maximum(the number with the largest value) and minimum(the number with the smallest value) element from the list and return the list in the same order as input. Your answer should be a list of numbers separated by comma, inside brackets.","[72, 78, 206, 464, 264, 470, 183, 291, 317, 432, 212, 415, 327, 266, 210, 192, 359, 36, 319, 86]","[72, 78, 206, 464, 264, 183, 291, 317, 432, 212, 415, 327, 266, 210, 192, 359, 319, 86]","[72, 78, 206, 464, 264, 470, 183, 291, 317, 432, 212, 415, 327, 266, 210, 192, 359, 36, 319, 86]",0.437824010848999
task1150-573dad25df254aed81d9b90c60d445d3,task1150_delete_max_min,Program Execution,"In this task, you are given a list of numbers. The list of numbers is separated with comma and inside brackets. You need to remove the maximum(the number with the largest value) and minimum(the number with the smallest value) element from the list and return the list in the same order as input. Your answer should be a list of numbers separated by comma, inside brackets.","[474, 127, 371, 252, 472, 257, 150, 361, 121, 230, 313, 392, 157, 67, 143, 336, 408, 211, 29, 140]","[127, 371, 252, 472, 257, 150, 361, 121, 230, 313, 392, 157, 67, 143, 336, 408, 211, 140]","[474, 127, 371, 252, 472, 257, 150, 361, 121, 230, 313, 392, 157, 67, 143, 336, 408, 211, 29]",0.37123894691467285
task1150-d95c2ed5da794902b0583d3aa0062d38,task1150_delete_max_min,Program Execution,"In this task, you are given a list of numbers. The list of numbers is separated with comma and inside brackets. You need to remove the maximum(the number with the largest value) and minimum(the number with the smallest value) element from the list and return the list in the same order as input. Your answer should be a list of numbers separated by comma, inside brackets.","[64, 257, 233, 185, 463, 260, 98, 60, 220, 63, 103, 234, 330, 333, 262, 213, 264, 106, 336, 338]","[64, 257, 233, 185, 260, 98, 220, 63, 103, 234, 330, 333, 262, 213, 264, 106, 336, 338]","[64, 257, 233, 185, 463, 260, 98, 220, 63, 103, 234, 330, 333, 262, 213, 264, 106, 336, 338]",0.4097864031791687
task1150-b9975eace3634389a1292aa053492466,task1150_delete_max_min,Program Execution,"In this task, you are given a list of numbers. The list of numbers is separated with comma and inside brackets. You need to remove the maximum(the number with the largest value) and minimum(the number with the smallest value) element from the list and return the list in the same order as input. Your answer should be a list of numbers separated by comma, inside brackets.","[371, 203, 62, 254, 333, 465, 131, 119, 438, 209, 29, 475, 356, 414, 331, 473, 237, 132, 179, 400]","[371, 203, 62, 254, 333, 465, 131, 119, 438, 209, 356, 414, 331, 473, 237, 132, 179, 400]","[371, 203, 62, 254, 333, 465, 131, 119, 438, 209, 29, 475, 356, 414, 331, 473, 237, 132, 179, 400]",0.3962888717651367
task1150-74b7415aefd84f31a6c695ed2076e9e2,task1150_delete_max_min,Program Execution,"In this task, you are given a list of numbers. The list of numbers is separated with comma and inside brackets. You need to remove the maximum(the number with the largest value) and minimum(the number with the smallest value) element from the list and return the list in the same order as input. Your answer should be a list of numbers separated by comma, inside brackets.","[256, 118, 357, 263, 16, 359, 471, 241, 44, 326, 21, 282, 495, 462, 175, 313, 51, 111, 221, 88]","[256, 118, 357, 263, 359, 471, 241, 44, 326, 21, 282, 462, 175, 313, 51, 111, 221, 88]","[256, 118, 357, 263, 359, 471, 241, 326, 282, 495, 462, 175, 313, 51, 111, 221, 88]",0.3101043701171875
task1150-fe0ebe55cf7a42d0bc0f5a7f9fdd4030,task1150_delete_max_min,Program Execution,"In this task, you are given a list of numbers. The list of numbers is separated with comma and inside brackets. You need to remove the maximum(the number with the largest value) and minimum(the number with the smallest value) element from the list and return the list in the same order as input. Your answer should be a list of numbers separated by comma, inside brackets.","[187, 191, 66, 174, 439, 377, 440, 486, 447, 461, 33, 498, 24, 177, 15, 384, 124, 80, 325, 136]","[187, 191, 66, 174, 439, 377, 440, 486, 447, 461, 33, 24, 177, 384, 124, 80, 325, 136]","[187, 191, 66, 174, 439, 377, 440, 486, 447, 461, 33, 498, 177, 384, 124, 80, 325, 136]",0.35524898767471313
task1150-e6ef6431f180438eb3858549cc2ab8a1,task1150_delete_max_min,Program Execution,"In this task, you are given a list of numbers. The list of numbers is separated with comma and inside brackets. You need to remove the maximum(the number with the largest value) and minimum(the number with the smallest value) element from the list and return the list in the same order as input. Your answer should be a list of numbers separated by comma, inside brackets.","[165, 98, 83, 105, 414, 186, 452, 258, 64, 256, 47, 142, 100, 26, 305, 351, 455, 224, 481, 321]","[165, 98, 83, 105, 414, 186, 452, 258, 64, 256, 47, 142, 100, 305, 351, 455, 224, 321]","[165, 98, 83, 105, 414, 186, 452, 258, 256, 47, 142, 100, 305, 351, 455, 224, 321]",0.3265830874443054
task1150-16e6aa72cb684527bffb595accdb4621,task1150_delete_max_min,Program Execution,"In this task, you are given a list of numbers. The list of numbers is separated with comma and inside brackets. You need to remove the maximum(the number with the largest value) and minimum(the number with the smallest value) element from the list and return the list in the same order as input. Your answer should be a list of numbers separated by comma, inside brackets.","[348, 331, 85, 114, 388, 240, 368, 60, 452, 27, 189, 219, 236, 175, 478, 89, 442, 410, 281, 171]","[348, 331, 85, 114, 388, 240, 368, 60, 452, 189, 219, 236, 175, 89, 442, 410, 281, 171]","[348, 331, 85, 114, 388, 240, 368, 60, 452, 189, 219, 236, 175, 478, 89, 442, 410, 281, 171]",0.34876179695129395
task1150-0b128098ea584215aab77089c245e3d5,task1150_delete_max_min,Program Execution,"In this task, you are given a list of numbers. The list of numbers is separated with comma and inside brackets. You need to remove the maximum(the number with the largest value) and minimum(the number with the smallest value) element from the list and return the list in the same order as input. Your answer should be a list of numbers separated by comma, inside brackets.","[457, 262, 376, 334, 154, 93, 187, 296, 383, 136, 454, 98, 72, 13, 314, 496, 364, 11, 181, 287]","[457, 262, 376, 334, 154, 93, 187, 296, 383, 136, 454, 98, 72, 13, 314, 364, 181, 287]","[457, 262, 376, 334, 154, 93, 187, 296, 383, 136, 454, 98, 72, 31, 496, 364, 181, 287]",0.3313896656036377
task1150-80be4682bccb41498a37a25b6e150f51,task1150_delete_max_min,Program Execution,"In this task, you are given a list of numbers. The list of numbers is separated with comma and inside brackets. You need to remove the maximum(the number with the largest value) and minimum(the number with the smallest value) element from the list and return the list in the same order as input. Your answer should be a list of numbers separated by comma, inside brackets.","[284, 192, 241, 120, 272, 56, 301, 437, 201, 125, 65, 433, 424, 259, 174, 269, 52, 44, 418, 97]","[284, 192, 241, 120, 272, 56, 301, 201, 125, 65, 433, 424, 259, 174, 269, 52, 418, 97]","[284, 192, 241, 120, 272, 56, 301, 437, 201, 125, 65, 433, 424, 259, 174, 269, 52, 44, 418, 97]",0.9217402935028076
