id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task074-0292e75f28fe419b8950585b9173c8d7,task074_squad1.1_question_generation,Question Generation,"This task is about reading the given passage and construct a question about the information present in the passage. Construct a question in such a way that (i) it is unambiguous, (ii) it is answerable from the passage, (iii) its answer is unique (iv) its answer is a continuous text span from the paragraph. Avoid creating questions that (i) can be answered correctly without actually understanding the paragraph and (ii) uses same words or phrases given in the passage.","Verdigris is made by placing a plate or blade of copper, brass or bronze, slightly warmed, into a vat of fermenting wine, leaving it there for several weeks, and then scraping off and drying the green powder that forms on the metal. The process of making verdigris was described in ancient times by Pliny. It was used by the Romans in the murals of Pompeii, and in Celtic medieval manuscripts as early as the 5th century AD. It produced a blue-green which no other pigment could imitate, but it had drawbacks; it was unstable, it could not resist dampness, it did not mix well with other colors, it could ruin other colors with which it came into contact., and it was toxic. Leonardo da Vinci, in his treatise on painting, warned artists not to use it. It was widely used in miniature paintings in Europe and Persia in the 16th and 17th centuries. Its use largely ended in the late 19th century, when it was replaced by the safer and more stable chrome green. Viridian, also called chrome green, is a pigment made with chromium oxide dihydrate, was patented in 1859. It became popular with painters, since, unlike other synthetic greens, it was stable and not toxic. Vincent van Gogh used it, along with Prussian blue, to create a dark blue sky with a greenish tint in his painting Cafe terrace at night.","What is made by placing a plate of blade of copper, brass, or bronze into vat of fermenting wine for several weeks, then scraping off and drying the green powder?",What is the process of making verdigris made of?,0.12593257427215576
task074-2eaff52b2ce845c9aa7d9dfedd83898c,task074_squad1.1_question_generation,Question Generation,"This task is about reading the given passage and construct a question about the information present in the passage. Construct a question in such a way that (i) it is unambiguous, (ii) it is answerable from the passage, (iii) its answer is unique (iv) its answer is a continuous text span from the paragraph. Avoid creating questions that (i) can be answered correctly without actually understanding the paragraph and (ii) uses same words or phrases given in the passage.","More than half of habitat for listed species is on non-federal property, owned by citizens, states, local governments, tribal governments and private organizations. Before the law was amended in 1982, a listed species could be taken only for scientific or research purposes. The amendment created a permit process to circumvent the take prohibition called a Habitat Conservation Plan or HCP to give incentives to non-federal land managers and private landowners to help protect listed and unlisted species, while allowing economic development that may harm (""take"") the species.","Before the amendment in 1982, under what situations could a listed species be displaced?",What is the percentage of habitat for listed species on non-federal property?,0.20013409852981567
task074-f40dba3394584a16af3033efc97b424a,task074_squad1.1_question_generation,Question Generation,"This task is about reading the given passage and construct a question about the information present in the passage. Construct a question in such a way that (i) it is unambiguous, (ii) it is answerable from the passage, (iii) its answer is unique (iv) its answer is a continuous text span from the paragraph. Avoid creating questions that (i) can be answered correctly without actually understanding the paragraph and (ii) uses same words or phrases given in the passage.","Gaddafi was later infuriated when Egypt and Syria planned the Yom Kippur War against Israel without consulting him, and was angered when Egypt conceded to peace talks rather than continuing the war. Gaddafi become openly hostile to Egypt's leader, calling for Sadat's overthrow, and when Sudanese President Gaafar Nimeiry took Sadat's side, Gaddafi by 1975 sponsored the Sudan People's Liberation Army to overthrow Nimeiry. Focusing his attention elsewhere in Africa, in late 1972 and early 1973, Libya invaded Chad to annex the uranium-rich Aouzou Strip. Offering financial incentives, he successfully convinced 8 African states to break off diplomatic relations with Israel in 1973. Intent on propagating Islam, in 1973 Gaddafi founded the Islamic Call Society, which had opened 132 centres across Africa within a decade. In 1973 he converted Gabonese President Omar Bongo, an action which he repeated three years later with Jean-Bédel Bokassa, president of the Central African Republic.",What element did the Aouzou Strip possess a great deal of?,What was the name of the war Egypt and Syria planned against Israel without consulting Gaddafi?,0.1819605827331543
task074-5ea2cbdce0404396a707237effb40edc,task074_squad1.1_question_generation,Question Generation,"This task is about reading the given passage and construct a question about the information present in the passage. Construct a question in such a way that (i) it is unambiguous, (ii) it is answerable from the passage, (iii) its answer is unique (iv) its answer is a continuous text span from the paragraph. Avoid creating questions that (i) can be answered correctly without actually understanding the paragraph and (ii) uses same words or phrases given in the passage.","Iranian scientists outside Iran have also made some major contributions to science. In 1960, Ali Javan co-invented the first gas laser, and fuzzy set theory was introduced by Lotfi Zadeh. Iranian cardiologist, Tofy Mussivand invented and developed the first artificial cardiac pump, the precursor of the artificial heart. Furthering research and treatment of diabetes, HbA1c was discovered by Samuel Rahbar. Iranian physics is especially strong in string theory, with many papers being published in Iran. Iranian-American string theorist Kamran Vafa proposed the Vafa-Witten theorem together with Edward Witten. In August 2014, Maryam Mirzakhani became the first-ever woman, as well as the first-ever Iranian, to receive the Fields Medal, the highest prize in mathematics.",Which Iranian scientist discovered HbA1c to further treatment and research of diabetes?,What was the first invention of the artificial heart?,0.11408662796020508
task074-be14bb01aba143e7a45a4a44a467f79d,task074_squad1.1_question_generation,Question Generation,"This task is about reading the given passage and construct a question about the information present in the passage. Construct a question in such a way that (i) it is unambiguous, (ii) it is answerable from the passage, (iii) its answer is unique (iv) its answer is a continuous text span from the paragraph. Avoid creating questions that (i) can be answered correctly without actually understanding the paragraph and (ii) uses same words or phrases given in the passage.","The term high definition once described a series of television systems originating from August 1936; however, these systems were only high definition when compared to earlier systems that were based on mechanical systems with as few as 30 lines of resolution. The ongoing competition between companies and nations to create true ""HDTV"" spanned the entire 20th century, as each new system became more HD than the last.In the beginning of the 21st century, this race has continued with 4k, 5k and current 8K systems.","The term ""high definition"" originally described televisions systems from what year?",What was the term for television systems that were based on mechanical systems with as few as 30 lines of resolution?,0.17939096689224243
task074-aa244600af78444dbe5fde87987ff89b,task074_squad1.1_question_generation,Question Generation,"This task is about reading the given passage and construct a question about the information present in the passage. Construct a question in such a way that (i) it is unambiguous, (ii) it is answerable from the passage, (iii) its answer is unique (iv) its answer is a continuous text span from the paragraph. Avoid creating questions that (i) can be answered correctly without actually understanding the paragraph and (ii) uses same words or phrases given in the passage.","Crossing the Italian-Austrian border, the Brenner Pass separates the Ötztal Alps and Zillertal Alps and has been in use as a trading route since the 14th century. The lowest of the Alpine passes at 985 m (3,232 ft), the Semmering crosses from Lower Austria to Styria; since the 12th century when a hospice was built there it has seen continuous use. A railroad with a tunnel 1 mile (1.6 km) long was built along the route of the pass in the mid-19th century. With a summit of 2,469 m (8,100 ft), the Great St. Bernard Pass is one of the highest in the Alps, crossing the Italian-Swiss border east of the Pennine Alps along the flanks of Mont Blanc. The pass was used by Napoleon Bonaparte to cross 40,000 troops in 1800. The Saint Gotthard Pass crosses from Central Switzerland to Ticino; in the late 19th century the 14 km (9 mi) long Saint Gotthard Tunnel was built connecting Lucerne in Switzerland, with Milan in Italy. The Mont Cenis pass has been a major commercial road between Western Europe and Italy. Now the pass has been supplanted by the Fréjus Road and Rail tunnel. At 2,756 m (9,042 ft), the Stelvio Pass in northern Italy is one of the highest of the Alpine passes; the road was built in the 1820s. The highest pass in the alps is the col de l'Iseran in Savoy (France) at 2,770 m (9,088 ft).",What seperates the Otztal Alps and Zillertal Alps?,What passes separate the tztal Alps and Zillertal Alps?,0.18203872442245483
task074-4589c7864e6e4e569e8191f30cabb875,task074_squad1.1_question_generation,Question Generation,"This task is about reading the given passage and construct a question about the information present in the passage. Construct a question in such a way that (i) it is unambiguous, (ii) it is answerable from the passage, (iii) its answer is unique (iv) its answer is a continuous text span from the paragraph. Avoid creating questions that (i) can be answered correctly without actually understanding the paragraph and (ii) uses same words or phrases given in the passage."," The exta were the entrails of a sacrificed animal, comprising in Cicero's enumeration the gall bladder (fel), liver (iecur), heart (cor), and lungs (pulmones). The exta were exposed for litatio (divine approval) as part of Roman liturgy, but were ""read"" in the context of the disciplina Etrusca. As a product of Roman sacrifice, the exta and blood are reserved for the gods, while the meat (viscera) is shared among human beings in a communal meal. The exta of bovine victims were usually stewed in a pot (olla or aula), while those of sheep or pigs were grilled on skewers. When the deity's portion was cooked, it was sprinkled with mola salsa (ritually prepared salted flour) and wine, then placed in the fire on the altar for the offering; the technical verb for this action was porricere.",What part of the sacrifice was shared among humans?,What were the entrails of a sacrificed animal?,0.21849185228347778
task074-8c1c396ea07b4192b5017465bdcbd450,task074_squad1.1_question_generation,Question Generation,"This task is about reading the given passage and construct a question about the information present in the passage. Construct a question in such a way that (i) it is unambiguous, (ii) it is answerable from the passage, (iii) its answer is unique (iv) its answer is a continuous text span from the paragraph. Avoid creating questions that (i) can be answered correctly without actually understanding the paragraph and (ii) uses same words or phrases given in the passage.","About five percent of the population are of full-blooded indigenous descent, but upwards to eighty percent more or the majority of Hondurans are mestizo or part-indigenous with European admixture, and about ten percent are of indigenous or African descent. The main concentration of indigenous in Honduras are in the rural westernmost areas facing Guatemala and to the Caribbean Sea coastline, as well on the Nicaraguan border. The majority of indigenous people are Lencas, Miskitos to the east, Mayans, Pech, Sumos, and Tolupan.",Where are the main concentrations of indigenous people in Honduras? ,How many percent of the population are of full-blooded indigenous descent?,0.1294143795967102
task074-6e294fe0d3094207b05cdbd53845d432,task074_squad1.1_question_generation,Question Generation,"This task is about reading the given passage and construct a question about the information present in the passage. Construct a question in such a way that (i) it is unambiguous, (ii) it is answerable from the passage, (iii) its answer is unique (iv) its answer is a continuous text span from the paragraph. Avoid creating questions that (i) can be answered correctly without actually understanding the paragraph and (ii) uses same words or phrases given in the passage.","When the GHMC was created in 2007, the area occupied by the municipality increased from 175 km2 (68 sq mi) to 650 km2 (250 sq mi). Consequently, the population increased by 87%, from 3,637,483 in the 2001 census to 6,809,970 in the 2011 census, 24% of which are migrants from elsewhere in India,:2 making Hyderabad the nation's fourth most populous city. As of 2011[update], the population density is 18,480/km2 (47,900/sq mi). At the same 2011 census, the Hyderabad Urban Agglomeration had a population of 7,749,334, making it the sixth most populous urban agglomeration in the country. The population of the Hyderabad urban agglomeration has since been estimated by electoral officials to be 9.1 million as of early 2013 but is expected to exceed 10 million by the end of the year. There are 3,500,802 male and 3,309,168 female citizens—a sex ratio of 945 females per 1000 males, higher than the national average of 926 per 1000. Among children aged 0–6 years, 373,794 are boys and 352,022 are girls—a ratio of 942 per 1000. Literacy stands at 82.96% (male 85.96%; female 79.79%), higher than the national average of 74.04%. The socio-economic strata consist of 20% upper class, 50% middle class and 30% working class.",What was the area of Hyderabad before the GHMC?,When was the Hyderabad Urban Agglomeration created?,0.10647153854370117
task074-b57591bb3cc04a05b0b04b81865ac602,task074_squad1.1_question_generation,Question Generation,"This task is about reading the given passage and construct a question about the information present in the passage. Construct a question in such a way that (i) it is unambiguous, (ii) it is answerable from the passage, (iii) its answer is unique (iv) its answer is a continuous text span from the paragraph. Avoid creating questions that (i) can be answered correctly without actually understanding the paragraph and (ii) uses same words or phrases given in the passage.","Despite the initial negative press, several websites have given the system very good reviews mostly regarding its hardware. CNET United Kingdom praised the system saying, ""the PS3 is a versatile and impressive piece of home-entertainment equipment that lives up to the hype [...] the PS3 is well worth its hefty price tag."" CNET awarded it a score of 8.8 out of 10 and voted it as its number one ""must-have"" gadget, praising its robust graphical capabilities and stylish exterior design while criticizing its limited selection of available games. In addition, both Home Theater Magazine and Ultimate AV have given the system's Blu-ray playback very favorable reviews, stating that the quality of playback exceeds that of many current standalone Blu-ray Disc players.",What score did CNET give the PS3 out of ten?,What website praised the PS3?,0.07773345708847046
