id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task371-2379f887bd2e4245b0e13f70c9b7cf47,task371_synthetic_product_of_list,Program Execution,"In this task you will be given a list of lists, of numbers. For every inner list, you should multiply every number in that list and put the results in your answer. The output should be a list of numbers with the same length as the number of the lists in the input list.","[[48, -49, -31, 32], [29, 21, -43, 18, 36]]","[2333184, -16969176]","[-287616, -283836]",0.10672110319137573
task371-5c70d944aef749479c1a443f2c29b233,task371_synthetic_product_of_list,Program Execution,"In this task you will be given a list of lists, of numbers. For every inner list, you should multiply every number in that list and put the results in your answer. The output should be a list of numbers with the same length as the number of the lists in the input list.","[[-42, 48, 14, -17, 35], [-11, 21]]","[16793280, -231]","[-3876400, -211]",0.13358867168426514
task371-ae22c14b67a34f64a0193087185bebb7,task371_synthetic_product_of_list,Program Execution,"In this task you will be given a list of lists, of numbers. For every inner list, you should multiply every number in that list and put the results in your answer. The output should be a list of numbers with the same length as the number of the lists in the input list.","[[21, 24, 49], [17, -48, -13, -49, 9], [-49, -48, -26, 20, 6], [-40, -15, 20, 50, 24]]","[24696, -4678128, -7338240, 14400000]","[27288, -2376176, -2876640, -288000]",0.16172754764556885
task371-4ee13eb74afe4e188d79436344c976cd,task371_synthetic_product_of_list,Program Execution,"In this task you will be given a list of lists, of numbers. For every inner list, you should multiply every number in that list and put the results in your answer. The output should be a list of numbers with the same length as the number of the lists in the input list.","[[-43, -37], [-39, -19, 19], [-40, -21, 24, -48], [7, 31, 13], [-42, 22], [-36, -48]]","[1591, 14079, -967680, 2821, -924, 1728]","[1227, -23117, -382880, 6931, -912, 1848]",0.20149916410446167
task371-b05ed29daafc4de9ba3e264e02ff1260,task371_synthetic_product_of_list,Program Execution,"In this task you will be given a list of lists, of numbers. For every inner list, you should multiply every number in that list and put the results in your answer. The output should be a list of numbers with the same length as the number of the lists in the input list.","[[32, -33, 37, 28, -30], [41, -21, 22], [-3, 25], [-4, 31, -24, 2], [-39, -3, -49, 24], [-49, 15], [-30, -49, 16, -40, 12], [-23, -9, -11], [-44, -4, -41, -22], [-5, -11, -44, 48, -19]]","[32820480, -18942, -75, 5952, -137592, -735, -11289600, -2277, 158752, 2207040]","[-38868080, -3882, -75, -3648, -382736, -705, -3828800, -3419, -382816, -282880]",0.39240550994873047
task371-1e0384ec071246ddaa8197904c4d25a2,task371_synthetic_product_of_list,Program Execution,"In this task you will be given a list of lists, of numbers. For every inner list, you should multiply every number in that list and put the results in your answer. The output should be a list of numbers with the same length as the number of the lists in the input list.","[[50, 1, 31, -35, -25], [-13, 41, 22, 4, -46], [21, -15], [-6, 12], [-20, 41, 49, -19, -30], [-25, 11, 46, -18], [39, -4], [50, 33]]","[1356250, 2157584, -315, -72, -22902600, 227700, -156, 1650]","[-2327500, -388616, -420, -72, -38272000, -38500, -136, 1300]",0.6675667762756348
task371-1c77c8bbdce74342afff311091fb5440,task371_synthetic_product_of_list,Program Execution,"In this task you will be given a list of lists, of numbers. For every inner list, you should multiply every number in that list and put the results in your answer. The output should be a list of numbers with the same length as the number of the lists in the input list.","[[33, 35, 44, 19], [34, -36, -10, 6]]","[965580, 73440]","[-287680, -28640]",0.09662145376205444
task371-0c1f320e7b614c10922e1978a1a142cf,task371_synthetic_product_of_list,Program Execution,"In this task you will be given a list of lists, of numbers. For every inner list, you should multiply every number in that list and put the results in your answer. The output should be a list of numbers with the same length as the number of the lists in the input list.","[[-18, 10, 8], [4, -28, 50, 19], [-27, 3], [38, 11, 18, 44], [-15, -38, 49], [11, 44, 15, -1, -11], [44, 25, -3, 39], [-44, -21, 27, -48, -33], [1, -13, 19, -28]]","[-1440, -106400, -81, 331056, 27930, 79860, -128700, 39517632, 6916]","[-840, -272000, -81, -388616, -23440, -388080, -287025, -38277664, -23216]",0.3517202138900757
task371-0065408317a54365bacc89441fb31b35,task371_synthetic_product_of_list,Program Execution,"In this task you will be given a list of lists, of numbers. For every inner list, you should multiply every number in that list and put the results in your answer. The output should be a list of numbers with the same length as the number of the lists in the input list.","[[45, -24, -20], [-13, 10, -40], [35, 0], [27, -30], [14, -5, -38, 13], [-27, 24, 18, -46], [-38, 38, 36], [41, 45, 11]]","[21600, 5200, 0, -810, 34580, 536544, -51984, 20295]","[-27600, -380, 0, -660, -38440, -388664, -23264, 5775]",0.25058233737945557
task371-44a04a5d78de4a69ac255549cb3967f4,task371_synthetic_product_of_list,Program Execution,"In this task you will be given a list of lists, of numbers. For every inner list, you should multiply every number in that list and put the results in your answer. The output should be a list of numbers with the same length as the number of the lists in the input list.","[[13, -7, 20], [-34, -25]]","[-1820, 850]","[-340, 900]",0.07119625806808472
task371-6f0c10d1a0f74109a0d690710d6c2106,task371_synthetic_product_of_list,Program Execution,"In this task you will be given a list of lists, of numbers. For every inner list, you should multiply every number in that list and put the results in your answer. The output should be a list of numbers with the same length as the number of the lists in the input list.","[[-28, -20, -48, 0], [43, -16, -9, -36], [10, 36], [35, 39, -44, -37], [-8, -22, 34], [3, -6, 32, -32, -9], [-7, -48, -28]]","[0, -222912, 360, 2222220, 5984, -165888, -9408]","[0, -237616, 360, -3827440, -2816, -237616, -23216]",0.26864302158355713
task371-52c22a39eb6a4b4d99df767b5355dd90,task371_synthetic_product_of_list,Program Execution,"In this task you will be given a list of lists, of numbers. For every inner list, you should multiply every number in that list and put the results in your answer. The output should be a list of numbers with the same length as the number of the lists in the input list.","[[-40, 43], [34, -48, -13, -2], [4, -2, -18, 26, -11], [18, 43, 16], [40, -27], [-43, 29, 12, -34], [18, 5, 8], [24, -22, -24, -47], [45, -5, -29, 1], [48, 40]]","[-1720, -42432, -41184, 12384, -1080, 508776, 720, -595584, 6525, 1920]","[-1720, -38176, -38288, 6648, -1280, -388616, 280, -382864, -2315, 1920]",0.322803795337677
task371-1355d064675c4bf39f4c122898c4d2e8,task371_synthetic_product_of_list,Program Execution,"In this task you will be given a list of lists, of numbers. For every inner list, you should multiply every number in that list and put the results in your answer. The output should be a list of numbers with the same length as the number of the lists in the input list.","[[47, -28], [33, 50, -22, -19], [-35, -26, 40, 14, 3], [-46, -18], [3, -6, -15, 50, 36], [-7, -8, -40, 47]]","[-1316, 689700, 1528800, 828, 486000, -105280]","[-1248, -3827500, -3876400, 768, -288000, -23600]",0.2166011929512024
task371-37a1341c91c444a7863e92734b70e035,task371_synthetic_product_of_list,Program Execution,"In this task you will be given a list of lists, of numbers. For every inner list, you should multiply every number in that list and put the results in your answer. The output should be a list of numbers with the same length as the number of the lists in the input list.","[[-15, -7], [30, -21], [46, 9]]","[105, -630, 414]","[105, -630, 346]",0.11345034837722778
task371-9d6b751afa924460af4c8323353ec5e4,task371_synthetic_product_of_list,Program Execution,"In this task you will be given a list of lists, of numbers. For every inner list, you should multiply every number in that list and put the results in your answer. The output should be a list of numbers with the same length as the number of the lists in the input list.","[[-23, 40, -33], [-38, 35, -32], [-42, -24, -32, 5], [11, -48], [16, -2, 47, -19, 27], [-7, -3, -42], [34, -22, -42, -41, -31], [8, 9], [-44, 35, -31], [30, 47, -26]]","[30360, 42560, -161280, -528, 771552, -882, 39929736, 72, 47740, -36660]","[-23440, -23840, -388080, -528, -388616, -264, -38862864, 168, -28640, -27440]",0.38245272636413574
task371-b634f9af7ce340718e2599a3485e7b5e,task371_synthetic_product_of_list,Program Execution,"In this task you will be given a list of lists, of numbers. For every inner list, you should multiply every number in that list and put the results in your answer. The output should be a list of numbers with the same length as the number of the lists in the input list.","[[31, 4], [-12, -20, 49, 48], [49, 20, 50], [28, -48, 33, -3]]","[124, 564480, 49000, 133056]","[136, -388080, 66000, -237616]",0.15124869346618652
