id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task592-dd725d9e80744ee69cb479c64fb9cdb4,task592_sciq_incorrect_answer_generation,Wrong Candidate Generation,"Given a scientific question, generate an incorrect answer to the given question. The incorrect answer should be a plausible alternative to the correct answer. The answer should be some other item belonging to the same category as the correct answer but should be incorrect.",Deceleration is the opposite of what?,stimulation,acceleration,0.23535847663879395
task592-641922b407ce4c9a984e1d79769d2d5a,task592_sciq_incorrect_answer_generation,Wrong Candidate Generation,"Given a scientific question, generate an incorrect answer to the given question. The incorrect answer should be a plausible alternative to the correct answer. The answer should be some other item belonging to the same category as the correct answer but should be incorrect.",Refraction happens when light bends from doing what in a new medium?,changing brightness,refraction,0.05374652147293091
task592-f65f9b1b840f4f6fa4fbb910ecdd5633,task592_sciq_incorrect_answer_generation,Wrong Candidate Generation,"Given a scientific question, generate an incorrect answer to the given question. The incorrect answer should be a plausible alternative to the correct answer. The answer should be some other item belonging to the same category as the correct answer but should be incorrect.","A venule is an extremely small vein, generally 8–100 micrometers in diameter. postcapillary venules join multiple capillaries exiting from a capillary bed. multiple venules join to form what?",clots,a venous bed,0.08738088607788086
task592-354f7df94f1149bda00888fe11ea2c8c,task592_sciq_incorrect_answer_generation,Wrong Candidate Generation,"Given a scientific question, generate an incorrect answer to the given question. The incorrect answer should be a plausible alternative to the correct answer. The answer should be some other item belonging to the same category as the correct answer but should be incorrect.","In a smoke detector, a battery in the electric circuit creates what between the metal plates?",magnetism,a magnetic field,0.341297447681427
task592-a537104b192044a4a9e9c72e62615e87,task592_sciq_incorrect_answer_generation,Wrong Candidate Generation,"Given a scientific question, generate an incorrect answer to the given question. The incorrect answer should be a plausible alternative to the correct answer. The answer should be some other item belonging to the same category as the correct answer but should be incorrect.",Which two gases make up the bulk of earth's atmosphere?,nitrogen and argon,nitrogen and carbon dioxide,0.33289259672164917
task592-5ef8b3b793ef4f9699cf6423187e4576,task592_sciq_incorrect_answer_generation,Wrong Candidate Generation,"Given a scientific question, generate an incorrect answer to the given question. The incorrect answer should be a plausible alternative to the correct answer. The answer should be some other item belonging to the same category as the correct answer but should be incorrect.",What type of solid has atoms arranged in a repeating pattern?,hydrocarbons,amorphous,0.06557613611221313
task592-56581f1c9ff74322b59ec9ff344323b0,task592_sciq_incorrect_answer_generation,Wrong Candidate Generation,"Given a scientific question, generate an incorrect answer to the given question. The incorrect answer should be a plausible alternative to the correct answer. The answer should be some other item belonging to the same category as the correct answer but should be incorrect.",Type 1 diabetes results in the  pancreas not being able to make what ?,glucose,insulin,0.031313300132751465
task592-dd6ed63d0f60467b8c05817612405e07,task592_sciq_incorrect_answer_generation,Wrong Candidate Generation,"Given a scientific question, generate an incorrect answer to the given question. The incorrect answer should be a plausible alternative to the correct answer. The answer should be some other item belonging to the same category as the correct answer but should be incorrect.",What type of numbers specify the arrangement of electrons in orbitals?,stream numbers,atomic numbers,0.12329220771789551
task592-06a8bd05788e405f823e7eba4d8af1d7,task592_sciq_incorrect_answer_generation,Wrong Candidate Generation,"Given a scientific question, generate an incorrect answer to the given question. The incorrect answer should be a plausible alternative to the correct answer. The answer should be some other item belonging to the same category as the correct answer but should be incorrect.",What is the oxygen-storing protein found in diving mammals' muscles called?,pheromone,adenosine triphosphate,0.16626566648483276
task592-42f86090ab4845499a1713f2ed12177e,task592_sciq_incorrect_answer_generation,Wrong Candidate Generation,"Given a scientific question, generate an incorrect answer to the given question. The incorrect answer should be a plausible alternative to the correct answer. The answer should be some other item belonging to the same category as the correct answer but should be incorrect.",Aids is an infectious disease of which system?,digestion,immune,0.07308351993560791
task592-ac76268e13144dda9d932eae74235ef4,task592_sciq_incorrect_answer_generation,Wrong Candidate Generation,"Given a scientific question, generate an incorrect answer to the given question. The incorrect answer should be a plausible alternative to the correct answer. The answer should be some other item belonging to the same category as the correct answer but should be incorrect.",What are unique about prokaryotic cells' organelles?,no cell walls,cytoplasmic,0.19288265705108643
task592-25ce3f29ef5d45d6901886a56cd764b5,task592_sciq_incorrect_answer_generation,Wrong Candidate Generation,"Given a scientific question, generate an incorrect answer to the given question. The incorrect answer should be a plausible alternative to the correct answer. The answer should be some other item belonging to the same category as the correct answer but should be incorrect.",Centrifuges use what to perform their task?,absorption,a vacuum,0.05591851472854614
task592-c41e60f7765d489fb728990ac85a40c9,task592_sciq_incorrect_answer_generation,Wrong Candidate Generation,"Given a scientific question, generate an incorrect answer to the given question. The incorrect answer should be a plausible alternative to the correct answer. The answer should be some other item belonging to the same category as the correct answer but should be incorrect.",What is one of the most common biochemical compounds on earth and is found in all plants?,sulfur,carbon dioxide,0.05824512243270874
task592-e363f92c952147db8d9ea6e98ba81923,task592_sciq_incorrect_answer_generation,Wrong Candidate Generation,"Given a scientific question, generate an incorrect answer to the given question. The incorrect answer should be a plausible alternative to the correct answer. The answer should be some other item belonging to the same category as the correct answer but should be incorrect.",What are the rolling motions during an earthquake called?,velocity waves,sonic waves,0.21897876262664795
task592-68fd3e1ace71481e813ec536afaf1cc9,task592_sciq_incorrect_answer_generation,Wrong Candidate Generation,"Given a scientific question, generate an incorrect answer to the given question. The incorrect answer should be a plausible alternative to the correct answer. The answer should be some other item belonging to the same category as the correct answer but should be incorrect.",Which layer is found below the lithosphere?,stratosphere,lithosphere,0.04952847957611084
