id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task1726-7523f458fd9448afa30fa58cb48bb357,task1726_mathqa_correct_answer_generation,Question Answering,The task is to generate the correct answer for a given math problem.,Problem: in simple interest what sum amounts of rs . 1120 / - in 4 years and rs . 1200 / - in 5 years ?,rs . 800,rs . 62,0.28342723846435547
task1726-3b369cdc667d4424974e49a0326e7dce,task1726_mathqa_correct_answer_generation,Question Answering,The task is to generate the correct answer for a given math problem.,Problem: a car runs 375 km in 3 hours . what ' s the car ' s speed ?,125,125 km/h,0.053988635540008545
task1726-358b4361971b414bb91d96e15a5f5ea8,task1726_mathqa_correct_answer_generation,Question Answering,The task is to generate the correct answer for a given math problem.,Problem: the average marks of a class of 12 students is 40 and that of another class of 28 students is 60 . find the average marks of all the students ?,54.,58,0.035593628883361816
task1726-c352326a5f004f7cb8f3a90511484c47,task1726_mathqa_correct_answer_generation,Question Answering,The task is to generate the correct answer for a given math problem.,"Problem: roses can be purchased individually for $ 6.30 , one dozen for $ 36 , or two dozen for $ 50 . what is the greatest number of roses that can be purchased for $ 680 ?",316,108,0.19655102491378784
task1726-13a5f4b53767459381755a6f027c9d2c,task1726_mathqa_correct_answer_generation,Question Answering,The task is to generate the correct answer for a given math problem.,"Problem: if abc = ab ^ 3 = 180 where a , b and c are positive integers , what is the value of ` c ’ ?",1,0,0.03888142108917236
task1726-0f87fdfcbcfd43ca8d4e68d378ce6258,task1726_mathqa_correct_answer_generation,Question Answering,The task is to generate the correct answer for a given math problem.,"Problem: a shipment of 230 smartphones contains 84 that are defective . if a customer buys two smartphones at random from the shipment , what is the approximate probability that both phones are defective ?",9 / 68,1 / 66,0.21411186456680298
task1726-79dec58d36d143f9944599061fcb49b9,task1726_mathqa_correct_answer_generation,Question Answering,The task is to generate the correct answer for a given math problem.,Problem: what is the remainder when you divide 2 ^ 200 - 1 by 7 ?,3,0,0.05825090408325195
task1726-71a1eff2f2c04f12868d15767eed1906,task1726_mathqa_correct_answer_generation,Question Answering,The task is to generate the correct answer for a given math problem.,"Problem: what is the smallest integer that is multiple of 5 , 711",c ) 385,66,0.059579312801361084
task1726-7279a942d83145aa8da4d0f942a5238f,task1726_mathqa_correct_answer_generation,Question Answering,The task is to generate the correct answer for a given math problem.,Problem: 864.942 - ? + 45.76 = 547.905,d ) 362.797,-?,0.12394559383392334
task1726-7d90d145c9a34f59a41b35da38639cfa,task1726_mathqa_correct_answer_generation,Question Answering,The task is to generate the correct answer for a given math problem.,"Problem: a father said to his son , ` ` i was as old as you are at the present at the time of your birth ' ' . if the father ' s age is 52 years now , the son ' s age 5 years back was :",d ) 21,35,0.24641728401184082
task1726-83603d13f8094670bebb09700539a19f,task1726_mathqa_correct_answer_generation,Question Answering,The task is to generate the correct answer for a given math problem.,"Problem: if the simple interest on a sum of money for 2 years at 5 % per annum is rs . 50 , what is the compound interest on the same sum at the rate and for the same time ?",rs . 51.25,rs . 125,0.3111409544944763
task1726-3a690e75442646ca929a917a11c6dbd9,task1726_mathqa_correct_answer_generation,Question Answering,The task is to generate the correct answer for a given math problem.,Problem: the diameter of the driving wheel of a bus in 140 cm . how many revolutions per minute must the wheel make in order to keep a speed of 33 kmph ?,125,.25,0.057840943336486816
task1726-8f50f1e885de43fabdfb19030d8764d1,task1726_mathqa_correct_answer_generation,Question Answering,The task is to generate the correct answer for a given math problem.,"Problem: when positive integer x is divided by positive integer y , the remainder is 3 . if x / y = 96.12 , what is the value of y ?",25,-23.12,0.27718645334243774
