id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task301-4c3bcf99bc8d43d984d5219b7b222cae,task301_record_question_generation,Question Generation,"In this task, you will be shown a passage. You need to write a fill-in-the-gap question based on your understanding of the events that might be inferred from the passage. Your question should be answerable based on the passage and only have one correct answer. Show the gap in your question with a _ .","The line-up for the men's final was decided on Friday as world No 1 Novak Djokovic swept aside Richard Gaquet to set up a repeat of last year's final against seven-time Wimbledon champion Roger Federer - after he beat home home favourite Andy Murray. But, there was more happening elsewhere at the All England Club - Sportsmail's tennis correspondent Stuart Fraser brings the latest from behind the scenes at SW19... The days of lifting the title at 17 here are long gone for Boris Becker as he limps around, plagued by a similar ankle problem to that which ended Marco van Basten's career.Martina Hingis will play in the Wimbledon ladies' and mixed doubles finalsAndy Murray's wristband caught, by HRH The Duchess of Cornwall, has been signed by the world No 3 with proceeds to go to Animal Care TrustSergiy Stakhovsky has caused controversy for 'lesbian' WTA comments","_ had not reached a Wimbledon final since winning the ladies' doubles with Jana Novotna in 1998, but this weekend she will contest two.","_ has been a major disappointment this year, but he has been a great player and has been a great ambassador for the sport.",0.2341618537902832
task301-d234e4c487be49b68dd21f025ff99c13,task301_record_question_generation,Question Generation,"In this task, you will be shown a passage. You need to write a fill-in-the-gap question based on your understanding of the events that might be inferred from the passage. Your question should be answerable based on the passage and only have one correct answer. Show the gap in your question with a _ .","An outraged mother-of-three claims a chattering Happy Meal toy from the popular children's film 'Minions' taught her children to swear after they heard it saying 'what the f**k?' Vicky Brennan, 34, was horrified when she heard the toy her children had been given in their McDonald's meals uttering profanities. Stay at home mum Vicky, from Glossop, Derbyshire, immediately confiscated the toys from her children Jack, 11, Aydan, 7, and Tia, 4, but says the children had already picked up on the obscene language and were repeating the phrase. Vicky complained to McDonald's, who, after a full investigation, wrote the furious mum a letter saying the toys speak 'Minionese' - a combination of Japanese, French, Indian, English, Spanish and Italian.Vicky Brennan claims talking Minion toy swears when struck off a surfaceShe interprets so-called 'Minionese' as saying 'What the f***?' in EnglishWrote to McDonald's demanding the yellow toy be pulled from kid's mealsSays her three children have started using the phrase, and has banned toyMcDonald’s say the plastic minion is laughing and does not use bad langauge",Vicky said: 'I took my three children to _ for dinner as a treat after our car had just broken down.,_ said: 'We are aware of the concerns raised by Vicky Brennan and we are working with _ to ensure that the Minion is removed from the menu.,0.29021143913269043
task301-e55a9d6e79ad430490d29c09b6a32092,task301_record_question_generation,Question Generation,"In this task, you will be shown a passage. You need to write a fill-in-the-gap question based on your understanding of the events that might be inferred from the passage. Your question should be answerable based on the passage and only have one correct answer. Show the gap in your question with a _ .","(CNN) The Syrian civil war is by no means over, but this year will bring a decisive turn in the conflict that may reduce the overall level of violence and fundamentally -- and perhaps for some time to come -- change the balance of power on the ground. Indeed, the Assad regime may not be able to reunite the country nor regain international legitimacy. But more than likely what was once unimaginable: Assad's outlasting of his domestic -- and international adversaries -- has now come to pass. And in one of the cruelest ironies of all, 2017 will also demonstrate the overturning of all the Obama administration's assumptions about Syria and perhaps open the door for the Trump administration to take advantage of the new realities.Aaron David Miller: Syria may yet prove to be a painful headache for President-elect TrumpEven so, it is unlikely to be as costly to his reputation and credibility as it will be to Obama's, he writes",President Obama will be out of power long before _.,"_'s re-election is a resounding victory for the country, and a resounding victory for the _.",0.32848459482192993
task301-03eb6b2c0bb3488ca473095594895ef4,task301_record_question_generation,Question Generation,"In this task, you will be shown a passage. You need to write a fill-in-the-gap question based on your understanding of the events that might be inferred from the passage. Your question should be answerable based on the passage and only have one correct answer. Show the gap in your question with a _ .","Ukip will form an electoral pact with Northern Irish MPs to keep the Tories in power after the next election, Nigel Farage said this morning. The Ukip leader said the Conservative Party will emerge from the general election as the largest party but wouldn't have enough MPs to govern on their own. Mr Farage said he would force an early referendum on Britain's membership of the EU as his price for keeping David Cameron in Number 10. Ukip leader Nigel Farage said the Conservative Party will emerge from the general election as the largest party but wouldn't have enough MPs to govern on their ownUkip leader said the Tories will emerge from the election as largest partyBut he said David Cameron would not have enough MPs to form a majorityHe said Ukip would form a pact with the DUP to keep the Tories in powerIn return Ukip will demand an early in-out referendum on the EU",Mr Farage has previously insisted he would be willing to support a _ minority government only if a referendum on Britain leaving the EU was held before the end of this year – two years earlier than David Cameron plans.,_ has said he will not be able to form a majority if he is re-elected.,0.26293450593948364
task301-1902a06b410c4be598f3ae02d5a958be,task301_record_question_generation,Question Generation,"In this task, you will be shown a passage. You need to write a fill-in-the-gap question based on your understanding of the events that might be inferred from the passage. Your question should be answerable based on the passage and only have one correct answer. Show the gap in your question with a _ .","(CNN) -- Milagros Martinez endured losing one of her sons to cystic fibrosis before he could get a lung transplant. Now she's hoping her younger boy, Javier Acosta, 11, will get such an operation in time. ""This is like watching movie that you've seen before and you want a different ending,"" Martinez told CNN on Saturday. ""It's hard for me to tell my son 'you have to have faith and be hopeful, you know this is going to happen for you,' and inside knowing that chances are slim."" A judge on Thursday made Javier, from Bronx, New York, more quickly eligible for adult lungs. The boy is hospitalized at Children's Hospital of Philadelphia.FIRST ON CNN: Mother of sick boy speaks outA judge says her son, 11, should be eligible for adult lungsMilagros Martinez feels a sense of ""triumph""Ruling comes a day after a similar ruling for 10-year-old Sarah Murnaghan","""Like any parent, I'm inclined to do whatever it takes, to help _ have a normal life, whatever that may be.""","_'s mother, Milagros Martinez, said she's ""very proud"" of the judge's decision.",0.21373778581619263
task301-92a196a64ba841da86b400e307a7c80f,task301_record_question_generation,Question Generation,"In this task, you will be shown a passage. You need to write a fill-in-the-gap question based on your understanding of the events that might be inferred from the passage. Your question should be answerable based on the passage and only have one correct answer. Show the gap in your question with a _ .","A couple have splashed more than £200,000 on plastic surgery just so they can look just like their idols, Ken and Barbie. Anastasia Reskoss, 20, and Quentin Dehar, 23, admit to both being obsessed with the dolls from a young age - and after becoming a couple in 2013, the pair have had more than 15 procedures between them, paid for mainly by their parents. Quentin, from Marseille, France, and Anastasia, who lives in Paris, plan to continue having surgery and are legally changing their names to 'Ken' and 'Doll.' Student Anastasia said: 'We want to spend the rest of our lives together morphing into the dolls we love.'Anastasia Reskoss and Quentin Dehar, from France, want to look like dollsThey spent £206,000 on recreating Barbie and Ken's appearanceThe couple want more surgery and changed names to Barbie and Ken","In 2014, _ splurged £5,000 of her parent's money to undergo a second boob job to take her to a 32GG.","'We're going to have to do more and more,' she said.",0.6232638359069824
task301-e81cc09e7e4a4cf4a27dbce718b46b1a,task301_record_question_generation,Question Generation,"In this task, you will be shown a passage. You need to write a fill-in-the-gap question based on your understanding of the events that might be inferred from the passage. Your question should be answerable based on the passage and only have one correct answer. Show the gap in your question with a _ .","Nick Kyrgios has denied 'tanking' Monday's emotional clash with Frenchman Richard Gasquet that saw the 20-year-old's Wimbledon campaign end. In bizarre scenes, he briefly seemed to throw in the towel, barely swinging for three of Gasquet’s serves at 2-0 down and receiving boos and jeers from disgruntled spectators. Kyrgios has since blamed his performance on the strain of 'external pressures,' but faces a fine of £160,000 under grand slam 'best effort' rules. 'Of course I tried,' Kyrgios said during an intense post-match press conference. 'There was a lot of ups and downs. It was a tough, tough time, especially when he's not missing any balls,' he said.Nick Kyrgios has denied 'tanking' Monday clash with Richard GasquetHe appeared to 'stop trying' during the second setThe 20-year-old was booed during the second set by fans on Court 2Australian hot-head was given a code violation for swearing by the umpireHe could face fines of £160,000 for 'aggravated behaviour'Richard Gasquet defeated Nick Kyrgios 7-5 6-1 6-7 (7-9) 7-6 in fourth round","It completed an impressive revenge for the _, who coughed up nine match points and a two-set lead before losing to Kyrgios in five sets in the second round last year.","_, who has won the last three Grand Slams, has won the last four of his four Grand Slams.",0.20814508199691772
task301-d36e6fc9af5d439fb8e6e3586db1b0c9,task301_record_question_generation,Question Generation,"In this task, you will be shown a passage. You need to write a fill-in-the-gap question based on your understanding of the events that might be inferred from the passage. Your question should be answerable based on the passage and only have one correct answer. Show the gap in your question with a _ .","(CNN) -- ""I mean, I hate to gloat,"" Weird Al Yankovic said, ""but I'm extremely satisfied with my position in life and the way things have worked out for me."" For over a quarter of a century, Weird Al has made a career out of his two passions: music and comedy. His parodies and satirical songs and videos have amassed an army of devoted fans -- 2 million of them follow him on Twitter. He's won three Grammy Awards and has sold more comedy albums than any other artist in history. Not bad for a nerd out of Lynwood, California.Weird Al Yankovic's first children's book hits shelves February 1""When I Grow Up"" centers on 8-year-old Billy and his career possibilitiesYankovic's career was built on passion for music and comedy plus an inherent nerdiness","If I can extrapolate it, maybe that's something I share with _.""","_'s first book, ""When I Grow Up,"" is due out February 1.",0.14639097452163696
task301-3887a0e662294ad6821cdcce7d7c702d,task301_record_question_generation,Question Generation,"In this task, you will be shown a passage. You need to write a fill-in-the-gap question based on your understanding of the events that might be inferred from the passage. Your question should be answerable based on the passage and only have one correct answer. Show the gap in your question with a _ .","Two thousand miles might seem like a long way to go just for fried chicken. But two long-time friends from Canada, who took their two sets of sons on a journey to the original home of Kentucky Fried Chicken in Corbin, Kentucky, said it's a trip they'll never forget. The group of six completed the drive in three days crossing two Canadian provinces including Quebec and Ontario, as well as five U.S. states - New York, Pennsylvania, Ohio, Indiana and Kentucky, according to The Times Tribune. For three of the sons, it was the first time they had tasted KFC.Trip included Brian Lufty, 52, of Montreal, his stepson Sebastien and son Jason, friend Neil Janna, 51, and his two sons Jesse and JoshThey made the trip in three days crossing over five states to visit original home of Kentucky Fried Chicken in Corbin, KentuckyLufty visited Harland Sanders Cafe the first time in 1985 and again in 1995While at the restaurant they ordered their fried chicken and brought their own plates, silverware, glasses, artificial flowers and candles for the table",His tales of earlier visits to the _ inspired the most recent trip.,_'s sons were also able to taste the chicken and eat it with their own hands.,0.19048815965652466
task301-23e81df280d34608927c03be44ef5aa1,task301_record_question_generation,Question Generation,"In this task, you will be shown a passage. You need to write a fill-in-the-gap question based on your understanding of the events that might be inferred from the passage. Your question should be answerable based on the passage and only have one correct answer. Show the gap in your question with a _ .","(CNN) -- China's propaganda system appears to be working hard to belittle U.S. President Barack Obama before he heads to Asia for three key multilateral meetings. The open mockery of the Democratic Party's loss in the midterm elections is likely an attempt to put the President on the defensive before he lands in Beijing on Monday. But it's really little wonder that China is trying to change the subject from its own problems, both foreign and domestic. For a start, Chinese President Xi Jinping will want no trouble from a U.S. president as he executes his anti-corruption campaign, the primary purpose of which many believe is to consolidate and further centralize his power. Meanwhile, Xi is also dealing with a restive empire, including a democracy movement in Hong Kong and unrest in Xinjiang, which has seen terror attacks against Chinese civilians and paramilitary officers.Dan Blumenthal: Chinese media have openly mocked Democrats' midterm lossChinese leader likely wants to distract from domestic problems, he writesObama should reinvigorate ties with Japan, he says","Add in the fact that China's long and successful run of rapid investment and export-led growth is coming to an end with slack global demand and growing _ debt, and it's clear that Obama is arriving at a politically tense time in Beijing.","_ has been a major ally of the United States in the past, and he has a lot to say about the future of the two countries.",0.2666981816291809
