id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task125-2dff1da520fa470797578d09de699426,task125_conala_pair_differences,Program Execution,In this task you are given a list of integers and you need to find the absolute value of the difference between each two consecutive values. The output should be a list of the absolute value of the differences of each two consecutive values.,"[1, -71, -18, -10, -14, -41, 89, 11, 84]","[72, 53, 8, 4, 27, 130, 78, 73]","[71, 57, 3, 5, 13, 124, 69, 62]",0.13467812538146973
task125-f24620f202154981ab70e3afb266e652,task125_conala_pair_differences,Program Execution,In this task you are given a list of integers and you need to find the absolute value of the difference between each two consecutive values. The output should be a list of the absolute value of the differences of each two consecutive values.,"[-69, -16, -12, -30, 21, 3, -11, 36, 92, -96, 84]","[53, 4, 18, 51, 18, 14, 47, 56, 188, 180]","[34, 3, 6, 57, 10, 10, 57, 62, 176, 184, 169]",0.18690794706344604
task125-f2bfa0f268bf486587a07e0caf6c9de5,task125_conala_pair_differences,Program Execution,In this task you are given a list of integers and you need to find the absolute value of the difference between each two consecutive values. The output should be a list of the absolute value of the differences of each two consecutive values.,"[-90, -25, -42, -14, 55, 54, -11, -98, -24, -44]","[65, 17, 28, 69, 1, 65, 87, 74, 20]","[50, 6, 38, 71, 10, 57, 69, 69, 57, 57]",0.19012200832366943
task125-2db878db76684e0da6ddd36f14adbc99,task125_conala_pair_differences,Program Execution,In this task you are given a list of integers and you need to find the absolute value of the difference between each two consecutive values. The output should be a list of the absolute value of the differences of each two consecutive values.,"[74, -34, 5, -2, -36, -41, 69, -9]","[108, 39, 7, 34, 5, 110, 78]","[108, 38, 1, 32, 9, 126, 78]",0.11662155389785767
task125-2f648ae95ce749c09b6c2ab9445eba83,task125_conala_pair_differences,Program Execution,In this task you are given a list of integers and you need to find the absolute value of the difference between each two consecutive values. The output should be a list of the absolute value of the differences of each two consecutive values.,"[-59, -37, -41, 72, 45, 98, 51, 35, 100, 87, 36, -69, -39, -48]","[22, 4, 113, 27, 53, 47, 16, 65, 13, 51, 105, 30, 9]","[5, 9, 108, 23, 57, 74, 10, 57, 57, 57, 62, 57, 57]",0.8923276662826538
task125-e82032f369634e83b2f5134ff58d2908,task125_conala_pair_differences,Program Execution,In this task you are given a list of integers and you need to find the absolute value of the difference between each two consecutive values. The output should be a list of the absolute value of the differences of each two consecutive values.,"[-42, 56, 60]","[98, 4]","[104, 11]",0.05504387617111206
task125-b61abed8c9db4d40aacade18e2996fc9,task125_conala_pair_differences,Program Execution,In this task you are given a list of integers and you need to find the absolute value of the difference between each two consecutive values. The output should be a list of the absolute value of the differences of each two consecutive values.,"[86, 27, -24, 70, -73, -38, 84, -50, -73, 65]","[59, 51, 94, 143, 35, 122, 134, 23, 138]","[57, 57, 102, 139, 57, 124, 136, 57, 131]",0.20276916027069092
task125-574a74adb4c54d7fa668a1ed6b6ba70d,task125_conala_pair_differences,Program Execution,In this task you are given a list of integers and you need to find the absolute value of the difference between each two consecutive values. The output should be a list of the absolute value of the differences of each two consecutive values.,"[98, 46, -63, -9, 80, -55]","[52, 109, 54, 89, 135]","[57, 103, 57, 86, 145]",0.12950855493545532
task125-0626c662de3b45d78f7152b3227a80fe,task125_conala_pair_differences,Program Execution,In this task you are given a list of integers and you need to find the absolute value of the difference between each two consecutive values. The output should be a list of the absolute value of the differences of each two consecutive values.,"[19, 13, -45, 54, 16, 96, 66, -40, -91, -66, -88, 11]","[6, 58, 99, 38, 80, 30, 106, 51, 25, 22, 99]","[3, 57, 105, 32, 57, 62, 103, 57, 57, 57, 57]",0.24641728401184082
task125-8c93f89f8cd44f2f972a842d4bd207da,task125_conala_pair_differences,Program Execution,In this task you are given a list of integers and you need to find the absolute value of the difference between each two consecutive values. The output should be a list of the absolute value of the differences of each two consecutive values.,"[-26, -4, -5]","[22, 1]","[3, 5]",0.14464014768600464
