id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task183-82163f5d37e34961b00f4953aaaf9289,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",create,fete,sassy,0.08895063400268555
task183-e6c4f17855c44076ba8f331f4e8272e0,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",day,daye,dr,0.047230303287506104
task183-212ae8bedc6c46e6bf49b85fcabf4cd4,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",way,yay,sassy,0.08701878786087036
task183-cfd2ff8681314685884002477d685148,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",hope,sope,sassy,0.05897510051727295
task183-b7e7f482bd64440ca46f8030eebedd80,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",skill,shill,sass,0.04898494482040405
task183-c9cb85677851491fb0ef836a5b5de7e1,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",degree,g.,sailor,0.36853665113449097
task183-549a55c5dc7f48feb2554b9f39fc4f46,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",pay,leyh,sassy,0.060579657554626465
task183-8f4704fd03d64f40983e62d2e8815912,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",pose,kroes,sassy,0.11328285932540894
task183-81d25aafd1c041af97d25c813d205d86,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",stone,fone,sand,0.12792688608169556
task183-df0640b4f4434b67b54b7cae45d974e4,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",gas,hass,sassy,0.06472808122634888
task183-de2419e8245a442fa4c8a59dc5d6eeaa,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",base,{brace,sassy,0.17970097064971924
task183-bdbf71d29652455f998d03d0cfe009d2,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",smile,aisle,smirk,0.07328212261199951
task183-ec6b9f5cb44844c8983ff643df565bb8,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",best,recessed,sassy,0.060926616191864014
task183-0c3df2c1f87d4cea928a8087dd094455,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",quart,support,sassy,0.0583915114402771
task183-cbe6aa858cd64304b4c7fca25018f3fc,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",sea,cree,sailor,0.215986967086792
task183-f96758fc09ff411e84dc3cbc0460fbb2,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",me,fee,sassy,0.26350003480911255
task183-9d7ca94e3b3d426aa94e37b3e6e20e71,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",ear,bier,ear,0.04864704608917236
task183-1f3769f854fe4813a844b9d4ff285209,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",earth,hirth,eagle,0.3617973327636719
task183-02bb16a3aa3847f0ad23c0013c30bac5,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",ball,aull,bluff,0.05178725719451904
task183-770a7343de704d94964fedb9bdc4aab6,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",eye,shy,eagle,0.05824512243270874
task183-2a189c63e6b94843ad6374543dc30729,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",tall,peterpaul,tawny,0.2166011929512024
task183-fbdf0dd1e52b445aa5275184324db251,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",scale,naill,sassy,0.33614206314086914
task183-17a70c8701f146fe8d1cea286f2f43a9,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",dry,jai,dr,0.09649711847305298
task183-b83840f6ce5a495a927287dd620cf5eb,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",position,superstition,sassy,0.8942002058029175
task183-deb21fa451144d82a73046e0d85840ad,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",between,keehn,sassy,0.10061299800872803
task183-748da3ae5a124d378b0928cf13369d87,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",why,nye,sassy,0.15552377700805664
task183-13dd5a4c595b4daf94b3ac557ff5e746,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",tree,tea,taylor,0.1400449275970459
task183-83d366641d444cd0a97deeba9ee8163f,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",tie,cy,tay,0.07414013147354126
task183-994569f26c7d41a8a2ab40be97417beb,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",several,cultural,sailor,0.05246025323867798
task183-b6dbf305001a48e7b79ea1c374371298,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",solution,andalusian,sassy,0.08567017316818237
task183-fc5752bf2e634ac8adf50c528c49038f,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",long,aung,sassy,0.11527246236801147
task183-90314ef3fcb84afc8b5d230391c19140,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",always,aways,sassy,0.15722334384918213
task183-c4c0bd8f703b43509ce183a8f2923cc5,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",band,lefthand,bb,0.26965439319610596
task183-c294b3b81fd647ddb3465873b8ff014d,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",surprise,nuys,sassy,0.097331702709198
task183-b77ebdb98a2947bbbd347b921acd3d20,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",men,fen,sailor,0.10634839534759521
task183-fbddc6d8cc9b4c659b83ba472fd1627f,task183_rhyme_generation,Misc.,"Given an input word generate a word that rhymes exactly with the input word. If not rhyme is found return ""No""",level,bevil,sassy,0.2553521990776062
