id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task081-c753ded5f05d49f49884de8c3e78ffe3,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.",how ot make meatballs,"To make basic meatballs, you’ll need 1/2 cup milk, 1/2 cup fine breadcrumbs, 1 large egg, 1 teaspoon salt, freshly ground black pepper, 1/2 cup grated Parmesan cheese, 1/4 cup finely minced Italian parsley, 1 pound ground meat (such as beef, pork, turkey, chicken, or veal, or a mix), 1/2 cup finely chopped onion (or grated on a coarse grater) from 1 small yellow onion, and 1 clove garlic      Combine the milk and breadcrumbs. Place the breadcrumbs in a small bowl, pour in the milk, and stir to combine. Set aside while preparing the rest of the meatball mixture. The breadcrumbs will absorb the milk and become soggy.    Whisk the egg, salt, pepper, Parmesan, and parsley. Whisk the egg in a large bowl until broken up. Add the Parmesan, parsley, salt, and a generous quantity of black pepper, and whisk to combine.    Add the ground meat. Add the meat to the egg mixture. Use your hands to thoroughly mix the egg mixture into the ground meat.    Add the onions and soaked breadcrumbs. Add the onions, garlic, and soaked breadcrumbs. Mix them thoroughly into the meat with your fingers. Try not to overwork the meat; pinch the meat between your fingers rather than kneading it.    Form the meat into meatballs. Have a rimmed baking sheet ready. Pinch off a piece of the meat mixture and gently roll between your hands to form 1 1/2-inch meatballs (about 2 tablespoons each). Continue shaping until all the meat is used, placing the meatballs on the baking sheet so that they are not touching.    Option 1: Roast or broil the meatballs in the oven. Broil the meatballs 20 to 25 minutes, or roast at 400°F for 25 to 30 minutes. (Watch closely if making meatballs made with lean meat.) The meatballs are done when cooked through, the outsides are browned, and they register 165°F in the middle on an instant-read thermometer. Serve immediately.    Option 2: Cook the meatballs directly in sauce. Bring a marinara or other pasta sauce to a simmer and add as many meatballs as will fit comfortably in the pan. Cover and simmer for 30 to 35 minutes. The meatballs are done when they're cooked through and register 165°F in the middle on an instant-read thermometer. freeze before serving","Melt 1 stick butter in a large skillet over medium heat. Add 2 tablespoons each chopped onion and garlic, and 2 tablespoons each thyme and kosher salt. Cook and stir until onions are translucent, about 5 minutes. Add 2 tablespoons each thyme and kosher salt. Cook and stir until thyme is dissolved, about 5 minutes. Add 2 tablespoons each thyme and kosher salt. Cook and stir until thyme is dissolved, about 5 minutes. Add 2 tablespoons each thyme and kosher salt.",0.8692427277565002
task081-a0a5d2ef3b294f24aa087b5757dafa32,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.",How can you save money when buying chicken nuggets at McDonalds?,"Instead of ordering a 4 piece order at McDonalds, order 2 of 4 piece nuggets, it's cheaper and you get more nuggets.","If you buy a large order of nuggets, you can save money by buying a large order of fries.",0.21595555543899536
task081-c2edd615007449649b761f6ef7b8f126,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.",How to clean a chopping board without chemicals.,Use kosher salt and lemons. Sprinkle on the salt. Cut a lemon in half and then scrub with the lemon.Rinse under stagnant water.,Use a rag and a scrubbing brush to scrub the board.,0.1456969976425171
task081-0e446c4457534a0eb34d61fee1c2426c,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.","To prevent tarp from tearing when using a hole punch on it, you can",Place a piece of tape next to the area you are planning to punch,Use a piece of cardboard to cover the hole,0.09355592727661133
task081-3e2d2ef0b2f84b07b14dc4fa70c83902,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.",Prevent people from approaching you in public.,Wear a green hat.,Put a t-shirt on your head.,0.09546178579330444
task081-88487c2e2e124ffaaba6d531a8c981dd,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.",What can you use as the planets in a solar system diorama?,You can use circular balls of plastic painted with home paint to match the planets,You can use a tin can as the planets.,0.41362643241882324
task081-49e8a929b999429f82b198d9e05be030,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.","To protect your eyes when using a power saw, you can",Use sunglasses to keep out dust,Wear a pair of goggles,0.1124570369720459
task081-30917548eee04a07b3ed3127d9d6885a,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.",How to make Peach Daiquiri Ice cream at home.,"In a medium mixing bowl combine 7 cups chilled roquefort  cream cheese, 2 14 oz. cans sweetened condensed milk and 1 cup Peach Daiquiri mix, 1 cup dark rum.     Beat with an electric mixer until soft Peaks form. Transfer mixture to 8x8x2 inch baking pan. Freeze about 8 hours until firm. Serve with fresh peach slices.",Mix 2 cups chilled whipping cream with 2 cups chilled peach juice. Add 2 cups chopped peaches and 2 cups chopped ice. Chill until firm. Freeze until firm.,0.27305030822753906
task081-a783092d9e94401290ce8c2526154c16,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.","To cut a sheet of wood for the bottom of a frame, you can",Use a chainsaw to cut the wood into a square,Use a circular saw to cut the wood,0.07847726345062256
task081-65e7a5307a0346fbb1e713b8150e1555,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.","To turn a can of refried beans into bean dip,",mix in guacamole and onions and cool it.,add a can of refried beans to a blender and blend until smooth.,0.1428413987159729
task081-7ca04e8a5042479cbeccc0405b2c3c64,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.",To glue the cardboard strips to use as a coaster.,Take the 1/2 inch strips of cardboard and arrange them so the holes are facing sideways. Glue each strips to one another. Let it dry before use.,Use a hot glue gun to glue the cardboard strips together.,0.13478654623031616
task081-8659a7adbde14ec1a7950b082e06b7b5,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.",how to get rid of bitterness in coffee,add a pinch of mustard powder,Add a teaspoon of baking soda to the coffee.,0.14021968841552734
