id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task1711-52d8643b491f4f9f8f9663cda9883cba,task1711_poki_text_generation,Poem Generation,"You are given a short text as a title. Your task is to generate a poem as output that is related to the given title and should feel like written by kids. The output should be a run-on sentence (two or more complete sentences connected without any punctuation). The poem should not be too long or too complex, because it should feel like it is written by younger person without high level of literature education.",Bumble Bee,it's black and yellow fly from flower to flower take the pollen,bumble bee be a bee that be a bee that be a bee that be a bee that be a bee that be a bee that be a bee that be a bee that be a bee that be a bee that be a bee that be a bee that be a bee that be a bee that be a bee that be a bee that be a bee that be a bee that be a bee that be a bee that be a,0.9286811351776123
task1711-194f17c1e611408a8f0a08822a543078,task1711_poki_text_generation,Poem Generation,"You are given a short text as a title. Your task is to generate a poem as output that is related to the given title and should feel like written by kids. The output should be a run-on sentence (two or more complete sentences connected without any punctuation). The poem should not be too long or too complex, because it should feel like it is written by younger person without high level of literature education.",Anazlyzing Apperences,every day a i enter inside my classroom stand a girl who look smart and bright she take out her book and start to study her beautiful smile be big and bright just like a light all though her attitude be a little crummy but her appearance make her look innocent and sweet and she have always keep her work very neat she sound calm and at eased with her talk and as light a a butterfly with her walking but people be become jealous because of what she acquire instead of brag all she do be let them admire she find it easy to hide her sadness and then try to replace it with gladness but one day that be so glumly and long she sit in a corner and begin to cry people begin to wonder what be wrong everyone have ask her a why be you cryinga but she only reply with a i dona't know whya she say her sadness be get bad but everyone ignore her and it leave her in a curse,i be a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a ,0.9145134091377258
task1711-b0a8f69e48a44e3a97b235f524e08d76,task1711_poki_text_generation,Poem Generation,"You are given a short text as a title. Your task is to generate a poem as output that is related to the given title and should feel like written by kids. The output should be a run-on sentence (two or more complete sentences connected without any punctuation). The poem should not be too long or too complex, because it should feel like it is written by younger person without high level of literature education.",Sandy's Friend,i meet this girl name sandy she be very handy her best friend's name be dandy she's as sweet a candy,sandy be a friend she be a sweet girl she be a sweet girl she be a sweet girl she be a sweet girl she be a sweet girl she be a sweet girl she be a sweet girl she be a sweet girl she be a sweet girl she be a sweet girl she be a sweet girl she be a sweet girl she be a sweet girl she be a sweet girl she be a sweet girl she be a sweet girl she be a sweet girl she be a sweet girl she be a sweet girl she be a sweet girl,0.9160422682762146
task1711-9233248e41c34854a0783101d3972e7b,task1711_poki_text_generation,Poem Generation,"You are given a short text as a title. Your task is to generate a poem as output that is related to the given title and should feel like written by kids. The output should be a run-on sentence (two or more complete sentences connected without any punctuation). The poem should not be too long or too complex, because it should feel like it is written by younger person without high level of literature education.",I am just me,i be a cheeta no i be joey i be a christmas tree no i'm taylor swift actually i be me kasey,i be just me i be just me i be just me i be just me i be just me i be just me i be just me i be just me i be just me i be just me i be just me i be just me i be just me i be just me i be just me i be just me i be just me i be just me i be just me i be just me i be just me i be just me i be just me i be just me i be just me i be,0.8836429119110107
task1711-cab247c0456f4f34946353dba14b37c3,task1711_poki_text_generation,Poem Generation,"You are given a short text as a title. Your task is to generate a poem as output that is related to the given title and should feel like written by kids. The output should be a run-on sentence (two or more complete sentences connected without any punctuation). The poem should not be too long or too complex, because it should feel like it is written by younger person without high level of literature education.",A Kid named Bill,there once be kid name bill he have to take many pill one day he could n't hear he cut off his right ear now bill have to take more pill,bill be a kid he be a kid he be a kid he be a kid he be a kid he be a kid he be a kid he be a kid he be a kid he be a kid he be a kid he be a kid he be a kid he be a kid he be a kid he be a kid he be a kid he be a kid he be a kid he be a kid he be a kid he be,0.91246497631073
task1711-8ac4dc4dc357466daa8c58c3fddb7543,task1711_poki_text_generation,Poem Generation,"You are given a short text as a title. Your task is to generate a poem as output that is related to the given title and should feel like written by kids. The output should be a run-on sentence (two or more complete sentences connected without any punctuation). The poem should not be too long or too complex, because it should feel like it is written by younger person without high level of literature education.",Baboons,almost every afternoon i eat baboon with with a spoon every evening right at six i eat baboon with stick,baboon be a savage animal they be a savage animal they be a savage animal they be a savage animal they be a savage animal they be a savage animal they be a savage animal they be a savage animal they be a savage animal they be a savage animal they be a savage animal they be a savage animal they be a savage animal they be a savage,0.8958549499511719
task1711-74f224c3cda141658cf455ce00b96969,task1711_poki_text_generation,Poem Generation,"You are given a short text as a title. Your task is to generate a poem as output that is related to the given title and should feel like written by kids. The output should be a run-on sentence (two or more complete sentences connected without any punctuation). The poem should not be too long or too complex, because it should feel like it is written by younger person without high level of literature education.",Acrostic-Summer,summer be nice// under the sun// my mom go fishing// my mom's baby anthony go fish too// everyday i ride my bike// really like my bike,summer be a time to be merry and to have fun i love summer because it be a time to be merry and to have fun i love summer because it be a time to be merry and to have fun i love summer because it be a time to be merry and to have fun i love summer because it be a time to be merry and to have fun i love summer because it be a time to be merry and to have fun i love summer because it be a time to be merry and to have fun,0.9044931530952454
task1711-129223ff01e54efc80404666917b736e,task1711_poki_text_generation,Poem Generation,"You are given a short text as a title. Your task is to generate a poem as output that is related to the given title and should feel like written by kids. The output should be a run-on sentence (two or more complete sentences connected without any punctuation). The poem should not be too long or too complex, because it should feel like it is written by younger person without high level of literature education.",Give me,give me some money actually i want a bunny i want some food and i'm in a bad mood scratch that i want some honey,give me a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a,0.8711492419242859
task1711-5353057cfed848289675eeab2d0de5ca,task1711_poki_text_generation,Poem Generation,"You are given a short text as a title. Your task is to generate a poem as output that is related to the given title and should feel like written by kids. The output should be a run-on sentence (two or more complete sentences connected without any punctuation). The poem should not be too long or too complex, because it should feel like it is written by younger person without high level of literature education.",Wish You Were Here!,dear tyraesha wish you be here at ewms do n't be afraid to ask question we be kind everyone be friendly teacher & amp student teacher be generous they treat you like family they also lend you help hand they take their time to teach you they teach you new thing hope you choose our school wish you be here hope to see you soon,i wish you be here i wish you be here i wish you be here i wish you be here i wish you be here i wish you be here i wish you be here i wish you be here i wish you be here i wish you be here i wish you be here i wish you be here i wish you be here i wish you be here i wish you be here i wish you be here i wish you be here i wish you be here i wish you be here i wish you be here i wish you be here i,0.9241654872894287
task1711-44a77685d76248a9af59a846f62d0475,task1711_poki_text_generation,Poem Generation,"You are given a short text as a title. Your task is to generate a poem as output that is related to the given title and should feel like written by kids. The output should be a run-on sentence (two or more complete sentences connected without any punctuation). The poem should not be too long or too complex, because it should feel like it is written by younger person without high level of literature education.",THANKS,thanks for the earth so sweet thanks for the thing we eat thank you for me thank you,thanks for be my friend i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love,0.9062754511833191
task1711-5b644b0ca28e446785ac485194118316,task1711_poki_text_generation,Poem Generation,"You are given a short text as a title. Your task is to generate a poem as output that is related to the given title and should feel like written by kids. The output should be a run-on sentence (two or more complete sentences connected without any punctuation). The poem should not be too long or too complex, because it should feel like it is written by younger person without high level of literature education.",My Saturday Dad,my dad take me to the park play baseball with me take me to the bating cage practice hit so i can get good talk sport to me and play with me when i pitch,my dad be a saturday he be a saturday he be a saturday he be a saturday he be a saturday he be a saturday he be a saturday he be a saturday he be a saturday he be a saturday he be a saturday he be a saturday he be a saturday he be a saturday he,0.9111636281013489
task1711-609f6487c62b4159a3d0dcbccdee3bb3,task1711_poki_text_generation,Poem Generation,"You are given a short text as a title. Your task is to generate a poem as output that is related to the given title and should feel like written by kids. The output should be a run-on sentence (two or more complete sentences connected without any punctuation). The poem should not be too long or too complex, because it should feel like it is written by younger person without high level of literature education.",Midgets,i keep midget in my trunk i keep them there all night i keep with them an angry skunk i love the midget' fright,midget be a little thing they be small they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they be cute they,0.8926935195922852
task1711-296ba3ffa346488eab05ae98ba1a67db,task1711_poki_text_generation,Poem Generation,"You are given a short text as a title. Your task is to generate a poem as output that is related to the given title and should feel like written by kids. The output should be a run-on sentence (two or more complete sentences connected without any punctuation). The poem should not be too long or too complex, because it should feel like it is written by younger person without high level of literature education.",This is for....,this be for the doctor the fireman the police this be for the government and washington d. c this be for the people in the usa there's just a couple word that i'd like to say liberty and justice be what we need we'll all come a one then we'll succeed so raise our flag and out banner to we'll show everyone just how we'll do this be for me and you,this be for a girl who be a sailor this be for a girl who be a sailor this be for a girl who be a sailor this be for a girl who be a sailor this be for a girl who be a sailor this be for a girl who be a sailor this be for a girl who be a sailor this be for a girl who be a sailor this be for a girl who be a sailor this be,0.9009800553321838
task1711-da62d7e9bee84f96bb28b591d02cc4a4,task1711_poki_text_generation,Poem Generation,"You are given a short text as a title. Your task is to generate a poem as output that is related to the given title and should feel like written by kids. The output should be a run-on sentence (two or more complete sentences connected without any punctuation). The poem should not be too long or too complex, because it should feel like it is written by younger person without high level of literature education.",A boy named BEN,i saw a boy name ben he say he look like a hen i say how he have be then he squirt me with his ink pen,a boy named ben be a boy he be a boy he be a boy he be a boy he be a boy he be a boy he be a boy he be a boy he be a boy he be a boy he be a boy he be a boy he be a boy he be a boy he be a boy he be a boy he be a boy he be a boy he be a boy he be a boy he be ,0.8869348168373108
task1711-c660c9ecc1d14602ab06a1252ddcfe6d,task1711_poki_text_generation,Poem Generation,"You are given a short text as a title. Your task is to generate a poem as output that is related to the given title and should feel like written by kids. The output should be a run-on sentence (two or more complete sentences connected without any punctuation). The poem should not be too long or too complex, because it should feel like it is written by younger person without high level of literature education.",The Symbol of FREEDOM,a red white and blue cloth flap in the air 50 star stitch on for our 50 country red and white stripe for the 13 colony all stitch up by a needle and thread it have last long for yet ita's still here our country be free and so be you oh how it stand for our freedom we do love our red white and blue,the symbol of freedom be a flag it be a symbol of freedom it be a symbol of freedom it be a symbol of freedom it be a symbol of freedom it be a symbol of freedom it be a symbol of freedom it be a symbol of freedom it be a symbol of freedom it be a symbol of freedom it be a symbol of freedom it be a symbol of freedom it be a symbol of freedom it be a symbol of freedom it be a symbol of freedom it be a symbol of freedom it be a symbol of freedom it be a symbol of freedom it,0.8838892579078674
task1711-be120e6b10f34cc29ef7797af3468ba9,task1711_poki_text_generation,Poem Generation,"You are given a short text as a title. Your task is to generate a poem as output that is related to the given title and should feel like written by kids. The output should be a run-on sentence (two or more complete sentences connected without any punctuation). The poem should not be too long or too complex, because it should feel like it is written by younger person without high level of literature education.",Disney World,disney world be so much fun man be it hot in the sun when we get there we have a blast but then we have to leave at last,i love my life i love my family i love my friend i love my friend i love my friend i love my friend i love my friend i love my friend i love my friend i love my friend i love my friend i love my friend i love my friend i love my friend i love my friend i love my friend i love my friend i love my friend i love my friend i love my friend i love my friend i love my friend i love my friend i love my friend i love my friend i love,0.8908501863479614
task1711-977bf4e3700149639ed6c63d9e8b0852,task1711_poki_text_generation,Poem Generation,"You are given a short text as a title. Your task is to generate a poem as output that is related to the given title and should feel like written by kids. The output should be a run-on sentence (two or more complete sentences connected without any punctuation). The poem should not be too long or too complex, because it should feel like it is written by younger person without high level of literature education.",The pie and the goose,the number of pie i do n't want to multiply this pie however be gold it be n't at all very cold it be fill with juice and favor by a goose this goose also be strange it be n't about to change it get it gene by mistakable mean when this goose get hit by a spoon he turn into a loon and then he go over the moon,i be a pie i be a goose i be a pig i be a pig i be a pig i be a pig i be a pig i be a pig i be a pig i be a pig i be a pig i be a pig i be a pig i be a pig i be a pig i be a pig i be a pig i be a pig i be ,0.8960437178611755
task1711-66f11c42c5ca4ddc8f7a3bea42c13212,task1711_poki_text_generation,Poem Generation,"You are given a short text as a title. Your task is to generate a poem as output that is related to the given title and should feel like written by kids. The output should be a run-on sentence (two or more complete sentences connected without any punctuation). The poem should not be too long or too complex, because it should feel like it is written by younger person without high level of literature education.",Friendship is Hard,people say it do n't happen often but i know that's not true because i know it happen often between me and you one person start yell then the other do too then we be silent me and you it go on forever without any good sign the two of u fight waste so much time be rude and mean always make a scene the emotion of hatred and green envy but someday it will end be sure of that but someday it will stop and then be flat we may not speak now though we will soon we may not like each other our friendship will be ruin so stop all this fighting go back to the fun just you and me forget everyone all i have to say be two short word i'm sorry i mean it sincerely i do n't want this to occur,friendship be hard it be hard to be friend it be hard to be a friend it be hard to be a friend it be hard to be a friend it be hard to be a friend it be hard to be a friend it be hard to be a friend it be hard to be a friend it be hard to be a friend it be hard to be a friend it be hard to be a friend it be hard to be a friend it be hard to be a friend it be hard to be a friend it be hard to be a friend it be hard to be a,0.8635958433151245
task1711-6b954b5f96ae4274a92352c1010c0091,task1711_poki_text_generation,Poem Generation,"You are given a short text as a title. Your task is to generate a poem as output that is related to the given title and should feel like written by kids. The output should be a run-on sentence (two or more complete sentences connected without any punctuation). The poem should not be too long or too complex, because it should feel like it is written by younger person without high level of literature education.",Dreams can come true,your dream can come true just dream of it and put it to practice when you dream of your self in a rich home tomorrow you can find your self in a palace so just dream of it,dream can come true dream can come true dream can come true dream can come true dream can come true dream can come true dream can come true dream can come true dream can come true dream can come true dream can come true dream can come true dream can come true dream can come true dream can come true dream can come true dream can come true dream can come true dream can come true dream can come true dream can come true dream can come true dream can come true dream can come true dream can come true dream can come true dream can come true dream can come true dream can come true dream can come true dream can come true dream can come true,0.8736953139305115
task1711-9f24456c1bc5431bb1fb07d135db3795,task1711_poki_text_generation,Poem Generation,"You are given a short text as a title. Your task is to generate a poem as output that is related to the given title and should feel like written by kids. The output should be a run-on sentence (two or more complete sentences connected without any punctuation). The poem should not be too long or too complex, because it should feel like it is written by younger person without high level of literature education.",A Winter's Morning,dim light filter through my window and i raise my sleepy head i let out a yawn and i clamber out of bed,a winter's morning i awake one morning and i see a snowy blizzard i look out the window and i see a blizzard i look out the window and i see a blizzard i look out the window and i see a blizzard i look out the window and i see a blizzard i look out the window and i see a blizzard i look out the window and i see a blizzard i look out the window and i,0.8977304697036743
task1711-1fd5acf2d77f473a9576bfe0f3b42165,task1711_poki_text_generation,Poem Generation,"You are given a short text as a title. Your task is to generate a poem as output that is related to the given title and should feel like written by kids. The output should be a run-on sentence (two or more complete sentences connected without any punctuation). The poem should not be too long or too complex, because it should feel like it is written by younger person without high level of literature education.",A Frog on my Head,i wake up one morning with a frog on my head i look up and say''why be you on my head this be what he say i thought you be a lillypad i be not a lillypad i say''now i'm sad because you be mad the frog say,a frog on my head i be a frog on my head i be a frog on my head i be a frog on my head i be a frog on my head i be a frog on my head i be a frog on my head i be a frog on my head i be a frog on my head i be a frog on my head i be a frog on my head i be a frog on my,0.9103752970695496
