id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task299-5714562ecaa340469855f4fe9bbca8e9,task299_storycloze_sentence_generation,Text Completion,"In this task, you're given four sentences of a story written in natural language in which one part is missing. Your job is to predict the position and missing part of the story and return in the following format: position, missing part. The missing part is a sentence that completes the story, and the position is the number of the missing sentence in the new story.",Sentence1: She got a taxi to the airport. Sentence2: She went through airport security quickly. Sentence3: She caught her flight on time and found her seat. Sentence4: The plane took off and Karmen relaxed.,"1, Karmen was all ready for her trip to Tanzania.","1, Karmen was ready to go to the airport.",0.0919068455696106
task299-4264b3d4fc4948da92005c8acda78abe,task299_storycloze_sentence_generation,Text Completion,"In this task, you're given four sentences of a story written in natural language in which one part is missing. Your job is to predict the position and missing part of the story and return in the following format: position, missing part. The missing part is a sentence that completes the story, and the position is the number of the missing sentence in the new story.",Sentence1: One night he fell asleep while watching television. Sentence2: His cigarette was still lit and fell on the floor. Sentence3: It caught his apartment on fire. Sentence4: Rod died in the fire.,"1, Rod smoked his entire life.","1, Rod was a smoker.",0.06327342987060547
task299-acb9747911c44bcead08ab1a29b0b58b,task299_storycloze_sentence_generation,Text Completion,"In this task, you're given four sentences of a story written in natural language in which one part is missing. Your job is to predict the position and missing part of the story and return in the following format: position, missing part. The missing part is a sentence that completes the story, and the position is the number of the missing sentence in the new story.",Sentence1: His girlfriend bet him five dollars she could beat him. Sentence2: Nick did not intend to let her win! Sentence3: He played hard and mercilessly. Sentence4: Nick beat his girlfriend and she gave him the five dollars.,"1, Nick was challenged to a volleyball match.","1, Nick was playing a game of poker.",0.11309236288070679
task299-801d3fadaf524c8385bf4d04697b4ab0,task299_storycloze_sentence_generation,Text Completion,"In this task, you're given four sentences of a story written in natural language in which one part is missing. Your job is to predict the position and missing part of the story and return in the following format: position, missing part. The missing part is a sentence that completes the story, and the position is the number of the missing sentence in the new story.",Sentence1: We bought a new cat post last week. Sentence2: The old one was very worn. Sentence3: Our cat is very picky. Sentence4: The cat accepted the new post made of sisal.,"4, It the post is not made of sisal she will reject it.","4, It was very hard to get the cat to accept it.",0.11786198616027832
task299-cf5cdec0779a4a3e81f7a9570875f190,task299_storycloze_sentence_generation,Text Completion,"In this task, you're given four sentences of a story written in natural language in which one part is missing. Your job is to predict the position and missing part of the story and return in the following format: position, missing part. The missing part is a sentence that completes the story, and the position is the number of the missing sentence in the new story.",Sentence1: He was soon to buy a house. Sentence2: Pete could not find the contract given to him by his realtor. Sentence3: He looked all over his home. Sentence4: He finally found it in the garage.,"1, Pete had to meet with his realtor.","1, Pete was looking for a house.",0.08329951763153076
task299-a7384fd616e140d8a08b427a6d53cfeb,task299_storycloze_sentence_generation,Text Completion,"In this task, you're given four sentences of a story written in natural language in which one part is missing. Your job is to predict the position and missing part of the story and return in the following format: position, missing part. The missing part is a sentence that completes the story, and the position is the number of the missing sentence in the new story.",Sentence1: Ben was married to his high school sweetheart. Sentence2: They were married for many Year's. Sentence3: Ben realized one day that he was unhappy in his marriage. Sentence4: He decided to have an affair.,"5, His wife found out and they got a divorce.","5, Ben was very happy with his new partner.",0.11572843790054321
task299-5e9ce8d9c98a4805a65ea2ae465f3a94,task299_storycloze_sentence_generation,Text Completion,"In this task, you're given four sentences of a story written in natural language in which one part is missing. Your job is to predict the position and missing part of the story and return in the following format: position, missing part. The missing part is a sentence that completes the story, and the position is the number of the missing sentence in the new story.","Sentence1: A new Organic Avenue store opened up in NYC and I checked it out. Sentence2: I was super excited to try it because I never went before. Sentence3: As I walked in, they had amazing salads and juices to try. Sentence4: This was my new favorite restaurant.","4, I tried a summer salad and coconut water.","2, I was excited to try the new restaurant.",0.10381335020065308
task299-4edd8450e38c4a839f6d75cc46b4975a,task299_storycloze_sentence_generation,Text Completion,"In this task, you're given four sentences of a story written in natural language in which one part is missing. Your job is to predict the position and missing part of the story and return in the following format: position, missing part. The missing part is a sentence that completes the story, and the position is the number of the missing sentence in the new story.",Sentence1: Amy called her internet provider for help. Sentence2: She explained her issue to the representative. Sentence3: They person gave an answer that in no way acknowledged her issue. Sentence4: Amy hung up the phone angrily.,"4, Amy repeated her issue to no avail.","4, Amy was very angry.",0.07224136590957642
task299-5864d778ea6547f0ae043e0f5d230866,task299_storycloze_sentence_generation,Text Completion,"In this task, you're given four sentences of a story written in natural language in which one part is missing. Your job is to predict the position and missing part of the story and return in the following format: position, missing part. The missing part is a sentence that completes the story, and the position is the number of the missing sentence in the new story.","Sentence1: Karen was assigned a roommate her first year of college. Sentence2: One day, her roommate asked her to go to a nearby city for a concert. Sentence3: The show was absolutely exhilarating. Sentence4: Karen became good friends with her roommate.","3, Karen agreed happily.","3, Karen agreed to go with her.",0.07750934362411499
task299-b4a2c06dc81f4d3c8b8ca3bc713cfbd5,task299_storycloze_sentence_generation,Text Completion,"In this task, you're given four sentences of a story written in natural language in which one part is missing. Your job is to predict the position and missing part of the story and return in the following format: position, missing part. The missing part is a sentence that completes the story, and the position is the number of the missing sentence in the new story.",Sentence1: Randy looked carefully at the engagement rings in the jewelry store. Sentence2: Randy asked the clerk if he could have a closer look at the ring. Sentence3: The ring was even more gorgeous up close! Sentence4: Randy bought the ring.,"2, He noticed a beautiful ring with a large diamond in the center.","3, Randy was able to see the ring in person.",0.10657328367233276
task299-181668ea67944631be90c732db424710,task299_storycloze_sentence_generation,Text Completion,"In this task, you're given four sentences of a story written in natural language in which one part is missing. Your job is to predict the position and missing part of the story and return in the following format: position, missing part. The missing part is a sentence that completes the story, and the position is the number of the missing sentence in the new story.",Sentence1: Joan kept waking up from her roommate playing music. Sentence2: She complained that she had trouble sleeping. Sentence3: Her roommate promised to be more considerate. Sentence4: Joan was thankful that her roommate was so caring.,"4, Her roommate began wearing headphones.","2, She asked her roommate to stop playing music.",0.09084904193878174
task299-11ef044d3f0c4482acfbf63dd46a0fc5,task299_storycloze_sentence_generation,Text Completion,"In this task, you're given four sentences of a story written in natural language in which one part is missing. Your job is to predict the position and missing part of the story and return in the following format: position, missing part. The missing part is a sentence that completes the story, and the position is the number of the missing sentence in the new story.",Sentence1: Zeke was throwing a Halloween party. Sentence2: All his friends were dressing up. Sentence3: Then he decided on a scarier costume. Sentence4: Zeke dressed up like a skeleton.,"3, Zeke thought about being a vampire or a wizard.","4, Zeke was very happy with his costume.",0.11518317461013794
task299-0ec1205fa92340a7ab1876319ba111da,task299_storycloze_sentence_generation,Text Completion,"In this task, you're given four sentences of a story written in natural language in which one part is missing. Your job is to predict the position and missing part of the story and return in the following format: position, missing part. The missing part is a sentence that completes the story, and the position is the number of the missing sentence in the new story.",Sentence1: The two hunters debated their location within the forest. Sentence2: They did not know if they had reached the right spot. Sentence3: Their attention was distracted when a huge buck entered the glade. Sentence4: The men were struck with awe.,"5, It was then that they knew they were in the right spot.","4, The hunters were able to shoot the buck.",0.19432151317596436
task299-6f074f7bb1b54474b8d808565ee48622,task299_storycloze_sentence_generation,Text Completion,"In this task, you're given four sentences of a story written in natural language in which one part is missing. Your job is to predict the position and missing part of the story and return in the following format: position, missing part. The missing part is a sentence that completes the story, and the position is the number of the missing sentence in the new story.","Sentence1: Barry decided that he would go and watch a professional game. Sentence2: Barry went to the stadium, and purchased a ticket. Sentence3: Upon entering, Barry decided to grab a beer to drink. Sentence4: Barry also bought a hot dog.","1, Barry loves playing baseball.","4, Barry was hungry, so he ordered a hamburger.",0.13435566425323486
task299-709b0077ab5945e094b625a7d8cb4928,task299_storycloze_sentence_generation,Text Completion,"In this task, you're given four sentences of a story written in natural language in which one part is missing. Your job is to predict the position and missing part of the story and return in the following format: position, missing part. The missing part is a sentence that completes the story, and the position is the number of the missing sentence in the new story.",Sentence1: His friend Sam invited him to go with his family. Sentence2: There was so much to see and do! Sentence3: Bobby's favorite activity was riding on the ferris wheel. Sentence4: Bobby enjoyed the carnival.,"1, Bobby had never been to a carnival before.","1, Bobby was excited to go to the carnival.",0.4547330141067505
task299-2699310689464a78b43e9c7ebf10f881,task299_storycloze_sentence_generation,Text Completion,"In this task, you're given four sentences of a story written in natural language in which one part is missing. Your job is to predict the position and missing part of the story and return in the following format: position, missing part. The missing part is a sentence that completes the story, and the position is the number of the missing sentence in the new story.","Sentence1: Horatio had always been afraid of eating a raw oyster. Sentence2: His girlfriend told him that it was delicious, but he was nervous. Sentence3: Finally she took him on a vacation to cape cod to try a fresh oyster. Sentence4: He ate ten more.","4, Horatio took his first bite into a raw oyster and loved it.","4, Horatio ate ten oysters.",0.12224715948104858
