id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task1398-c388b28d671d44188a3ed61c40f03128,task1398_obqa_question_generation,Question Generation,"Given a fact, create a question that can be answered using the fact. Construct the question such that it is unambiguous, has a unique answer and the answer can be given using the fact.",Fact: matter is made of molecules,Which of these is lacks molecules?,What is the most common way that matter is made?,0.8196777701377869
task1398-4f1dfc593eae44ca84f85f70a67a2e8f,task1398_obqa_question_generation,Question Generation,"Given a fact, create a question that can be answered using the fact. Construct the question such that it is unambiguous, has a unique answer and the answer can be given using the fact.",Fact: grey clouds are a source of precipitation,A sky that is mostly this color will likely be precipitating:?,Which of the following is a source of precipitation?,0.09993481636047363
task1398-d93300421f07450cb05952cd1cffb202,task1398_obqa_question_generation,Question Generation,"Given a fact, create a question that can be answered using the fact. Construct the question such that it is unambiguous, has a unique answer and the answer can be given using the fact.",Fact: a leaf absorbs sunlight to perform photosynthesis,A plant performs less photosynthesis in?,What is the purpose of a leaf?,0.1922895908355713
task1398-3cc05db0b93b4c88992a42dddce5236b,task1398_obqa_question_generation,Question Generation,"Given a fact, create a question that can be answered using the fact. Construct the question such that it is unambiguous, has a unique answer and the answer can be given using the fact.",Fact: living things live in their habitat,What lives in their habitat?,What do living things live in?,0.1926344633102417
task1398-08e1d320afc645a4a3342a9a6502b7fc,task1398_obqa_question_generation,Question Generation,"Given a fact, create a question that can be answered using the fact. Construct the question such that it is unambiguous, has a unique answer and the answer can be given using the fact.",Fact: a hot something is a source of heat,A person may source warmth from?,A hot dog is a source of?,0.08332425355911255
task1398-7f439e42eefd4e6e9064523aa6f26f46,task1398_obqa_question_generation,Question Generation,"Given a fact, create a question that can be answered using the fact. Construct the question such that it is unambiguous, has a unique answer and the answer can be given using the fact.",Fact: if a tree falls then that tree is dead,A fallen tree may provide what?,If a tree falls then that tree is?,0.08749312162399292
task1398-e142938bc3f741dda3420961246bb20b,task1398_obqa_question_generation,Question Generation,"Given a fact, create a question that can be answered using the fact. Construct the question such that it is unambiguous, has a unique answer and the answer can be given using the fact.",Fact: An example of a mixture is clay mixed together,An example of a mixture is?,A person can mix clay and water to make a?,0.09929805994033813
task1398-0ca3dd763f7244da82b02151693c37ca,task1398_obqa_question_generation,Question Generation,"Given a fact, create a question that can be answered using the fact. Construct the question such that it is unambiguous, has a unique answer and the answer can be given using the fact.",Fact: tuna eat fish,One of tunas favorite prey is the?,What do tuna eat?,0.09329009056091309
task1398-3860342e2e7346068c4663324ccf159f,task1398_obqa_question_generation,Question Generation,"Given a fact, create a question that can be answered using the fact. Construct the question such that it is unambiguous, has a unique answer and the answer can be given using the fact.",Fact: a closed circuit has continuous path,Which of the following likely make up a path for electrical energy to travel to a device?,A closed circuit has a continuous path because?,0.08648449182510376
task1398-44ad6e5a16fc479c8cfd60a41d1d6969,task1398_obqa_question_generation,Question Generation,"Given a fact, create a question that can be answered using the fact. Construct the question such that it is unambiguous, has a unique answer and the answer can be given using the fact.",Fact: brick is an electrical insulator,Which of the following is more likely to insulate from electricity?,Brick is an electrical insulator because?,0.09223264455795288
