id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task1319-e5445e593d494785b886b5cbbddb0c99,task1319_country_by_barcode_prefix,Misc.,"In this task, you are given a country name and you need to return the barcode prefix of the given country. A barcode prefix is a 3-digit number at the begining of all the barcodes on products from a company or country. Some countries have ranges of barcode prefixes such as, 730 - 739; in such a case, a number from within that range will be considered as a valid output.",Austria,912,739,0.04985255002975464
task1319-0ed6a5b1c85740c495d97b1dd183a516,task1319_country_by_barcode_prefix,Misc.,"In this task, you are given a country name and you need to return the barcode prefix of the given country. A barcode prefix is a 3-digit number at the begining of all the barcodes on products from a company or country. Some countries have ranges of barcode prefixes such as, 730 - 739; in such a case, a number from within that range will be considered as a valid output.",Spain,840,739,0.11508309841156006
task1319-d8f6f06d69634c69bf3de8dac8bae523,task1319_country_by_barcode_prefix,Misc.,"In this task, you are given a country name and you need to return the barcode prefix of the given country. A barcode prefix is a 3-digit number at the begining of all the barcodes on products from a company or country. Some countries have ranges of barcode prefixes such as, 730 - 739; in such a case, a number from within that range will be considered as a valid output.",Jordan,625,739,0.19655102491378784
task1319-0ed6a5b1c85740c495d97b1dd183a516,task1319_country_by_barcode_prefix,Misc.,"In this task, you are given a country name and you need to return the barcode prefix of the given country. A barcode prefix is a 3-digit number at the begining of all the barcodes on products from a company or country. Some countries have ranges of barcode prefixes such as, 730 - 739; in such a case, a number from within that range will be considered as a valid output.",Spain,846,739,0.05443853139877319
task1319-0ed6a5b1c85740c495d97b1dd183a516,task1319_country_by_barcode_prefix,Misc.,"In this task, you are given a country name and you need to return the barcode prefix of the given country. A barcode prefix is a 3-digit number at the begining of all the barcodes on products from a company or country. Some countries have ranges of barcode prefixes such as, 730 - 739; in such a case, a number from within that range will be considered as a valid output.",Spain,849,739,0.15520882606506348
task1319-dde9417dde934a45b8fbc4a4ea0def4d,task1319_country_by_barcode_prefix,Misc.,"In this task, you are given a country name and you need to return the barcode prefix of the given country. A barcode prefix is a 3-digit number at the begining of all the barcodes on products from a company or country. Some countries have ranges of barcode prefixes such as, 730 - 739; in such a case, a number from within that range will be considered as a valid output.",Russia,462,739,0.06052279472351074
task1319-0ed6a5b1c85740c495d97b1dd183a516,task1319_country_by_barcode_prefix,Misc.,"In this task, you are given a country name and you need to return the barcode prefix of the given country. A barcode prefix is a 3-digit number at the begining of all the barcodes on products from a company or country. Some countries have ranges of barcode prefixes such as, 730 - 739; in such a case, a number from within that range will be considered as a valid output.",Spain,841,739,0.03610396385192871
task1319-7e7bdbe06fe846b2893c297638cf44ee,task1319_country_by_barcode_prefix,Misc.,"In this task, you are given a country name and you need to return the barcode prefix of the given country. A barcode prefix is a 3-digit number at the begining of all the barcodes on products from a company or country. Some countries have ranges of barcode prefixes such as, 730 - 739; in such a case, a number from within that range will be considered as a valid output.",Egypt,622,739,0.09760451316833496
task1319-939eaeca418742b987006268c9135426,task1319_country_by_barcode_prefix,Misc.,"In this task, you are given a country name and you need to return the barcode prefix of the given country. A barcode prefix is a 3-digit number at the begining of all the barcodes on products from a company or country. Some countries have ranges of barcode prefixes such as, 730 - 739; in such a case, a number from within that range will be considered as a valid output.",Lithuania,477,739,0.06011366844177246
task1319-27ae5b2511dd444dac078a69a381f966,task1319_country_by_barcode_prefix,Misc.,"In this task, you are given a country name and you need to return the barcode prefix of the given country. A barcode prefix is a 3-digit number at the begining of all the barcodes on products from a company or country. Some countries have ranges of barcode prefixes such as, 730 - 739; in such a case, a number from within that range will be considered as a valid output.",Slovakia,858,739,0.11253023147583008
task1319-9ef6eeb9dd3c4379b7fd5e96cbb65ac4,task1319_country_by_barcode_prefix,Misc.,"In this task, you are given a country name and you need to return the barcode prefix of the given country. A barcode prefix is a 3-digit number at the begining of all the barcodes on products from a company or country. Some countries have ranges of barcode prefixes such as, 730 - 739; in such a case, a number from within that range will be considered as a valid output.",Vietnam,893,739,0.6107909679412842
task1319-0ed6a5b1c85740c495d97b1dd183a516,task1319_country_by_barcode_prefix,Misc.,"In this task, you are given a country name and you need to return the barcode prefix of the given country. A barcode prefix is a 3-digit number at the begining of all the barcodes on products from a company or country. Some countries have ranges of barcode prefixes such as, 730 - 739; in such a case, a number from within that range will be considered as a valid output.",Spain,843,739,0.1231810450553894
task1319-af762f906cb94594889d3135ceb6e93c,task1319_country_by_barcode_prefix,Misc.,"In this task, you are given a country name and you need to return the barcode prefix of the given country. A barcode prefix is a 3-digit number at the begining of all the barcodes on products from a company or country. Some countries have ranges of barcode prefixes such as, 730 - 739; in such a case, a number from within that range will be considered as a valid output.",United States drugs,037,739,0.13435029983520508
task1319-0ed6a5b1c85740c495d97b1dd183a516,task1319_country_by_barcode_prefix,Misc.,"In this task, you are given a country name and you need to return the barcode prefix of the given country. A barcode prefix is a 3-digit number at the begining of all the barcodes on products from a company or country. Some countries have ranges of barcode prefixes such as, 730 - 739; in such a case, a number from within that range will be considered as a valid output.",Spain,842,739,0.1711062788963318
task1319-b6469ea364924573aa18774d46bcbfc4,task1319_country_by_barcode_prefix,Misc.,"In this task, you are given a country name and you need to return the barcode prefix of the given country. A barcode prefix is a 3-digit number at the begining of all the barcodes on products from a company or country. Some countries have ranges of barcode prefixes such as, 730 - 739; in such a case, a number from within that range will be considered as a valid output.",Tajikistan,488,739,0.08828121423721313
task1319-b418439058f941cb98153d0e55d25171,task1319_country_by_barcode_prefix,Misc.,"In this task, you are given a country name and you need to return the barcode prefix of the given country. A barcode prefix is a 3-digit number at the begining of all the barcodes on products from a company or country. Some countries have ranges of barcode prefixes such as, 730 - 739; in such a case, a number from within that range will be considered as a valid output.",Denmark,571,739,0.1362805962562561
