id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task168-0f8c05aa4a4f415db84145d5ed656a90,task168_strategyqa_question_decomposition,Question Decomposition,"In the following task, you are given a yes/no question, its answer, and additional information which includes a description of a key term in the question and several facts. Your task is to ""decompose the question""i.e. write the steps required to construct the given answer where each step is a question that can be answered using Wikipedia articles. To decompose the question, think of a decomposition strategy you could apply to answer the question through a search against Wikipedia. The decomposition strategy might not be obvious for some questions. For this reason, you are provided with additional information. You are not required to write decompositions that exactly match the provided facts, they are only meant as guidance. If the facts are too noisy, think about how you would have used Wikipedia to answer this question to create the decomposition. ""not_definitive_answer"" is true if there is no clear answer i.e. the question is ambiguous or a subjective opinion.""incorrect_answer"" is true if the answer to the question is not correct. If the answer is incorrect, write a decomposition that evaluates the correct answer. Each question should be easy to answer based on simple facts from Wikipedia pages, or a simple check using the answers to preceding questions. To ensure this, we also ask you to enter a potential Wikipedia article that would contain the answer to each question. If you can not think of a Wikipedia page that can answer your question, please think of a different strategy. You do not need to enter a Wikipedia page for steps that don't add new information and only contain simple checks. The answer to the final question is the same as the answer to the original question. Every question's answer has an impact on the final answer and there should be no redundant steps in the decomposition.","Question: Does the emblem of the Spanish Navy feature jewels from the sea?, Answer:Yes, Description of Spanish Navy: Naval warfare branch of Spain's military, Fact1: The emblem of the Spanish Navy features a crown with multiple stacks of pearls., Fact2: Pearls are jewels from oysters., Fact3: Oysters are found in the ocean.","Step1: What is featured in stacks on the Spanish Navy emblem?, Step2: Where do #1 come from?, Step3: Are #2 found in the ocean?, Wikipedia page for step 1: Spanish Navy, Wikipedia page for step 2: Pearls, Wikipedia page for step 3: Oysters, not_definitive_answer: False, incorrect_answer: False","Step1: What are the jewels in the emblem of the Spanish Navy?, Step2: What are #1 made of?, Step3: Is #2 found in the ocean?, Wikipedia page for step 1: Spanish Navy, Wikipedia page for step 2: Pearls, Wikipedia page for step 3: Oyster, not_definitive_answer: False, incorrect_answer: False",0.6523609757423401
task168-8786c5c023f44216825f09dcf93b3b12,task168_strategyqa_question_decomposition,Question Decomposition,"In the following task, you are given a yes/no question, its answer, and additional information which includes a description of a key term in the question and several facts. Your task is to ""decompose the question""i.e. write the steps required to construct the given answer where each step is a question that can be answered using Wikipedia articles. To decompose the question, think of a decomposition strategy you could apply to answer the question through a search against Wikipedia. The decomposition strategy might not be obvious for some questions. For this reason, you are provided with additional information. You are not required to write decompositions that exactly match the provided facts, they are only meant as guidance. If the facts are too noisy, think about how you would have used Wikipedia to answer this question to create the decomposition. ""not_definitive_answer"" is true if there is no clear answer i.e. the question is ambiguous or a subjective opinion.""incorrect_answer"" is true if the answer to the question is not correct. If the answer is incorrect, write a decomposition that evaluates the correct answer. Each question should be easy to answer based on simple facts from Wikipedia pages, or a simple check using the answers to preceding questions. To ensure this, we also ask you to enter a potential Wikipedia article that would contain the answer to each question. If you can not think of a Wikipedia page that can answer your question, please think of a different strategy. You do not need to enter a Wikipedia page for steps that don't add new information and only contain simple checks. The answer to the final question is the same as the answer to the original question. Every question's answer has an impact on the final answer and there should be no redundant steps in the decomposition.","Question: Could every citizen of Samoa send a letter to a unique JPMorgan Chase employee?, Answer:Yes, Description of JPMorgan Chase: American multinational banking and financial services holding company, Fact1: JPMorgan Chase had a total of 256,981 employees in the fourth quarter of 2019., Fact2: The estimated population of Samoa as of July 1st, 2019 is 200,874.","Step1: How many employees does JPMorgan Chase have?, Step2: What is the population of Samoa?, Step3: Is #2 less than or equal to #1?, Wikipedia page for step 1: JPMorgan Chase, Wikipedia page for step 2: Samoa, Wikipedia page for step 3: , not_definitive_answer: False, incorrect_answer: False","Step1: How many employees does JPMorgan Chase have?, Step2: How many citizens of Samoa are there?, Step3: Is #1 greater than or equal to #2?, Wikipedia page for step 1: JPMorgan Chase, Wikipedia page for step 2: Samoa, Wikipedia page for step 3: , not_definitive_answer: False, incorrect_answer: False",0.6809300184249878
task168-4e30820f3bd74c8d81dff9ef7c6bd49d,task168_strategyqa_question_decomposition,Question Decomposition,"In the following task, you are given a yes/no question, its answer, and additional information which includes a description of a key term in the question and several facts. Your task is to ""decompose the question""i.e. write the steps required to construct the given answer where each step is a question that can be answered using Wikipedia articles. To decompose the question, think of a decomposition strategy you could apply to answer the question through a search against Wikipedia. The decomposition strategy might not be obvious for some questions. For this reason, you are provided with additional information. You are not required to write decompositions that exactly match the provided facts, they are only meant as guidance. If the facts are too noisy, think about how you would have used Wikipedia to answer this question to create the decomposition. ""not_definitive_answer"" is true if there is no clear answer i.e. the question is ambiguous or a subjective opinion.""incorrect_answer"" is true if the answer to the question is not correct. If the answer is incorrect, write a decomposition that evaluates the correct answer. Each question should be easy to answer based on simple facts from Wikipedia pages, or a simple check using the answers to preceding questions. To ensure this, we also ask you to enter a potential Wikipedia article that would contain the answer to each question. If you can not think of a Wikipedia page that can answer your question, please think of a different strategy. You do not need to enter a Wikipedia page for steps that don't add new information and only contain simple checks. The answer to the final question is the same as the answer to the original question. Every question's answer has an impact on the final answer and there should be no redundant steps in the decomposition.","Question: Is it bad to have lactic acid in your body?, Answer:No, Description of Lactic acid: group of stereoisomers, Fact1: The body naturally produces and uses lactic acid to convert glucose into energy, Fact2: Lactic acid bacteria are particularly good for digestive health.","Step1: What are the functions of lactic acid in the human body?, Step2: Is a majority of #1 harmful to the body?, Wikipedia page for step 1: Lactic acid, Wikipedia page for step 2: , not_definitive_answer: False, incorrect_answer: False","Step1: What is the primary function of lactic acid?, Step2: Is #1 harmful to the body?, Wikipedia page for step 1: Lactic acid, Wikipedia page for step 2: , not_definitive_answer: False, incorrect_answer: False",0.4835905432701111
task168-307aeb25dca14b3ca8ceac2350a56c48,task168_strategyqa_question_decomposition,Question Decomposition,"In the following task, you are given a yes/no question, its answer, and additional information which includes a description of a key term in the question and several facts. Your task is to ""decompose the question""i.e. write the steps required to construct the given answer where each step is a question that can be answered using Wikipedia articles. To decompose the question, think of a decomposition strategy you could apply to answer the question through a search against Wikipedia. The decomposition strategy might not be obvious for some questions. For this reason, you are provided with additional information. You are not required to write decompositions that exactly match the provided facts, they are only meant as guidance. If the facts are too noisy, think about how you would have used Wikipedia to answer this question to create the decomposition. ""not_definitive_answer"" is true if there is no clear answer i.e. the question is ambiguous or a subjective opinion.""incorrect_answer"" is true if the answer to the question is not correct. If the answer is incorrect, write a decomposition that evaluates the correct answer. Each question should be easy to answer based on simple facts from Wikipedia pages, or a simple check using the answers to preceding questions. To ensure this, we also ask you to enter a potential Wikipedia article that would contain the answer to each question. If you can not think of a Wikipedia page that can answer your question, please think of a different strategy. You do not need to enter a Wikipedia page for steps that don't add new information and only contain simple checks. The answer to the final question is the same as the answer to the original question. Every question's answer has an impact on the final answer and there should be no redundant steps in the decomposition.","Question: Does Amtrak operate four wheel vehicles?, Answer:Yes, Description of Amtrak: Intercity rail operator in the United States, Fact1: Amtrak is a transportation service., Fact2: Amtrak transports people with trains and buses., Fact3: A bus is a four wheel vehicle. ","Step1: What kinds of vehicles does Amtrak use?, Step2: Do any of #1 have four wheels?, Wikipedia page for step 1: Amtrak, Wikipedia page for step 2: , not_definitive_answer: False, incorrect_answer: False","Step1: What type of vehicles does Amtrak operate?, Step2: What type of vehicles does a bus have?, Step3: Is #2 the same as #4?, Wikipedia page for step 1: Amtrak, Wikipedia page for step 2: Amtrak, Wikipedia page for step 3: Bus, not_definitive_answer: False, incorrect_answer: False",0.6567369103431702
task168-5ec756993ca04ecf9aeab07e1be03ecc,task168_strategyqa_question_decomposition,Question Decomposition,"In the following task, you are given a yes/no question, its answer, and additional information which includes a description of a key term in the question and several facts. Your task is to ""decompose the question""i.e. write the steps required to construct the given answer where each step is a question that can be answered using Wikipedia articles. To decompose the question, think of a decomposition strategy you could apply to answer the question through a search against Wikipedia. The decomposition strategy might not be obvious for some questions. For this reason, you are provided with additional information. You are not required to write decompositions that exactly match the provided facts, they are only meant as guidance. If the facts are too noisy, think about how you would have used Wikipedia to answer this question to create the decomposition. ""not_definitive_answer"" is true if there is no clear answer i.e. the question is ambiguous or a subjective opinion.""incorrect_answer"" is true if the answer to the question is not correct. If the answer is incorrect, write a decomposition that evaluates the correct answer. Each question should be easy to answer based on simple facts from Wikipedia pages, or a simple check using the answers to preceding questions. To ensure this, we also ask you to enter a potential Wikipedia article that would contain the answer to each question. If you can not think of a Wikipedia page that can answer your question, please think of a different strategy. You do not need to enter a Wikipedia page for steps that don't add new information and only contain simple checks. The answer to the final question is the same as the answer to the original question. Every question's answer has an impact on the final answer and there should be no redundant steps in the decomposition.","Question: Is Elton John named after the hero who cleaned the Augean Stables?, Answer:Yes, Description of Elton John: English rock singer-songwriter, composer and pianist, Fact1: Elton John's middle name is Hercules., Fact2: One of Hercules' legendary labors was cleaning the Augean Stables.","Step1:  Which hero cleaned the Augean Stables?, Step2: What is Elton John's full name?, Step3: Is any component of #2 another name of #1?, Wikipedia page for step 1: Augeas, Wikipedia page for step 2: Elton John, Wikipedia page for step 3: Heracles, not_definitive_answer: False, incorrect_answer: False","Step1: What is Elton John's middle name?, Step2: What was one of Hercules' legendary labors?, Step3: Is #1 the same as #2?, Wikipedia page for step 1: Elton John, Wikipedia page for step 2: Hercules, Wikipedia page for step 3: , not_definitive_answer: False, incorrect_answer: False",0.6675667762756348
task168-5d622a40f29b4b59b879d92d35cc5c18,task168_strategyqa_question_decomposition,Question Decomposition,"In the following task, you are given a yes/no question, its answer, and additional information which includes a description of a key term in the question and several facts. Your task is to ""decompose the question""i.e. write the steps required to construct the given answer where each step is a question that can be answered using Wikipedia articles. To decompose the question, think of a decomposition strategy you could apply to answer the question through a search against Wikipedia. The decomposition strategy might not be obvious for some questions. For this reason, you are provided with additional information. You are not required to write decompositions that exactly match the provided facts, they are only meant as guidance. If the facts are too noisy, think about how you would have used Wikipedia to answer this question to create the decomposition. ""not_definitive_answer"" is true if there is no clear answer i.e. the question is ambiguous or a subjective opinion.""incorrect_answer"" is true if the answer to the question is not correct. If the answer is incorrect, write a decomposition that evaluates the correct answer. Each question should be easy to answer based on simple facts from Wikipedia pages, or a simple check using the answers to preceding questions. To ensure this, we also ask you to enter a potential Wikipedia article that would contain the answer to each question. If you can not think of a Wikipedia page that can answer your question, please think of a different strategy. You do not need to enter a Wikipedia page for steps that don't add new information and only contain simple checks. The answer to the final question is the same as the answer to the original question. Every question's answer has an impact on the final answer and there should be no redundant steps in the decomposition.","Question: Can a chess board be converted to a Shogi board?, Answer:No, Description of Shogi: Game native to Japan, Fact1: Chess is a game that is made up of 64 squares., Fact2: The Japanese game of Shogi requires a total of 81 squares.","Step1: How many squares are on a chessboard?, Step2: How many squares are on a Shogi board?, Step3: Is #1 equal to #2?, Wikipedia page for step 1: Chess, Wikipedia page for step 2: Shogi, Wikipedia page for step 3: , not_definitive_answer: False, incorrect_answer: False","Step1: How many squares are in a chess board?, Step2: How many squares are in a shogi board?, Step3: Is #1 greater than or equal to #2?, Wikipedia page for step 1: Chess, Wikipedia page for step 2: Shogi, Wikipedia page for step 3: , not_definitive_answer: False, incorrect_answer: False",0.7153794765472412
task168-79edb36fb5b04267a1480be26d1ce491,task168_strategyqa_question_decomposition,Question Decomposition,"In the following task, you are given a yes/no question, its answer, and additional information which includes a description of a key term in the question and several facts. Your task is to ""decompose the question""i.e. write the steps required to construct the given answer where each step is a question that can be answered using Wikipedia articles. To decompose the question, think of a decomposition strategy you could apply to answer the question through a search against Wikipedia. The decomposition strategy might not be obvious for some questions. For this reason, you are provided with additional information. You are not required to write decompositions that exactly match the provided facts, they are only meant as guidance. If the facts are too noisy, think about how you would have used Wikipedia to answer this question to create the decomposition. ""not_definitive_answer"" is true if there is no clear answer i.e. the question is ambiguous or a subjective opinion.""incorrect_answer"" is true if the answer to the question is not correct. If the answer is incorrect, write a decomposition that evaluates the correct answer. Each question should be easy to answer based on simple facts from Wikipedia pages, or a simple check using the answers to preceding questions. To ensure this, we also ask you to enter a potential Wikipedia article that would contain the answer to each question. If you can not think of a Wikipedia page that can answer your question, please think of a different strategy. You do not need to enter a Wikipedia page for steps that don't add new information and only contain simple checks. The answer to the final question is the same as the answer to the original question. Every question's answer has an impact on the final answer and there should be no redundant steps in the decomposition.","Question: Was England directly involved in the Arab-Israeli conflict?, Answer:Yes, Description of Arab–Israeli conflict: geopolitical conflict in the Middle East and North Africa, Fact1: The Arab-Israeli conflict began hundreds of years ago., Fact2: England occupied what is now Israel until 1945 when Israel became independent., Fact3: During Israel's war for independence England allied with their Arab neighbors to fight the Israeli rebels.","Step1: Which nation did Israel gain independence from?, Step2: Which other nation did #1 ally with to resist Israeli rebels during the war for independence?, Step3: Is #1 England and #2 Arab?, Wikipedia page for step 1: Israel, Wikipedia page for step 2: Israel, Wikipedia page for step 3: , not_definitive_answer: False, incorrect_answer: False","Step1: When did the Arab-Israeli conflict begin?, Step2: When did England occupy what is now Israel?, Step3: Did #1 occur before #2?, Wikipedia page for step 1: Arab-Israeli conflict, Wikipedia page for step 2: Israel, Wikipedia page for step 3: , not_definitive_answer: False, incorrect_answer: False",0.6333191394805908
task168-c617eb3fcecd45d0a38d16ef4ef2578a,task168_strategyqa_question_decomposition,Question Decomposition,"In the following task, you are given a yes/no question, its answer, and additional information which includes a description of a key term in the question and several facts. Your task is to ""decompose the question""i.e. write the steps required to construct the given answer where each step is a question that can be answered using Wikipedia articles. To decompose the question, think of a decomposition strategy you could apply to answer the question through a search against Wikipedia. The decomposition strategy might not be obvious for some questions. For this reason, you are provided with additional information. You are not required to write decompositions that exactly match the provided facts, they are only meant as guidance. If the facts are too noisy, think about how you would have used Wikipedia to answer this question to create the decomposition. ""not_definitive_answer"" is true if there is no clear answer i.e. the question is ambiguous or a subjective opinion.""incorrect_answer"" is true if the answer to the question is not correct. If the answer is incorrect, write a decomposition that evaluates the correct answer. Each question should be easy to answer based on simple facts from Wikipedia pages, or a simple check using the answers to preceding questions. To ensure this, we also ask you to enter a potential Wikipedia article that would contain the answer to each question. If you can not think of a Wikipedia page that can answer your question, please think of a different strategy. You do not need to enter a Wikipedia page for steps that don't add new information and only contain simple checks. The answer to the final question is the same as the answer to the original question. Every question's answer has an impact on the final answer and there should be no redundant steps in the decomposition.","Question: Will a Holstein cow and the Liberty Bell balance out a giant scale?, Answer:No, Description of Liberty Bell: bell that serves as a symbol of American independence and liberty, Fact1: The Liberty Bell weighs 2,080 pounds., Fact2: A mature Holstein cow weighs around 1,500 pounds.","Step1: What is the average weight of a mature Holstein cow?, Step2: What is the weight of the Liberty Bell?, Step3: Is #1 closely the same as #2?, Wikipedia page for step 1: Holstein Friesian cattle, Wikipedia page for step 2: Liberty Bell, Wikipedia page for step 3: , not_definitive_answer: False, incorrect_answer: False","Step1: How much does the Liberty Bell weigh?, Step2: How much does a Holstein cow weigh?, Step3: Is #1 greater than #2?, Wikipedia page for step 1: Liberty Bell, Wikipedia page for step 2: Holstein cow, Wikipedia page for step 3: , not_definitive_answer: False, incorrect_answer: False",0.6276476979255676
task168-b3089b15c30d4d4e860ca09eb7a010b5,task168_strategyqa_question_decomposition,Question Decomposition,"In the following task, you are given a yes/no question, its answer, and additional information which includes a description of a key term in the question and several facts. Your task is to ""decompose the question""i.e. write the steps required to construct the given answer where each step is a question that can be answered using Wikipedia articles. To decompose the question, think of a decomposition strategy you could apply to answer the question through a search against Wikipedia. The decomposition strategy might not be obvious for some questions. For this reason, you are provided with additional information. You are not required to write decompositions that exactly match the provided facts, they are only meant as guidance. If the facts are too noisy, think about how you would have used Wikipedia to answer this question to create the decomposition. ""not_definitive_answer"" is true if there is no clear answer i.e. the question is ambiguous or a subjective opinion.""incorrect_answer"" is true if the answer to the question is not correct. If the answer is incorrect, write a decomposition that evaluates the correct answer. Each question should be easy to answer based on simple facts from Wikipedia pages, or a simple check using the answers to preceding questions. To ensure this, we also ask you to enter a potential Wikipedia article that would contain the answer to each question. If you can not think of a Wikipedia page that can answer your question, please think of a different strategy. You do not need to enter a Wikipedia page for steps that don't add new information and only contain simple checks. The answer to the final question is the same as the answer to the original question. Every question's answer has an impact on the final answer and there should be no redundant steps in the decomposition.","Question: HTML is an acronym for Hello To My Love?, Answer:Yes, Description of HTML: Hypertext Markup Language, Fact1: An acronym is an abbreviation formed from the initial letters of other words and pronounced as a word. , Fact2: Each initial letter of each word in the phrase,(H)ello (T)o (M)y (L)ove,  corresponds to a letter in HTML","Step1: What is HTML?, Step2: How do Web Servers work?, Step3: Is #1 same as #2 ?, Wikipedia page for step 1: Wikipedia page: HTML, Wikipedia page for step 2: Wikipedia page: Web Server, Wikipedia page for step 3: Simple check using #1 and #2, not_definitive_answer: False, incorrect_answer: True","Step1: What is the acronym Hello To My Love?, Step2: What is the initial letter of #1?, Step3: Is #2 the same as #1?, Wikipedia page for step 1: Hello To My Love, Wikipedia page for step 2: Hello To My Love, Wikipedia page for step 3: , not_definitive_answer: False, incorrect_answer: False",0.6355950236320496
task168-f2c06d54f155413c9de0898094fcf5ef,task168_strategyqa_question_decomposition,Question Decomposition,"In the following task, you are given a yes/no question, its answer, and additional information which includes a description of a key term in the question and several facts. Your task is to ""decompose the question""i.e. write the steps required to construct the given answer where each step is a question that can be answered using Wikipedia articles. To decompose the question, think of a decomposition strategy you could apply to answer the question through a search against Wikipedia. The decomposition strategy might not be obvious for some questions. For this reason, you are provided with additional information. You are not required to write decompositions that exactly match the provided facts, they are only meant as guidance. If the facts are too noisy, think about how you would have used Wikipedia to answer this question to create the decomposition. ""not_definitive_answer"" is true if there is no clear answer i.e. the question is ambiguous or a subjective opinion.""incorrect_answer"" is true if the answer to the question is not correct. If the answer is incorrect, write a decomposition that evaluates the correct answer. Each question should be easy to answer based on simple facts from Wikipedia pages, or a simple check using the answers to preceding questions. To ensure this, we also ask you to enter a potential Wikipedia article that would contain the answer to each question. If you can not think of a Wikipedia page that can answer your question, please think of a different strategy. You do not need to enter a Wikipedia page for steps that don't add new information and only contain simple checks. The answer to the final question is the same as the answer to the original question. Every question's answer has an impact on the final answer and there should be no redundant steps in the decomposition.","Question: Did villain that killed Superman murder Robin?, Answer:No, Description of Superman: Fictional superhero, Fact1: Superman was killed by the villain Doomsday in Superman #75., Fact2: Robin is killed by The Joker in the Batman comics.","Step1: Who was Superman killed by?, Step2: Who was Robin killed by?, Step3: Is #1 the same as #2?, Wikipedia page for step 1: Superman, Wikipedia page for step 2: Robin (Batman), Wikipedia page for step 3: , not_definitive_answer: False, incorrect_answer: False","Step1: Who killed Superman?, Step2: Who killed Robin?, Step3: Is #1 the same as #2?, Wikipedia page for step 1: Superman, Wikipedia page for step 2: Robin, Wikipedia page for step 3: , not_definitive_answer: False, incorrect_answer: False",0.5440734028816223
