id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task1318-12c8f133a2b548f599ef4a02eb585939,task1318_country_national_dish,Misc.,"In this task, you are given a country name and you need to return the national dish of the given country. Some countries have multiple national dishes, in which case any one of those dishes will be considered a valid output.",England,"Beef,    (especially roast beef/corned beef),    Pudding ",English Breakfast,0.129974365234375
task1318-a73922f4d46c44349d1c4f7cb7057cb3,task1318_country_national_dish,Misc.,"In this task, you are given a country name and you need to return the national dish of the given country. Some countries have multiple national dishes, in which case any one of those dishes will be considered a valid output.",Ireland,"Colcannon,  Irish stew ",Irish stew,0.28525054454803467
task1318-cfa2957a1937440cab8b74403d229ac2,task1318_country_national_dish,Misc.,"In this task, you are given a country name and you need to return the national dish of the given country. Some countries have multiple national dishes, in which case any one of those dishes will be considered a valid output.",Belarus,Draniki,Belarusian samosa,0.10000038146972656
task1318-7756b63e931242a882501ef8da86cc5a,task1318_country_national_dish,Misc.,"In this task, you are given a country name and you need to return the national dish of the given country. Some countries have multiple national dishes, in which case any one of those dishes will be considered a valid output.",Isle of Man,Skeddan jiarg,Manx stew,0.2617962956428528
task1318-c8f7703bd9554de8ac31f41f63b8ec03,task1318_country_national_dish,Misc.,"In this task, you are given a country name and you need to return the national dish of the given country. Some countries have multiple national dishes, in which case any one of those dishes will be considered a valid output.",Bolivia,Salteñas  ,Plata de agua,0.07145923376083374
task1318-8356b767d77b46b4b2ba5b0872679e43,task1318_country_national_dish,Misc.,"In this task, you are given a country name and you need to return the national dish of the given country. Some countries have multiple national dishes, in which case any one of those dishes will be considered a valid output.",Austria,"Wiener schnitzel, Tafelspitz",Wiener Schnitzel,0.05914098024368286
task1318-901855512f004efc82031025940d217c,task1318_country_national_dish,Misc.,"In this task, you are given a country name and you need to return the national dish of the given country. Some countries have multiple national dishes, in which case any one of those dishes will be considered a valid output.",India,No officially anointed national dish,Vegetable,0.06792193651199341
task1318-78f613887d024f44ab0028a7daa38876,task1318_country_national_dish,Misc.,"In this task, you are given a country name and you need to return the national dish of the given country. Some countries have multiple national dishes, in which case any one of those dishes will be considered a valid output.",Dominica,"Mountain chicken, Fish broth",samosa,0.08146506547927856
task1318-0d063f877eb84e76b7a29d6a134ee0bd,task1318_country_national_dish,Misc.,"In this task, you are given a country name and you need to return the national dish of the given country. Some countries have multiple national dishes, in which case any one of those dishes will be considered a valid output.",Venezuela,Pabellón criollo  ,Plata de agua,0.11544740200042725
task1318-350d9f2626554e119ca29d13dff18ac3,task1318_country_national_dish,Misc.,"In this task, you are given a country name and you need to return the national dish of the given country. Some countries have multiple national dishes, in which case any one of those dishes will be considered a valid output.",Cape Verde,Cachupa,"Mozzarella, samosa, samosa, samosa, samosa, samosa, samosa, samosa, samosa, samosa, samosa, samosa, samosa, samosa, samosa, samosa, samosa, samosa, samosa, samosa, samosa, sa",0.8777758479118347
task1318-40e262020f694385be2aefd766e94996,task1318_country_national_dish,Misc.,"In this task, you are given a country name and you need to return the national dish of the given country. Some countries have multiple national dishes, in which case any one of those dishes will be considered a valid output.",Uruguay,"Asado, Chivito",Argentinean,0.16172349452972412
task1318-d81e8b143afb450996d579b7e5411aa0,task1318_country_national_dish,Misc.,"In this task, you are given a country name and you need to return the national dish of the given country. Some countries have multiple national dishes, in which case any one of those dishes will be considered a valid output.",Scotland,Haggis  ,Scottish scotch,0.048407137393951416
task1318-794b24b25beb4d80b56501d645ac4002,task1318_country_national_dish,Misc.,"In this task, you are given a country name and you need to return the national dish of the given country. Some countries have multiple national dishes, in which case any one of those dishes will be considered a valid output.",Basque Country,"Marmitako, Chistorras",Basque ham,0.1294143795967102
task1318-91df286966c04ce49ededd6973c8c310,task1318_country_national_dish,Misc.,"In this task, you are given a country name and you need to return the national dish of the given country. Some countries have multiple national dishes, in which case any one of those dishes will be considered a valid output.",Aruba,Keshi yena,Aruban fried rice,0.05937069654464722
task1318-e4945bcff0c147e9b6c028a190e5605d,task1318_country_national_dish,Misc.,"In this task, you are given a country name and you need to return the national dish of the given country. Some countries have multiple national dishes, in which case any one of those dishes will be considered a valid output.",Indonesia,"Tumpeng Sate,  Soto,  Nasi goreng  ",Indonesian fried rice,0.14128315448760986
task1318-2f3ebd626efb4c59956b21e2ae8bd35c,task1318_country_national_dish,Misc.,"In this task, you are given a country name and you need to return the national dish of the given country. Some countries have multiple national dishes, in which case any one of those dishes will be considered a valid output.",Laos,"Tum Mak Hoong (Som Tum, its Thai name)","Thai Beef, Chicken, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef, Beef",0.9238847494125366
task1318-9ae55ef1f7df42308d180d8304ed20cf,task1318_country_national_dish,Misc.,"In this task, you are given a country name and you need to return the national dish of the given country. Some countries have multiple national dishes, in which case any one of those dishes will be considered a valid output.",Trinidad and Tobago,"Callaloo,  Doubles",Trinidadian fried chicken,0.0802655816078186
