id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task093-4c06243d008d4b1f85ad219d03bb1529,task093_conala_normalize_lists,Program Execution,"In this task, you will be given a list of numbers. The goal is to divide all the numbers in the list by a constant such that the sum of the resulting list is 1. The output should be rounded to 3 decimals.","[-38.246, -24.113, 84.256]",[-1.747 -1.101  3.848],[-0.304 -0.204 0.704],0.11976706981658936
task093-b2f33234953343a8b414079b9d6a34d6,task093_conala_normalize_lists,Program Execution,"In this task, you will be given a list of numbers. The goal is to divide all the numbers in the list by a constant such that the sum of the resulting list is 1. The output should be rounded to 3 decimals.","[215.94, 103.823, -82.236, 163.791, 221.906, 119.349, 98.471]",[ 0.257  0.123 -0.098  0.195  0.264  0.142  0.117],[ 0.216 0.162 -0.104 0.185 0.218 0.152 0.116],0.182451069355011
task093-51afe0d74da54bc3845781aa898f9c81,task093_conala_normalize_lists,Program Execution,"In this task, you will be given a list of numbers. The goal is to divide all the numbers in the list by a constant such that the sum of the resulting list is 1. The output should be rounded to 3 decimals.","[49.984, -56.265, 180.195, -81.352, 107.789, 211.398, -46.788, 238.073, 106.082, 152.578]",[ 0.058 -0.065  0.209 -0.094  0.125  0.245 -0.054  0.276  0.123  0.177],[ 0.086 -0.076 0.318 -0.104 0.152 0.318 -0.086 0.418 0.152 0.216],0.36372989416122437
task093-880710a831b74a3eb75e5759f049991a,task093_conala_normalize_lists,Program Execution,"In this task, you will be given a list of numbers. The goal is to divide all the numbers in the list by a constant such that the sum of the resulting list is 1. The output should be rounded to 3 decimals.","[172.308, -27.447, 44.49, 165.276, 174.702, -31.764, 212.396, 50.033]",[ 0.227 -0.036  0.059  0.217  0.23  -0.042  0.279  0.066],[ 0.216 -0.038 0.043 0.167 0.167 -0.037 0.216 0.062],0.17653948068618774
task093-211e3cc670e944aea812b0cfb680d430,task093_conala_normalize_lists,Program Execution,"In this task, you will be given a list of numbers. The goal is to divide all the numbers in the list by a constant such that the sum of the resulting list is 1. The output should be rounded to 3 decimals.","[218.787, 59.666, 19.94, 34.741, 217.328, 197.503, 41.283]",[0.277 0.076 0.025 0.044 0.275 0.25  0.052],[ 0.256 0.062 0.014 0.038 0.256 0.256 0.062],0.15006601810455322
task093-c8209b4da248475e8eef842d890d6bb5,task093_conala_normalize_lists,Program Execution,"In this task, you will be given a list of numbers. The goal is to divide all the numbers in the list by a constant such that the sum of the resulting list is 1. The output should be rounded to 3 decimals.","[41.827, 144.872, 63.146]",[0.167 0.58  0.253],[0.122 0.418 0.218],0.19808745384216309
task093-4a47162d5f844fb695271d38f3cda5f5,task093_conala_normalize_lists,Program Execution,"In this task, you will be given a list of numbers. The goal is to divide all the numbers in the list by a constant such that the sum of the resulting list is 1. The output should be rounded to 3 decimals.","[-7.821, -58.018, -18.809, -28.862]",[0.069 0.511 0.166 0.254],[-0.04 -0.302 -0.204 -0.302],0.282565712928772
task093-941a9e72ce374f02b4947c37016b74c6,task093_conala_normalize_lists,Program Execution,"In this task, you will be given a list of numbers. The goal is to divide all the numbers in the list by a constant such that the sum of the resulting list is 1. The output should be rounded to 3 decimals.","[53.945, -30.324, 224.979, 74.749, -6.674, -17.047, -3.333, -46.686, -94.455, 191.489]",[ 0.156 -0.087  0.649  0.216 -0.019 -0.049 -0.01  -0.135 -0.272  0.552],[ 0.137 -0.086 0.318 0.185 -0.018 -0.018 -0.01 -0.104 -0.104 0.318],0.2628505825996399
task093-8719bcad81914fe6b93afc4e59a02ab5,task093_conala_normalize_lists,Program Execution,"In this task, you will be given a list of numbers. The goal is to divide all the numbers in the list by a constant such that the sum of the resulting list is 1. The output should be rounded to 3 decimals.","[182.715, -79.935, 131.163, 104.316, -49.399, 123.665, 228.416, 176.819]",[ 0.223 -0.098  0.16   0.128 -0.06   0.151  0.279  0.216],[ 0.255 -0.086 0.185 0.137 -0.049 0.154 0.218 0.185],0.17524254322052002
task093-b4a832edbb1d447094176fdbef7b27ee,task093_conala_normalize_lists,Program Execution,"In this task, you will be given a list of numbers. The goal is to divide all the numbers in the list by a constant such that the sum of the resulting list is 1. The output should be rounded to 3 decimals.","[212.882, -15.349, 31.007, -82.813]",[ 1.461 -0.105  0.213 -0.568],[ 0.704 -0.043 0.318 -0.704],0.12329220771789551
