id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task405-aef488d36a964692bd216f95394fd0cb,task405_narrativeqa_question_generation,Question Generation,"You will be given a summary of a story. You need to create a question that can be answered from the story. You can create a question about characters, events, facts and beliefs, etc. Your question should be specific, try not to use pronouns instead of full names. As the stories are sometimes movie plots, they will contain actor names in parentheses. You should not use those names. Only use character names. Try to ask a question about all parts of the plot, not just the beginning."," The Man of Feeling details the fragmentary episodes of the life of Harley which exist within the remains of a manuscript traded to the initial narrator of the novel by a priest. The novel itself begins with these two latter figures hunting, whereas the manuscript is missing the first ten chapters and approximately thirty others at various locations throughout the manuscript's entirety.
As a young boy, Harley loses his parents and is assigned several guardians who constantly disagree with each other. They do however agree that he should make an effort to acquire more wealth, and so they urge him to make an old distant relative amiable towards him to claim some inheritance. Harley fails in this endeavour, as he doesn't cooperate with the relative's attempts to warm to him.
Harley is then advised to acquire a patron; to sell his vote at an election for a lease of land. His neighbour Mr. Walton gives him a letter of introduction, and he leaves home (and Miss Walton) for London. He meets a beggar and his dog on the way, and after donating to them, hears the fortune-telling beggar's story.
In the following (missing) chapters, Harley formally visits the baronet Mr. Walton recommended him to, because when the narrative continues, Harley is calling on him for the second time. The baronet however is away from London, and Harley meets another gentleman named Tom. They go for a stroll and then dine together, discussing pensions and resources with two older men.
Harley proceeds to visit Bedlam, and weeps for an inmate there, before dining with a scorned, cynical man and together they discuss honour and vanity. He then demonstrates his skill (or, as many argue, his lack of skill) in physiognomy by being charitable on behalf of an old gentleman, with whom Harley later plays cards. After losing money to them, Harley is informed the gentleman and his acquaintance are con men.
Approached by a prostitute, Harley takes her to a tavern and feeds her, despite having to hand the waiter his pocket watch as collateral for paying the bill, and then meets again with her the next morning to hear her story. At its conclusion her father arrives, and after a misunderstanding is reconciled with his daughter. Jamie is then deemed the 'man of feeling' as a result of his loss of control over his emotions.
Upon discovering that his claim for the land lease has failed, Harley takes a stage-coach back home, discussing poetry and vice with a fellow passenger until they part ways and the coach reaches the end of its route. Harley continues on foot, and along the way meets Edwards, an old farmer from his village who has fallen on hard times and is returning from his conscription in the army. Together they approach the village, to find the school house destroyed, and two orphans who are actually the grandchildren of Harley's companion. Harley takes the three of them home, and provides some land for them.
After discussing corrupt military commanders with Edwards, Harley is informed to his dismay that Miss Walton is going to be married to Sir Harry Benson.
The Man of Feeling then jumps to an unconnected tale of a man named Mountford, who journeys to Milan as tutor to the young Sedley, where they meet with a count. They visit a debtors' prison to find a man and his family living there at the behest of the count's son, a man who had been so charming to the two gentlemen. Sedley pays the family's debt, and then Mountford and Sedley leave Milan in disgust.
The narrative returns to the story of Harley. Miss Walton has not married Benson. She visits an unwell Harley (who has contracted a fever nursing Edwards and his grandchildren), who confesses his love to her. They hold hands and he dies.",Why is Harley assigned several legal guardians?,What does Harley do after donating to the beggar and his dog?,0.15338534116744995
task405-f206b4424dfa4660874c7b2d41635983,task405_narrativeqa_question_generation,Question Generation,"You will be given a summary of a story. You need to create a question that can be answered from the story. You can create a question about characters, events, facts and beliefs, etc. Your question should be specific, try not to use pronouns instead of full names. As the stories are sometimes movie plots, they will contain actor names in parentheses. You should not use those names. Only use character names. Try to ask a question about all parts of the plot, not just the beginning."," The protagonist is the sharp-witted Dr. Peter Blood, a fictional Irish physician who had had a wide-ranging career as a soldier and sailor (including a commission as a captain under the Dutch admiral De Ruyter) before settling down to practice medicine in the town of Bridgwater in Somerset.
The book opens with him attending to his geraniums while the town prepares to fight for the Duke of Monmouth. He wants no part in the rebellion, but while attending to some of the rebels wounded at the Battle of Sedgemoor, Peter is arrested. During the Bloody Assizes, he is convicted by the infamous Judge Jeffreys of treason on the grounds that ""if any person be in actual rebellion against the King, and another person who really and actually was not in rebellion does knowingly receive, harbour, comfort, or succour him, such a person is as much a traitor as he who indeed bore arms.""
The sentence for treason is death by hanging, but King James II, for purely financial reasons, has the sentence for Blood and other convicted rebels commuted to transportation to the Caribbean, where they are to be sold into slavery. Upon arrival on the island of Barbados, Blood is bought by Colonel Bishop, initially for work in the Colonel's sugar plantations but later hired out by Bishop when Blood's skills as a physician prove superior to those of the local doctors. During his period of slavery, Blood becomes acquainted with and even friendly with Arabella Bishop, Colonel Bishop's niece, who becomes sympathetic after learning his history.
When a Spanish force attacks and raids the town of Bridgetown, Blood escapes with a number of other convict-slaves (including former shipmaster Jeremy Pitt, the one-eyed giant Edward Wolverstone, former gentleman Nathaniel Hagthorpe, former Royal Navy petty officer Nicholas Dyke and former Royal Navy master gunner Ned Ogle), captures the Spaniards' ship and sails away to become one of the most successful pirates in the Caribbean, hated and feared by the Spanish and always sparing English ships. Colonel Bishop, humiliated by Blood's escape and by Blood himself, devotes himself to capturing Blood with the hope of hanging him.
After the Glorious Revolution, Blood is pardoned. As a reward for saving the colony of Jamaica from a French assault, he is appointed its governor in place of Colonel Bishop, who had abandoned his post to hunt for Blood, and the novel ends with the implication that Blood will not only marry Colonel Bishop's niece Arabella but will also let Bishop off easy.",What does Dr. Blood pursue after his escape?,What is the name of the town where Peter Blood is arrested?,0.13422858715057373
task405-ce3c90e3a28d405aa543f96d8148d869,task405_narrativeqa_question_generation,Question Generation,"You will be given a summary of a story. You need to create a question that can be answered from the story. You can create a question about characters, events, facts and beliefs, etc. Your question should be specific, try not to use pronouns instead of full names. As the stories are sometimes movie plots, they will contain actor names in parentheses. You should not use those names. Only use character names. Try to ask a question about all parts of the plot, not just the beginning."," U.S. Army pilot Captain Colter Stevens (Jake Gyllenhaal), last aware of being on a mission in Afghanistan, wakes up on a commuter train to Chicago, at 7:40 am. To the world around him   including his traveling partner Christina Warren (Michelle Monaghan) and the bathroom mirror   he appears to be Sean Fentress, a school teacher. As he comes to grips with this revelation, the train explodes, killing everyone aboard.
Stevens regains consciousness inside a dingy dim cockpit, leaking oil. Communicating through a video screen, Air Force Captain Colleen Goodwin (Vera Farmiga) verifies Stevens' identity, and insists he stay ""on mission"" to find the bomber before a large ""dirty bomb"" hits downtown Chicago in six hours. Inside the ""Source Code"" experimental device designed by scientist Dr. Rutledge (Jeffrey Wright), he experiences the last eight minutes of another compatible person's life within an alternative timeline.
Stevens is unwillingly sent back into the Source Code repeatedly in frustrating, exhausting attempts to learn the bomber's identity. He tries to warn authorities on the train and flee with Christina, escaping the explosion. Other times he cannot locate or disarm the bomb and dies on the train. But Rutledge insists the alternate timeline is not real. It is revealed that he has been ""with them"" for two months since being reported killed in action in Afghanistan. He is comatose and missing most of his body, hooked up to neural sensors. The cockpit capsule is in his imagination, his brain's way of making sense of a missing environment. A confused and frustrated Stevens asks, ""As one soldier to another, am I dead?"" Angry to learn that he is on life support, he asks to be disconnected after the mission. Rutledge agrees.
Stevens catches the bomber Derek Frost (Michael Arden), who leaves his wallet behind to fake his own death, and gets off at the last stop before Chicago. In one run-through, Frost kills both Fentress and Christina, and flees in a rented white van. Stevens remembers the license number and direction and the authorities use this information to catch the terrorist, preventing him from detonating the dirty bomb. The mission finished, Rutledge reneges on his promise, ordering Goodwin to wipe Stevens' memory for a future mission. Stevens convinces Goodwin to allow one more try, to save everyone on the train, despite Rutledge's insistence that everyone on the train had already been killed in the explosion.
Stevens is sent back into the Source Code where he disarms the bomb, subdues Frost and handcuffs him to a handrail inside the train. He reports the bomber to authorities, sends an email to Captain Goodwin, then calls to reconcile with his estranged father under the guise of a fellow soldier. He asks Christina what she would do if she knew that she only had seconds left to live, and starts to kiss her. At the same time, Goodwin approaches the air-tight chamber that contains the torso of Stevens' comatose mutilated body, disconnects the life support, and Stevens dies. Rutledge bangs on the outer door in vain. The scene cuts to Stevens finishing the kiss with Christina inside the Source Code, revealing that the alternate timeline of the Source Code has become real, contrary to what was proposed by Rutledge. They continue on the train, and then walk through downtown Chicago to the Cloud Gate, a sculpture whose image Stevens saw during transitions out of the Source Code. This prompts Stevens to ask Christina ""Do you believe in fate?"" As they stand in front of the mirrored sculpture, Stevens' reflection in the Cloud Gate is seen to be the image of Sean Fentress.
When the alternative-timeline Goodwin arrives for work at Nellis Air Force Base that morning, she receives the email from Stevens. While news breaks about the failed bomber on the Chicago train, the email informs Goodwin that they have changed history, and Goodwin seemingly recalls something. The email asks her to reassure this timeline's Stevens that ""everything is gonna be okay"". The scene cuts to Stevens who, in this timeline, is still comatose, hooked up to the neural sensors in the airtight chamber.",Who does Stevens appear to be?,What does Stevens do to the train?,0.10731005668640137
task405-b54bbc5a7f49486f8eaccdcb7b3270ad,task405_narrativeqa_question_generation,Question Generation,"You will be given a summary of a story. You need to create a question that can be answered from the story. You can create a question about characters, events, facts and beliefs, etc. Your question should be specific, try not to use pronouns instead of full names. As the stories are sometimes movie plots, they will contain actor names in parentheses. You should not use those names. Only use character names. Try to ask a question about all parts of the plot, not just the beginning."," In 2047, a distress signal is received from the Event Horizon, a starship that disappeared during its maiden voyage to Proxima Centauri seven years before. The rescue vessel Lewis and Clark is dispatched on a rescue mission. On board are Captain Miller and his crew   Lieutenant Starck, Pilot Smith, Medical Technician Peters, Engineer Ensign Justin, Trauma Doctor D.J., and Rescue Technician Cooper. They are joined by the Event Horizon's designer, Dr. William Weir. The Doctor briefs the crew, telling them that the Event Horizon was built to test an experimental gravity drive. The drive generates an artificial black hole and uses it to bridge two points in spacetime, reducing travel time over astronomical distances.
Upon boarding the Event Horizon, the crew finds evidence of a massacre. As they search for survivors, the ship's gravity drive automatically activates. Justin is briefly pulled into the resulting portal. As he is pulled out, he is in a catatonic state, terrified by what he saw on the other side. After he attempts suicide, the crew places him in stasis. At the same time, the activation causes a shock wave that damages the Lewis and Clark, forcing the entire crew to board the Event Horizon.
The team begin to experience hallucinations corresponding to their fears and regrets: Miller sees Corrick, a subordinate he was forced to abandon to his death; Peters sees her son with his legs covered in bloody lesions; and Weir sees his late wife, with missing eyes, urging him to join her. They soon discover a video log of the Event Horizon's crew as they went insane and mutilated each other. The video log ends with a shot of the Event Horizon's captain, who has apparently gouged out his own eyes, holding them up to the camera and saying in Latin, ""liberate tuteme ex inferis"" (lit. ""save yourself from hell""). Miller and D.J. deduce that the ship's gravity drive opened a gateway into a dimension outside the known universe. Weir theorizes that this hellish dimension turned the Event Horizon into a sentient being, which torments its occupants and lures them back to hell.
Miller decides to destroy the Event Horizon. Weir, now possessed by the evil presence, uses an explosive device to destroy the Lewis and Clark. The explosion kills Smith and blasts Cooper off into space. Peters is lured to her death by a hallucination of her son. Weir kills D.J. by vivisecting him and corners Starck on the bridge. Miller confronts Weir, who overpowers him and initiates a 10-minute countdown, after which the Event Horizon will return to the other dimension.
Cooper, having used his space suit's oxygen supply to propel himself back to the ship, appears at the bridge window. Without thinking, Weir shoots at him, breaking the window, and is blown out into space by the ensuing decompression. Miller, Starck, and Cooper survive and manage to seal off the ship's bridge. With their own ship destroyed, Miller plans to split the Event Horizon in two and use the forward section of the ship as a lifeboat. He is attacked by manifestations of Corrick and a resurrected Weir. Miller fights them off and detonates the explosives, sacrificing himself.
The gravity drive activates, pulling the ship's rear section into a black hole. Starck and Cooper enter stasis, beside a comatose Justin, and wait to be rescued. Seventy-two days later, the Event Horizon is boarded by a rescue party, who discover the remaining crew still in stasis. A newly awakened Starck sees Weir posing as one of the rescuers, then wakes up screaming and is comforted by Cooper. As Cooper restrains the terrified Starck and one of the rescuers calls for a sedative, the doors ominously close.",Who sacrificed himself to save the others?,What is the Event Horizon's designer's name?,0.1661812663078308
task405-d174e8f7ea5f406397e30e7bcc94380f,task405_narrativeqa_question_generation,Question Generation,"You will be given a summary of a story. You need to create a question that can be answered from the story. You can create a question about characters, events, facts and beliefs, etc. Your question should be specific, try not to use pronouns instead of full names. As the stories are sometimes movie plots, they will contain actor names in parentheses. You should not use those names. Only use character names. Try to ask a question about all parts of the plot, not just the beginning."," Zoe (Jennifer Lopez) has given up on finding the man of her dreams and decides to become a single mother and undergoes artificial insemination. The same day she meets Stan (Alex O'Loughlin) when they both try to hail the same taxi. They run into each other twice more at a farmers market and a pet store. Stan convinces Zoe to go on a no-obligations date. Zoe is still uncertain whether she is pregnant or not and if she should tell Stan. The night she takes the test, Stan takes her for a romantic dinner in a garden. Things don't turn out as well as planned when he spills the wine and a fire occurs. At the end of the night Stan asks her to come to his farm during the weekend and Zoe finds out that she is pregnant.
She goes to the farm determined to tell him that she is pregnant. They have sex and afterwards Stan is confused and angry that she didn't tell him before and Zoe leaves the next morning believing that things are over between them. However, Stan decides he still wants to be with her and they reconcile. They go to the doctor and find out that Zoe is actually carrying twins. Overwhelmed, Stan goes to a children's playing area to figure out what it means to be a father, but is suspected to be a pervert; this is soon cleared up. He finds a friend there that he can talk to about the pregnancy throughout the movie, while Zoe gets little support from her Single Mothers and Proud group when the group members discover she is no longer single. Stan takes the next step to becoming a father and orders a stroller for the twins. After many misunderstandings and comedic revelations, Zoe and Stan are walking into the Market when they run into Stan's ex-girlfriend. Due to Stan's remark that the twins are not his, Zoe believes that he is not ready to become a father to them, and breaks off the relationship.
Later, the stroller that Stan ordered arrives and Zoe figures out that Stan was never planning to leave. At her grandmother's wedding, Zoe's water breaks and on the way to the hospital they make a pit stop at the Market. Zoe apologizes to Stan and they begin to work things out. He pulls out the penny that she turned over when they first met and Zoe promises to trust him more. Zoe gives birth to twin girls, one of whom they name Penny. In the end, Stan opens a store/restaurant next to Zoe's pet shop and after the Grand Opening speech Stan asks Zoe to marry him and she says yes. On their way home, she spontaneously throws up into a rubbish bin and realizes that she may be yet again pregnant.",How many children was Zoe expecting?,What does Stan spill?,0.08146262168884277
task405-bc28ac8b411e4c0b8df06ee65290449c,task405_narrativeqa_question_generation,Question Generation,"You will be given a summary of a story. You need to create a question that can be answered from the story. You can create a question about characters, events, facts and beliefs, etc. Your question should be specific, try not to use pronouns instead of full names. As the stories are sometimes movie plots, they will contain actor names in parentheses. You should not use those names. Only use character names. Try to ask a question about all parts of the plot, not just the beginning."," During a lunchtime tryst in Phoenix, Arizona, a real estate secretary named Marion Crane discusses with her boyfriend, Sam Loomis, how they cannot afford to get married because of Sam's debts. After lunch, Marion returns to work, where a client drops off a $40,000 cash payment on a property. Her boss asks her to deposit the money in the bank, and she asks if she can take the rest of the afternoon off. Returning home, she begins to pack for an unplanned trip, deciding to steal the money and give it to Sam in Fairvale, California. She is seen by her boss on her way out of town, which makes her nervous. During the trip, she pulls over on the side of the road and falls asleep, only to be awakened by a state patrol officer. He is suspicious about her nervous behavior but allows her to drive on. Shaken by the encounter, Marion stops at an automobile dealership and trades in her Ford Mainline, with its Arizona license plates, for a Ford Custom 300 that has California tags. Her transaction is all for naught the highway patrolman sees her at the car dealership and witnesses her purchase of the newer car.
Driving on, Marion encounters a sudden rainstorm and decides to stop for the night at the Bates Motel; the proprietor, Norman Bates, invites her to a light dinner after she checks in. She accepts, but then hears an argument between Norman and his mother about bringing a woman into her house. They eat in the motel parlor, where he tells her about his hobby of taxidermy and his life with his mother, who is mentally ill and forbids him to have a life outside of her. Returning to her room, Marion decides to go back to Phoenix to return the stolen money. She prepares to take a shower, unaware that Norman is spying on her. As she is showering, a shadowy female figure suddenly comes in and stabs her to death with a chef's knife. Norman discovers the murder and meticulously cleans up the crime scene, putting Marion's corpse and her possessions including the embezzled money into the trunk of her car and sinking it in the swamps near the motel.
A week later, Marion's sister Lila arrives in Fairvale and confronts Sam about the whereabouts of her sister. A private investigator named Arbogast approaches them and confirms that Marion is wanted for stealing the $40,000 from her employer. He eventually comes across the Bates Motel, where Norman's behavior arouses his suspicions. After hearing that Marion had met with Norman's mother, he asks to speak with her, but Norman refuses. Arbogast calls Lila and Sam, informing them of what he has discovered and saying he intends to speak with Norman's mother. He goes to the Bates' home in search of her; as he reaches the top of the stairs, Mrs. Bates suddenly appears from the bedroom and murders him. When Lila and Sam do not hear from Arbogast, they go to the local sheriff, who informs them that Mrs. Bates has been dead for ten years; she had killed herself and her lover. Concerned, Lila and Sam make their way to the motel. Norman takes his unwilling mother from her room, telling her he needs to hide her for a while in the fruit cellar.
At the motel, Lila and Sam meet Norman. Sam distracts him by striking up a conversation while Lila sneaks up to the house. When Norman eventually realizes what they want, he knocks Sam out and rushes to the house. Lila sees Norman approaching and attempts to hide by going down steps that lead to a cellar. There she finds Mrs. Bates sitting in a chair. Lila turns her around and discovers that she is in fact a mummified corpse. Lila screams as a figure comes running into the cellar: Norman, holding a chef's knife and wearing his mother's clothes and a wig. Before Norman can attack Lila, Sam, having regained consciousness, subdues him.
At the local courthouse, a psychiatrist explains that Norman murdered Mrs. Bates and her lover 10 years prior out of jealousy. Unable to bear the guilt, he exhumed her corpse and began to treat it as if she were still alive. In order to preserve that illusion, he recreated his mother in his own mind as an alternate personality, often dressing in her clothes and talking to himself in her voice. The ""Mother"" personality is as jealous and possessive as the real Mrs. Bates had been: Whenever Norman feels attracted to another woman, ""Mother"" flies into a rage and kills her. As ""Mother"", Norman had killed two missing girls prior to Marion, as well as Arbogast. The psychiatrist then says the ""Mother"" personality has taken permanent hold of Norman's mind. While Norman sits in a holding cell, Mrs. Bates' voice is heard protesting that the murders were Norman's doing and that she ""wouldn't even harm a fly."" Meanwhile, Marion's car is pulled out of the swamp.",Why did Marion stop at the Bates motel?,What does Marion steal?,0.09329009056091309
task405-89181c49021942159d6bb81bf69aec76,task405_narrativeqa_question_generation,Question Generation,"You will be given a summary of a story. You need to create a question that can be answered from the story. You can create a question about characters, events, facts and beliefs, etc. Your question should be specific, try not to use pronouns instead of full names. As the stories are sometimes movie plots, they will contain actor names in parentheses. You should not use those names. Only use character names. Try to ask a question about all parts of the plot, not just the beginning."," It is June 1940, during the Battle of France. After five-year-old Paulette's parents and pet dog die in a German air attack on a column of refugees fleeing Paris, the traumatized child meets 10-year-old Michel Doll  whose peasant family takes her in. She quickly becomes attached to Michel. The two attempt to cope with the death and destruction that surrounds them by secretly building a small cemetery among the ruins of an abandoned watermill, where they bury her dog and start to bury other animals, marking their graves with crosses stolen from a local graveyard, including one belonging to Michel's brother. Michel's father first suspects that Michel's brother's cross was stolen from the graveyard by his neighbour. Eventually, the father finds out that Michel has stolen the cross.
Meanwhile, the French gendarmes come to the Doll  household in order to take Paulette. Michel cannot bear the thought of her leaving and tells his father that he would tell him where the stolen crosses are, but in return he should not give Paulette to the gendarmes. His father doesn't keep his promise: Michel destroys the crosses and Paulette ends up going to a Red Cross camp, but at the end of the movie is seen running away into a crowd of people in the Red Cross camp, crying for Michel and then for her mother.",What does Michel offer to tell in return for Paulettes safety?,What does Michel's father suspect?,0.10657960176467896
task405-9e0b9068f44d4ce693f3192b8fbdc441,task405_narrativeqa_question_generation,Question Generation,"You will be given a summary of a story. You need to create a question that can be answered from the story. You can create a question about characters, events, facts and beliefs, etc. Your question should be specific, try not to use pronouns instead of full names. As the stories are sometimes movie plots, they will contain actor names in parentheses. You should not use those names. Only use character names. Try to ask a question about all parts of the plot, not just the beginning."," Twenty-year-old Will Hunting (Matt Damon) of South Boston is a self-taught, genius-level intellect, though he works as a janitor at the Massachusetts Institute of Technology and spends his free time drinking with his friends, Chuckie (Ben Affleck), Billy (Cole Hauser) and Morgan (Casey Affleck). When Professor Gerald Lambeau (Stellan Skarsg rd) posts a difficult mathematics problem as a challenge for his graduate students, Will solves the problem anonymously, stunning both the graduate students and Lambeau himself. As a challenge to the unknown genius, Lambeau posts an even more difficult problem. Lambeau chances upon Will solving the problem but Will flees the scene. That night at a bar, Will meets Skylar (Minnie Driver), a British student about to graduate from Harvard, who plans on attending medical school at Stanford and gives Will her phone number before leaving.
The next day as Will and his friends fight a gang at the basketball court, Police arrive and arrest Will. Lambeau visits his court appearance and notices Will's intellect in defending himself. He arranges for him to forgo jail time if he agrees to study mathematics under Lambeau's supervision and participate in therapy sessions. Will tentatively agrees, but treats his first few therapists with contempt and mockery. His refusal to open up is met with staunch defiance by the various therapists, who each refuse to deal with Will further. In desperation, Lambeau calls on Dr. Sean Maguire (Robin Williams), his estranged and much more grounded college roommate, who now teaches psychology at Bunker Hill Community College. Unlike other therapists, Sean actually challenges Will's defense mechanisms, and after a few unproductive sessions, Will begins to open up.
Will is particularly struck by Sean's story of how he met his wife by giving up his ticket to the historic game six of the 1975 World Series, after falling in love at first sight. Sean neither regrets his decision, nor does he regret the final years of his marriage, after which his wife died of cancer. This encourages Will to build a relationship with Skylar, though he lies to her about his past and is reluctant to introduce her to his friends or show her his rundown neighborhood. Will also challenges Sean to take an objective look at his own life, since Sean cannot move on from his wife's death.
Lambeau sets up a number of job interviews for Will, but Will scorns them by sending Chuckie as his ""chief negotiator"", and by turning down a position at the National Security Agency with a scathing critique of the agency's moral position. Skylar asks Will to move to California with her, but he refuses and tells her he is an orphan, and that his foster father physically abused him. Will breaks up with Skylar, and later storms out on Lambeau, dismissing the mathematical research he has been doing. Sean points out that Will is so adept at anticipating future failure in his interpersonal relationships that he deliberately sabotages them in order to avoid emotional pain. When Will refuses to give an honest reply about what he wants to do with his life, Sean shows him the door. Will tells Chuckie he wants to be a laborer for the rest of his life. Chuckie responds that it would be an insult to his friends for Will to waste his potential and that his fondest wish is that Will should leave to pursue something greater.
Will walks in on a heated argument between Sean and Lambeau over his potential. Sean and Will share and find out that they were both victims of child abuse. Sean helps Will to see that he is a victim of his own inner demons and to accept that it is not his fault. Sean comforts Will as he cries over twenty years of trauma. Will decides to accept one of the job offers arranged by Lambeau. Having helped Will overcome his problems, Sean reconciles with Lambeau and decides to take a sabbatical to travel the world. When Will's friends present him with a rebuilt Chevrolet Nova for his twenty-first birthday, he decides to pass on his job offers and drive to California to reunite with Skylar. Sometime later, Chuckie goes to Will's house to pick him up, only to find that he is not there, much to his happiness. Sean comes out of his house and finds a letter from Will in his mailbox, which, much to his pleasure, tells him that Will is going to see Skylar. During the ending credits, Will's car is seen driving on the highway to California.",Why is Will arrested?,What does Will do for a living?,0.10868966579437256
task405-29a57c142b874c5aa709f3dbb771186c,task405_narrativeqa_question_generation,Question Generation,"You will be given a summary of a story. You need to create a question that can be answered from the story. You can create a question about characters, events, facts and beliefs, etc. Your question should be specific, try not to use pronouns instead of full names. As the stories are sometimes movie plots, they will contain actor names in parentheses. You should not use those names. Only use character names. Try to ask a question about all parts of the plot, not just the beginning."," The story is set in 13th century England and concerns the fictional outlaw Norman of Torn, who purportedly harried the country during the power struggle between King Henry III and Simon de Montfort. Norman is the supposed son of the Frenchman de Vac, once the king's fencing master, who has a grudge against his former employer and raises the boy to be a simple, brutal killing machine with a hatred of all things English. His intentions are partially subverted by a priest who befriends Norman and teaches him his letters and chivalry towards women.
Otherwise, all goes according to plan. By 17, Norman is the best swordsman in all of England; by the age of 18, he has a large bounty on his head, and by the age of 19, he leads the largest band of thieves in all of England. None can catch or best him. In his hatred for the king he even becomes involved in the civil war, which turns the tide in favor of de Montfort. In another guise, that of Roger de Conde, he becomes involved with de Montfort's daughter Bertrade, defending her against her and her father's enemies. She notes in him a curious resemblance to the king's son and heir Prince Edward.
Finally brought to bay in a confrontation with both King Henry and de Montfort, Norman is brought down by the treachery of de Vac, who appears to kill him, though at the cost of his own life. As de Vac dies, he reveals that Norman is in fact Richard, long-lost son of King Henry and Queen Eleanor and brother to Prince Edward. The fencing master had kidnapped the prince as a child to serve as the vehicle of his vengeance against the king. Luckily, Norman/Richard turns out not to be truly dead, surviving to be reconciled to his true father and attain the hand of Bertrade.",What happens when they find out Richard/Norman is not really dead? ,Who is the king's fencing master?,0.11649167537689209
task405-d397943a7e5742fbb8bbb3d5268575be,task405_narrativeqa_question_generation,Question Generation,"You will be given a summary of a story. You need to create a question that can be answered from the story. You can create a question about characters, events, facts and beliefs, etc. Your question should be specific, try not to use pronouns instead of full names. As the stories are sometimes movie plots, they will contain actor names in parentheses. You should not use those names. Only use character names. Try to ask a question about all parts of the plot, not just the beginning."," Unlucky Bernie Lootz (William H. Macy) has little positive going for him: he lives in a dreary place--a studio apartment in a run-down motel near the Las Vegas Strip; he can't recall the last time he had physical contact with a woman; he's indebted to the Shangri-La casino boss Shelly Kaplow (Alec Baldwin), who years earlier cured him of a gambling habit by breaking his kneecap. Kaplow had also paid Lootz' casino debts, and Bernie has been working off that large debt to Shelly for several years and the debt is nearly paid off. Lootz is weary of the casino business, and tells Kaplow he is leaving Las Vegas soon. His future success as a luck ""cooler"" is changed when cocktail waitress Natalie Belisario (Maria Bello) seemingly takes an interest in him, and his luck  and that of those around him  takes a turn for the better. What Bernie doesn't know yet is that Shelly has paid Natalie to seduce him into staying and working at the Shangri-La. What Shelly doesn't know is that Natalie actually has fallen in love with Bernie, and vice versa. Additional complications arise when Shelly, a relative old-timer who resents the Disneyfication of Vegas, resists the efforts of new Shangri-La owner advisers, including Ivy League graduate and condescending upstart Larry Sokolov (Ron Livingston), to update the casino hotel property and bring it into the 21st century. Lootz also learns his seldom-seen adult son is back in town, and, with his wife, is interfering with the operations at the Shangri La. Though Shelly still has the backing of certain mob associates, such as gangster Nicky Fingers, the growing power of the new young Ivy League casino owners is lessening his power grip on the casino and the business he truly loves.",What is the name of the Ivy league graduate who is hired as a consultant?,What is the name of the casino boss?,0.10734456777572632
