id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task085-8e47d9290df94e459ed58c319c520c86,task085_unnatural_addsub_arithmetic,Mathematics,In this task you will be given an arithmetic operation and you have to find its answer. The symbols of operators '+' and '-' has been swapped i.e you need to perform subtraction when you see a '+' symbol and  addition in case of '-' symbol.,6261 + 9491 + 3830 + 9360 - 9515 - 9008 - 779 - 6816 - 3969,13667,-3598,0.21764451265335083
task085-af8d8ab76c4547908890dfe2e1aece3e,task085_unnatural_addsub_arithmetic,Mathematics,In this task you will be given an arithmetic operation and you have to find its answer. The symbols of operators '+' and '-' has been swapped i.e you need to perform subtraction when you see a '+' symbol and  addition in case of '-' symbol.,8441 + 9029 + 8203 + 56 - 6748 + 7062 - 6861 + 19,-2319,-3686,0.18137234449386597
task085-ff171d6d4c5c48c889ce453dba3a7ab5,task085_unnatural_addsub_arithmetic,Mathematics,In this task you will be given an arithmetic operation and you have to find its answer. The symbols of operators '+' and '-' has been swapped i.e you need to perform subtraction when you see a '+' symbol and  addition in case of '-' symbol.,7221 + 968 - 4557 - 3859 - 2371 - 4621 - 7926,29587,6686,0.41246533393859863
task085-f1bcd6f5f4b84da689b5be08b997e61b,task085_unnatural_addsub_arithmetic,Mathematics,In this task you will be given an arithmetic operation and you have to find its answer. The symbols of operators '+' and '-' has been swapped i.e you need to perform subtraction when you see a '+' symbol and  addition in case of '-' symbol.,6970 - 9526 - 5385,21881,20718,0.12881457805633545
task085-540032ae2ef244318a9098a3696d1eb6,task085_unnatural_addsub_arithmetic,Mathematics,In this task you will be given an arithmetic operation and you have to find its answer. The symbols of operators '+' and '-' has been swapped i.e you need to perform subtraction when you see a '+' symbol and  addition in case of '-' symbol.,1939 + 2131 - 6110 + 9154 + 366 + 3361 + 1878,-8841,-3686,0.8976419568061829
task085-df65f2f3666d4481bac353af67c17a2b,task085_unnatural_addsub_arithmetic,Mathematics,In this task you will be given an arithmetic operation and you have to find its answer. The symbols of operators '+' and '-' has been swapped i.e you need to perform subtraction when you see a '+' symbol and  addition in case of '-' symbol.,3797 + 2563 + 6550 + 4448,-9764,-3686,0.17963916063308716
task085-03236ba66d4b4c67b7f665d818d63093,task085_unnatural_addsub_arithmetic,Mathematics,In this task you will be given an arithmetic operation and you have to find its answer. The symbols of operators '+' and '-' has been swapped i.e you need to perform subtraction when you see a '+' symbol and  addition in case of '-' symbol.,8247 - 6987 - 8915 - 9962,34111,20718,0.1378617286682129
task085-107510fb62294f87a8c617cf41cf6a2a,task085_unnatural_addsub_arithmetic,Mathematics,In this task you will be given an arithmetic operation and you have to find its answer. The symbols of operators '+' and '-' has been swapped i.e you need to perform subtraction when you see a '+' symbol and  addition in case of '-' symbol.,5085 + 8015 - 3893 + 9577 + 103 - 2174 - 8908 + 5690,-3325,-3686,0.4721366763114929
task085-8bded0904f1f4c38a487814797fba204,task085_unnatural_addsub_arithmetic,Mathematics,In this task you will be given an arithmetic operation and you have to find its answer. The symbols of operators '+' and '-' has been swapped i.e you need to perform subtraction when you see a '+' symbol and  addition in case of '-' symbol.,4508 - 8017 - 2627 + 4571 - 7938 + 2382 - 7702 - 2206,26045,17605,0.0382121205329895
task085-4a2549e2667041c3b137c12a896bc5a9,task085_unnatural_addsub_arithmetic,Mathematics,In this task you will be given an arithmetic operation and you have to find its answer. The symbols of operators '+' and '-' has been swapped i.e you need to perform subtraction when you see a '+' symbol and  addition in case of '-' symbol.,4523 - 3916 - 5732,14171,11705,0.09174799919128418
task085-9a7f4614255942c9a0d34e36fc17fb46,task085_unnatural_addsub_arithmetic,Mathematics,In this task you will be given an arithmetic operation and you have to find its answer. The symbols of operators '+' and '-' has been swapped i.e you need to perform subtraction when you see a '+' symbol and  addition in case of '-' symbol.,9531 - 9424 + 516,18439,10886,0.5215315222740173
task085-f8e9f02b5bd74e7fa25f350c64dcca61,task085_unnatural_addsub_arithmetic,Mathematics,In this task you will be given an arithmetic operation and you have to find its answer. The symbols of operators '+' and '-' has been swapped i.e you need to perform subtraction when you see a '+' symbol and  addition in case of '-' symbol.,8094 - 9035 + 2727 + 8721 - 652 - 6286 + 6922 + 2781 + 382,2534,-3686,0.1375022530555725
task085-2ce7585e90c946dca24c76a02ca4dfe0,task085_unnatural_addsub_arithmetic,Mathematics,In this task you will be given an arithmetic operation and you have to find its answer. The symbols of operators '+' and '-' has been swapped i.e you need to perform subtraction when you see a '+' symbol and  addition in case of '-' symbol.,340 + 7905 - 7477 + 3478 + 3654,-7220,-3686,0.08851766586303711
task085-66d81fb5dca74ca0ba23e7d0fed5152e,task085_unnatural_addsub_arithmetic,Mathematics,In this task you will be given an arithmetic operation and you have to find its answer. The symbols of operators '+' and '-' has been swapped i.e you need to perform subtraction when you see a '+' symbol and  addition in case of '-' symbol.,8128 - 3965 - 8720 + 1985,18828,6622,0.23988765478134155
task085-5eaf1b70cb5049729cd32f2acf2769fd,task085_unnatural_addsub_arithmetic,Mathematics,In this task you will be given an arithmetic operation and you have to find its answer. The symbols of operators '+' and '-' has been swapped i.e you need to perform subtraction when you see a '+' symbol and  addition in case of '-' symbol.,5817 - 5207 - 6536 + 7061 - 8613 + 4916 + 8209,5987,-3686,0.19141417741775513
task085-1dbc2744874644e3bdf776504ba6baf5,task085_unnatural_addsub_arithmetic,Mathematics,In this task you will be given an arithmetic operation and you have to find its answer. The symbols of operators '+' and '-' has been swapped i.e you need to perform subtraction when you see a '+' symbol and  addition in case of '-' symbol.,2131 + 4513 + 3760 - 9342 + 7779 + 4653 + 3111,-12343,-3686,0.044294536113739014
task085-d0b7a63877d146739d3cf195fe3cd870,task085_unnatural_addsub_arithmetic,Mathematics,In this task you will be given an arithmetic operation and you have to find its answer. The symbols of operators '+' and '-' has been swapped i.e you need to perform subtraction when you see a '+' symbol and  addition in case of '-' symbol.,122 + 7206 - 8976 + 7190 - 2464 - 1292 + 1763 + 4179 - 6295,-1189,-3686,0.09583079814910889
task085-70200d334dfa4402ba0aaa53823c58d3,task085_unnatural_addsub_arithmetic,Mathematics,In this task you will be given an arithmetic operation and you have to find its answer. The symbols of operators '+' and '-' has been swapped i.e you need to perform subtraction when you see a '+' symbol and  addition in case of '-' symbol.,6719 - 3003 + 9753 - 5236 - 9592 - 4180 + 9304,9673,-3586,0.04264664649963379
task085-7e9e46f9d30143218f4175b692f9fd71,task085_unnatural_addsub_arithmetic,Mathematics,In this task you will be given an arithmetic operation and you have to find its answer. The symbols of operators '+' and '-' has been swapped i.e you need to perform subtraction when you see a '+' symbol and  addition in case of '-' symbol.,6490 - 5917 + 4518 + 416 + 9490 + 9613,-11630,-3686,0.1170453429222107
task085-6674e9160a494dc78b893e3d842da757,task085_unnatural_addsub_arithmetic,Mathematics,In this task you will be given an arithmetic operation and you have to find its answer. The symbols of operators '+' and '-' has been swapped i.e you need to perform subtraction when you see a '+' symbol and  addition in case of '-' symbol.,5774 + 1888 + 5355 - 6957 - 7140 - 9762,22390,17605,0.14943164587020874
task085-4d5f52d23320478ebd21087ae6be08e7,task085_unnatural_addsub_arithmetic,Mathematics,In this task you will be given an arithmetic operation and you have to find its answer. The symbols of operators '+' and '-' has been swapped i.e you need to perform subtraction when you see a '+' symbol and  addition in case of '-' symbol.,1499 + 9404 - 4002 + 9081 + 1219 + 8958 + 2599 + 9456 + 7310,-42526,-3598,0.04626870155334473
task085-d7a401718ed54e6caa6e95abb7d5d1b4,task085_unnatural_addsub_arithmetic,Mathematics,In this task you will be given an arithmetic operation and you have to find its answer. The symbols of operators '+' and '-' has been swapped i.e you need to perform subtraction when you see a '+' symbol and  addition in case of '-' symbol.,6578 - 9290 - 6787 + 1330 - 5432,26757,17605,0.03454852104187012
task085-f75628d5b17440b788078bf87a364eed,task085_unnatural_addsub_arithmetic,Mathematics,In this task you will be given an arithmetic operation and you have to find its answer. The symbols of operators '+' and '-' has been swapped i.e you need to perform subtraction when you see a '+' symbol and  addition in case of '-' symbol.,8490 - 7785 + 1286 + 3401 - 7999 + 5541,14046,6686,0.4329950213432312
