id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task080-ee40c5451cdf4ccf92086e67fa5b5e3b,task080_piqa_answer_generation,Question Answering,"In this task the focus is on physical knowledge about the world. Given the provided goal task in the input, describe a process that would lead to the asked outcome. This process often involves physical motions with objects, such as moving them, arranging them in a certain way, mixing them, shaking them, etc. ",tote,can Carry groceries ,can hold a tin can,0.07919180393218994
task080-f59c64888be048348ea6ffcc62e22949,task080_piqa_answer_generation,Question Answering,"In this task the focus is on physical knowledge about the world. Given the provided goal task in the input, describe a process that would lead to the asked outcome. This process often involves physical motions with objects, such as moving them, arranging them in a certain way, mixing them, shaking them, etc. ",How do you blend out your eye shadow?,"Place the bristles of a blending brush lightly on your eyelid at the edge of the eye shadow, then make tight circles with the brush against the skin.",Use a blending brush to blend out your eye shadow.,0.12881457805633545
task080-6efb8bdfa6c14355895bc894d5ea886c,task080_piqa_answer_generation,Question Answering,"In this task the focus is on physical knowledge about the world. Given the provided goal task in the input, describe a process that would lead to the asked outcome. This process often involves physical motions with objects, such as moving them, arranging them in a certain way, mixing them, shaking them, etc. ",how do you control something?,make it do what you want.,control it.,0.13369709253311157
task080-23f5f55c44904e21929d42e42680f228,task080_piqa_answer_generation,Question Answering,"In this task the focus is on physical knowledge about the world. Given the provided goal task in the input, describe a process that would lead to the asked outcome. This process often involves physical motions with objects, such as moving them, arranging them in a certain way, mixing them, shaking them, etc. ",How to make pita nachos,"Split a whole-wheat pita into 2 rounds, then cut into wedges. Broil until golden, then sprinkle with grated cheddar and salsa and broil until the cheese melts. Top with sliced scallions.","Spread a thin layer of melted butter on a tortilla. Top with shredded cheese, guacamole, and sour cream.",0.24032831192016602
task080-c4a4d8907f5c43fc8827550eacc8c11a,task080_piqa_answer_generation,Question Answering,"In this task the focus is on physical knowledge about the world. Given the provided goal task in the input, describe a process that would lead to the asked outcome. This process often involves physical motions with objects, such as moving them, arranging them in a certain way, mixing them, shaking them, etc. ",how do you open suicide doors in a coupe?,"open the front car doors first, then open the back doors.",open the door with the key in the ignition.,0.2818489670753479
task080-94c2d39957ca425fb74d919f4978fde1,task080_piqa_answer_generation,Question Answering,"In this task the focus is on physical knowledge about the world. Given the provided goal task in the input, describe a process that would lead to the asked outcome. This process often involves physical motions with objects, such as moving them, arranging them in a certain way, mixing them, shaking them, etc. ","To choose a good tree for climbing,",pick one with lots of thick branches.,look for a tree that is a good size for climbing.,0.1124570369720459
task080-fe54a5640a91433c8a67ea446695756a,task080_piqa_answer_generation,Question Answering,"In this task the focus is on physical knowledge about the world. Given the provided goal task in the input, describe a process that would lead to the asked outcome. This process often involves physical motions with objects, such as moving them, arranging them in a certain way, mixing them, shaking them, etc. ",How can I prevent splinters when handling wood for wood crafting?,"Always use thick gloves, out of materials such as leather when handling untreated wood. Sand or smooth the wood to ensure that it is safe for handling.",Use a sandpaper to smooth the wood.,0.8957613706588745
task080-7df63097d12547c5be4a722d56aac3ab,task080_piqa_answer_generation,Question Answering,"In this task the focus is on physical knowledge about the world. Given the provided goal task in the input, describe a process that would lead to the asked outcome. This process often involves physical motions with objects, such as moving them, arranging them in a certain way, mixing them, shaking them, etc. ",One wants to make a healthy fried food.,One should use a fruit or vegetable.,One should use a vegetable oil.,0.07308351993560791
task080-64fa98e79b2c42baaeb9407022751315,task080_piqa_answer_generation,Question Answering,"In this task the focus is on physical knowledge about the world. Given the provided goal task in the input, describe a process that would lead to the asked outcome. This process often involves physical motions with objects, such as moving them, arranging them in a certain way, mixing them, shaking them, etc. ",How To Make Homemade Twinkies,"To make homemade twinkies, bake in the oven at 325 degrees for about 25 minutes or until an inserted toothpick comes out clean.","To make homemade twinkies, you will need: 1 cup of flour, 1 cup of sugar, 1 cup of baking powder, 1 teaspoon of salt, and 1 teaspoon of vanilla.",0.2701287269592285
task080-4f119b4f912e45b69b43c6b1544eda68,task080_piqa_answer_generation,Question Answering,"In this task the focus is on physical knowledge about the world. Given the provided goal task in the input, describe a process that would lead to the asked outcome. This process often involves physical motions with objects, such as moving them, arranging them in a certain way, mixing them, shaking them, etc. ",how do you eat arroz con leche?,scoop it into your mouth with a spoon,eat it with a spoon,0.0667005181312561
task080-42ed09984b984e0fad835df80e99e177,task080_piqa_answer_generation,Question Answering,"In this task the focus is on physical knowledge about the world. Given the provided goal task in the input, describe a process that would lead to the asked outcome. This process often involves physical motions with objects, such as moving them, arranging them in a certain way, mixing them, shaking them, etc. ","To convert dough into a flat, pliable state, you can",Use a rolling pin to roll the dough,Use a rolling pin to flatten the dough,0.08863586187362671
task080-86d0c1eb68ec47e78f4ab934f3543011,task080_piqa_answer_generation,Question Answering,"In this task the focus is on physical knowledge about the world. Given the provided goal task in the input, describe a process that would lead to the asked outcome. This process often involves physical motions with objects, such as moving them, arranging them in a certain way, mixing them, shaking them, etc. ",Avoid blisters from leather shoes.,Rub a wet bar soap inside shoes.,Use a shoe horn to keep the shoe from sliding.,0.12287890911102295
task080-b832f31fd80e4a8d93f85dfb8b3efafa,task080_piqa_answer_generation,Question Answering,"In this task the focus is on physical knowledge about the world. Given the provided goal task in the input, describe a process that would lead to the asked outcome. This process often involves physical motions with objects, such as moving them, arranging them in a certain way, mixing them, shaking them, etc. ",What can I use for pressure to glue things together if I don't have any clamps?,You can use clothes pins or duct tape for pressure to glue things together if you don't have any clamps.,Use a piece of cardboard.,0.06140965223312378
task080-bb60d4666f734d79a798df3b9a4e04c9,task080_piqa_answer_generation,Question Answering,"In this task the focus is on physical knowledge about the world. Given the provided goal task in the input, describe a process that would lead to the asked outcome. This process often involves physical motions with objects, such as moving them, arranging them in a certain way, mixing them, shaking them, etc. ",fingernail,can poke through paper. ,can be cut with a knife,0.3350788354873657
task080-5c362ae7ddab42e79874f3043db029ca,task080_piqa_answer_generation,Question Answering,"In this task the focus is on physical knowledge about the world. Given the provided goal task in the input, describe a process that would lead to the asked outcome. This process often involves physical motions with objects, such as moving them, arranging them in a certain way, mixing them, shaking them, etc. ",Reduce pour of rubbing alcohol.,Poke holes in the foil lid with a tooth pick.,Place a paper towel in a cup.,0.08840376138687134
task080-abb63b02d3494a29a0668d6718804716,task080_piqa_answer_generation,Question Answering,"In this task the focus is on physical knowledge about the world. Given the provided goal task in the input, describe a process that would lead to the asked outcome. This process often involves physical motions with objects, such as moving them, arranging them in a certain way, mixing them, shaking them, etc. ",How do I wash my windows,Spray windex all over them and wipe it down with paper towels,Use a window cleaner and a window cloth to clean the windows.,0.2242233157157898
task080-ac040bc081974be3ae15fee8e92c60dc,task080_piqa_answer_generation,Question Answering,"In this task the focus is on physical knowledge about the world. Given the provided goal task in the input, describe a process that would lead to the asked outcome. This process often involves physical motions with objects, such as moving them, arranging them in a certain way, mixing them, shaking them, etc. ",Open a cardboard box that has been taped shut.,Use the serrated edge of a key to cut the tape in order to open the box.,Use a pair of pliers to pry the tape off the box.,0.21248817443847656
task080-e8e6ef3b5bc045b38a9a94460ce327cc,task080_piqa_answer_generation,Question Answering,"In this task the focus is on physical knowledge about the world. Given the provided goal task in the input, describe a process that would lead to the asked outcome. This process often involves physical motions with objects, such as moving them, arranging them in a certain way, mixing them, shaking them, etc. ",Hot air balloons,store hot air ,can be used to transport people,0.07185608148574829
task080-6ce7b882946c4b2299eb4455ec32e8ed,task080_piqa_answer_generation,Question Answering,"In this task the focus is on physical knowledge about the world. Given the provided goal task in the input, describe a process that would lead to the asked outcome. This process often involves physical motions with objects, such as moving them, arranging them in a certain way, mixing them, shaking them, etc. ",One wishes to make a place for their plants.,One should look for pottery.,One should make a potting soil.,0.08306330442428589
task080-e21f494905ab4203ab9ff1bbca9c3aec,task080_piqa_answer_generation,Question Answering,"In this task the focus is on physical knowledge about the world. Given the provided goal task in the input, describe a process that would lead to the asked outcome. This process often involves physical motions with objects, such as moving them, arranging them in a certain way, mixing them, shaking them, etc. ",how do you steer a car?,hold the steering wheel in the direction you want to move.,turn your head to the left.,0.07334434986114502
task080-c18c43b0f1c84764872a6bf81e13d72b,task080_piqa_answer_generation,Question Answering,"In this task the focus is on physical knowledge about the world. Given the provided goal task in the input, describe a process that would lead to the asked outcome. This process often involves physical motions with objects, such as moving them, arranging them in a certain way, mixing them, shaking them, etc. ",What should I use to give the hook pendant a professional glossy finish?,Use clear gloss polyurethane for a professional glossy finish.,Use a sanding cloth to give the pendant a professional glossy finish.,0.17037850618362427
task080-8a4d8dd10092403eb7e4d34f537ea2af,task080_piqa_answer_generation,Question Answering,"In this task the focus is on physical knowledge about the world. Given the provided goal task in the input, describe a process that would lead to the asked outcome. This process often involves physical motions with objects, such as moving them, arranging them in a certain way, mixing them, shaking them, etc. ","To whisk an egg together, you can",Use a fork to whisk the egg until combined,Use a wooden spoon,0.32981109619140625
task080-bea5aa8034394f7382c12a8f40e2be41,task080_piqa_answer_generation,Question Answering,"In this task the focus is on physical knowledge about the world. Given the provided goal task in the input, describe a process that would lead to the asked outcome. This process often involves physical motions with objects, such as moving them, arranging them in a certain way, mixing them, shaking them, etc. ",To store homemade whipped cream and use it before it goes bad.,You can store this homemade whipped cream in the fridge for up to 5 days or maybe more.,Store the whipped cream in a plastic container in the freezer.,0.19587737321853638
task080-d7d66e63dc514830ade590669f7a8188,task080_piqa_answer_generation,Question Answering,"In this task the focus is on physical knowledge about the world. Given the provided goal task in the input, describe a process that would lead to the asked outcome. This process often involves physical motions with objects, such as moving them, arranging them in a certain way, mixing them, shaking them, etc. ",How do I solidify the chocolate balls ?,Set the covered ball on a tray covered by sheet of aluminium foil and put the tray in the freezer for one hour.,Place the balls in the freezer for a few hours.,0.11636090278625488
