id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task901-76c8604071c14d749a6f04ffe439367a,task901_freebase_qa_category_question_generation,Question Generation,"Given a broad category, generate a trivia-type question based on a specific entity in that category. The question should be non-ambiguous. External resources such as Wikipedia could be used to obtain the facts.",film,"More familiar for television roles, who played King Edward the First in the film Braveheart?",What is the name of the film that starred the late John Travolta?,0.1658894419670105
task901-76d7d9f42eb6465fb55566c899874ff2,task901_freebase_qa_category_question_generation,Question Generation,"Given a broad category, generate a trivia-type question based on a specific entity in that category. The question should be non-ambiguous. External resources such as Wikipedia could be used to obtain the facts.",food,Which fruit is used in making Melba sauce?,Which British food group is the largest?,0.18675577640533447
task901-17e771d84cc44cdc9f4fc6ab5aa6360d,task901_freebase_qa_category_question_generation,Question Generation,"Given a broad category, generate a trivia-type question based on a specific entity in that category. The question should be non-ambiguous. External resources such as Wikipedia could be used to obtain the facts.",tv,"What British sitcom features Edina Monsoon and Patsy Stone, immature, prosperous, preposterous, substance-abusing fashion obsessed Londoners who value fame and style over substance?",Which TV series was based on the novel 'The Greatest Show on Earth' by George R. R. Martin?,0.2019086480140686
task901-2028b2f0a6d4493dad3dfd9854ef3090,task901_freebase_qa_category_question_generation,Question Generation,"Given a broad category, generate a trivia-type question based on a specific entity in that category. The question should be non-ambiguous. External resources such as Wikipedia could be used to obtain the facts.",award,Who won the Eurovison Song Contest for the United Kingdom in 1967?,Which actor won the Academy Award for Best Supporting Actor in a Supporting Role for his role in the film 'The Last King of Scotland'?,0.24727517366409302
task901-f5271712b589452c8d6e91843da303a9,task901_freebase_qa_category_question_generation,Question Generation,"Given a broad category, generate a trivia-type question based on a specific entity in that category. The question should be non-ambiguous. External resources such as Wikipedia could be used to obtain the facts.",sports,Fred the Red is the mascot of which English football club?,Which American football player was the first to play for the New York Giants?,0.16106581687927246
task901-5d15e0aec3c94fa49e7bcbce601d0041,task901_freebase_qa_category_question_generation,Question Generation,"Given a broad category, generate a trivia-type question based on a specific entity in that category. The question should be non-ambiguous. External resources such as Wikipedia could be used to obtain the facts.",location,Bujumbura international airport is in which country?,Which country is the capital of the Republic of China?,0.10288673639297485
task901-ed8b900996294072971478dd823c5c19,task901_freebase_qa_category_question_generation,Question Generation,"Given a broad category, generate a trivia-type question based on a specific entity in that category. The question should be non-ambiguous. External resources such as Wikipedia could be used to obtain the facts.",music,"If Guy Berryman and Will Champion are the rhythm section, what is the band?",Which band released the song 'The World Is Yours'?,0.13061851263046265
task901-72a904bca1c74c6493356af5f98f6311,task901_freebase_qa_category_question_generation,Question Generation,"Given a broad category, generate a trivia-type question based on a specific entity in that category. The question should be non-ambiguous. External resources such as Wikipedia could be used to obtain the facts.",media_common,Which show was based on Miguel de Cervantes' Don Quixote?,Which film was based on the novel 'The Last of the Mohicans' by the author of 'The Last of the Mohicans'?,0.2687169909477234
task901-bb1054002fca44debc2b7df6a39bb9af,task901_freebase_qa_category_question_generation,Question Generation,"Given a broad category, generate a trivia-type question based on a specific entity in that category. The question should be non-ambiguous. External resources such as Wikipedia could be used to obtain the facts.",book,"In the book 'Call For The Dead', who is described as a 'short, fat man with a quiet disposition'?",Which author wrote the novel 'The Book of the Dead'?,0.393629252910614
task901-56fb9564092348489cea431640a17059,task901_freebase_qa_category_question_generation,Question Generation,"Given a broad category, generate a trivia-type question based on a specific entity in that category. The question should be non-ambiguous. External resources such as Wikipedia could be used to obtain the facts.",base,To what is Lake Erie connected by the Erie canal?,Which British singer-songwriter was born in the United Kingdom?,0.09795975685119629
