id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task025-c1ed29012b1f4feda3c282114d470fcf,task025_cosmosqa_incorrect_answer_generation,Wrong Candidate Generation,"Craft one incorrect answer. In doing so, try to use words from the context as much as possible, or by using similar words used in the correct answer. DO NOT craft nonsensical or off-topic incorrect answers, such that the incorrect answers can be directly excluded without reasoning according to the context. Try to make your responses similar to the given correct answer. To this end, try to keep both the length and the style as similar as possible between the correct and the incorrect answer. To make your incorrect answers more difficult, try to incorporate words from context. To avoid being predictable or repetitive, try to add more variations and complexity.","Context: Now I ' ve lived with this dog for nearly 9 years and NEITHER instance has ever happened . So I clicked a leash on her and rushed her up to the pet hospital . As it turns out , she has pancreatitis , she was all bouncy happy when I picked her up so I felt ok about her condition . How weird !. 
Question: What may happen after I pick her from the pet hospital ? 
Correct Answer: She will live for several more years .",She will die soon after .,She will die .,0.33380216360092163
task025-003c1011a2584356ac0e4be39d980f55,task025_cosmosqa_incorrect_answer_generation,Wrong Candidate Generation,"Craft one incorrect answer. In doing so, try to use words from the context as much as possible, or by using similar words used in the correct answer. DO NOT craft nonsensical or off-topic incorrect answers, such that the incorrect answers can be directly excluded without reasoning according to the context. Try to make your responses similar to the given correct answer. To this end, try to keep both the length and the style as similar as possible between the correct and the incorrect answer. To make your incorrect answers more difficult, try to incorporate words from context. To avoid being predictable or repetitive, try to add more variations and complexity.","Context: i ' ve become as depressed as ever , and usually it 's just like , a couple of hours where i feel really shitty , but then i feel happy again . but right now , i ca n't feel any reason to be happy . this is hard to explain but recently , i have just been thinking . 
Question: How am I feeling right now .? 
Correct Answer: None of the above choices .",I am feeling happy when I start thinking .,Happy .,0.05606091022491455
task025-79d5dd58497d4bcb992e4d7caba8e9a0,task025_cosmosqa_incorrect_answer_generation,Wrong Candidate Generation,"Craft one incorrect answer. In doing so, try to use words from the context as much as possible, or by using similar words used in the correct answer. DO NOT craft nonsensical or off-topic incorrect answers, such that the incorrect answers can be directly excluded without reasoning according to the context. Try to make your responses similar to the given correct answer. To this end, try to keep both the length and the style as similar as possible between the correct and the incorrect answer. To make your incorrect answers more difficult, try to incorporate words from context. To avoid being predictable or repetitive, try to add more variations and complexity.","Context: I am over here an emotional wreck and I have nt talked to him in almost 3 weeks . but then again , I have nt tried to get ahold of him either . But when I did he would call me back if he missed my call , but if we talked and he said that he would call me back he never did . I mean he talked of us living together and saying that he could see himself being with me forever , and that I was perfect and all he wanted was me , but he needs to get his life organized first . 
Question: What is next for the narrator and their boyfriend ? 
Correct Answer: She will have to move on and let her broken her heal .",Propose to him so they can be together forever .,They will have to get married .,0.3684285283088684
task025-f2dd398e747443f692188527442a59af,task025_cosmosqa_incorrect_answer_generation,Wrong Candidate Generation,"Craft one incorrect answer. In doing so, try to use words from the context as much as possible, or by using similar words used in the correct answer. DO NOT craft nonsensical or off-topic incorrect answers, such that the incorrect answers can be directly excluded without reasoning according to the context. Try to make your responses similar to the given correct answer. To this end, try to keep both the length and the style as similar as possible between the correct and the incorrect answer. To make your incorrect answers more difficult, try to incorporate words from context. To avoid being predictable or repetitive, try to add more variations and complexity.","Context: It has been a little over a year , but now the end is here . I ' ve been thinking a bit about all the things i did n't get to do . Plans changed , opportunities rose and fell . 
Question: Approximately how long could it have been according to the narrator 's phrasing ? 
Correct Answer: 13 months.",11 and a half months.,13 years.,0.06571239233016968
task025-ab922f523dcb4674a7ec0ad1702a0488,task025_cosmosqa_incorrect_answer_generation,Wrong Candidate Generation,"Craft one incorrect answer. In doing so, try to use words from the context as much as possible, or by using similar words used in the correct answer. DO NOT craft nonsensical or off-topic incorrect answers, such that the incorrect answers can be directly excluded without reasoning according to the context. Try to make your responses similar to the given correct answer. To this end, try to keep both the length and the style as similar as possible between the correct and the incorrect answer. To make your incorrect answers more difficult, try to incorporate words from context. To avoid being predictable or repetitive, try to add more variations and complexity.","Context: She was always smiling , always happy , for no apparent reason . laughing even when no one was making jokes , just loving life so much . I envied her . 
Question: What do you know about her ? 
Correct Answer: She was optimistic.",She was funny.,She was a snob.,0.08894377946853638
task025-ad6ef70d19bf42119aa86d6657bf6251,task025_cosmosqa_incorrect_answer_generation,Wrong Candidate Generation,"Craft one incorrect answer. In doing so, try to use words from the context as much as possible, or by using similar words used in the correct answer. DO NOT craft nonsensical or off-topic incorrect answers, such that the incorrect answers can be directly excluded without reasoning according to the context. Try to make your responses similar to the given correct answer. To this end, try to keep both the length and the style as similar as possible between the correct and the incorrect answer. To make your incorrect answers more difficult, try to incorporate words from context. To avoid being predictable or repetitive, try to add more variations and complexity.","Context: I believe in ghosts but the question is do you believe in ghosts ? I believe in ghosts because I have had many times where there was no explanation to how some things happened at my house . One time I was all alone and my dog was laying next to me and I heard a dog chain rattling and a dog running up the stairs but there was no other dog or person in the house . One night I also heard a dog bark that did not sound like my dog when I was laying down and the bark came from inside my house . 
Question: Why do they believe in ghosts ? 
Correct Answer: They had experienced unexplained events .",They had saw a ghost with their own eyes .,They had experienced unexplained events in their house .,0.17879372835159302
task025-5604bfcd67bd443a8c8350f9ec82014c,task025_cosmosqa_incorrect_answer_generation,Wrong Candidate Generation,"Craft one incorrect answer. In doing so, try to use words from the context as much as possible, or by using similar words used in the correct answer. DO NOT craft nonsensical or off-topic incorrect answers, such that the incorrect answers can be directly excluded without reasoning according to the context. Try to make your responses similar to the given correct answer. To this end, try to keep both the length and the style as similar as possible between the correct and the incorrect answer. To make your incorrect answers more difficult, try to incorporate words from context. To avoid being predictable or repetitive, try to add more variations and complexity.","Context: But , as the ride wound down , he started shouting how much fun it was . He did go on other "" big "" rides , but these were much tamer . I got to try out the new Mega Drop , which takes you up 44 metres ( 145 feet ) and then drops you before you decelerate on a cushion of hydraulic air . It takes less than 2 seconds to come down and is pretty exhilarating ; it took me close to 10 minutes to stop shaking . 
Question: Where were we visiting ? 
Correct Answer: We were visiting an amusement park .",We were visiting the local park .,We were visiting a museum .,0.09424662590026855
task025-093febce78b64bbb8b765546e7048274,task025_cosmosqa_incorrect_answer_generation,Wrong Candidate Generation,"Craft one incorrect answer. In doing so, try to use words from the context as much as possible, or by using similar words used in the correct answer. DO NOT craft nonsensical or off-topic incorrect answers, such that the incorrect answers can be directly excluded without reasoning according to the context. Try to make your responses similar to the given correct answer. To this end, try to keep both the length and the style as similar as possible between the correct and the incorrect answer. To make your incorrect answers more difficult, try to incorporate words from context. To avoid being predictable or repetitive, try to add more variations and complexity.","Context: i m not the only girl ! ) So my computer programing class was 30 minutes long haha then we went to lunch again and i came back to the school late because Mijin is herself and told us the wrong time . and in Photo i felt so smart . i knew like every answer he asked !. 
Question: What may happen after I left my computer class ? 
Correct Answer: I got a sandwich.",I got a soda .,I got a sandwich from the school cafeteria.,0.1017645001411438
task025-bc098e9cda074fa29317d8bba3c42e0f,task025_cosmosqa_incorrect_answer_generation,Wrong Candidate Generation,"Craft one incorrect answer. In doing so, try to use words from the context as much as possible, or by using similar words used in the correct answer. DO NOT craft nonsensical or off-topic incorrect answers, such that the incorrect answers can be directly excluded without reasoning according to the context. Try to make your responses similar to the given correct answer. To this end, try to keep both the length and the style as similar as possible between the correct and the incorrect answer. To make your incorrect answers more difficult, try to incorporate words from context. To avoid being predictable or repetitive, try to add more variations and complexity.","Context: After this , I began to join more affiliate programs , and test more offers . I currently have around 15 campaigns running , and now it seems it 's only a matter of testing around until you find something that works . You will lose money though , as risk is part of the game . 
Question: What may be the reason for losing money ? 
Correct Answer: Making mistakes and taking chances .",Buying support from other people .,Making money from affiliate programs .,0.07608574628829956
task025-2a7f39a8c6dc46788ee6484344d64048,task025_cosmosqa_incorrect_answer_generation,Wrong Candidate Generation,"Craft one incorrect answer. In doing so, try to use words from the context as much as possible, or by using similar words used in the correct answer. DO NOT craft nonsensical or off-topic incorrect answers, such that the incorrect answers can be directly excluded without reasoning according to the context. Try to make your responses similar to the given correct answer. To this end, try to keep both the length and the style as similar as possible between the correct and the incorrect answer. To make your incorrect answers more difficult, try to incorporate words from context. To avoid being predictable or repetitive, try to add more variations and complexity.","Context: So I ' m not sure how to even write this post because the weekend ? Wow . There was a lazy afternoon of hanging out in my hotel room after I arrived , and then a yummy Italian dinner and walking around Dupont Circle . There was fro - yo and hanging out at Jess and Torsten 's apartment . 
Question: What may be a fact about this person ? 
Correct Answer: They are on a trip visiting their friends .",They are staying at their destination for a while .,They are on a business trip .,0.10523462295532227
