id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task886-63e182d4d8ca4b438c18003c2ad62856,task886_quail_question_generation,Question Generation,Write a question from the passage such that it identifies a character (a person or a thing) in the passage.,"""To be real honest, Jeffrey, you're not making much progress,"" said Greg. ""Are you practicing at all?""
""Well, yeah. Mom makes me. She sits there watching to make sure I'm getting the right fingering and phrasing.""
""Hmm. I might need to talk to her about that."" Greg hated when kids were forced into musicianship. He had been teaching private music lessons for more than ten years, and had seen it often. Parents made their kids miserable. It rarely worked anyway. ""You don't really want to take piano, do you?""
""No, Sir.""
""Well... ""
""I wish my mom would let me take guitar lessons. That would be cool.""
""You know you'd get calluses like this."" Greg held out left hand and showed Jeffrey his fingertips.
""Yeah! My friend, Zach, has calluses. They're hard like plastic.""
""Well, you know, it hurts for a while--until you build them up.""
""I don't care. I love the guitar. I've been begging Mom to switch me from piano to guitar.""
""I'll talk to her.""
""Great! I already have a guitar and--""
""--don't get too excited yet. We'll see what she says.""
""Thanks, Mr. Tenorly."" He jumped up and ran for the front door. Then he stopped, rushed back over to grab his piano books, and raced out the door.
Greg's 3:30 lesson had been cancelled, so he now had a thirty minute break. Oftentimes, during a break, he would step outside and wander down the sidewalk, observing the townspeople going in and out of the shops around Coreyville Square.
But something was bugging him. His dad's birthday party was only a few days away. He hoped he wouldn't regret letting Cynthia talk him into going.",Who jumped up and ran for the door?,Who is Jeffrey's mother?,0.15874266624450684
task886-5257e8f326da4a4e8cab6be2b62c1afb,task886_quail_question_generation,Question Generation,Write a question from the passage such that it identifies a character (a person or a thing) in the passage.,"Randy Poskin, a soybean farmer in rural Illinois, voted for Donald Trump in the 2016 presidential election. But ask him now he feels about that decision, and you get a tepid response.
""I'm not sure,"" Poskin said.
Like many farmers in the Midwest, Poskin is concerned about getting caught in the middle of a trade war, as Trump ramps up economic pressure on China.
Those fears were heightened after Trump announced plans Thursday to impose tariffs on as much as $60 billion worth of Chinese imports.
""I'm fearful they will retaliate on those tariffs,"" Poskin said. ""Soybean exports, wheat, poultry, chicken, beef — [there are] any number of products that we export to their country that they could retaliate with.""
The announcement has unnerved many in Trump's base of supporters in U.S. agriculture. The trade tensions have also rattled global markets, which until recently had performed strongly.
Trump's tariff decision was meant to punish Chinese companies that benefit from unfair access to U.S. technology.
U.S. businesses have long bristled at Beijing's requirement that they transfer technology to Chinese companies as a condition of entering the Chinese market. U.S. businesses have also had their technology stolen through cyberattacks.
""We have a tremendous intellectual property theft situation going on,"" Trump said during the signing ceremony Thursday.
Some U.S. companies in China cheered the move and suggested that concerns about a trade war were overblown.
William Zarit, chairman of the American Chamber of Commerce in China, dismissed the ""hair on fire"" concern that Trump's proposed moves would hurt the global economy.
""That the U.S. is willing to risk these disruptions indicates how serious the U.S. administration finds China's forced technology transfer, cybertheft and discriminatory industrial policies,"" he said in a statement to VOA.
Zarit pointed to a recent survey suggesting members of his organization wanted the White House to ""advocate more strongly for a level playing field and for reciprocal treatment to improve market access"" in China.",Who made a statement to the VOA?,Who voted for Donald Trump in the 2016 presidential election?,0.12716788053512573
task886-08ddb41e16984d65b41c848d29ae566f,task886_quail_question_generation,Question Generation,Write a question from the passage such that it identifies a character (a person or a thing) in the passage.,"Facebook has a long track record and sordid history of abusing their users' trust and privacy, including the most recent and egregious cases currently making headlines with Cambridge Analytica as well as election meddling in the US and Britain. As if that wasn't enough, it then came to light that they have also been tracking and storing users' phone call and text message data, including ""who contacted whom, what time, and how long the conversation was.""
This is nothing new, as we can see from this 2012 ""study"" in which they deliberately manipulated news feeds to influence users' emotional state. And again with their settlement with the FCC back in 2011 (that they likely violated with their recent offenses) over deceiving consumers by telling them their information was private, but then repeatedly sharing it and making it public.
And then there's The Ugly Memo, in which a FB exec justifies growth at any cost in the name of connecting people, even if that results literally in people dying:
We talk about the good and the bad of our work often. I want to talk about the ugly.
We connect people.
That can be bad if they make it negative. Maybe it costs a life by exposing someone to bullies. Maybe someone dies in a terrorist attack coordinated on our tools.
And still we connect people.
The ugly truth is that we believe in connecting people so deeply that anything that allows us to connect more people more often is *de facto* good.
And up until this most recent Cambridge Analytica scandal, Facebook was negotiating with various healthcare organizations to share patients' health data with FB so they could match it up to your social circle to allegedly provide better health care. Um yeah right.
Each time this stuff happens, they issue an apology (or a justification for their behavior) and promise they will take steps to better inform users and protect their privacy, but it's clear that this is just lip service at this point.",Whose trust and privacy was abused?,Who has a long track record of abusing their users' trust and privacy?,0.16084784269332886
task886-b37b34ea19f444f595cd82393ad1699d,task886_quail_question_generation,Question Generation,Write a question from the passage such that it identifies a character (a person or a thing) in the passage.,"Diane's heart felt leaden as she prepared to leave. Each face she looked at, she knew she was seeing for the last time. As if she were dying and they all were going to live on. Oh, why must I leave? Now, when all of you are about to put on the martyr's crown, how can you cast me out? I want to die with you. I do not want to go on, stumbling through this world alone.
For years these people had been her only family. When she was a child, her faith was preached and practiced openly all over the south of France. The crusade was already twenty years old then, but the perfecti still taught crowds of people in the streets of great cities like Toulouse and Beziers, still won converts away from the Church of Rome. From the lords and ladies in their castles to the peasants on the mountainsides, over half the people were Cathars. Now this year, one thousand two hundred forty-four, might come to be remembered as the year Catharism in France disappeared. From now on there would be nothing but a remnant in hiding, having to sneak about. No, she didn't want to live that way. She longed to throw herself down and beg Bishop Bertran once again to let her stay. But duty pressed down upon her like a mail shirt. It was burdensome, but it protected her from error. She quietly made ready.
Before long, Diane and Roland were standing on the northeast wall amid a group of perfecti. From a family that had taken refuge on Mont Segur had come a red and green costume for Diane, the tunic and hose of a well-to-do boy, an equerry. They had cut her hair short and tucked it under a cap topped with a long partridge feather. They had sewn the red cross back on Roland's black surcoat, and had made one for Diane's tunic from a gentlewoman's crimson scarf. A rope to form a sling was tied around her waist and another around her knees. Roland was similarly tied.",Who Diane begged to let her stay?,Who was tied around her waist and another around her knees?,0.18065720796585083
task886-072602c7b9c547748b3602a35f4076ff,task886_quail_question_generation,Question Generation,Write a question from the passage such that it identifies a character (a person or a thing) in the passage.,"The Trump administration's decision to add a question about citizenship to the 2020 census divided Capitol Hill on Tuesday, with Democrats saying the addition could skew the results and alter millions in government funding, while some Republicans praised it as a ""commonsense"" move.
U.S. Commerce Secretary Wilbur Ross announced late Monday the next effort to count every resident in the country will include a question about citizenship status. The U.S. Census Bureau conducts the survey every 10 years, with the next set for 2020. The deadline for finalizing the questions is Saturday.
In a memo late Monday, Ross said he chose to include the query at the urging of the Department of Justice, which said it needed the citizenship data to better enforce a law protecting minority voting rights.
White House press secretary Sarah Huckabee Sanders defended the addition of the question, rejecting the notion that it might result in less federal aid to immigrant communities in the U.S. if immigrants are undercounted.
Republicans on Capitol Hill welcomed the decision, which revives a practice that was abandoned in 1950, after being in place for more than 100 years, according to the Commerce Department.
""It is imperative that the data gathered in the census is reliable, given the wide-ranging impacts it will have on U.S. policy. A question on citizenship is a reasonable, commonsense addition to the census,"" Senator Ted Cruz said in a statement Tuesday.
But Democrats said the question would have the opposite effect — discouraging undocumented immigrants and citizen family members from responding to the census, undermining the accuracy of the results.
""We cannot accept an incomplete or unfair count in 2020 — too much is at stake,"" Rep. Carolyn Maloney, co-chair of the Congressional Census Caucus, told VOA. ""The census mandated by the [U.S.] Constitution affects the way that Federal and state funds are distributed and how district lines are drawn for both the city, state and Federal level.""",Who said the citizenship data was needed to enforce laws?,Who defended the addition of the question?,0.25622260570526123
task886-791e55a14a1d4522805975c81816ad83,task886_quail_question_generation,Question Generation,Write a question from the passage such that it identifies a character (a person or a thing) in the passage.,"Bryan C. Keene and Alexandra Kaczenski of the Getty Museum's Manuscripts Department have spent the last few years preparing for an exhibition and publication titled Sacred Landscapes: Nature in Renaissance Manuscripts that aims to examine representations of ""green spaces"" such as gardens, vistas, and their relation to the divine.
In particular, Bryan and Alexandra focus on the ways in which artists during the European Middle Ages and Renaissance embedded the pages of illuminated manuscripts with depictions of the natural world so that nature could guide prayer, chant, and meditation.
For Bryan, this project represents a continuation of his interest in sacred gardens that began with his graduate work on the garden imagery that influenced Botticelli's Agony in the Garden painting. In 2013 he curated the exhibition and authored the accompanying book Gardens of the Renaissance.
For Alexandra, interest in this subject stems from her scholarly focus on Flemish manuscripts and their relation to Flemish landscape paintings. She brought to the project a complementary interest in issues of environmental and landscape destruction, which also were themes of the exhibition and publication.
Though floral and nature studies of the Renaissance and Early Modern periods have been extensively investigated—the scientific notebooks of Leonardo da Vinci, for example, are well documented—this exhibition turns its focus on landscape and the divine. Curatorial research has shed new light on subjects such as the seemingly ""scattered"" floral arrangements represented within the pages of these books and their relationship to humoral theory and religion. Bryan adds, ""The tension that we find in these borders is, on the one hand, intricately rendered leaf and petal structures of plants or flowers, and on the other, hidden whimsical elements, all of which combine to create a rich tapestry of meaning, both symbolic and scientific. Alex and I will continue to explore the potential meaning within this botanical and arboreal chaos.""
Sacred Landscapes opens on October 10, 2017, at the Getty Museum, where it complements the exhibition Giovanni Bellini: Landscapes of Faith in Renaissance Venice. The exhibition catalog is available online now.",Who spent the last few years preparing for an exhibition titled Sacred Landscapes?,Who is the curator of the exhibition?,0.1680036187171936
task886-cc55ad6bba9d4459a69f43ce415f15b5,task886_quail_question_generation,Question Generation,Write a question from the passage such that it identifies a character (a person or a thing) in the passage.,"When a friend tells you she has wild roses blooming everywhere, it's not hard to imagine where the conversation headed to next… to turning them into rose petal jam, of course.
My friend Simona Quirini and her family run the beautiful Canto del Maggio, a B&B, restaurant and garden, about one hour's drive from Florence. We arrived to catch Simona with a wooden crate in her hands, already half full of blush pink flower heads, small and as fragrant as honey.
It wasn't just roses that were bursting out of their bushes with colour and fragrance. In fact, every time I go to Canto del Maggio, I notice how lush the property is with fruit, flowers and plants, and every season there are bounties to be collected. The first time I was there I noticed the myrtle bushes and heirloom fruit trees — little tiny, red pears and apples. The garden was full of summer produce and I stole green-skinned figs harbouring raspberry-red flesh off the trees. The next time I went, we picked ripe olives off the trees around the pool and took them down to the local frantoio, olive oil mill, to press the bright green oil out of them. I also came home with buckets of corbezzoli, or Irish strawberries, to make jam. This spring, I noticed the hedge rows of flowering wild strawberries and this last visit we picked the berries off them for an afternoon snack.
With the help of my daughter (who was slightly more interested in playing with Simona's new puppy), we filled a crateful of roses and picked the petals delicately off and into bowls. We were using the rose petal jam recipe and the technique I learned between two wonderful sources — Pellegrino Artusi's 1891 cookbook (this pastry recipe below is also inspired by it) and the Armenian monks on Venice's Isola di San Lazzaro Island where I worked for two autumns. The secret, other than having beautiful, small and fragrant roses to begin with, is in massaging the petals with a bit of the sugar and the lemon juice until almost a pulp to release the essential oils.",Who notes how lush the property is with fruit when she goes to Canto del Maggio?,Who is the author's friend?,0.31602752208709717
task886-a416729055414c169de6dbd9750fd1c2,task886_quail_question_generation,Question Generation,Write a question from the passage such that it identifies a character (a person or a thing) in the passage.,"It was their first official date. Greg Tenorly and Cynthia Blockerman had been through quite an ordeal together--being hunted by police for the murder of her abusive husband while they ran from the real killer.
But all that was behind them now. All charges against them had been dropped, and Cynthia's husband had been buried. And the rumors would have died down eventually if they had gone their separate ways.
They could feel the stares as they walked to their table. Greg had requested the most private booth, way in the back. Coreyville Pasta House was the oldest Italian restaurant in town. And still the best. Mama Castilla had run the place for over thirty years. She had taken over for her grandfather in 1973. A sign on the wall said so.
Cynthia ordered the Fettuccini Alfredo. Greg went with his favorite, the Chicken Parmesan. Both ordered iced tea and salad. The bread and olive oil with roasted garlic and pepper came with every meal. Greg could not resist great bread. And this was the best. He tore off a chunk as soon as the waitress delivered it. Cynthia would wait for the salad.
""So we're finally on a real date,"" said Greg.
""Yeah. So how does it feel?""
""Kinda weird and scary and...wonderful.""
Cynthia smiled and Greg momentarily forgot all about the amazing aroma in the restaurant. All he wanted to do was kiss her. But that would have to wait. So, his hunger came rushing back.
Cynthia's mood turned serious. ""I don't want to spoil our date, but I've got to tell you something.""
Greg wondered if he had done something wrong. He could fix it--whatever it was.
""I've asked Mom to move in with me.""
""Why? I thought she was happy living in Marshall.""
""She was.""
""What do you mean? What happened?""
""The other night a friend of hers was murdered. And the woman lived on her street. They killed her nurse too.""",Who had run the Coreyville Pasta House for over thirty years?,Who was the real killer?,0.5713602304458618
task886-c674bf002b594543a154c6763c5cef3a,task886_quail_question_generation,Question Generation,Write a question from the passage such that it identifies a character (a person or a thing) in the passage.,"Valentine's Day sucks. Which may sound odd coming from someone who ceaselessly praises love and sex, but it is true. I am not a fan.
My mother and father were married in a small Baptist Church on Valentine's Day in 1959. They are no longer together. They are still technically married but my father now lives in a residential care home for dementia patients and my mother lives alone. My father's disease makes him angry and aggressive leaving my mother with blurred and fading memories of his kindness. It is a sad day for all those whose partners are transformed into strangers by illnesses.
Some things aren't fair.
It is my step(ish) daughter's birthday on Valentine's Day (I am not married to my boyfriend so I can't claim to be a step-mum and there is no other term for it). The end of my boyfriend's marriage has put continents between him and his children. When he hangs up the phone after talking to his daughter, his eyes are dark with pain. It is a sad day for all those whose love is diluted by oceans.
Some things can't be changed.
I remember the last Valentine's Day I spent with my ex-husband. I was a couple of weeks away from moving out but I hadn't told him yet. I felt sick and scared and heartbroken. My husband and I passed the entire day without speaking. As I stood on the edge of the cliff summoning up the courage to jump, I felt entirely alone. It is a sad day for all those whose love has withered away.
Some things can't be fixed.
I want to believe that ""love is all you need"" because it feels as though it could almost be true, but then I remember, on days like this, that for as many hearts that sing, there are equally as many that struggle to beat.",Who was married in a Baptist church?,Who is the author's step-mum?,0.12949353456497192
task886-a62c1f733a524c74b1055f64958457da,task886_quail_question_generation,Question Generation,Write a question from the passage such that it identifies a character (a person or a thing) in the passage.,"Not as a nurse, but as a patient. I had my appendix removed in about 1970 before keyhole surgery and the surgeon had not properly stitched the inside incision. This meant I was slowly ""leaking"" blood into the area between my abdominal cavity lining and my skin. I was kept in the hospital for two weeks and every day the same nurse would come along and open the end of the incision in my skin to relieve the pressure caused by the pooling of my blood. That was fine for the first five days, but the weekend came and she was off duty.
Apparently, nobody else knew what to do. By Monday morning, I was in agony and when she arrived, she was appalled I had not been drained during the weekend. The other thing that happened during the weekend was the end of the skin incision, which she had opened, had mostly healed meaning there was no convenient hole for the blood to be drained.
The nurse used a sharp pair of scissors to reopen one end of the partly-healed incision, but still the blood would not simply drain of its own accord. She used both hands to squeeze downwards onto the swollen blood reservoir. At first, there was no reaction except agonizing pain, but after a few seconds and a very hard squeeze, the stinking, coagulated blood jetted out of the hole she'd made squirting across the ceiling, down the wall and down her full-length coating her face and the front of her uniform. Despite the pain, I couldn't keep myself from laughing loud and long.
She then dressed the wound, directed some junior nurses to clean the ceiling and the wall while she went to clean herself. I apologized for laughing the following day when she returned. She told me she appreciated the humor of the situation so there was no ""hard feelings.""",Who did the author say was appalled that they had not been drained during the weekend?,Who was the patient?,0.10779392719268799
