id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task124-92f70e7c9cff4a959741da907bb4862e,task124_conala_pair_averages,Program Execution,"In this task you are given a list of numbers and you need to find the average of each two consecutive values. The average of two numbers a and b is calculated as: (a + b) /2. The output should be a list of the averages of each two consecutive values. A list is presented with two brackets and comma-separated values, like: [1,2,3].","[-49, -31, 78, 76, -67, 61, -63, 97, 14, 61, 92]","[-40.0, 23.5, 77.0, 4.5, -3.0, -1.0, 17.0, 55.5, 37.5, 76.5]","[-37.0, 27.0, 77.0, -7.0, -7.0, -7.0, -1.5, 27.0, 47.0, 47.0, 50.0]",0.3091873526573181
task124-ffe470c01edc4ea590b69daf1493a517,task124_conala_pair_averages,Program Execution,"In this task you are given a list of numbers and you need to find the average of each two consecutive values. The average of two numbers a and b is calculated as: (a + b) /2. The output should be a list of the averages of each two consecutive values. A list is presented with two brackets and comma-separated values, like: [1,2,3].","[27, 75]",[51.0],[47.0],0.05343824625015259
task124-f59d9aeea3f24c2f9b3f9f19b78b7906,task124_conala_pair_averages,Program Execution,"In this task you are given a list of numbers and you need to find the average of each two consecutive values. The average of two numbers a and b is calculated as: (a + b) /2. The output should be a list of the averages of each two consecutive values. A list is presented with two brackets and comma-separated values, like: [1,2,3].","[56, -95]",[-19.5],[-10.0],0.11006832122802734
task124-e35eec1989824adcacb7515ca2fafdac,task124_conala_pair_averages,Program Execution,"In this task you are given a list of numbers and you need to find the average of each two consecutive values. The average of two numbers a and b is calculated as: (a + b) /2. The output should be a list of the averages of each two consecutive values. A list is presented with two brackets and comma-separated values, like: [1,2,3].","[-25, 95, 99, 87, 82, -76, 21, 49, 31]","[35.0, 97.0, 93.0, 84.5, 3.0, -27.5, 35.0, 40.0]","[37.0, 80.0, 87.0, 80.0, -0.5, -20.5, 37.0, 37.0]",0.21276766061782837
task124-0ceb0bd04e5248c38024489b09ddcfb0,task124_conala_pair_averages,Program Execution,"In this task you are given a list of numbers and you need to find the average of each two consecutive values. The average of two numbers a and b is calculated as: (a + b) /2. The output should be a list of the averages of each two consecutive values. A list is presented with two brackets and comma-separated values, like: [1,2,3].","[12, 86, -10, 78, -66, 26, -68]","[49.0, 38.0, 34.0, 6.0, -20.0, -21.0]","[47.0, 37.0, 37.0, -7.0, -7.0, -27.0]",0.16666388511657715
task124-6fcf07f2a8fb44528cf14385bb98f013,task124_conala_pair_averages,Program Execution,"In this task you are given a list of numbers and you need to find the average of each two consecutive values. The average of two numbers a and b is calculated as: (a + b) /2. The output should be a list of the averages of each two consecutive values. A list is presented with two brackets and comma-separated values, like: [1,2,3].","[32, -42, 15, -34, -1, -45, 56, -61, -70, -10, 21]","[-5.0, -13.5, -9.5, -17.5, -23.0, 5.5, -2.5, -65.5, -40.0, 5.5]","[-7.0, -10.0, -7.0, -27.0, -27.0, -7.0, -7.0, -0.5, -50.0, -30.0, -7.0]",0.3179369568824768
task124-14017cd98468450e8b25504ce9f331a2,task124_conala_pair_averages,Program Execution,"In this task you are given a list of numbers and you need to find the average of each two consecutive values. The average of two numbers a and b is calculated as: (a + b) /2. The output should be a list of the averages of each two consecutive values. A list is presented with two brackets and comma-separated values, like: [1,2,3].","[34, 15, 26, -52, 85, -19]","[24.5, 20.5, -13.0, 16.5, 33.0]","[27.0, 15.0, -7.0, -1.5, 27.0, 37.0]",0.18151700496673584
task124-31d2775cb02045a3b0abd17811d30188,task124_conala_pair_averages,Program Execution,"In this task you are given a list of numbers and you need to find the average of each two consecutive values. The average of two numbers a and b is calculated as: (a + b) /2. The output should be a list of the averages of each two consecutive values. A list is presented with two brackets and comma-separated values, like: [1,2,3].","[57, 56, 33, 44, 56, -83, -8, -45, -24, 0, 62]","[56.5, 44.5, 38.5, 50.0, -13.5, -45.5, -26.5, -34.5, -12.0, 31.0]","[50.0, 40.0, 30.0, 47.0, -7.0, -47.0, -37.0, -37.0, -30.0, 37.0]",0.2644338607788086
task124-8c3dc802fc2b424eb21cd991ccb5a652,task124_conala_pair_averages,Program Execution,"In this task you are given a list of numbers and you need to find the average of each two consecutive values. The average of two numbers a and b is calculated as: (a + b) /2. The output should be a list of the averages of each two consecutive values. A list is presented with two brackets and comma-separated values, like: [1,2,3].","[-23, 63, -6, 66, -53, 18, -45]","[20.0, 28.5, 30.0, 6.5, -17.5, -13.5]","[15.0, 37.0, 37.0, 16.0, -7.0, -20.0]",0.18999701738357544
task124-cf3fb0998d24486dbeb9937603b989ab,task124_conala_pair_averages,Program Execution,"In this task you are given a list of numbers and you need to find the average of each two consecutive values. The average of two numbers a and b is calculated as: (a + b) /2. The output should be a list of the averages of each two consecutive values. A list is presented with two brackets and comma-separated values, like: [1,2,3].","[-48, 41]",[-3.5],[-7.0],0.8874937891960144
