id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task1400-d726005e6e79452ba570b1086908e34e,task1400_obqa_incorrect_answer_generation,Wrong Candidate Generation,"This task is about generating an incorrect answer to a question given the question and a true statement related to the question. The answer must be related to the question, but incorrectly answer it given the context.",Fact: a greenhouse is used to protect plants from the cold. Question: Greenhouses are great for plants like?,Candles,a symphony,0.07511329650878906
task1400-afa69786c26245eab2e59666d12d327e,task1400_obqa_incorrect_answer_generation,Wrong Candidate Generation,"This task is about generating an incorrect answer to a question given the question and a true statement related to the question. The answer must be related to the question, but incorrectly answer it given the context.","Fact: a renewable resource can be replaced. Question: What will, for all intents and purposes, never run out?",coal,oil,0.14733213186264038
task1400-4b01bd55b9a64f66921899dae34c6d59,task1400_obqa_incorrect_answer_generation,Wrong Candidate Generation,"This task is about generating an incorrect answer to a question given the question and a true statement related to the question. The answer must be related to the question, but incorrectly answer it given the context.","Fact: cooking food requires adding heat energy. Question: Adding heat energy to something can cook it, such as heating?",seashells,a sock,0.08203655481338501
task1400-3761e2de6edf42bb81af3f6cb014b1c0,task1400_obqa_incorrect_answer_generation,Wrong Candidate Generation,"This task is about generating an incorrect answer to a question given the question and a true statement related to the question. The answer must be related to the question, but incorrectly answer it given the context.",Fact: a flashlight converts chemical energy into light energy. Question: A flashlight converts chemical energy into what kind of energy?,light snacks,kinetic energy,0.13290661573410034
task1400-d4e1e8778b2b462f919fc8a006073b28,task1400_obqa_incorrect_answer_generation,Wrong Candidate Generation,"This task is about generating an incorrect answer to a question given the question and a true statement related to the question. The answer must be related to the question, but incorrectly answer it given the context.",Fact: if members of a species are born then the population of that species increases. Question: if members of a species are born then the species what increases?,water,extinction,0.19407624006271362
task1400-39f0821b894a4949aeac5174538ec3ae,task1400_obqa_incorrect_answer_generation,Wrong Candidate Generation,"This task is about generating an incorrect answer to a question given the question and a true statement related to the question. The answer must be related to the question, but incorrectly answer it given the context.","Fact: each of the moon 's phases usually occurs once per month. Question: A boy is waiting to see a full moon. He notes that the full moon is tonight, and looks at it. If he wants to see another, he must wait?",a week,a year,0.05948328971862793
task1400-78d74c62a1744f008c34c23e50121dfb,task1400_obqa_incorrect_answer_generation,Wrong Candidate Generation,"This task is about generating an incorrect answer to a question given the question and a true statement related to the question. The answer must be related to the question, but incorrectly answer it given the context.",Fact: a radio is used for communication. Question: Which can be used to pass information from one person to another?,an invention by Newton,a tv,0.2875101566314697
task1400-bc4d6104c16e4b30a78057e5abb6585f,task1400_obqa_incorrect_answer_generation,Wrong Candidate Generation,"This task is about generating an incorrect answer to a question given the question and a true statement related to the question. The answer must be related to the question, but incorrectly answer it given the context.","Fact: roots anchor plants into the soil. Question: if a tree stands firm during a windy day, which of these could be holding it in place?",the sap in the tree,a sandbar,0.10255086421966553
task1400-e1da11b9723245feb21d8a1712899916,task1400_obqa_incorrect_answer_generation,Wrong Candidate Generation,"This task is about generating an incorrect answer to a question given the question and a true statement related to the question. The answer must be related to the question, but incorrectly answer it given the context.",Fact: precipitation is when hail fall from clouds to the ground. Question: What weather phenomena can crack your windshield?,clouds,rain,0.060129523277282715
task1400-8ce09d87a2084b0e89bb5c23a7ebab9e,task1400_obqa_incorrect_answer_generation,Wrong Candidate Generation,"This task is about generating an incorrect answer to a question given the question and a true statement related to the question. The answer must be related to the question, but incorrectly answer it given the context.",Fact: the Earth revolves around the sun. Question: human planet revolves around the sun in?,a week,a year,0.034575045108795166
