id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task1315-32fffe26261b4c59b9f96eeae38b92ec,task1315_find_range_array,Program Execution,"In this task, you are given a list of integers you need to calculate and return the range of the integers which is the difference between maximum and minimum element in the list.","[439, 406, 106, 253, 361, 393, 232, 269, 64, 208, 234, 354, 231, 307, 47, 31, 377, 80, 400, 294]",408,358,0.2956695556640625
task1315-b7596ea24fe94606abd67d3da614d600,task1315_find_range_array,Program Execution,"In this task, you are given a list of integers you need to calculate and return the range of the integers which is the difference between maximum and minimum element in the list.","[265, 377, 171, 447, 370, 12, 37, 24, 199, 327, 126, 138, 229, 363, 22, 378, 16, 223, 253, 252]",435,378,0.04791361093521118
task1315-f6230cbc1441432a9aca264652dee2c8,task1315_find_range_array,Program Execution,"In this task, you are given a list of integers you need to calculate and return the range of the integers which is the difference between maximum and minimum element in the list.","[405, 24, 381, 104, 62, 443, 356, 312, 245, 10, 221, 483, 298, 29, 160, 275, 320, 175, 143, 495]",485,495,0.11904746294021606
task1315-3bf24f3318bd4a1b928e4ea6c6ac36a8,task1315_find_range_array,Program Execution,"In this task, you are given a list of integers you need to calculate and return the range of the integers which is the difference between maximum and minimum element in the list.","[374, 53, 362, 441, 431, 162, 68, 272, 207, 367, 326, 154, 465, 304, 225, 159, 103, 330, 259, 360]",412,465,0.026519060134887695
task1315-3c2b1f4155b443e78f3702274f8670f0,task1315_find_range_array,Program Execution,"In this task, you are given a list of integers you need to calculate and return the range of the integers which is the difference between maximum and minimum element in the list.","[40, 208, 12, 109, 408, 270, 344, 281, 153, 453, 166, 266, 157, 433, 68, 17, 201, 234, 169, 42]",441,432,0.4310982823371887
task1315-0005f8995d1449dfb9c5ad4f6f19c3ad,task1315_find_range_array,Program Execution,"In this task, you are given a list of integers you need to calculate and return the range of the integers which is the difference between maximum and minimum element in the list.","[423, 213, 491, 98, 184, 12, 198, 349, 145, 353, 14, 214, 261, 233, 194, 225, 436, 311, 123, 149]",479,436,0.09777206182479858
task1315-14511e9f67c1404785e71f323e0fbde9,task1315_find_range_array,Program Execution,"In this task, you are given a list of integers you need to calculate and return the range of the integers which is the difference between maximum and minimum element in the list.","[58, 158, 389, 274, 353, 290, 211, 433, 105, 405, 486, 177, 47, 395, 171, 458, 462, 38, 36, 373]",450,418,0.25058233737945557
task1315-f978514dbd6048f9be8a59620be8760a,task1315_find_range_array,Program Execution,"In this task, you are given a list of integers you need to calculate and return the range of the integers which is the difference between maximum and minimum element in the list.","[279, 232, 368, 498, 109, 256, 237, 489, 381, 299, 440, 225, 182, 307, 58, 39, 173, 228, 485, 212]",459,488,0.06003671884536743
task1315-2720484b1da74c9b8a54da57d64b00b6,task1315_find_range_array,Program Execution,"In this task, you are given a list of integers you need to calculate and return the range of the integers which is the difference between maximum and minimum element in the list.","[341, 290, 135, 284, 463, 121, 153, 32, 125, 279, 250, 201, 480, 254, 261, 192, 278, 406, 120, 441]",448,448,0.21908819675445557
task1315-48d1a5f038af4b3ba09ae6ecb9c4d064,task1315_find_range_array,Program Execution,"In this task, you are given a list of integers you need to calculate and return the range of the integers which is the difference between maximum and minimum element in the list.","[384, 352, 257, 43, 338, 390, 410, 25, 402, 266, 244, 182, 161, 396, 315, 285, 113, 387, 42, 135]",385,390,0.07661765813827515
task1315-f831344c433a40cdb0fc32eae862bdfa,task1315_find_range_array,Program Execution,"In this task, you are given a list of integers you need to calculate and return the range of the integers which is the difference between maximum and minimum element in the list.","[71, 449, 282, 270, 245, 186, 279, 406, 413, 212, 67, 160, 218, 196, 134, 441, 200, 300, 96, 327]",382,413,0.032643139362335205
task1315-c5e37c4c283a46e7a1aee387e8df2c74,task1315_find_range_array,Program Execution,"In this task, you are given a list of integers you need to calculate and return the range of the integers which is the difference between maximum and minimum element in the list.","[231, 84, 276, 334, 46, 324, 478, 407, 125, 212, 378, 288, 289, 162, 194, 376, 155, 379, 487, 323]",441,478,0.8731249570846558
task1315-c67a9f06487f4186b1b8ccc0b45ff09e,task1315_find_range_array,Program Execution,"In this task, you are given a list of integers you need to calculate and return the range of the integers which is the difference between maximum and minimum element in the list.","[197, 44, 239, 426, 356, 403, 75, 159, 55, 106, 199, 254, 92, 210, 334, 319, 288, 402, 129, 499]",455,427,0.059327542781829834
task1315-8af471bc3cb741d2b19607bb21dfed03,task1315_find_range_array,Program Execution,"In this task, you are given a list of integers you need to calculate and return the range of the integers which is the difference between maximum and minimum element in the list.","[49, 499, 118, 32, 478, 169, 212, 445, 308, 110, 465, 449, 106, 148, 487, 401, 95, 389, 256, 205]",467,445,0.060273587703704834
task1315-0f0f2f46640a4f7ba6231767100aae17,task1315_find_range_array,Program Execution,"In this task, you are given a list of integers you need to calculate and return the range of the integers which is the difference between maximum and minimum element in the list.","[492, 205, 74, 388, 224, 64, 484, 446, 407, 102, 192, 398, 181, 215, 490, 90, 35, 358, 220, 368]",457,490,0.15153902769088745
