id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task453-e32220f6a96440a2a02471906a49637f,task453_swag_answer_generation,Text Completion,"Given a sentence, generate what should be the most likely next statement. The next statement should be reasonable and logically correct.",Someone watches them closely from behind a tree. The workmen,are getting changed into a low - rise apartment.,are preparing to cut the tree.,0.10259634256362915
task453-cc00f0a864d840e9bd38bc35288c4a3f,task453_swag_answer_generation,Text Completion,"Given a sentence, generate what should be the most likely next statement. The next statement should be reasonable and logically correct.",A man and is using a leaf blower to blow leaves into a pile. A little boy in a blue coat,is walking next to him.,is standing in the middle of the pile.,0.08861720561981201
task453-2a24657d57624ebf887a7000bbc912b6,task453_swag_answer_generation,Text Completion,"Given a sentence, generate what should be the most likely next statement. The next statement should be reasonable and logically correct.",There are several people gathered in an outdoor gymnasium. There,are people standing and seated in the bleachers watching about twelve band students performing.,are people in a circle.,0.06557613611221313
task453-1e52b246c0664ca2ab0d5490352eb3dc,task453_swag_answer_generation,Text Completion,"Given a sentence, generate what should be the most likely next statement. The next statement should be reasonable and logically correct.",He approaches the turbaned loan officer who holds out a set of keys. Someone,steps over to the eight - year - old boy who offers his handheld video game.,reaches for the keys and pulls them out.,0.3829495310783386
task453-8274f5b1c1be46449db04843fd2617e7,task453_swag_answer_generation,Text Completion,"Given a sentence, generate what should be the most likely next statement. The next statement should be reasonable and logically correct.","He is almost suffocated by their tentacles. Struggling to fight them off, he",pulls out his wand.,tries to get away.,0.2410319447517395
task453-ab8549ad1621460189d7f0f09b8328c5,task453_swag_answer_generation,Text Completion,"Given a sentence, generate what should be the most likely next statement. The next statement should be reasonable and logically correct.",Several scenes of different kinds of weather are shown. Men,are then shown surfing waves in the ocean.,are seen riding on a horse.,0.06943362951278687
task453-777412fb9eb54c889cdf2d28a9c3abbb,task453_swag_answer_generation,Text Completion,"Given a sentence, generate what should be the most likely next statement. The next statement should be reasonable and logically correct.",The man in the black hoodie shows off a bottle of mouth wash. The two men,talk to each other.,are seen talking to each other.,0.1361873745918274
task453-4687d3f548aa44e18af93fd70868bd54,task453_swag_answer_generation,Text Completion,"Given a sentence, generate what should be the most likely next statement. The next statement should be reasonable and logically correct.",Various people are seen standing around a pit when one rides in on a bull and kicks him off. More people,ride in on horses an the camera moves around quickly and changes to pictures of the bull.,are seen riding in on the bull and kicking him off.,0.8994764089584351
task453-f4b18e3932f4480485cd6b68f8060ee3,task453_swag_answer_generation,Text Completion,"Given a sentence, generate what should be the most likely next statement. The next statement should be reasonable and logically correct.",The Mustang rounds a darkened corner and stops halfway through the gate of a chain link fence with an address number on a sign. The delivery guy,checks it against his order ticket then pulls the rest of the way through and drives down a long dirt lot.,pulls out a large box of food and a sack of ice.,0.1713312864303589
task453-18343f24a9de43019a1d6d02c09b5c07,task453_swag_answer_generation,Text Completion,"Given a sentence, generate what should be the most likely next statement. The next statement should be reasonable and logically correct.",Two young girls perform backflips in their home. They,go outside and do several flips on the grass.,are shown in a gym.,0.17444294691085815
task453-a5682beb6b704ff187d9006a55d2d53c,task453_swag_answer_generation,Text Completion,"Given a sentence, generate what should be the most likely next statement. The next statement should be reasonable and logically correct.","Then, the men put soap on the car, after they rinse the car with water. A man",uses soap to wipe the tire off the car.,is seen putting soap on the car.,0.10943549871444702
task453-032a088b20fc4f46a01f9d82a868a7c6,task453_swag_answer_generation,Text Completion,"Given a sentence, generate what should be the most likely next statement. The next statement should be reasonable and logically correct.",The shirtless man are standing in the field with their drums. The drummers,started to drum their drums and walk.,are playing the drums in a circle.,0.11343979835510254
task453-f66b56f5ddc7429e8f4df8b0d2ffd7d8,task453_swag_answer_generation,Text Completion,"Given a sentence, generate what should be the most likely next statement. The next statement should be reasonable and logically correct.","Someone gathers the small Hobbit in her arms, feeling his life slip away. A bright light suddenly flares. someone",sadly purses her lips.,"screams, screams, screams.",0.39846545457839966
task453-136d0391f1024138a5aef4629936b9cd,task453_swag_answer_generation,Text Completion,"Given a sentence, generate what should be the most likely next statement. The next statement should be reasonable and logically correct.",The case worker grabs a tennis ball from a bin. He,"throws the ball, then grabs a racket.",throws the ball at the ball.,0.1913641095161438
task453-77b265efb0594f0bb64fad32c0dedf8e,task453_swag_answer_generation,Text Completion,"Given a sentence, generate what should be the most likely next statement. The next statement should be reasonable and logically correct.",We see an opening title scene. We,see people riding horses through the mountains.,see a man in a white shirt.,0.08339470624923706
