id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task897-975a36bffff544208028d71f424fe00a,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",dam square,In which European city is Dam Square?,"Which is the name of the square in the centre of London, which is the location of the Dam Square?",0.8674411177635193
task897-8b9d68f374b445df91b07c3f19d58192,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",days of future passed,Which pop group of the 60's and 70's released albums entitled `Days of Future Passed' and 'A Question of Balance'?,Which band released the song Days of Future Passed in 1982?,0.11592096090316772
task897-c5b01cd6b52e4dc7bff22bc5e54f4072,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",charles darwin,What did English naturalist Charles Darwin study at Edinburgh University?,Which scientist was the father of Darwinism?,0.25683748722076416
task897-5f02be7fee1c4e048a2e2fb6cab55ce7,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",ansel adams,With which art form do you associate Ansel Adams and Robert Mapplethorpe?,Which actor played the role of Ansel Adams in the film 'The Last Picture Show'?,0.18716871738433838
task897-b7fa439776b34fb7b785987309d365e3,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",abraham,"In the Bible, who was the son of Abraham and Hagar?",Which actor played Abraham Lincoln in the film 'Abraham Lincoln'?,0.13858038187026978
task897-e0d93c9e76b843daa8e3b1812bc601ab,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.","anfield, liverpool",Which British city has areas called Anfield and Toxteth?,"Which football club is based in Anfield, Liverpool?",0.1070299744606018
task897-f553436aa67b4e70ba02151d3999c6bf,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.","carmel-by-the-sea, california","Which film actor became mayor of Carmel, California in 1986?",Which California city is known for its famous Carmel By The Sea?,0.15520882606506348
task897-e2a603233359490899bd7e7a4a9f5224,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",the card players,The Card Players and The Boy in the Red Vestare are works by which 19th century French artist?,Which British actor played the role of 'The Card Players' in the TV series 'The Card Players'?,0.3351582884788513
task897-2adf8352a7164a0b867e3895bcae5166,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",chess,In what country did chess originate?,Which chess player won the first world championship in 1896?,0.11341530084609985
task897-a627792769f94b959dee8fcfa5f7aa89,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",action comics,"In November 2011, a copy of the first issue of Action Comics, featuring the debut of which action hero, sold for 2.6 million dollars?",Which comic book character is the most popular in the UK?,0.1055479645729065
task897-5429fe43cd2d4fa78578bdae49fe4fa9,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",apo reef,The Apo Reef lies off the coast of which country?,Which is the name of the asteroid that is the closest to Earth to the Earth?,0.15199238061904907
task897-e41f79a9262f464a9704a806f426169b,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",alfred hitchcock,Which 1959 Alfred Hitchcock film had the tagline `Its a deadly game of tag and Cary Grant is it!`?,"Which film was directed by Alfred Hitchcock and starred Alfred Hitchcock, Mary Pickford and Jack Lemmon?",0.22666114568710327
task897-2da7b6ca371a4bd19eaccda4fe6d4996,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",darth vader,Who was Anakin Skywalker's wife?,Which character is the main antagonist in Star Wars?,0.08845287561416626
task897-a8ad81efa01446e1b7b48a72c6689415,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",neo-assyrian empire,What was the capital of the ancient Assyrian civilisation?,Which empire was ruled by the Assyrians from the 7th century BC to the 9th century AD?,0.18644481897354126
task897-a9f2bd3971144a84a8c34962175e2193,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",brindisi,In which country is the deepwater ort of Brindisi?,Which Italian composer wrote the operas 'Brindisi' and 'La traviata'?,0.18493211269378662
task897-04d9bcd2543e41e3ac14ada9c7762b86,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",bobby locke,What nationality was golfer Bobby Locke?,Which actor played the role of Bobby Locke in the TV series 'The Big Sleep'?,0.18493211269378662
task897-a8109153d2ab430da7b213c736092b42,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",dr. who and the daleks,Who played Dr Who in the 1965 film Dr Who and the Daleks?,Which character played by Dr Who and the Daleks in the TV series 'Dark Angel'?,0.16311240196228027
task897-d3b2802008be428cb42dcec4d4295e93,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",battle of thermopylae,"At which narrow pass did Leonidas and 300 Spartans fight to the death, in order to slow down the Persian army?",Which battle took place in the year 399?,0.23219233751296997
task897-a9d6588564874ec0b8af8b1d396bef20,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",1936 summer olympics,Which black American won 4 gold medals in 1936 Olympics in Berlin?,Which country won the 1936 Summer Olympics in athletics?,0.15959686040878296
task897-fb40c989d2a9467592f801393cdf8c3b,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",cambodia,"Cambodia is bordered by Thailand, Vietnam, and which other country?",Which country is the capital of?,0.06290292739868164
task897-b13a0f2716b84761aa06e6b659ed6aed,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",a countess from hong kong,Who directed the 1966 film 'A Countess from Hong Kong?,Which actress played the title role in the film 'A Countess from Hong Kong'?,0.19354248046875
task897-431521e19d0140799568da0b8d934a9e,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",dirk benedict,In which sci-fi TV series did Dirk Benedict play Lieutenant Starbuck?,Which British actor played Dirk Benedict in the TV series 'The Office'?,0.13477003574371338
task897-d2b926e1bcd8440bba2190057566da55,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",danube,Which European capital city lies at the confluence of the rivers Danube and Sava?,Which river flows into the Danube?,0.0928722620010376
task897-45ed1b4d719342bfb5a3bd7c0de8d1e2,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",do you like rock music?,Who released the album Do You Like Rock Music?,Which band was formed in the late 1960s by the members of the band The Doors?,0.28656089305877686
task897-20a8a8922b6a4b14b0f3d33898b38ff9,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",charleston,Charleston is the capital of which US state?,Which city is the capital of which state?,0.11592721939086914
task897-44642ab20aee42c7afff0a60ef5dc1a5,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",2008 epsom derby,"Which horse, ridden by Kevin Manning, won the 2008 Epsom Derby?",Which jockey won the 2008 Epsom Derby?,0.8698457479476929
task897-886158b5b474460080fbb7335f71dcbc,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",anna gordy gaye,Anna Gordy was the first wife of which late soul singer?,Which actress played Anna Gordy Gaye in the film 'The Girl Next Door'?,0.15543746948242188
task897-83b9f03b54aa42b4a977c40ab8228faf,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",california,What ocean borders the US state of California?,Which Californian state is the largest in the US?,0.09398341178894043
task897-4334596bcbb94cd28f7ae959836fff20,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",blink-182,Travis Barker plays which instrument in the band Blink 182?,Which band was formed in 1983 by the members of Blink-182?,0.11778116226196289
task897-cdca0cf691a64420823786f527b85e8a,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",boracay,The resort island of Boracay forms part of which country?,Which is the capital of the Philippines?,0.08493846654891968
task897-ce401fe901964d0586555325e8bd801d,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",guru granth sahib,The 'Adi Granth Sahib' is a sacred text of which religion?,What is the name of the book that Guru Granth Sahib wrote?,0.1364206075668335
task897-e409911ede004dee82acec61d34ee74c,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",prime minister of the united kingdom,Who was British Prime Minister between Winston Churchill's two terms in office?,Which British Prime Minister was the first to be sworn in as a monarch?,0.1575348973274231
task897-c409b41bc17640afb4950c369843e715,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",huckleberry finn,Who wrote `The Adventures Of Huckleberry Finn`?,What is the name of the character in the TV series 'Huckleberry Finn'?,0.20627665519714355
task897-f31236c83a5248acb286707e11637fca,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",charles gray,"Donald Pleasance, Telly Savalas and Charles Gray have all played the role of which James Bond villain?",Which actor played the role of Charles Gray in the TV series 'The Big Sleep'?,0.4974821209907532
task897-fb40c989d2a9467592f801393cdf8c3b,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",cambodia,What is the official language of Cambodia ?,Which country is the capital of?,0.09429377317428589
task897-cfe74997f8c24c35a54d26d5c70e8343,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",the bourne supremacy,"Who is the English film director of The Bourne Supremacy, The Bourne Ultimatum, United 93 and Captain Phillips?",Which band was formed in the late 1960s by the members of the band The Bourne Supremacy?,0.24737626314163208
task897-55482b52c922489f9077fe46e1801fa3,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",eden project,"Which architect, President of the Royal Academy from 2004 to 2011, is responsible for the National Space Centre in Leicester and the Eden Project in Cornwall?","Which British film starring David Niven, Peter Capaldi and Peter O'Toole was based on the Eden Project?",0.2385028600692749
task897-d098e24a2bab4734ad77ed87f1767303,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",the bluebells,With which re-released song did The Bluebells have a number one hit in 1993?,Which song was written by the Beatles in the late 1960s and was a hit?,0.4364389181137085
task897-b58385e7789641968d80b3c48a9f8f59,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",babel,Which band had a hit album in 2012 with Babel?,Which composer wrote the opera Babel?,0.2604452967643738
task897-d528ccd37ab745b2b0e6f8238a51144e,task897_freebase_qa_topic_question_generation,Question Generation,"Given an open-ended topic (movie name, a persons name, an event, sports, etc) generate a simple trivia-type question.",dad's army,Who played Private Joe Walker in Dad's Army?,Which actor played the role of Colonel John McKinley in the TV series 'Dad's Army'?,0.4101702570915222
