id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task024-a752845c0b524eba8713123059ead01b,task024_cosmosqa_answer_generation,Question Answering,"Craft one correct answer to the question given in input. To make it more interesting, try to use non-stereotypical language if possible. Make sure your correct answer is reasonably long, consistent with the context, and requires common sense (instead of explicit extraction from the context.) In your answer, use as few words as possible from the given context. Use a response that is uncommon/non-stereotypical, so that it is less predictable. To be less repetitive, please vary your language for each question.","Context: His advice was to stay on the phone with 911 , provide accurate descriptions and if possible watch what they do with the illegal substance . By keeping more watchful eyes on the park , we can hold lawbreakers accountable for their actions . The tide will turn ... Additionally , I ran into Maureen , a homeless woman who has helped us in the park cleaning project . 
Question: Why was the writer on the phone with 911 ?",Because some people were seen with an illegal substance.,Because they were concerned about a crime .,0.38124018907546997
task024-6e3c5b496e92485d8fb79f53324c24ef,task024_cosmosqa_answer_generation,Question Answering,"Craft one correct answer to the question given in input. To make it more interesting, try to use non-stereotypical language if possible. Make sure your correct answer is reasonably long, consistent with the context, and requires common sense (instead of explicit extraction from the context.) In your answer, use as few words as possible from the given context. Use a response that is uncommon/non-stereotypical, so that it is less predictable. To be less repetitive, please vary your language for each question.","Context: Hide and Seek proved to still be a popular game among the younger set . While others tried those well worn routes like behind the sofa , behind the door , under the bed , Kev was really rather inventive , he dumped all the dried food stuffs out of the cool storage built into the kicthen floor for the first round . Second round he won again with the ' in plain sight ' strategy . It was fun to watch , reminded me of when my brothers and I played at my Granny 's house and once we all ended up climbing into this big old wardrobe , and got such a shock when we fell out the back into a whole other time / space reality . 
Question: What made kev so good at hide and seek ?",he used multiple different strategies which made it difficult to predict where he would be hiding.,He was creative .,0.24879777431488037
task024-4978ed380c774f3a9ea5f124ff91d67b,task024_cosmosqa_answer_generation,Question Answering,"Craft one correct answer to the question given in input. To make it more interesting, try to use non-stereotypical language if possible. Make sure your correct answer is reasonably long, consistent with the context, and requires common sense (instead of explicit extraction from the context.) In your answer, use as few words as possible from the given context. Use a response that is uncommon/non-stereotypical, so that it is less predictable. To be less repetitive, please vary your language for each question.","Context: Smith , and Shawn Andrews have not helped , but the play - calling and non - execution by players capable of converting these opportunities is the real problem . The Eagles have depth , so let 's not make the excuse that so and so was not out there . They have to improve over the next 12 games if they even want to sniff the playoffs . Praise or Disappointment for the Defense?Yes , the defense allowed 24 points last night . 
Question: What may be a fact about this person ?",They are criticizing how the Eagles have been playing .,They are criticizing the Eagles .,0.34895020723342896
task024-23eb507e67c6436082f94041844fc3c2,task024_cosmosqa_answer_generation,Question Answering,"Craft one correct answer to the question given in input. To make it more interesting, try to use non-stereotypical language if possible. Make sure your correct answer is reasonably long, consistent with the context, and requires common sense (instead of explicit extraction from the context.) In your answer, use as few words as possible from the given context. Use a response that is uncommon/non-stereotypical, so that it is less predictable. To be less repetitive, please vary your language for each question.","Context: She really liked this guy -- as a friend ... and when I went over to see her yesterday , she told me this . Now , my girlfriend has been through a lot for a 22-year - old and I am only 18 . But she told me she was going to pick me ... and she did this with tears in her eyes and everything ... I really felt bad about this , and kind of pissed off , because her "" friend "" had made her sucidal when he said that to her --- that he liked her . 
Question: What did I do after she picked me ?",I tried to comfort her because she was struggling .,I felt bad about this .,0.06959056854248047
task024-bd11ee6505184d48a5ad90cf436d3588,task024_cosmosqa_answer_generation,Question Answering,"Craft one correct answer to the question given in input. To make it more interesting, try to use non-stereotypical language if possible. Make sure your correct answer is reasonably long, consistent with the context, and requires common sense (instead of explicit extraction from the context.) In your answer, use as few words as possible from the given context. Use a response that is uncommon/non-stereotypical, so that it is less predictable. To be less repetitive, please vary your language for each question.","Context: I talked about the $ 196 I paid to get my daughter ready for school . I wish that was the end of the school expenses . I just paid another $ 195 for after school activities for this semester . Last year she participated in an after school art program called Young Rembrandts that she just loved . 
Question: Why did she participate in an after school art program ?",Because she 's interested in art .,She wanted to learn how to paint .,0.0965956449508667
task024-28bfe35b29254e57a1d219b341064884,task024_cosmosqa_answer_generation,Question Answering,"Craft one correct answer to the question given in input. To make it more interesting, try to use non-stereotypical language if possible. Make sure your correct answer is reasonably long, consistent with the context, and requires common sense (instead of explicit extraction from the context.) In your answer, use as few words as possible from the given context. Use a response that is uncommon/non-stereotypical, so that it is less predictable. To be less repetitive, please vary your language for each question.","Context: You were only weeks old and so very tiny when you showed me how much you had to say , when I would prop you on the pillow in front of me and you would lock your eyes onto mine and kick and wave and make all manner of coos and grunts . Your story was already fascinating and it only grows more so with each passing day . So now you are two . You look more and more like your big sister as you get older , but you are the only one of golden hair with highlights that no amount of money could buy . You are fiercely independent in some ways but you still love your mama . 
Question: Why did she communicate with grunts ?",Because she was a baby .,She was a baby .,0.11245042085647583
task024-b139e5c490db48d691cfd0c0f3b308e0,task024_cosmosqa_answer_generation,Question Answering,"Craft one correct answer to the question given in input. To make it more interesting, try to use non-stereotypical language if possible. Make sure your correct answer is reasonably long, consistent with the context, and requires common sense (instead of explicit extraction from the context.) In your answer, use as few words as possible from the given context. Use a response that is uncommon/non-stereotypical, so that it is less predictable. To be less repetitive, please vary your language for each question.","Context: Pretty please with cherries on top ? Bah . At least it looks as if they are now going to do away with the pointless killing spree and use T - bag for something because if I understand things correctly , he 's been apprehended by authorities and is being used as bait for Michael - see false message from Mahone - but to what end I ' m not entirely sure ... Just to flush Michael out ? Is the company that sure of Michael 's guilt that just knowing T - bag is in Panama he wo n't be able to resist trying to stop him ?. 
Question: What is the future of T - Bag ?",T - Bag is going to be killed .,T - Bag is going to be used as bait for Michael .,0.1260567307472229
task024-cb8b007bc78c4ff48486bbc6c380808e,task024_cosmosqa_answer_generation,Question Answering,"Craft one correct answer to the question given in input. To make it more interesting, try to use non-stereotypical language if possible. Make sure your correct answer is reasonably long, consistent with the context, and requires common sense (instead of explicit extraction from the context.) In your answer, use as few words as possible from the given context. Use a response that is uncommon/non-stereotypical, so that it is less predictable. To be less repetitive, please vary your language for each question.","Context: Overall , this was a very good introduction to Eastern Standard and I will definitely return . The food is delicious , very reasonably priced and I enjoyed the wines as well . I recommend you check it out as well . 
Question: Why does the narrator recommend Eastern Standard ?",Because it is reasonably priced .,They enjoyed the food .,0.0929597020149231
task024-9f77911cb0424e31a1a3d7222ed828af,task024_cosmosqa_answer_generation,Question Answering,"Craft one correct answer to the question given in input. To make it more interesting, try to use non-stereotypical language if possible. Make sure your correct answer is reasonably long, consistent with the context, and requires common sense (instead of explicit extraction from the context.) In your answer, use as few words as possible from the given context. Use a response that is uncommon/non-stereotypical, so that it is less predictable. To be less repetitive, please vary your language for each question.","Context: His friends who helped him out with it were all incredibly hilarious . Some were french like him , one was Australian , and a couple others were Americans they happened to pick up in New York . Phillippe Petite still performs to this day . 
Question: Does Phillippe Petite have a good sense of humor ?",People that are helpful and funny have friends that are helpful and funny .,"Yes , he has a good sense of humor .",0.11717432737350464
task024-067e3104120a40c686b44f3db193e133,task024_cosmosqa_answer_generation,Question Answering,"Craft one correct answer to the question given in input. To make it more interesting, try to use non-stereotypical language if possible. Make sure your correct answer is reasonably long, consistent with the context, and requires common sense (instead of explicit extraction from the context.) In your answer, use as few words as possible from the given context. Use a response that is uncommon/non-stereotypical, so that it is less predictable. To be less repetitive, please vary your language for each question.","Context: And a lot of people seem to like it . That 's why I outrank you on the AdAge Power 150 and in the alexa rankings . Now please , stop sending me juvenile emails . I have a blog to write . 
Question: Why does the narrator not want emails ?",They find them distracting .,They are juvenile .,0.2125624418258667
