id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task917-3e3d61a403314aaaad0a90ee8c0831c5,task917_coqa_question_generation,Question Generation,"This task is about reading the given passage and construct a question about the information present in the passage. Construct a question in such a way that (i) it is unambiguous, (ii) it is answerable from the passage, (iii) the answer is unique, (iv) its answer is a continous text span from the paragraph. Avoid creating questions that (i) can be answered correctly without actually understanding the paragraph and (ii) uses same words or phrases given in the passage ","CHAPTER XII. 

Madame Colonna, with that vivacious energy which characterises the south, had no sooner seen Coningsby, and heard his praises celebrated by his grandfather, than she resolved that an alliance should sooner or later take place between him and her step-daughter. She imparted her projects without delay to Lucretia, who received them in a different spirit from that in which they were communicated. Lucretia bore as little resemblance to her step-mother in character, as in person. If she did not possess her beauty, she was born with an intellect of far greater capacity and reach. She had a deep judgment. A hasty alliance with a youth, arranged by their mutual relatives, might suit very well the clime and manners of Italy, but Lucretia was well aware that it was altogether opposed to the habits and feelings of this country. She had no conviction that either Coningsby would wish to marry her, or, if willing, that his grandfather would sanction such a step in one as yet only on the threshold of the world. Lucretia therefore received the suggestions and proposals of Madarne Colonna with coldness and indifference; one might even say contempt, for she neither felt respect for this lady, nor was she sedulous to evince it. Although really younger than Coningsby, Lucretia felt that a woman of eighteen is, in all worldly considerations, ten years older than a youth of the same age. She anticipated that a considerable time might elapse before Coningsby would feel it necessary to seal his destiny by marriage, while, on the other hand, she was not only anxious, but resolved, not to delay on her part her emancipation from the galling position in which she very frequently found herself. ",Was she convinced that he wanted to wed her?,What was the name of the lady who had no hesitation in forming an alliance with Coningsby?,0.19808745384216309
task917-e204b4e61ea44026a205af032877b628,task917_coqa_question_generation,Question Generation,"This task is about reading the given passage and construct a question about the information present in the passage. Construct a question in such a way that (i) it is unambiguous, (ii) it is answerable from the passage, (iii) the answer is unique, (iv) its answer is a continous text span from the paragraph. Avoid creating questions that (i) can be answered correctly without actually understanding the paragraph and (ii) uses same words or phrases given in the passage ","(CNN) -- Serbia will face France in the final of the Davis Cup after a tense 3-2 semifinal victory over the Czech Republic in front of a passionate home support in Belgrade. 

The Czechs led 2-1 after winning Saturday's doubles rubber, meaning the hosts had to claim victory in both reverse singles to secure their first-ever appearance in the final. 

World number two Novak Djokovic, who missed Friday's opening singles with a stomach complaint, drew the two nations level at 2-2 when he recovered from the loss of the opening set to defeat Czech No.1 Tomas Berdych 4-6 6-3 6-2 6-4. 

It completed a miserable weekend for Wimbledon finalist Berdych, who lost both of his singles rubbers. 

That result means Janko Tipsarevic had to defeat the previously unbeaten Radek Stepanek to seal Serbia's final place and he did just that, winning 6-0 7-6 6-4 to send the 15,000 home supporters into raptures. 

There was less drama in the other semifinal, where France completed their domination over Argentina with a 5-0 whitewash victory in Lyon. 

The French led 3-0 going into the final day, meaning nothing rested on the results of the reverse singles rubbers. 

However, Gilles Simon's 7-6 6-7 6-3 defeat of Eduardo Schwank meant the whitewash became a possibility -- and it was completed when Arnaud Clement beat Horacio Zeballos 7-5 6-1. 

The victory ensures France, who dumped out holders Spain in the previous round, reached their first Davis Cup final since 2002. 

",Was it filled with tension?,Who will Serbia face in the Davis Cup final?,0.11439114809036255
task917-e9295a5823a448e4ae48b1d45343ec93,task917_coqa_question_generation,Question Generation,"This task is about reading the given passage and construct a question about the information present in the passage. Construct a question in such a way that (i) it is unambiguous, (ii) it is answerable from the passage, (iii) the answer is unique, (iv) its answer is a continous text span from the paragraph. Avoid creating questions that (i) can be answered correctly without actually understanding the paragraph and (ii) uses same words or phrases given in the passage ","Oakland is the largest city and the county seat of Alameda County, California, United States. A major West Coast port city, Oakland is the largest city in the East Bay region of the San Francisco Bay Area, the third largest city overall in the San Francisco Bay Area, the eighth largest city in California, and the 45th largest city in the United States, with a population of 419,267 . It serves as a trade center for the San Francisco Bay Area; its Port of Oakland is the busiest port in the San Francisco Bay, the entirety of Northern California, and the fifth busiest in the United States of America. The city was incorporated in 1852. 

Oakland's territory covers what was once a mosaic of California coastal terrace prairie, oak woodland, and north coastal scrub. Its land served as a rich resource when its hillside oak and redwood timber were logged to build San Francisco, and Oakland's fertile flatland soils helped it become a prolific agricultural region. In the late 1860s, Oakland was selected as the western terminal of the Transcontinental Railroad. Following the 1906 San Francisco earthquake, many San Francisco citizens moved to Oakland, enlarging the city's population, increasing its housing stock and improving its infrastructure. It continued to grow in the 20th century with its busy port, shipyards, and a thriving automobile manufacturing industry.",What types of businesses are there?,What is the largest city in California?,0.12716788053512573
task917-e7c64640b8a74384aaaed1d3fe37c8af,task917_coqa_question_generation,Question Generation,"This task is about reading the given passage and construct a question about the information present in the passage. Construct a question in such a way that (i) it is unambiguous, (ii) it is answerable from the passage, (iii) the answer is unique, (iv) its answer is a continous text span from the paragraph. Avoid creating questions that (i) can be answered correctly without actually understanding the paragraph and (ii) uses same words or phrases given in the passage ","Probably no other musical instrument is as popular as the guitar around the world. Musicians use the guitar for almost all kinds of music. Country and western music would not be the same without a guitar. The traditional Spanish folk music called Flamenco could not exist without a guitar. The sound of American blues music would not be the same without the sad cry of the guitar. And rock and roll music would almost be impossible without this instrument. 

Music experts do not agree about where the guitar was first played. Most agree it is ancient. Some experts say an instrument very much like a guitar was played in Egypt more than 1,000 years ago. Most experts say that the ancestor of the modern guitar was brought to Spain from Persia sometime in the 12thcentury. The guitar continued to develop in Spain. In the 1700s it became similar to the instrument we know today. 

Many famous musicians played the instrument. The famous Italian violins Niccole Paganism played and wrote music for the guitar in the early 1800s. Franz Schubert used the guitar to write some of his famous works. In modern times Spanish guitarist Andres Segovia helped make the instrument extremely popular. 

In the 1930s, Les Paul began experimenting to make an electric guitar. He invented the solid-bodied electric guitar in 1946. The Gibson Guitar Company began producing its famous Les Paul Guitar in 1952. It became a powerful influence on popular music. The instrument has the same shape and the same six strings as the traditional guitar, but it sounds very different. Les Paul produced a series of extremely popular recordings that introduced the public to this music. Listen to this Les Paul recording. It was the fifth most popular song in the United States in 1952. It is called ""Meet Mister Callaghan.""",What kind of music you usually hear a guitar?,What instrument is the most popular in the world?,0.11904746294021606
task917-b215efc4bd114c719993456d76399fbd,task917_coqa_question_generation,Question Generation,"This task is about reading the given passage and construct a question about the information present in the passage. Construct a question in such a way that (i) it is unambiguous, (ii) it is answerable from the passage, (iii) the answer is unique, (iv) its answer is a continous text span from the paragraph. Avoid creating questions that (i) can be answered correctly without actually understanding the paragraph and (ii) uses same words or phrases given in the passage ","Maurice Mountain is a retired lawyer in Washington, D.C. He developed a prototype for a device he calls the Presto Emergency Boat Ladder. His invention is a small folding ladder that attaches to the side of a boat to help people who fall into the water. Mr. Mountain plans to mass-produce his boat ladder. 

He created his invention at a workshop called TechShop. Mr. Mountain says, ""I think it encourages innovation. I think people who probably have had ideas rolling around in the back of their minds for years but have never had the opportunity to actually put them into production or even experiment with them would find this place wonderful. Members of TechShop use high-tech equipment to develop and produce ideas they have for inventions."" Isabella Musachio manages a TechShop in Arlington, Virginia. She says the shop has many different kinds of equipment. 

""TechShop is a do-it-yourself maker space. So when you come in we have all these different areas of the shop, and we have a metal shop, wood shop, lasers, 3D printers, electronics. I mean, we have so many different areas and we have all the equipment that is availahle to anybody above the age of 12."" 

Membership costs for TechShop start at just over $ 100 per month. Members are able to use costly machines including 3D modeling tools and laser cutters. Isabella Musachio says TechShop helps its members build their dreams. 

""Our motto is 'build your dreams here' because you can really come in with just an idea, and then with the help of TechShop make that leap from an idea to building your project o, your prototype or even your business."" 

Jim Newton is the founder of TechShop. He first introduced the idea for the technology workshops at an arts and sciences event called Maker Faire in San Mateo, California in 2006. His idea attracted hundreds of members during that event, Now, there are eight TechShop locations in the U. S. In all, there are more than 6,000 members. Two more-TechShop locations in the cities of St. Louis and Look Angeles will be set up.",Who designed something?,What is the name of the workshop that Maurice Mountain created his prototype for?,0.1573338508605957
task917-31de9b2f572040ccbe096a6fc6c7d4e6,task917_coqa_question_generation,Question Generation,"This task is about reading the given passage and construct a question about the information present in the passage. Construct a question in such a way that (i) it is unambiguous, (ii) it is answerable from the passage, (iii) the answer is unique, (iv) its answer is a continous text span from the paragraph. Avoid creating questions that (i) can be answered correctly without actually understanding the paragraph and (ii) uses same words or phrases given in the passage ","When we talk about red packets, the most important question is ""What are you going to do with it?"" One thing you could do is to put your money in the bank. Maybe you don't know, some students in Hubei began to use the Xiaogui Dangjia bank card this year. This is a card for children. It is from China Minsheng Bank in Wuhan. Wang Ming is a 14-year-old junior student in Wuhan. He said ""All my pocket money has a place to go now. I can pay my own school fees ."" Zhu Yu, a manager of Minsheng Bank, said that they knew lots of students who didn't know how to use their money. So they wanted them to know how to use it carefully. Parents worry that children don't know how to take care of the money by themselves. Shen qiangqiang's mother like the card very much. Shen was asking his mother for a computer for a long time, but his mother didn't buy it for him. She said, ""We want him to use his card to save money for the computer. If we buy everything he asks for, he will think money comes too easily, and he won't work hard for it."" Today, there are many different kinds of bank cards. They are from different banks. People put their money in them. Then they can use their money at any time. People can do many things with bank cards. They can wash cars, go shopping, eat delicious food and travel to other places with the money in their bank cards. The most important thing is not ""How much did you get?"" It is necessary for everyone to learn how to save your money and use your money correctly.",What did some students in Hubei start using this year?,What is the most important question about red packets?,0.38182276487350464
task917-5a08f9a771524c8aab17ee158873e3f0,task917_coqa_question_generation,Question Generation,"This task is about reading the given passage and construct a question about the information present in the passage. Construct a question in such a way that (i) it is unambiguous, (ii) it is answerable from the passage, (iii) the answer is unique, (iv) its answer is a continous text span from the paragraph. Avoid creating questions that (i) can be answered correctly without actually understanding the paragraph and (ii) uses same words or phrases given in the passage ","A bracket is a tall punctuation mark typically used in matched pairs within text, to set apart or interject other text. The matched pair may be described as opening and closing, or left and right symbols. 

Forms include round (also called ""parentheses""), square, curly (also called ""braces""), and angle brackets (also called ""chevrons""); and various other pairs of symbols. 

In addition to referring to the class of all types of brackets, the unqualified word ""bracket"" is most commonly used to refer to a specific type of bracket: in modern American usage this is usually the square bracket and in modern British usage this is usually the round bracket. 

Chevrons were the earliest type of bracket to appear in written English. Desiderius Erasmus coined the term ""lunula"" to refer to the rounded parentheses (), recalling the shape of the crescent moon. 

Some of the following names are regional or contextual. 

The characters ‹ › and « », known as guillemets or ""angular quote brackets"", are actually quotation mark glyphs used in several European languages. Which one of each pair is the opening quote mark and which is the closing quote varies between languages. 

In English, typographers generally prefer to not set brackets in italics, even when the enclosed text is italic. However, in other languages like German, if brackets enclose text in italics, they are usually set in italics too.","Who came up with the name ""lunula?""",What is the term for a tall punctuation mark?,0.1278020739555359
task917-33c66c8fde9443228e47e32afc2e8f2c,task917_coqa_question_generation,Question Generation,"This task is about reading the given passage and construct a question about the information present in the passage. Construct a question in such a way that (i) it is unambiguous, (ii) it is answerable from the passage, (iii) the answer is unique, (iv) its answer is a continous text span from the paragraph. Avoid creating questions that (i) can be answered correctly without actually understanding the paragraph and (ii) uses same words or phrases given in the passage ","A Texas teen who's been jailed more than four months for a Facebook comment he made during a video-game argument is finally getting a day in court that could let him go home. 

Justin Carter, who was 18 when he was arrested, will appear in Comal County (Texas) District Court on Tuesday, July 16, for a bond hearing, according to his lawyer, Don Flanary. 

Flanary told CNN he will argue to have Carter's $500,000 bond, which his family cannot afford to cover, reduced. 

Flanary, who is working the case for free, met with Carter for the first time on Tuesday. He said Carter is not doing well, and his family says he has been placed on suicide watch. 

""Justin is in bad shape and has suffered quite a bit of abuse while in jail,"" Flanary said in an e-mail. ""We will likely bring out these issues at the bond hearing."" 

He did not elaborate on the type of abuse claimed by Carter, who is now 19. 

In February, Carter and a friend were arguing on Facebook with someone else over the online video game ""League of Legends."" 

His father told CNN that the other gamer called Justin crazy and his son responded with sarcasm. 

According to court documents, Justin wrote, ""I'm f***ed in the head alright. I think I'ma (sic) shoot up a kindergarten and watch the blood of the innocent rain down and eat the beating heart of one of them."" 

Jack Carter said his son followed the claim with ""LOL"" and ""J/K"" -- indicating that the comment wasn't serious. ",How old was he?,What is the name of the teen who was jailed for more than four months for a Facebook comment?,0.20937073230743408
task917-edf8d459377547aca42448f42ca69ae3,task917_coqa_question_generation,Question Generation,"This task is about reading the given passage and construct a question about the information present in the passage. Construct a question in such a way that (i) it is unambiguous, (ii) it is answerable from the passage, (iii) the answer is unique, (iv) its answer is a continous text span from the paragraph. Avoid creating questions that (i) can be answered correctly without actually understanding the paragraph and (ii) uses same words or phrases given in the passage ","The Vatican Apostolic Library (), more commonly called the Vatican Library or simply the Vat, is the library of the Holy See, located in Vatican City. Formally established in 1475, although it is much older, it is one of the oldest libraries in the world and contains one of the most significant collections of historical texts. It has 75,000 codices from throughout history, as well as 1.1 million printed books, which include some 8,500 incunabula. 

The Vatican Library is a research library for history, law, philosophy, science and theology. The Vatican Library is open to anyone who can document their qualifications and research needs. Photocopies for private study of pages from books published between 1801 and 1990 can be requested in person or by mail. 

In March 2014, the Vatican Library began an initial four-year project of digitising its collection of manuscripts, to be made available online. 

The Vatican Secret Archives were separated from the library at the beginning of the 17th century; they contain another 150,000 items. 

Scholars have traditionally divided the history of the library into five periods, Pre-Lateran, Lateran, Avignon, Pre-Vatican and Vatican. 

The Pre-Lateran period, comprising the initial days of the library, dated from the earliest days of the Church. Only a handful of volumes survive from this period, though some are very significant.",For what subjects?,What is the name of the library of the Holy See?,0.11982870101928711
task917-612d764fdfb44e6a96bf9d55c02a57ac,task917_coqa_question_generation,Question Generation,"This task is about reading the given passage and construct a question about the information present in the passage. Construct a question in such a way that (i) it is unambiguous, (ii) it is answerable from the passage, (iii) the answer is unique, (iv) its answer is a continous text span from the paragraph. Avoid creating questions that (i) can be answered correctly without actually understanding the paragraph and (ii) uses same words or phrases given in the passage ","Do you know more and more Chinese artists have made regular donations to charity or put their efforts into charity work in China? Here let's know some of them. Faye Wong and her husband Li Yapeng started the Yan Ran Angel Foundation for harelipped children three years ago. It was named after their daughter. Its purpose is to help children under 14 to cure their harelips. The couple donated one million yuan (about $ 133,000) to start the organization. Cong Fei was born in a poor family. He became a successful singer in Shenzhen. He helped 178 poor students and disabled people for more than 10 years. Before he died of an illness at the age of 37 in 2006, he decided to donate his cornea to people with eye problems. He helped six people see the world. Guan Mucun has donated money to Project Hope to help poor students finish primary education. Thirty of these poor students have already finished high school with her support. Guan has also helped with charity work for environment protection, HIV/AIDS prevention, blood donation and ""Mother Water"". Guan had an unlucky childhood: her mother died when she was only 10 years old. With the help of the government and her neighbours, she grew up and was successful as a famous singer. Action star Jackie Chan is a wholehearted supporter of charities including UNICEF, Operation Smile and his own Jackie Chan Charitable Foundation. In 2007, he used much of his spare time to visit the farthest parts of China on his Dragon's Heart Charity Missions. The Dragon's Heart Foundation aims to meet the needs of poor children and the elderly in the hardest-to-reach areas of the country. Chan has made several trips to these poor villages, bringing warm clothing, wheelchairs and school supplies, and helping to build schools.",What does it help children under 14 with?,What is the Yan Ran Angel Foundation named after?,0.1633758544921875
