id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task863-23a63ae1757a4a72a1ef8cd22939795d,task863_asdiv_multiop_question_answering,Question Answering,"You are given a math word problem and you are supposed to apply multiple mathematical operators like addition, subtraction, multiplication, or division on the numbers embedded in the text to answer the following question and then only report the final numerical answer.",a chef only had 3 apples so he ordered 2 more bags . if each bag has 9 apples how many apples does he have total ?,21,18,0.2633039951324463
task863-3e7b1dd81fda485093a24adf16ee6ab0,task863_asdiv_multiop_question_answering,Question Answering,"You are given a math word problem and you are supposed to apply multiple mathematical operators like addition, subtraction, multiplication, or division on the numbers embedded in the text to answer the following question and then only report the final numerical answer.",thanksgiving is coming and dr. mary wants to celebrate it by sharing her blessing to different charities . she first went to oldtown where she donated $ 700 in total to 3 different nursing homes . if she gave $ 245 to the first home and $ 225 to the second how much did she give to the third home ?,230,225,0.09741461277008057
task863-bbfb8545d7f14dc88e7d0ccce2a1a18c,task863_asdiv_multiop_question_answering,Question Answering,"You are given a math word problem and you are supposed to apply multiple mathematical operators like addition, subtraction, multiplication, or division on the numbers embedded in the text to answer the following question and then only report the final numerical answer.",a magician was selling magic card decks for 2 dollars each . if he started with 5 decks and by the end of the day he had 3 left how much money did he earn ?,4,66,0.36457568407058716
task863-e4e1214105be476d85a719fdf805a076,task863_asdiv_multiop_question_answering,Question Answering,"You are given a math word problem and you are supposed to apply multiple mathematical operators like addition, subtraction, multiplication, or division on the numbers embedded in the text to answer the following question and then only report the final numerical answer.",at billy 's restaurant a group with 2 adults and 5 children came in to eat . if each meal cost 3 dollars how much was the bill ?,21,18,0.0611799955368042
task863-dc730ccc912f43a58c9e91717a1306c0,task863_asdiv_multiop_question_answering,Question Answering,"You are given a math word problem and you are supposed to apply multiple mathematical operators like addition, subtraction, multiplication, or division on the numbers embedded in the text to answer the following question and then only report the final numerical answer.",on a table there were 2 green apples 3 red apples and 14 yellow apples . how many apples were on the table ?,19,20,0.021673083305358887
task863-c0bf98b1a684413eabb1a8e99e9013d0,task863_asdiv_multiop_question_answering,Question Answering,"You are given a math word problem and you are supposed to apply multiple mathematical operators like addition, subtraction, multiplication, or division on the numbers embedded in the text to answer the following question and then only report the final numerical answer.",adam had 33 books . if he sold 11 of them and used the money he earned to buy 23 new books how many books would adam have ?,45,57,0.1691998839378357
task863-077974d2d5a445e8a27f4b73f00bdd37,task863_asdiv_multiop_question_answering,Question Answering,"You are given a math word problem and you are supposed to apply multiple mathematical operators like addition, subtraction, multiplication, or division on the numbers embedded in the text to answer the following question and then only report the final numerical answer.",jennifer has an 87 cm long ribbon . she uses 24 cm of the ribbon to tie a present for her friend and 45 cm of the ribbon to make a bow . how much of the ribbon is left in the end ?,18,76,0.036545515060424805
task863-8523300ab8fa4646be66478bccc6e38b,task863_asdiv_multiop_question_answering,Question Answering,"You are given a math word problem and you are supposed to apply multiple mathematical operators like addition, subtraction, multiplication, or division on the numbers embedded in the text to answer the following question and then only report the final numerical answer.",there are 100 books on a shelf . 32 of them are history books 25 of them are geography books and the rest are math books . how many math books are there on the shelf ?,43,76,0.21274828910827637
task863-a99912a030a7452e85244909dc7124d1,task863_asdiv_multiop_question_answering,Question Answering,"You are given a math word problem and you are supposed to apply multiple mathematical operators like addition, subtraction, multiplication, or division on the numbers embedded in the text to answer the following question and then only report the final numerical answer.",a store had 40 oranges in a bin . if they threw away 25 of the old 1 and put 21 new 1 in the bin how many would be in the bin ?,36,21,0.03804558515548706
task863-312ab06bef0a4579940ce2a89a5c49c3,task863_asdiv_multiop_question_answering,Question Answering,"You are given a math word problem and you are supposed to apply multiple mathematical operators like addition, subtraction, multiplication, or division on the numbers embedded in the text to answer the following question and then only report the final numerical answer.",alvin is trying to build a small house in the forest so that he has a place to stay whenever he goes hunting . he started by gathering some wood . according to his blueprint he will need 376 pieces of wood . if his friend gave him 123 pieces and his brother gave him 136 pieces how many more wood does he need to gather ?,117,243,0.1367204189300537
task863-eab94145833d48849bf902ffdcb5e83e,task863_asdiv_multiop_question_answering,Question Answering,"You are given a math word problem and you are supposed to apply multiple mathematical operators like addition, subtraction, multiplication, or division on the numbers embedded in the text to answer the following question and then only report the final numerical answer.",a car dealer sold 14 cars on the first day 16 cars on the second day and 27 cars on the third day . how many cars did the car dealer sell on the 3 days ?,57,57,0.04529905319213867
task863-b41aed9d0d7849908db6066606e3adba,task863_asdiv_multiop_question_answering,Question Answering,"You are given a math word problem and you are supposed to apply multiple mathematical operators like addition, subtraction, multiplication, or division on the numbers embedded in the text to answer the following question and then only report the final numerical answer.",mike made 90 dollars mowing lawns over the summer . if he spent 45 dollars buying new mower blades how many 5 dollar games could he buy with the money he had left ?,9,5,0.1319030523300171
