id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task631-c79b461403ea410588b73849d628c657,task631_dbpedia_14_incorrect_answer_generation,Wrong Candidate Generation,"In this task, you're given a text and question. The question is about the topic of the document. You are expected to generate an incorrect answer. The incorrect answer should be among one of the following categories: 1)Company, 2)Educational Institution, 3)Artist, 4)Athlete, 5)Office holder, 6)Mean of transportation, 7)Building, 8)Natural place, 9)Village, 10)Animal, 11)Plant, 12)Album, 13)Film, 14)Written work","Text:  The Batman Adventures: Mad Love is a one-shot comic book written by Paul Dini (writer on Batman: The Animated Series and Batman Beyond) and Bruce Timm (executive producer on The New Batman/Superman Adventures and the co-creator of Batman: The Animated Series). Set in the continuity of The Batman Animated Series it won an Eisner Award for Best Single Story in 1994. It was later adapted (with minor alterations for pacing) as an episode of the animated series The New Batman Adventures.
Question: WHat is the classified topic name",Building,Athlete,0.07388466596603394
task631-e4b110420e7142f8a9589469a5702b84,task631_dbpedia_14_incorrect_answer_generation,Wrong Candidate Generation,"In this task, you're given a text and question. The question is about the topic of the document. You are expected to generate an incorrect answer. The incorrect answer should be among one of the following categories: 1)Company, 2)Educational Institution, 3)Artist, 4)Athlete, 5)Office holder, 6)Mean of transportation, 7)Building, 8)Natural place, 9)Village, 10)Animal, 11)Plant, 12)Album, 13)Film, 14)Written work","Text:  SS Hjejlen (Danish for The Golden Plover) is one of the worlds oldest operative paddle steamer built in 1861 by Baumgarten & Burmeister commissioned by a group of citizens headed by paper manufacturer Michael Drewsen. She is used to carry tourists between Silkeborg and Himmelbjerget but in 1932 she also became a public mail boat.
Question: WHat is the classified topic name",Album,Athlete,0.07317715883255005
task631-c9948e005cf44264ada09130c99336a4,task631_dbpedia_14_incorrect_answer_generation,Wrong Candidate Generation,"In this task, you're given a text and question. The question is about the topic of the document. You are expected to generate an incorrect answer. The incorrect answer should be among one of the following categories: 1)Company, 2)Educational Institution, 3)Artist, 4)Athlete, 5)Office holder, 6)Mean of transportation, 7)Building, 8)Natural place, 9)Village, 10)Animal, 11)Plant, 12)Album, 13)Film, 14)Written work","Text:  Aya Nakahara (中原アヤ Nakahara Aya born July 28 1973 in Osaka) is a Japanese manga artist. She won the 49th Shogakukan Manga Award for shōjo manga for Love Com.
Question: WHat is the classified topic name",Company,Album,0.2601357698440552
task631-bd947ca7daa44217923a59bacdc3a18f,task631_dbpedia_14_incorrect_answer_generation,Wrong Candidate Generation,"In this task, you're given a text and question. The question is about the topic of the document. You are expected to generate an incorrect answer. The incorrect answer should be among one of the following categories: 1)Company, 2)Educational Institution, 3)Artist, 4)Athlete, 5)Office holder, 6)Mean of transportation, 7)Building, 8)Natural place, 9)Village, 10)Animal, 11)Plant, 12)Album, 13)Film, 14)Written work","Text:  Demain à Nanguila (or Nanguila Tomorrow) is a 1969 Malian film.
Question: WHat is the classified topic name",Natural place,Athlete,0.23346638679504395
task631-27d2a1251d094f6287041f5f72fe3556,task631_dbpedia_14_incorrect_answer_generation,Wrong Candidate Generation,"In this task, you're given a text and question. The question is about the topic of the document. You are expected to generate an incorrect answer. The incorrect answer should be among one of the following categories: 1)Company, 2)Educational Institution, 3)Artist, 4)Athlete, 5)Office holder, 6)Mean of transportation, 7)Building, 8)Natural place, 9)Village, 10)Animal, 11)Plant, 12)Album, 13)Film, 14)Written work","Text:  The New Zealand politician Katrina Shanks (born 12 May 1969) was a list member of parliament for the New Zealand National Party from 2007 to 2013. Shanks became a Member of Parliament on 7 February 2007 following the formal resignation of Don Brash from Parliament.Originally planning to retire at the 2014 electionshe retired at the end of 2013 to become Chief Executive of the New Zealand Funeral Directors Association.
Question: WHat is the classified topic name",Building,Album,0.11394017934799194
task631-b2ebc280b5074d178bf29abfb9bebbe0,task631_dbpedia_14_incorrect_answer_generation,Wrong Candidate Generation,"In this task, you're given a text and question. The question is about the topic of the document. You are expected to generate an incorrect answer. The incorrect answer should be among one of the following categories: 1)Company, 2)Educational Institution, 3)Artist, 4)Athlete, 5)Office holder, 6)Mean of transportation, 7)Building, 8)Natural place, 9)Village, 10)Animal, 11)Plant, 12)Album, 13)Film, 14)Written work","Text:  The Church of St. Teresa is a Roman Catholic parish located at 16-18 Rutgers Street on the corner of Henry Street in the Lower East Side neighborhood of Manhattan New York City. The parish is under the authority of the Archdiocese of New York. The church building was constructrd in 1841-42 as the Rutgers Presbyterian Church erected in the Gothic Revival style on a plot of ground donated by Colonel Henry Rutgers and it is said to have oldest public clock in New York City.
Question: WHat is the classified topic name",Album,Athlete,0.04905802011489868
task631-9992709a8cd64fab89289d32b4039320,task631_dbpedia_14_incorrect_answer_generation,Wrong Candidate Generation,"In this task, you're given a text and question. The question is about the topic of the document. You are expected to generate an incorrect answer. The incorrect answer should be among one of the following categories: 1)Company, 2)Educational Institution, 3)Artist, 4)Athlete, 5)Office holder, 6)Mean of transportation, 7)Building, 8)Natural place, 9)Village, 10)Animal, 11)Plant, 12)Album, 13)Film, 14)Written work","Text:  Derobrachus granulatus is a species of beetle in the Cerambycidae family. It was described by Bates in 1884.
Question: WHat is the classified topic name",Natural place,Album,0.05928528308868408
task631-10aaddab99a6470da0805025323e9f72,task631_dbpedia_14_incorrect_answer_generation,Wrong Candidate Generation,"In this task, you're given a text and question. The question is about the topic of the document. You are expected to generate an incorrect answer. The incorrect answer should be among one of the following categories: 1)Company, 2)Educational Institution, 3)Artist, 4)Athlete, 5)Office holder, 6)Mean of transportation, 7)Building, 8)Natural place, 9)Village, 10)Animal, 11)Plant, 12)Album, 13)Film, 14)Written work","Text:  The Galitska Synagogue is a synagogue in Kiev Ukraine.
Question: WHat is the classified topic name",Village,Athlete,0.2242233157157898
task631-4902819449de4b5e9038b9415618360c,task631_dbpedia_14_incorrect_answer_generation,Wrong Candidate Generation,"In this task, you're given a text and question. The question is about the topic of the document. You are expected to generate an incorrect answer. The incorrect answer should be among one of the following categories: 1)Company, 2)Educational Institution, 3)Artist, 4)Athlete, 5)Office holder, 6)Mean of transportation, 7)Building, 8)Natural place, 9)Village, 10)Animal, 11)Plant, 12)Album, 13)Film, 14)Written work","Text:  Passengers is a science fiction short story by Robert Silverberg. It was nominated for the Hugo Award for Best Short Story 1970 and won the Nebula Award for Best Short Story in 1969.
Question: WHat is the classified topic name",Film,Athlete,0.07476180791854858
task631-66e42979b00c4f989e59a148d1ae59eb,task631_dbpedia_14_incorrect_answer_generation,Wrong Candidate Generation,"In this task, you're given a text and question. The question is about the topic of the document. You are expected to generate an incorrect answer. The incorrect answer should be among one of the following categories: 1)Company, 2)Educational Institution, 3)Artist, 4)Athlete, 5)Office holder, 6)Mean of transportation, 7)Building, 8)Natural place, 9)Village, 10)Animal, 11)Plant, 12)Album, 13)Film, 14)Written work","Text:  The Gamshag is a mountain in the Kitzbühel Alps in the Austrian state of Tyrol whose summit reaches a height of 2178 m AA.The Gamshag is located northwest of the Torsee lake the source of the River Saalach. The prominent peak of the Tristkogel (2095 m AA) rises to the northeast.
Question: WHat is the classified topic name",Building,Album,0.31829899549484253
