id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task849-4a179a0157724d6784bb0e26e2f6c27d,task849_pubmedqa_answer_generation,Question Answering,"In this task, you are given a passage which has a question and the context. You have to generate an answer to the question based on the information present in the context.","Context: Posttraumatic stress symptoms are common after intensive care treatment. The influence of anxiety during critical illness on the development of posttraumatic stress symptoms needs to be investigated.', 'To determine the association between anxiety during critical illness (state and trait components) and posttraumatic stress symptoms over six months after ICU discharge.', 'Prospective study including 141 patients admitted ≥24h to a closed mixed adult ICU in a tertiary hospital. State anxiety was assessed with the Faces Anxiety Scale during ICU stay. Trait anxiety was measured with the State-Trait Anxiety Inventory Form Y-2. Posttraumatic stress symptoms were measured at three and six months after ICU discharge using the Post-Traumatic Stress Symptoms 10-Question Inventory. Clinical and demographical data were also collected. Mixed effect regression models were used to determine if state and trait anxiety were factors significantly associated with posttraumatic stress symptoms over time.', 'Moderate to severe levels of state anxiety in ICU were reported by 81 (57%) participants. Levels of trait anxiety (median 36 IQR: 29-47) were similar to the Australian population. High levels of posttraumatic stress symptoms occurred at three (n=19, 19%) and six months (n=15, 17%). Factors independently associated with posttraumatic stress symptoms were trait anxiety (2.2; 95% CI, 0.3-4.1; p=0.02), symptoms of anxiety after ICU discharge (0.6; 95% CI, 0.2-1.1; p=0.005), younger age (-1.4; 95% CI, -2.6 to -0.2; p=0.02) and evidence of mental health treatment prior to the ICU admission (5.2; 95% CI, 1.5-8.9; p=0.006).\Question: Is in ICU state anxiety associated with posttraumatic stress symptoms over six months after ICU discharge : A prospective study?","Posttraumatic stress symptoms occurred in a significant proportion of ICU survivors and were significantly associated with higher levels of trait anxiety, younger age, mental health treatment prior to the ICU admission and more symptoms of anxiety after ICU discharge. Early assessment and interventions directed to reduce state and trait anxiety in ICU survivors may be of benefit.",State anxiety in ICU was associated with posttraumatic stress symptoms over six months after ICU discharge. Trait anxiety was associated with posttraumatic stress symptoms over time.,0.6229053735733032
task849-09298f211c9e47a99e65a00a2b1ef190,task849_pubmedqa_answer_generation,Question Answering,"In this task, you are given a passage which has a question and the context. You have to generate an answer to the question based on the information present in the context.","Context: We hypothesised that abnormal global longitudinal strain (GLS) would predict outcome in hypertrophic cardiomyopathy (HCM) better than current echocardiographic measures.', 'Retrospective analysis of risk markers in relation to outcomes in 472 patients with HCM at a single tertiary institution (2006-2012). Exclusion criteria were left ventricular (LV) hypertrophy of other origin, patients in atrial fibrillation, lost to follow-up and insufficient image quality to perform strain analysis. Standardised echocardiogram recordings were reviewed and standard variables and LV GLS were measured. The primary end-point included all cardiac deaths, appropriate defibrillator shocks and heart failure (HF) admissions. The secondary end-point was death by HF and admissions related to HF.', ""Mean age was 50.0±15.0\u2005years; 322 (68%) were men. At a median of 4.3\u2005years (IQR 0.1-7.8) follow-up, 21 (4.4%) patients experienced cardiovascular death: 6 (1.3%) died from HF, 13 (2.7%) had sudden cardiac death and 2 (0.4%) died secondary to stroke. Four (0.8%) patients experienced appropriate defibrillator shock, and 13 (2.7%) were admitted for HF. On multivariate Fine-Gray proportional hazard analyses, GLS was significantly associated with the primary end-point (HR=0.90, 95% CI 0.83 to 0.98, p=0.018) independently of age, maximal provoked LV outflow-tract gradient and LV end-systolic volume. Moreover, GLS was particularly associated with the secondary end-point (HR=0.82, 95% CI 0.75 to 0.90, p<0.0001) independently of age, previous atrial fibrillation, New York Heart Association (NYHA) class III-IV, LV end-systolic volume, E/E', and outflow-tract gradient. Survival curves confirmed that GLS was associated with HF events (GLS <15.6%, p=0.0035).\Question: Is global longitudinal strain associated with heart failure outcomes in hypertrophic cardiomyopathy?","In patients with HCM, reduced GLS is an independent factor associated with poor cardiac outcomes, and particularly HF outcomes.","p0.0001) and death by HF. GLS was associated with HF events independently of age, NYHA class III-IV, LV end-systolic volume, E/E' and outflow-tract gradient.",0.4039859175682068
task849-f5ae91c0fc834dbd9f1fa86805ed6714,task849_pubmedqa_answer_generation,Question Answering,"In this task, you are given a passage which has a question and the context. You have to generate an answer to the question based on the information present in the context.","Context: Meniscal tears remain an unsolved problem in sports medicine. Gene transfer is a potential approach to enhancing meniscal repair. Recombinant adeno-associated virus is a method of gene transfer that has advantages over previously used approaches to this problem.', 'Direct gene transfer to meniscal cells can be accomplished using recombinant adeno-associated virus in vitro and in vivo.', 'Controlled laboratory study.', 'Recombinant adeno-associated viruses containing the reporter gene lacZ were tested for their ability to achieve gene transfer into lapine and human meniscal cells in vitro and into lapine meniscal defects in vivo. Results were assessed by detecting beta-galactosidase, the enzyme encoded by the lacZ gene.', 'Maximal efficiency of gene transfer was 81.6% +/- 6.6% for lapine and 87.2% +/- 14.8% for human meniscal cells in vitro. Expression of the transferred gene continued for the 28-day duration of the study. When the recombinant adeno-associated virus vector was injected into meniscal tears in a lapine meniscal tear model, transgene expression continued in meniscal cells adjacent to the tear for at least 20 days in vivo.\Question: Are menisci efficiently transduced by recombinant adeno-associated virus vectors in vitro and in vivo?",The data suggest that recombinant adeno-associated virus vectors can directly and efficiently transfer and stably express foreign genes in isolated lapine and human meniscal cells in vitro and in lapine meniscal defects in vivo.,The results indicate that recombinant adeno-associated virus vectors can be used to transfer genes to meniscal cells in vitro and in vivo.,0.2973119020462036
task849-f6274e4293f34e57bab053771eb0f6bc,task849_pubmedqa_answer_generation,Question Answering,"In this task, you are given a passage which has a question and the context. You have to generate an answer to the question based on the information present in the context.","Context: Exercise tests are increasingly used during preoperative evaluation before lung resection. This study assessed the association between performance at the symptom-limited stair-climbing test and postoperative cardiopulmonary morbidity, mortality, and costs after major lung resections.', 'As part of their routine preoperative evaluation, 640 patients who had lobectomy (n = 533) or pneumonectomy (n = 107) for lung cancer from January 2000 through April 2007 performed a preoperative symptom-limited stair-climbing test. Sensitivity/specificity analysis was used to identify the best cutoff values of altitude climbed (number of steps x height of the step in m) associated with outcome. Univariate and multivariate regression analyses (validated by bootstrap) were used to test associations between preoperative and operative factors and postoperative cardiopulmonary complications, mortality, and postoperative costs.', 'The altitude reached at the stair-climbing test was reliably associated with increased cardiopulmonary complications (p = 0.04), mortality (p = 0.02), and costs (p < 0.0001). In patients who climbed less than 12 m, cardiopulmonary complications, mortality, and costs were 2-fold (p < 0.0001), 13-fold (p < 0.0001), and 2.5-fold higher, respectively, than in patients who climbed more than 22 m.\Question: Is performance at symptom-limited stair-climbing test associated with increased cardiopulmonary complications , mortality , and costs after major lung resection?",Performance at a maximal stair-climbing test was reliably associated with postoperative morbidity and mortality. We recommend the use of this simple and economic test in all lung resection candidates. Patients who perform poorly at the stair-climbing test should undergo a formal cardiopulmonary exercise test with measurement of oxygen consumption to optimize their perioperative management.,"The results suggest that the altitude reached at the stair-climbing test is a reliable predictor of postoperative cardiopulmonary complications, mortality, and costs after major lung resection.",0.9135114550590515
task849-ab8d9c7cb9a9415d815f55df0d4f7d15,task849_pubmedqa_answer_generation,Question Answering,"In this task, you are given a passage which has a question and the context. You have to generate an answer to the question based on the information present in the context.","Context: To determine whether the number and location of positive surgical margins (PSMs) in radical prostatectomy (RP) surgical specimens affect biochemical recurrence (BCR) rates.', 'The locations of PSMs were recorded for 1308 consecutive men who underwent RP between October 2000 and December 2006. BCR was defined as three consecutive prostate-specific antigen (PSA) level rises with the peak level >or=0.15 ng/mL. Multivariate regression analyses were used to identify preoperative predictors of PSMs and BCR. The estimated 5-year risk of BCR was calculated using the Kaplan-Meier method.', 'In all, 128 (9.8%) men had one or more PSMs. The mean body mass index, mean preoperative serum PSA level, the distributions of clinical stage and biopsy Gleason scores, and the presence or absence of biopsy perineural invasion were significantly different between men with or with no PSMs. In multivariate analysis, baseline serum PSA level, Gleason score and perineural invasion were independent preoperative predictors of PSMs. The 5-year actuarial BCR rates were dependent on the site of the PSM (P = 0.035) and not the number of PSMs (P = 0.18). The rank order of estimated 5-year BCR rates according to the site of PSMs were base > anterior > posterolateral > apex approximately posterior.\Question: Does site of positive surgical margins influence biochemical recurrence after radical prostatectomy?",About half of the men with PSMs in the RP surgical specimen in our prospective series did not develop BCR. The risk of BCR was dependent on the site and not the number of PSMs. Adjuvant therapy should be considered in cases with anterior and basilar PSMs due to the very high risk of BCR.,The location of PSMs in RP surgical specimens is a significant predictor of BCR.,0.18014538288116455
task849-dcfd9f2faf1343eda3a357e3fd437c78,task849_pubmedqa_answer_generation,Question Answering,"In this task, you are given a passage which has a question and the context. You have to generate an answer to the question based on the information present in the context.","Context: The protein tyrosine kinase focal adhesion kinase (FAK) and Src in association with phosphorylation of the adapter protein paxillin are essential in tumor metastasis formation. Elevated levels of FAK, Src and paxillin may increase the metastatic potential of colorectal tumor cells. The aim of the current study was to examine the expression of FAK, Src, and paxillin using immunohistochemistry in the context of disease progression and to evaluate its clinical significance as a prognostic factor.', 'The relationship between FAK, Src and paxillin levels and colorectal cancer progression was evaluated by immunohistochemistry in 104 colorectal cancer specimens with clinical follow up. In addition, FAK, Src and paxillin expression levels were quantified in 68 colorectal tumors and corresponding liver metastases.', 'FAK and paxillin expression individually did not significantly impact time to recurrence (p=0.09, and p=0.89 respectively). Src expression was associated with tumor recurrence p=0.03. However, tumors that expressed both high FAK and Src levels had a significant shorter time to recurrence (p=0.004, hazard ratio: 2.98, 95% CI 1.14-6.31). FAK, Src and paxillin showed equivalent levels in corresponding liver metastases compared to the primary tumors (p=0.67, p=0.28 and p=0.34 respectively).\Question: Is combined expression of the non-receptor protein tyrosine kinases FAK and Src in primary colorectal cancer associated with tumor recurrence and metastasis formation?","These findings show that high levels of FAK and Src combined were predictive for recurrence of colorectal cancer. In addition, expression of FAK, Src and paxillin in colorectal cancer were maintained in corresponding distant metastases.",FAK and Src expression combined with paxillin expression is associated with tumor progression and metastasis formation in primary colorectal cancer.,0.2707287669181824
task849-f9a036915c8b407f8d9fcbf140d18e18,task849_pubmedqa_answer_generation,Question Answering,"In this task, you are given a passage which has a question and the context. You have to generate an answer to the question based on the information present in the context.","Context: Multiple myeloma (MM) is an incurable B-cell cancer with accumulated clonal abnormal plasma cells in bone marrow of patients. MCL-1 (myeloid cell leukemia sequence 1) protein is an anti-apoptotic molecule in MM cells and regulated by pro-inflammatory cytokine IL-6 and downstream signaling molecules STAT3, PI3K and MAPK. The purpose of this study is to investigate the effect of STAT3, PI3K and MAPK gene silence on MCL-1 expression in human MM cells and the consequence of cell survival.', 'Lentivirus small hairpin RNA (shRNA) interference techniques were utilized to knock down STAT3, PI3K or MAPK genes. Gene and protein expression was quantified by quantitative real-time PCR and Western Blot. MM cell apoptosis was examined by annexin-V FITC/propidium iodide staining.', 'Efficient silence of STAT3, PI3K, MAPK1 or MAPK2 gene robustly abrogated IL-6 enhanced MCL-1 expression and suppressed MM cell growth. Silencing STAT3 gene inhibited PI3K expression, silencing PI3K markedly abrogated STAT3 and MAPK production. Inhibition of MAPK2 gene by shMAPK2 suppressed STAT3, PI3K and MAPK1 expression in the cells. Silencing of STAT3, PI3K and MAPK2 together completely blocked MCL-1 expression in MM cells.\Question: Does silence of MCL-1 upstream signaling by shRNA abrogate multiple myeloma growth?","There is a syngeneic effect among the three independent STAT3, PI3K and MAPK2 survival-signaling pathways related to MCL-1 expression in MM cells. shRNAs silencing of STAT3, PI3K and MAPK2 together could provide an effective strategy to treat MM.","The results suggest that silence of STAT3, PI3K and MAPK gene suppresses MCL-1 expression and suppresses MM cell growth.",0.2571292519569397
task849-c55c8fa5d876449b8478a93937021cc2,task849_pubmedqa_answer_generation,Question Answering,"In this task, you are given a passage which has a question and the context. You have to generate an answer to the question based on the information present in the context.","Context: To compare optic nerve head (ONH) morphology between eyes with normal-tension glaucoma (NTG) and primary open-angle glaucoma (POAG).', 'Seventy-eight NTG patients and 78 POAG patients matched according to age and axial length were analyzed. Optic nerve head tilt and torsion were identified from cross-sectional images of optical coherence tomography. The degree of horizontal, vertical, and maximum ONH tilt and torsion was compared between NTG and POAG eyes, and additional comparisons were based on the presence of myopia and the location of the visual field defect. Logistic regression analysis was used to determine the factors related to the degree of ONH torsion.', 'Vertical (P = 0.610) and horizontal tilt degree (P = 0.746) did not differ between NTG and POAG eyes. However, torsion degree (P = 0.022) differed significantly between NTG and POAG eyes. Direction of vertical tilt (P = 0.040) and torsion (P < 0.001) showed more prevalent superior tilt and torsion in NTG eyes (21.8% and 33.3%, respectively) compared to POAG eyes (10.3% and 10.3%, respectively). Myopic NTG eyes showed greater torsion degree (P = 0.014) than nonmyopic NTG eyes, which was not observed in the comparison between myopic and nonmyopic POAG eyes. Only NTG eyes showed a significant difference in the degree of maximum tilt (P < 0.001) and torsion (P < 0.001) and the direction of vertical tilt (P < 0.001) and torsion (P = 0.010) by the location of visual field defect. Longer axial length, maximum tilt degree, and diagnosis of NTG were the factors related to the degree of ONH torsion.\Question: Is torsion of the optic nerve head a prominent feature of normal-tension glaucoma?",Normal-tension glaucoma eyes had a greater ONH torsion compared to POAG eyes with matched axial length. The direction of the ONH tilt and torsion was related to the location of the visual field defect only in NTG eyes.,The degree of TOR was significantly higher in NTG eyes than in POAG eyes. The degree of TOR was significantly higher in myopic NTG eyes than in nonmyopic POAG eyes.,0.34673601388931274
task849-b938a37785584b98b29c0862a8902c37,task849_pubmedqa_answer_generation,Question Answering,"In this task, you are given a passage which has a question and the context. You have to generate an answer to the question based on the information present in the context.","Context: CD73 is a membrane associated 5'-ectonucleotidase that has been proposed as prognostic biomarker in various solid tumors. The aim of this study is to evaluate CD73 expression in a cohort of patients with primary bladder cancer in regard to its association with clinicopathological features and disease course."", 'Tissue samples from 174 patients with a primary urothelial carcinoma were immunohistochemically assessed on a tissue microarray. Associations between CD73 expression and retrospectively obtained clinicopathological data were evaluated by contingency analysis. Survival analysis was performed to investigate the predictive value of CD73 within the subgroup of pTa and pT1 tumors in regard to progression-free survival (PFS).', 'High CD73 expression was found in 46 (26.4%) patients and was significantly associated with lower stage, lower grade, less adjacent carcinoma in situ and with lower Ki-67 proliferation index. High CD73 immunoreactivity in the subgroup of pTa and pT1 tumors (n = 158) was significantly associated with longer PFS (HR: 0.228; p = 0.047) in univariable Cox regression analysis.\Question: Does cD73 predict Favorable Prognosis in Patients with Nonmuscle-Invasive Urothelial Bladder Cancer?","High CD73 immunoreactivity was associated with favorable clinicopathological features. Furthermore, it predicts better outcome in the subgroup of pTa and pT1 tumors and may thus serve as additional tool for the selection of patients with favorable prognosis.",CD73 expression is associated with favorable prognosis in patients with nonmuscle-invasive urothelial bladder cancer.,0.21615737676620483
task849-83c2109f1ecf4d3191cff3f2286952d3,task849_pubmedqa_answer_generation,Question Answering,"In this task, you are given a passage which has a question and the context. You have to generate an answer to the question based on the information present in the context.","Context: Genomic islands are regions of bacterial genomes that have been acquired by horizontal transfer and often contain blocks of genes that function together for specific processes. Recently, it has become clear that the impact of genomic islands on the evolution of different bacterial species is significant and represents a major force in establishing bacterial genomic variation. However, the study of genomic island evolution has been mostly performed at the sequence level using computer software or hybridization analysis to compare different bacterial genomic sequences. We describe here a novel experimental approach to study the evolution of species-specific bacterial genomic islands that identifies island genes that have evolved in such a way that they are differentially-expressed depending on the bacterial host background into which they are transferred.', 'We demonstrate this approach by using a ""test"" genomic island that we have cloned from the Salmonella typhimurium genome (island 4305) and transferred to a range of Gram negative bacterial hosts of differing evolutionary relationships to S. typhimurium. Systematic analysis of the expression of the island genes in the different hosts compared to proper controls allowed identification of genes with genera-specific expression patterns. The data from the analysis can be arranged in a matrix to give an expression ""array"" of the island genes in the different bacterial backgrounds. A conserved 19-bp DNA site was found upstream of at least two of the differentially-expressed island genes. To our knowledge, this is the first systematic analysis of horizontally-transferred genomic island gene expression in a broad range of Gram negative hosts. We also present evidence in this study that the IS200 element found in island 4305 in S. typhimurium strain LT2 was inserted after the island had already been acquired by the S. typhimurium lineage and that this element is likely not involved in the integration or excision of island 4305.\Question: Does a new experimental approach for studying bacterial genomic island evolution identify island genes with bacterial host-specific expression patterns?","The ""clone-and-transfer"" approach of evolutionary study identifies genes whose expression patterns indicate the existence of genera-specific regulatory mechanisms that influence the expression of horizontally-transferred DNA sections. The results provide key information that can be used to facilitate the identification of these regulatory mechanisms.",This approach allows the identification of genes that have evolved in such a way that they are differentially-expressed depending on the bacterial host background into which they are transferred. This approach is a first step towards identifying the evolution of genomic islands in bacterial genomes.,0.4300019145011902
