id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task307-f556238aa628456099fb3a758225c961,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: STATE CAPITALS 
Clue: In the continental United States, this city is the southernmost state capital","austin, texas",san francisco,0.9286811351776123
task307-059d1b30ce8d4f778d707b3cb319f366,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: MILITARY MEN 
Clue: Books about this American are subtitled ""Warrior as Wordsmith"" & ""The Far Eastern General""",douglas macarthur,john f. kennedy,0.08453869819641113
task307-a178ed3c0ded4a2291d894d6c5bc49c7,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: FAMOUS SPEECHES 
Clue: This 19th century speech included the line ""The world will little note, nor long remember what we say here...""",the gettysburg address,the great debate,0.04870307445526123
task307-77db6e878c1a4b3394658373754e13ce,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: BUSINESS & INDUSTRY 
Clue: This company's figures show about 7% of present U.S. work force got its start working for them",mcdonald\'s,g. h. jackson,0.9058023691177368
task307-791f3cdd59c84b2baee8c6c6463ed016,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: AMERICAN FICTION WRITERS 
Clue: He was also the U.S.'s best-paid sportswriter, with stories of people like Chicago O'Brien & Jack the Bookie",damon runyon,john steinbeck,0.10288673639297485
task307-d3a5d536cf1e4dfc9d551e9432bb0d2f,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: THE BIBLE 
Clue: This happens several times, as in I Kings 17 & Acts 20; the most famous time, it's done by Jesus in John 11",raising the dead,he rapes a woman,0.9081321358680725
task307-27304f39d26046b6b40820496d29254e,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: NATURE 
Clue: The propagation of oak trees depends on the lousy memories of these animals",squirrels,foxes,0.03968071937561035
task307-ad7d6cf9b1c84c8a8af44d60257a76cd,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: LITERARY CHARACTERS 
Clue: This hero is the son of Ecgtheow & the grandson of Hrethel",beowulf,edward iii,0.14873439073562622
task307-4285feedda474b62be68978652d33b51,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: WORLD ORGANIZATIONS 
Clue: It was founded after Portuguese students were jailed for toasting freedom during Salazar's dictatorship",amnesty international,the emirati student union,0.33702003955841064
task307-e912653fbb84462d8954d848404614d1,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: AWARD NAMESAKES 
Clue: His ""A Little Pretty Pocket-Book"" from 1744 was one of the 1st books published specifically for children",john newbery,edmund spencer,0.07401591539382935
task307-117d948f2ba749ebaf2f16a6e71512d7,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: NOTORIOUS 
Clue: Oscar Collazo, serving a life sentence for his assassination attempt on this president, was released in 1979",harry truman,gerald ford,0.06302165985107422
task307-d3ff4268abce48a197bc2a447c978c65,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: THE 50 STATES 
Clue: The constitution for the proposed state of Sequoyah served in large part as the basis for this state's constitution",oklahoma,alabama,0.270194947719574
task307-73dffed616f54110af4dfff9633e2d21,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: THE COLD WAR 
Clue: 28 years apart, they are the year the Berlin Wall was created & the year it was torn down",1961 & 1989,1989,0.8946325778961182
task307-0d91c265ff944ddda01cce5ff59b1544,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: THE NOBEL PRIZE 
Clue: It's the only organization to have been awarded 3 Nobel Peace Prizes",the red cross,the united nations,0.2242233157157898
task307-92e0d641cc9348a08512518fac02ec85,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: MEN OF MEDICINE 
Clue: After giving birth in Paris, American Marjorie Karmel wrote ""Thank You"" him & co-founded an orgianization now named for him",fernand lamaze,dr. john stowe,0.186781108379364
task307-da9f9c8826af419aba9ff26d1e1118f2,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: MUSIC & THE MOVIES 
Clue: The soundtrack of this 1992 film is the bestselling movie soundtrack of the 1990s",the bodyguard,the king and i,0.05764329433441162
task307-e29dd70f8785469fa9bdf90b6498f2d8,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: AUTOMOTIVE HISTORY 
Clue: In 1959 the ad firm of Doyle Dane Bernbach began using the slogan ""Ugly is only skin-deep"" for this import model",volkswagen beetle,audi,0.0382232666015625
task307-061fac29835e406d916e48c8e8a8f388,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: RECENT HISTORY 
Clue: In 1986 & again in 2001, people power protests in this nation pushed out male presidents & replaced them with females",the philippines,argentina,0.13594037294387817
task307-5ef953d44fbf48f7874a9b2e9792a374,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: POETS 
Clue: In a 1921 letter this American-born poet had ""a long poem in mind... which I am wishful to finish"", & he did at 433 lines",t.s. eliot,john keats,0.17696624994277954
task307-9ec94f235b2d411caa250624c45fa3a3,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: CANADA 
Clue: The flag & the coat of arms of this Canadian province feature a setting sun",british columbia,quebec,0.04264718294143677
task307-44c3d33205a84c7cbef66e653107226c,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: STOCK SYMBOLS 
Clue: This name is the 4-letter stock symbol of Golden Bear Golf Inc., which went public in 1996",jack,gbg,0.05952411890029907
task307-73ef8200f6a64f5986958af6a5240d1b,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: 19th CENTURY AMERICA 
Clue: This politician died on June 3, 1861, 39 days after giving a speech in Springfield, Illinois supporting the Union",stephen douglas,john a. mckinley,0.7274224758148193
task307-3cf8f88fca294558b51da28d66306643,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: THE SUPREME COURT 
Clue: Britannica said the court's ruling in his case ""seemed a mortal blow to the newly created Republican Party""",dred scott,john f. kennedy,0.10360187292098999
task307-322f99f6313646afa40c9bb29ebf2292,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: THE HALL OF PRESIDENTS 
Clue: Of the 9 presidents whose images have a beard or mustache, this late 19th century man is the only Democrat",grover cleveland,abraham lincoln,0.15710866451263428
task307-2ad738aa71a549e68177c37cca1cd44f,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: QUOTATIONS ABOUT LAWYERS 
Clue: Playwright who penned the famous line, ""The first thing we do, let's kill all the lawyers""",william shakespeare,edward lear,0.16073346138000488
task307-f3e895408e314a80aa62fd29ea5896d2,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: BUSINESS & INDUSTRY 
Clue: In 1903 Morris Michtom of New York began marketing these with presidential permission",teddy bears,ice cream cones,0.1283671259880066
task307-b4606610430c42c9ab329748be90e737,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: PSYCHOLOGY 
Clue: The concept of the ""Oedipus Complex"" was introduced in this 1899 book",the interpretation of dreams,the oedipus paradox,0.08089262247085571
task307-ea7e553261ca4487866c82b32b0ecf89,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: THE PLANETS 
Clue: Most of this planet's moons are named for Shakespearean characters",uranus,uranus,0.09608334302902222
task307-303eae6222874f05ab25fc3dc22c9b72,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: AMERICAN HISTORY 
Clue: This legislative body first met on March 4, 1789 in New York City, but only 8 of its 22 members were present",the u.s. senate,the house of representatives,0.1904727816581726
task307-35797b9a6465464d86bf10add0f69cec,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: LITERATURE 
Clue: This 1877 novel was written ""to induce kindness, sympathy and an understanding treatment of horses""",black beauty,"""the horse and the donkey""",0.10030651092529297
task307-d24dd94d546f4dada6becb6a2757f876,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: MONARCHS 
Clue: In March 2011 he gave his first televised speech in 22 years on the throne, saying he hoped things would get better",emperor akihito of japan,king george ii,0.2864261269569397
task307-48086a666ed64a2dadc1a8ea00f9b8c3,task307_jeopardy_answer_generation_final,Misc.,"You will be given a trivia clue, and the category it belongs to. You should answer with the best answer that belongs in the category and is described by the clue. For simplicity, answers should be in all lower cased letters.","Category: PLAYWRIGHTS 
Clue: His 1840s romance with an older housemaid in Grimstad may have inspired his later themes of guilt & social hypocrisy",henrik ibsen,edgar allen poe,0.06414276361465454
