id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task169-4aca9d2f85c3407ca9ffad1b6bfa6902,task169_strategyqa_sentence_generation,Misc.,"In this task, you are presented with a term, a question, and a yes/no answer. For context, the term is associated with a short description. Write the simple facts one needs to know in order to answer the given question. The facts should be easily found on the web (e.g. mentioned in a Wikipedia page)","Term: Days of Our Lives, Description: American daytime soap opera, Question: Is a thousand dollars per Days of Our Lives episodes preferred to other soaps?, Answer:No","Fact1: Days of Our Lives has aired around 13,900 episodes as of 2020. Fact2: General Hospital aired their 14,000th episode on February 23, 2018. ","Fact1: Days of Our Lives is a daytime soap opera. Fact2: Days of Our Lives is a televised soap opera. Fact3: The average cost per episode of Days of Our Lives is around $1,500.",0.39572376012802124
task169-84c02c2cbb804b5db2605b130425f6fb,task169_strategyqa_sentence_generation,Misc.,"In this task, you are presented with a term, a question, and a yes/no answer. For context, the term is associated with a short description. Write the simple facts one needs to know in order to answer the given question. The facts should be easily found on the web (e.g. mentioned in a Wikipedia page)","Term: HTML, Description: Hypertext Markup Language, Question: Does HTML use a programming language that first appeared 24 years ago?, Answer:Yes","Fact1: HTML uses JavaScript. Fact2: JavaScript first appeared on December 4, 1995. Fact3: Today is March 4, 2020. ",Fact1: HTML was first used in 1996. Fact2: CSS was first used in 1996.,0.1602124571800232
task169-82d1caa706e84d46b3991263cf758d62,task169_strategyqa_sentence_generation,Misc.,"In this task, you are presented with a term, a question, and a yes/no answer. For context, the term is associated with a short description. Write the simple facts one needs to know in order to answer the given question. The facts should be easily found on the web (e.g. mentioned in a Wikipedia page)","Term: Viscosity, Description: Resistance of a fluid to shear deformation, Question: Do people with swallowing disorders need high viscosity drinks?, Answer:Yes",Fact1: Swallowing disorders can make thin liquids like water dangerous to drink. Fact2: Liquid thickeners are marketed towards people with difficulty drinking. ,Fact1: Swallowing disorders are conditions that cause difficulty in swallowing. Fact2: High viscosity drinks are used to help with this condition.,0.241094172000885
task169-2b898835144546229398e386b0dc6daa,task169_strategyqa_sentence_generation,Misc.,"In this task, you are presented with a term, a question, and a yes/no answer. For context, the term is associated with a short description. Write the simple facts one needs to know in order to answer the given question. The facts should be easily found on the web (e.g. mentioned in a Wikipedia page)","Term: March, Description: third month in the Julian and Gregorian calendars, Question: Does March always end on the same day of the week as the month D-Day happened?, Answer:Yes",Fact1: March always ends on the same day of the week as June. Fact2: D-Day happened in June. ,Fact1: March is the third month in the Julian calendar. Fact2: D-Day happened on the 4th of June. Fact3: March is the fourth month in the Julian calendar.,0.2929554581642151
task169-228062b372374f07934d630670c0a19d,task169_strategyqa_sentence_generation,Misc.,"In this task, you are presented with a term, a question, and a yes/no answer. For context, the term is associated with a short description. Write the simple facts one needs to know in order to answer the given question. The facts should be easily found on the web (e.g. mentioned in a Wikipedia page)","Term: Second Boer War, Description: War between two Boer Republics and the United Kingdom, Question: Was the British quest for silver one of the major reasons for the Boer wars?, Answer:Yes",Fact1: Quest for Gold was a reason for the Boer wars. Fact2: Britain needed access to gold and gold mines to operate their monetary system. Fact3: during the 1800s and early 1900s Silver wasn't the main monetary need of the British. Fact4: rich Witwatersrand gold-mining complex was a gold source in South Africa Fact5: Silver isn't a usually mentioned reason for the Boer wars. ,Fact1: The British sought silver in South Africa. Fact2: The British were fighting for the British crown.,0.28985321521759033
task169-dbb4210a01134141863b795bf006f5e7,task169_strategyqa_sentence_generation,Misc.,"In this task, you are presented with a term, a question, and a yes/no answer. For context, the term is associated with a short description. Write the simple facts one needs to know in order to answer the given question. The facts should be easily found on the web (e.g. mentioned in a Wikipedia page)","Term: Jack Dempsey, Description: American boxer, Question: Did Jack Dempsey fight the current WBC heavyweight champion?, Answer:No",Fact1: Jack Dempsey died in 1983 Fact2: The current WBC heavyweight champion is Tyson Fury Fact3: Tyson Fury was born in 1988 ,Fact1: Jack Dempsey was a heavyweight boxer Fact2: The current WBC heavyweight champion is Tyson Fury Fact3: Tyson Fury is a former world heavyweight champion,0.3650168180465698
task169-09c9768c2d21413cb18874848ebdcc4b,task169_strategyqa_sentence_generation,Misc.,"In this task, you are presented with a term, a question, and a yes/no answer. For context, the term is associated with a short description. Write the simple facts one needs to know in order to answer the given question. The facts should be easily found on the web (e.g. mentioned in a Wikipedia page)","Term: Marvel Comics, Description: Company that publishes comic books and related media, Question: are marvel comics still published?, Answer:No",Fact1: Marvel hasn't stopped writing and are continuing to create new characters and plots Fact2: Marvel Comics is the brand name and primary imprint of Marvel Worldwide Inc ,Fact1: Marvel Comics was founded in 1939. Fact2: Marvel Comics is no longer published.,0.17336952686309814
task169-478c0ff8e0bc4e6588fd3562da25316d,task169_strategyqa_sentence_generation,Misc.,"In this task, you are presented with a term, a question, and a yes/no answer. For context, the term is associated with a short description. Write the simple facts one needs to know in order to answer the given question. The facts should be easily found on the web (e.g. mentioned in a Wikipedia page)","Term: Red Sea, Description: Arm of the Indian Ocean between Arabia and Africa, Question: Does the Red Sea have biblical significance?, Answer:Yes","Fact1: During the biblical Exodus, the Israelite had to cross the Red Sea. Fact2: Moses parted the Red Sea to allow the Israelite group to escape from the Egyptians.  ",Fact1: The Red Sea is a body of water in the Indian Ocean. Fact2: The Red Sea is a body of water in the Red Sea. Fact3: The Red Sea is a body of water in the Red Sea.,0.36109602451324463
task169-8db6e3aef7f549ee81b0f1015aeaaa6a,task169_strategyqa_sentence_generation,Misc.,"In this task, you are presented with a term, a question, and a yes/no answer. For context, the term is associated with a short description. Write the simple facts one needs to know in order to answer the given question. The facts should be easily found on the web (e.g. mentioned in a Wikipedia page)","Term: Compact disc, Description: Optical disc for storage and playback of digital audio, Question: Would a compact disc melt in magma?, Answer:Yes",Fact1: Magma is the molten material beneath the earth's surface. Fact2: The temperature of magma ranges between 1300F and 2400F degrees. Fact3: A compact disc is made of polycarbonate plastic. Fact4: Polycarbonate plastic melts at 311F degrees. ,Fact1: Compact discs are made of plastic. Fact2: Magma is a solid.,0.1973932981491089
task169-0f77413519be463081aed021088e5fdc,task169_strategyqa_sentence_generation,Misc.,"In this task, you are presented with a term, a question, and a yes/no answer. For context, the term is associated with a short description. Write the simple facts one needs to know in order to answer the given question. The facts should be easily found on the web (e.g. mentioned in a Wikipedia page)","Term: Marvel Comics, Description: Company that publishes comic books and related media, Question: Was the Marvel Comics company previously named National Comics Publication?, Answer:No",Fact1: DC Comics were previously named National Comics Publication. Fact2: Marvel Comics were previously named Timely Comics. ,Fact1: National Comics Publication was founded in 1939. Fact2: Marvel Comics was founded in 1939.,0.8850247859954834
