id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task1151-62795a09ed6947f88ff54ded66861d98,task1151_swap_max_min,Program Execution,"In this task, you are given a list of unique integers you need to swap the positions of maximum and minimum element in the list and return the updated list.","[41, 462, 109, 353, 276, 318, 95, 383, 102, 150, 229, 211, 114, 118, 288, 113, 249, 107, 320, 368]","[462, 41, 109, 353, 276, 318, 95, 383, 102, 150, 229, 211, 114, 118, 288, 113, 249, 107, 320, 368]","[41, 462, 109, 353, 276, 318, 95, 383, 102, 150, 229, 211, 114, 118, 288, 113, 249, 107, 320, 368]",0.6523609757423401
task1151-056f4021d9d9427eb285c5eb45b87aa9,task1151_swap_max_min,Program Execution,"In this task, you are given a list of unique integers you need to swap the positions of maximum and minimum element in the list and return the updated list.","[205, 479, 343, 263, 59, 164, 372, 22, 151, 72, 446, 471, 53, 114, 307, 405, 368, 427, 498, 195]","[205, 479, 343, 263, 59, 164, 372, 498, 151, 72, 446, 471, 53, 114, 307, 405, 368, 427, 22, 195]","[205, 479, 343, 263, 59, 164, 372, 151, 72, 446, 471, 53, 114, 307, 405, 368, 427, 498, 195]",0.36372989416122437
task1151-0d17cc71b5e84cae85b37a2ff324c49c,task1151_swap_max_min,Program Execution,"In this task, you are given a list of unique integers you need to swap the positions of maximum and minimum element in the list and return the updated list.","[406, 12, 301, 282, 125, 192, 14, 52, 402, 112, 232, 270, 86, 169, 434, 69, 379, 200, 165, 263]","[406, 434, 301, 282, 125, 192, 14, 52, 402, 112, 232, 270, 86, 169, 12, 69, 379, 200, 165, 263]","[406, 301, 282, 125, 192, 52, 402, 112, 232, 270, 86, 169, 434, 69, 379, 200, 165, 263]",0.37158989906311035
task1151-9dba7f87f33b4ec58ff5feca9dc95e52,task1151_swap_max_min,Program Execution,"In this task, you are given a list of unique integers you need to swap the positions of maximum and minimum element in the list and return the updated list.","[106, 196, 137, 46, 222, 397, 497, 442, 244, 464, 481, 303, 424, 177, 390, 143, 308, 422, 473, 82]","[106, 196, 137, 497, 222, 397, 46, 442, 244, 464, 481, 303, 424, 177, 390, 143, 308, 422, 473, 82]","[106, 196, 137, 46, 222, 397, 497, 442, 244, 464, 481, 303, 424, 177, 390, 143, 308, 422, 473, 82]",0.4225860834121704
task1151-16539a74e1664bd5ada6a0a491658bd4,task1151_swap_max_min,Program Execution,"In this task, you are given a list of unique integers you need to swap the positions of maximum and minimum element in the list and return the updated list.","[229, 218, 15, 175, 68, 460, 146, 243, 61, 98, 351, 192, 459, 481, 10, 186, 442, 309, 34, 498]","[229, 218, 15, 175, 68, 460, 146, 243, 61, 98, 351, 192, 459, 481, 498, 186, 442, 309, 34, 10]","[229, 218, 17, 175, 68, 460, 146, 243, 61, 98, 351, 192, 459, 481, 186, 442, 309, 34, 498]",0.3553842306137085
task1151-7c201d4043d94bde80df9cfe9a4a33a6,task1151_swap_max_min,Program Execution,"In this task, you are given a list of unique integers you need to swap the positions of maximum and minimum element in the list and return the updated list.","[162, 27, 140, 274, 414, 376, 104, 159, 418, 155, 493, 151, 422, 335, 187, 292, 217, 31, 248, 84]","[162, 493, 140, 274, 414, 376, 104, 159, 418, 155, 27, 151, 422, 335, 187, 292, 217, 31, 248, 84]","[162, 140, 274, 414, 376, 104, 159, 418, 155, 493, 151, 422, 335, 187, 292, 217, 31, 248, 84]",0.3947412967681885
task1151-53783e26476341f5acc786b0529ecd40,task1151_swap_max_min,Program Execution,"In this task, you are given a list of unique integers you need to swap the positions of maximum and minimum element in the list and return the updated list.","[79, 236, 131, 353, 317, 265, 389, 82, 432, 453, 301, 226, 195, 91, 498, 316, 315, 172, 442, 439]","[498, 236, 131, 353, 317, 265, 389, 82, 432, 453, 301, 226, 195, 91, 79, 316, 315, 172, 442, 439]","[79, 236, 131, 353, 317, 265, 389, 82, 432, 453, 301, 226, 195, 91, 498, 316, 315, 172, 442, 439]",0.4170633554458618
task1151-927efe46d3f848a78551f0dd4333f3e5,task1151_swap_max_min,Program Execution,"In this task, you are given a list of unique integers you need to swap the positions of maximum and minimum element in the list and return the updated list.","[29, 411, 366, 438, 162, 117, 121, 436, 351, 344, 357, 420, 32, 464, 289, 395, 187, 132, 258, 425]","[464, 411, 366, 438, 162, 117, 121, 436, 351, 344, 357, 420, 32, 29, 289, 395, 187, 132, 258, 425]","[29, 411, 366, 438, 162, 117, 121, 436, 351, 344, 357, 420, 32, 464, 289, 395, 187, 132, 258, 425]",0.3980620503425598
task1151-02e3730bbe7842b4ae0d8e0aad4efe40,task1151_swap_max_min,Program Execution,"In this task, you are given a list of unique integers you need to swap the positions of maximum and minimum element in the list and return the updated list.","[311, 319, 362, 321, 22, 213, 35, 453, 117, 287, 461, 66, 234, 37, 250, 470, 108, 25, 334, 387]","[311, 319, 362, 321, 470, 213, 35, 453, 117, 287, 461, 66, 234, 37, 250, 22, 108, 25, 334, 387]","[311, 319, 362, 321, 213, 35, 453, 117, 287, 461, 66, 234, 37, 250, 470, 108, 334, 387]",0.31422388553619385
task1151-528bc5b1645e47f6bbdf5c76db95f56d,task1151_swap_max_min,Program Execution,"In this task, you are given a list of unique integers you need to swap the positions of maximum and minimum element in the list and return the updated list.","[329, 163, 460, 187, 365, 470, 317, 350, 354, 431, 378, 271, 223, 294, 48, 118, 450, 151, 337, 284]","[329, 163, 460, 187, 365, 48, 317, 350, 354, 431, 378, 271, 223, 294, 470, 118, 450, 151, 337, 284]","[329, 163, 460, 187, 365, 470, 317, 350, 354, 431, 378, 271, 223, 294, 48, 118, 450, 151, 337, 284]",0.393629252910614
