id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task1596-e5165aac2d0d413ba53d6d1afe2c122b,task1596_event2mind_text_generation_2,Misc.,"The task is to generate text based off of an event. For the given event, there will be a person who does the action in the event (usually PersonX). Your task is to write that persons intent behind doing the event, i.e. why did the person do that action.",PersonX provides PersonY indication,to be helpful,to be helpful,0.18137234449386597
task1596-7014f44780d5487bb415661d7c2d2583,task1596_event2mind_text_generation_2,Misc.,"The task is to generate text based off of an event. For the given event, there will be a person who does the action in the event (usually PersonX). Your task is to write that persons intent behind doing the event, i.e. why did the person do that action.",PersonX continues PersonX's education,to get a good job,to be educated,0.06076925992965698
task1596-f4990de398c045c89203904db440bd08,task1596_event2mind_text_generation_2,Misc.,"The task is to generate text based off of an event. For the given event, there will be a person who does the action in the event (usually PersonX). Your task is to write that persons intent behind doing the event, i.e. why did the person do that action.",PersonX is having PersonY's birthday party,to give the birthday party to person y,to celebrate,0.044091880321502686
task1596-cbb52ff477a8411996697e65467716b7,task1596_event2mind_text_generation_2,Misc.,"The task is to generate text based off of an event. For the given event, there will be a person who does the action in the event (usually PersonX). Your task is to write that persons intent behind doing the event, i.e. why did the person do that action.",PersonX holds PersonX's peace,to get along,to be peaceful,0.13627129793167114
task1596-fe772fb4cd1348188374db26a43fd16c,task1596_event2mind_text_generation_2,Misc.,"The task is to generate text based off of an event. For the given event, there will be a person who does the action in the event (usually PersonX). Your task is to write that persons intent behind doing the event, i.e. why did the person do that action.",PersonX tries to ignore PersonY,to be alone,to be alone,0.11692619323730469
task1596-76433ae2fe42481895189156d12dc89e,task1596_event2mind_text_generation_2,Misc.,"The task is to generate text based off of an event. For the given event, there will be a person who does the action in the event (usually PersonX). Your task is to write that persons intent behind doing the event, i.e. why did the person do that action.",PersonX giveth PersonY's ___ for the sheep,the sheep,to help,0.15099602937698364
task1596-93f9439c745d47d186d553e7b17d47b3,task1596_event2mind_text_generation_2,Misc.,"The task is to generate text based off of an event. For the given event, there will be a person who does the action in the event (usually PersonX). Your task is to write that persons intent behind doing the event, i.e. why did the person do that action.",PersonX lets the ___ alone,to be alone,to be alone,0.037293314933776855
task1596-b356d3e12fd44cbb92a7bc4552662c4f,task1596_event2mind_text_generation_2,Misc.,"The task is to generate text based off of an event. For the given event, there will be a person who does the action in the event (usually PersonX). Your task is to write that persons intent behind doing the event, i.e. why did the person do that action.",PersonX opens the ___ to let,tent,to be helpful,0.037293314933776855
task1596-a738c74dba5e4c2cb691eb0f5a9f0257,task1596_event2mind_text_generation_2,Misc.,"The task is to generate text based off of an event. For the given event, there will be a person who does the action in the event (usually PersonX). Your task is to write that persons intent behind doing the event, i.e. why did the person do that action.",PersonX sends PersonX's son,to send something,to be a good father,0.27243590354919434
task1596-bcc4aa01a7b94233b62d95b79cb83a2a,task1596_event2mind_text_generation_2,Misc.,"The task is to generate text based off of an event. For the given event, there will be a person who does the action in the event (usually PersonX). Your task is to write that persons intent behind doing the event, i.e. why did the person do that action.",PersonX owes you PersonY apology,to stop feeling guilty.,to be nice,0.25466179847717285
