id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task1399-f47bbda959d9412e80f67680bd9e9a88,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: Earth is made of rock. Question: Ground has?,elements,a hardness of a rock,0.1403408646583557
task1399-a3a3b051f1044c5eabd4676f39646220,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: tinted lenses reflect ultraviolet rays. Question: If I want to protect myself from the ultra violet rays I can wear?,a sweater,tinted glasses,0.1071283221244812
task1399-d2c13397b97249ccb9453f4e6a0f7266,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: decomposition is when a decomposer recycles nutrients from dead organisms to the soil by eating those dead organisms. Question: Which of the following is an example of decomposition?,something growing on a dead tree trunk,a worm eating a dead worm,0.2972078323364258
task1399-2c5e9ccc1ae54c46b65a38d83a7d6ace,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: crop rotation has a positive impact on soil quality. Question: The field a farmer plants with varied crops over the years is richer than?,a field where only grain is planted,a field planted with the same crops all year,0.08333241939544678
task1399-9ffbd00104384d4d973de298d4b23ef3,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: wiring requires an electrical conductor. Question: What makes the best wiring?,Tungsten,a metal wire,0.595787525177002
task1399-e659d500a0f6415f948657c14463e731,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: riding a bike does not cause pollution. Question: which form of transportation has zero emissions?,pedal bikes,bicycle,0.15690815448760986
task1399-0b8792e98e884a67a80fc4ab4796fe28,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: if an object is close then that object will appear large. Question: A person approaching a dog from across a street can note that the dog?,looks more sizable after approaching,is much bigger,0.04826396703720093
task1399-c3779e029c814e8f8d45ad3b2577d05f,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: An example of camouflage is when something is the same color as its environment. Question: A camouflaged creature in a patterned room will be?,rough to spot,a solitary animal,0.11439114809036255
task1399-29e6c57ab7d7483a8ff0f04731243163,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.","Fact: a fish lives in water. Question: If a bass is returned to its home, it is placed in?",a brook,a lake,0.057864487171173096
task1399-b238ab2172864050906a9ecadc8003a9,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: an animal requires warmth for survival. Question: All animals need to be what during cold conditions in order to survive?,warm enough,warm,0.11842310428619385
task1399-05499d6347744c3b9c2e01e34c2b7991,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: if weather is stormy then there is a greater chance of rain. Question: There is more rain when the sky is?,gray,drenched,0.15085184574127197
task1399-b7758206134e4a24b9601f7534dfd613,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.","Fact: as distance to an object increases , that object will appear smaller. Question: A man is filling up his tank at the gas station, then goes inside and pays. When he comes back out, his truck is being stolen! He chases the truck as the thief pulls away in it and begins to speed off. Though the truck was huge, right in front of him a moment ago, as the truck accelerates and the man struggles to keep up, the truck?",looks smaller,appears smaller,0.13617438077926636
task1399-7dff310b41c64d19b88f3721a81bcdbc,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: animals taste flavors. Question: Cows know there is salt in a mineral lick because?,they have receptors on their tongue that allow them to experience spice and seasonings,they are able to taste it,0.8752027153968811
task1399-310bbc7b9379484e88082910cbea0cea,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: a star is a source of light energy through nuclear reactions. Question: A star produces light energy and heat because it has a variety of?,reactions of nuclear form,nuclear reactions,0.1831018328666687
task1399-cce097d208274ed5bc07f4bdc286db63,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: skidding causes friction. Question: Hitting the brakes hard leaves rubber on the road due to?,abrasion,friction,0.18215328454971313
task1399-6991c9865c8643af92c10747843d68a7,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: force causes the speed of an object to increase. Question: Force causes the speed of an object to do what?,uptick,increase,0.12204629182815552
task1399-0eebf3b6d1124db2acec5b07c6cc3097,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: Matter in the solid phase has definite shape. Question: Which form can be made into a triangle?,ice,a solid,0.04731285572052002
task1399-d6cfb998e96141bfaa4f6834576c1d0c,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.","Fact: as the temperature of a liquid increases , the rate of evaporation of that liquid will increase. Question: Which is likely to be hotter?",steaming coffee,a jar of ice,0.13696324825286865
task1399-41d1ca0a5f3a4ae09aa75409383d963a,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: solar energy is a renewable resource. Question: What is a renewable source?,energy from the yellow dwarf star closest to us,sunlight,0.10412311553955078
task1399-1f91499f834c46c39153fbee84a79070,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: soil contains nutrients for plants. Question: What contains nutrients for plants?,ground minerals,a sandbar,0.21272099018096924
task1399-b8805b132e9d4849a07e071c811121ac,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: a leaf performs photosynthesis. Question: During photosynthesis plants make their own?,sustenance,food,0.9008479714393616
task1399-3e2eb9630ee44f61a25bae11dc9c431d,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: matter is made of molecules. Question: Which has molecules?,a Popsicle,a sock,0.047361552715301514
task1399-1f77f56c87074ff48248f608d2e787eb,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: the circulatory system carries oxygen from the digestive and respiratory systems to the rest of the body. Question: the circulatory system carries oxygen from the digestive and respiratory systems to the rest of the what?,physical being,body,0.073356032371521
task1399-f71ce9ded9554772a8593cf42ab1f4d8,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: a lever is used for moving heavy objects. Question: You would use a lever to move a?,safe,a sledgehammer,0.15710866451263428
task1399-8eae0c1a499a4e378579c48d4bbc5a50,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: snow falls during the winter in the arctic environment. Question: Rabbits with white fur are hardest to detect in?,the arctic in Winter,arctic environments,0.10540223121643066
task1399-dfcf157bcdca46ed9b30a63e3eea3290,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: a plants require water for to grow. Question: A bean sprout will beautifully boom if given plenty of access to?,H2O,water,0.026652812957763672
task1399-94772ac211624d7d83f2e09ca186a299,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: humans cause pollution. Question: What is more likely to have caused pollution in the air?,an action by a business,a human being,0.07336115837097168
task1399-2fcb00f5bb594fc6b95540cb734f4014,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: An example of camouflage is an organism looking like leaves. Question: which of these can alter its appearance naturally to evade being captured?,a little chameleon,a lizard,0.13459551334381104
task1399-db66377e104c4545b071c94dd48a380e,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: a plant requires photosynthesis to grow. Question: Flora requires chlorophyll to?,undergo natural development,grow,0.03049999475479126
task1399-20897556a4d747948bdaebacd9ed1427,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: a glacier causes mechanical weathering. Question: Which is true?,glaciers make depressions that water can pool in,glaciers cause erosion,0.046099960803985596
task1399-3b171a3c73394a83be217885d7030a45,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: lighting a candle causes that candle to burn. Question: Which of the following prolongs combustion?,candle wax,a candle burning for a long time,0.09693241119384766
task1399-fc7a5c223ef2467182eb30d609cf6bd1,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: vibrating matter can produce sound. Question: Which of the following is more likely to create sound?,Someone dragging a bow on a string,a hammer,0.22191405296325684
task1399-9a6d611b90b246548dffd861288e76fe,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: a renewable resource can be replaced. Question: Which of the following is the most replaceable?,the energy captured by a windmill,a syringe,0.08962267637252808
task1399-5c73cc271fac4efd8ee0f0082b9399a6,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: a switch is used to stop the flow of current in an electrical circuit. Question: A switch is used to stop the flow of currents which causes Joule heating in?,electrical circuit.,a septic tank,0.08042013645172119
task1399-a695ff7821eb4fd79fb5e76ebc652da1,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: electrical devices convert electricity into other forms of energy. Question: The family cooked most of their food using a stove and?,electricity,electric stove,0.08460825681686401
task1399-11844563061d46bda3f05005951fd9fc,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: if a magnet is attracted to a metal then that magnet will stick to that metal. Question: which of these will attract a magnet in a student's pocket?,an old stapler pin,a t-shirt,0.06581193208694458
task1399-c155cc14fdfb4fbca770a4a8371a5be1,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: fossils are formed when layers of sediment cover the remains of organisms over time. Question: When liquefied soil flows over carcasses and drys it will become?,fossilized,fossilized,0.2867279052734375
task1399-b4a7076f15754512b83b2d67f996107c,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: a forest environment is often green in color. Question: Where deer and rabbits generally reside tends to be?,leaf colored,green,0.2830023765563965
task1399-2c16e3114b8d45dd81debc1974153924,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.","Fact: reproduction produces offspring. Question: In order for a species to continue, constant mating is required to?",make babies,produce offspring,0.21633785963058472
task1399-cfef9797e37d4a9389be2bd9d794500c,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.","Fact: photosynthesis means producers convert from carbon dioxide, water, and solar energy into food for themselves. Question: What does a four leaf clover need to feed itself?",the sun,water,0.09960627555847168
task1399-dc57b36508c04f2db7c1dbeae3fb6ed6,task1399_obqa_answer_generation,Question Answering,"In this task, you are given a fact statement and question based on the fact. Your task is to generate the correct answer for the question. The answer needs to be generated using the context fact statement.",Fact: genes are a vehicle for passing inherited characteristics from parent to offspring. Question: A tiger with a stubby tail most likely?,had ancestors with that trait,a tiger that was born with a stubby tail,0.12436360120773315
