id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task1217-ea95e19b133e475281e2b428253e6f64,task1217_atomic_answer_generation,Fill in The Blank,"In this task, you are given a sentence with a missing word that can be an object, a person, and/or an action. Fill in the blank with a plausible word. Although each sentence has many correct answers, you only have to write one answer.",PersonX sees ___ on the floor,vomit,a dog,0.2129557728767395
task1217-76ffcfe973c44c10840d1d7cee7fb8b4,task1217_atomic_answer_generation,Fill in The Blank,"In this task, you are given a sentence with a missing word that can be an object, a person, and/or an action. Fill in the blank with a plausible word. Although each sentence has many correct answers, you only have to write one answer.",PersonX takes away the ___,cake,keys,0.027794718742370605
task1217-a0a85a363eb64cea97dcc48d27ac2809,task1217_atomic_answer_generation,Fill in The Blank,"In this task, you are given a sentence with a missing word that can be an object, a person, and/or an action. Fill in the blank with a plausible word. Although each sentence has many correct answers, you only have to write one answer.",PersonX rides ___ together,ponies,motorcycles,0.10994338989257812
task1217-22e979c6d1ea442191788bfc3cce2268,task1217_atomic_answer_generation,Fill in The Blank,"In this task, you are given a sentence with a missing word that can be an object, a person, and/or an action. Fill in the blank with a plausible word. Although each sentence has many correct answers, you only have to write one answer.",PersonX walks ___ one day,home,a dog,0.29021143913269043
task1217-058293fa1e8b411399f6b9f67d1a8ecd,task1217_atomic_answer_generation,Fill in The Blank,"In this task, you are given a sentence with a missing word that can be an object, a person, and/or an action. Fill in the blank with a plausible word. Although each sentence has many correct answers, you only have to write one answer.",PersonX places the ___ in the position,curtain,table,0.15503084659576416
task1217-3fadbe34328243caa30309e7a5c8b64c,task1217_atomic_answer_generation,Fill in The Blank,"In this task, you are given a sentence with a missing word that can be an object, a person, and/or an action. Fill in the blank with a plausible word. Although each sentence has many correct answers, you only have to write one answer.",PersonX slams ___ behind PersonY,the lock,a door,0.9013151526451111
task1217-bf3ab3d50b054217a46c8c329bb479fb,task1217_atomic_answer_generation,Fill in The Blank,"In this task, you are given a sentence with a missing word that can be an object, a person, and/or an action. Fill in the blank with a plausible word. Although each sentence has many correct answers, you only have to write one answer.",PersonX returns ___ to the library,laptop,books,0.9266481995582581
task1217-8eb553f7e1cd477ba832c4e08e97a3fd,task1217_atomic_answer_generation,Fill in The Blank,"In this task, you are given a sentence with a missing word that can be an object, a person, and/or an action. Fill in the blank with a plausible word. Although each sentence has many correct answers, you only have to write one answer.",PersonX swings through ___,trees,a puddle,0.13410478830337524
task1217-361dbf6ea4754ae5905fd4f72c35d91b,task1217_atomic_answer_generation,Fill in The Blank,"In this task, you are given a sentence with a missing word that can be an object, a person, and/or an action. Fill in the blank with a plausible word. Although each sentence has many correct answers, you only have to write one answer.",PersonX provides ___ for students,education,books,0.04864704608917236
task1217-524eca00072544c0b444b4298720e790,task1217_atomic_answer_generation,Fill in The Blank,"In this task, you are given a sentence with a missing word that can be an object, a person, and/or an action. Fill in the blank with a plausible word. Although each sentence has many correct answers, you only have to write one answer.",PersonX drives ___ everywhere,car,a car,0.04993939399719238
task1217-63a6a506db4841f8af8476d8bbccaadd,task1217_atomic_answer_generation,Fill in The Blank,"In this task, you are given a sentence with a missing word that can be an object, a person, and/or an action. Fill in the blank with a plausible word. Although each sentence has many correct answers, you only have to write one answer.",PersonX watches ___ online,movies,TV,0.12688791751861572
task1217-f23c44f6c53847e9add22df42567956c,task1217_atomic_answer_generation,Fill in The Blank,"In this task, you are given a sentence with a missing word that can be an object, a person, and/or an action. Fill in the blank with a plausible word. Although each sentence has many correct answers, you only have to write one answer.",PersonX buys ___ immediately,milk,a car,0.07661765813827515
task1217-bafdfeb247fc45ebbc447769b3393b0a,task1217_atomic_answer_generation,Fill in The Blank,"In this task, you are given a sentence with a missing word that can be an object, a person, and/or an action. Fill in the blank with a plausible word. Although each sentence has many correct answers, you only have to write one answer.",PersonX sends ___ to the convention,workers,a letter,0.040488600730895996
task1217-38f069dd61474c0fb6a580145361a7d1,task1217_atomic_answer_generation,Fill in The Blank,"In this task, you are given a sentence with a missing word that can be an object, a person, and/or an action. Fill in the blank with a plausible word. Although each sentence has many correct answers, you only have to write one answer.",PersonX gives ___ a ride,Husband,a dog,0.07980090379714966
task1217-2eac0d2ba7d242318da459a5d71e71c8,task1217_atomic_answer_generation,Fill in The Blank,"In this task, you are given a sentence with a missing word that can be an object, a person, and/or an action. Fill in the blank with a plausible word. Although each sentence has many correct answers, you only have to write one answer.",PersonX gives PersonY's friends ___,purses,money,0.0983685851097107
task1217-5986edd08afd43fbadb55cf6311e1f2e,task1217_atomic_answer_generation,Fill in The Blank,"In this task, you are given a sentence with a missing word that can be an object, a person, and/or an action. Fill in the blank with a plausible word. Although each sentence has many correct answers, you only have to write one answer.",PersonX cooks ___ on the grill,burgers,meat,0.15477913618087769
task1217-d9a33dbfd61740dc8850c57d31ba06a7,task1217_atomic_answer_generation,Fill in The Blank,"In this task, you are given a sentence with a missing word that can be an object, a person, and/or an action. Fill in the blank with a plausible word. Although each sentence has many correct answers, you only have to write one answer.",PersonX quits ___ for good,cigarettes,football,0.058035194873809814
task1217-cc1186db3ba9468292c0a63ab5e5e51a,task1217_atomic_answer_generation,Fill in The Blank,"In this task, you are given a sentence with a missing word that can be an object, a person, and/or an action. Fill in the blank with a plausible word. Although each sentence has many correct answers, you only have to write one answer.",PersonX sees another ___,menu,dog,0.06765443086624146
task1217-8eac932a616040e4bb74a223cfc3f34d,task1217_atomic_answer_generation,Fill in The Blank,"In this task, you are given a sentence with a missing word that can be an object, a person, and/or an action. Fill in the blank with a plausible word. Although each sentence has many correct answers, you only have to write one answer.",PersonX gives PersonX's son ___,pizza,a sock,0.3333677053451538
task1217-eea121da9c4e4f77a1edab1a762d828d,task1217_atomic_answer_generation,Fill in The Blank,"In this task, you are given a sentence with a missing word that can be an object, a person, and/or an action. Fill in the blank with a plausible word. Although each sentence has many correct answers, you only have to write one answer.",PersonX hears ___ in the distance,trains,a scream,0.3331480622291565
task1217-7149682ecde74812a79a8fe64550c1e1,task1217_atomic_answer_generation,Fill in The Blank,"In this task, you are given a sentence with a missing word that can be an object, a person, and/or an action. Fill in the blank with a plausible word. Although each sentence has many correct answers, you only have to write one answer.",PersonX brings ___ upon PersonY,debris,a gun,0.03686666488647461
task1217-94357cf0e69a44a88764b082b1238147,task1217_atomic_answer_generation,Fill in The Blank,"In this task, you are given a sentence with a missing word that can be an object, a person, and/or an action. Fill in the blank with a plausible word. Although each sentence has many correct answers, you only have to write one answer.",PersonX wraps ___ around PersonY's waist,a jacket,a blanket,0.07177078723907471
task1217-7abb899b63ef42e3bc0b7d1c46b367f3,task1217_atomic_answer_generation,Fill in The Blank,"In this task, you are given a sentence with a missing word that can be an object, a person, and/or an action. Fill in the blank with a plausible word. Although each sentence has many correct answers, you only have to write one answer.",PersonX considers the ___ in the light,crystal,car,0.045107245445251465
task1217-09c62b8cb8b44569bb85ef36ab3092c8,task1217_atomic_answer_generation,Fill in The Blank,"In this task, you are given a sentence with a missing word that can be an object, a person, and/or an action. Fill in the blank with a plausible word. Although each sentence has many correct answers, you only have to write one answer.",PersonX leaves the ___ in the hands,hamper,hat,0.27928775548934937
task1217-e1c533da67514dab81763b4c009b87ba,task1217_atomic_answer_generation,Fill in The Blank,"In this task, you are given a sentence with a missing word that can be an object, a person, and/or an action. Fill in the blank with a plausible word. Although each sentence has many correct answers, you only have to write one answer.",PersonX turns the ___ in the direction,Dog,chair,0.06133514642715454
