id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task062-2cf971a005ff46a593c1d8134c192a9d,task062_bigbench_repeat_copy_logic,Program Execution,"This task evaluates for the ability to follow basic natural language instructions nested and performing a sequence of operations, including basic logic and conditionals.","say the village has a population five times, and after odd times add larger than California",the village has a population larger than California the village has a population the village has a population larger than California the village has a population the village has a population larger than California,"say the village has a population five times, and after odd times add larger than California",0.15109217166900635
task062-06398cd646a44dbca3f260b60f305853,task062_bigbench_repeat_copy_logic,Program Execution,"This task evaluates for the ability to follow basic natural language instructions nested and performing a sequence of operations, including basic logic and conditionals.","Output carbon pricing is an four times, but in the middle also say interesting concept",carbon pricing is an carbon pricing is an interesting concept carbon pricing is an carbon pricing is an,"carbon pricing is an four times, but in the middle also say interesting concept",0.15072542428970337
task062-ce07e8d7002b42cc81234a0fdb03c2fc,task062_bigbench_repeat_copy_logic,Program Execution,"This task evaluates for the ability to follow basic natural language instructions nested and performing a sequence of operations, including basic logic and conditionals.","Print logic eleven times, but after the 3rd and 8th also say true",logic logic logic true logic logic logic logic logic true logic logic logic,logic = 11 times true = 3 times,0.14058518409729004
task062-a39818e63b2542f5b7f13889a66f8edc,task062_bigbench_repeat_copy_logic,Program Execution,"This task evaluates for the ability to follow basic natural language instructions nested and performing a sequence of operations, including basic logic and conditionals.","say hello world five times, but don't say world every even time",hello world hello hello world hello hello world,hello world hello hello world hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello hello,0.8966951370239258
task062-a258dad41f754a5398587d5223889643,task062_bigbench_repeat_copy_logic,Program Execution,"This task evaluates for the ability to follow basic natural language instructions nested and performing a sequence of operations, including basic logic and conditionals.",Repeat squiggly line twice after the phrase can you draw,can you draw squiggly line squiggly line,can you draw squiggly line,0.13909047842025757
task062-b7acb12598a84234bd0e19741175d5f0,task062_bigbench_repeat_copy_logic,Program Execution,"This task evaluates for the ability to follow basic natural language instructions nested and performing a sequence of operations, including basic logic and conditionals.",Repeat cheese seven times; every third say whiz,cheese cheese cheese whiz cheese cheese cheese whiz cheese,cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese,0.8933833837509155
task062-d6cc44325d424ed9a29d426219de070b,task062_bigbench_repeat_copy_logic,Program Execution,"This task evaluates for the ability to follow basic natural language instructions nested and performing a sequence of operations, including basic logic and conditionals.","Say the days of the week but only the weekend days, two times",Saturday Sunday Saturday Sunday,a=weekdays b=weekend days c=weekdays d=weekend days,0.1906195878982544
task062-e5fc69747d4b41cfa9159bc2e971ddab,task062_bigbench_repeat_copy_logic,Program Execution,"This task evaluates for the ability to follow basic natural language instructions nested and performing a sequence of operations, including basic logic and conditionals.","Repeat all the world seven times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world,a = 0 b = 0 c = 0 d = 0 e = 0 f = 0 g = 0 h = 0 i = 0 while i  7: a += 1 b += 1 c += 1 e += 1 g += 1 i += 1 f += 1 i += 1 g += 1 i += 1 i += 1 g += 1 i += 1 i += 1 g += 1 ,0.8694058060646057
task062-3bc2399df6074fe9b31fd3c75e5ca072,task062_bigbench_repeat_copy_logic,Program Execution,"This task evaluates for the ability to follow basic natural language instructions nested and performing a sequence of operations, including basic logic and conditionals.",repeat whole note quarter note quarter note quarter note twice,whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note,repeat whole note quarter note quarter note quarter note twice,0.23767060041427612
task062-4cf5012b1783456cb5baa81958a3d84d,task062_bigbench_repeat_copy_logic,Program Execution,"This task evaluates for the ability to follow basic natural language instructions nested and performing a sequence of operations, including basic logic and conditionals.",output if you teach a person to fish you will three times,if you teach a person to fish you will if you teach a person to fish you will if you teach a person to fish you will,teach a person to fish you will teach a person to fish three times,0.13103258609771729
task062-b65c77b6b19445aea3f54e4bb4076f77,task062_bigbench_repeat_copy_logic,Program Execution,"This task evaluates for the ability to follow basic natural language instructions nested and performing a sequence of operations, including basic logic and conditionals.",say fish are healthy twice,fish are healthy fish are healthy,fish are healthy fish are healthy,0.23053640127182007
task062-b01102e2e79e4012912cde71a8bd6e67,task062_bigbench_repeat_copy_logic,Program Execution,"This task evaluates for the ability to follow basic natural language instructions nested and performing a sequence of operations, including basic logic and conditionals.","repeat a woodchuck chucks lots of wood two times, but replace lots with five pounds the first time and two tons the second time",a woodchuck chucks five pounds of wood a woodchuck chucks two tons of wood,"first chuck lots of wood with five pounds the first time, then two tons the second time",0.16560697555541992
task062-29d8604901904cb9a0ba989679010898,task062_bigbench_repeat_copy_logic,Program Execution,"This task evaluates for the ability to follow basic natural language instructions nested and performing a sequence of operations, including basic logic and conditionals.","Say hungry three times, then hippo two times, then feed me four times",hungry hungry hungry hippo hippo feed me feed me feed me feed me,hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry,0.9037932753562927
