id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task122-c3ec2203521046d1a42efb99281944f0,task122_conala_list_index_addition,Program Execution,"In this task you will be given a list, of lists, of numbers. Each list is presented with brackets and comma-separated values. For example, a list of numbers is [1,2,3] and a list of two lists of numbers is [[1,2],[3,4,6]]. You should sum up the values at every position of every inner list and put it as an element of your answer, that is, you should sum the first members of each inner list together and put it as the first element of the list, then sum the second members of each inner list together and put it as the second element of your list, etc. The output should be a list of numbers with the same length as the longest inner list.","[[92, 61, 69, 17, -40, -64, -53], [48, -30], [-76, 8, 38, 77, -77, -49, 56, 79], [1, -60, -8, 37, -75]]","[65, -21, 99, 131, -192, -113, 3, 79]","[-79, -23, 57, 154, -154, -154, -49, 79]",0.22209370136260986
task122-4c2c1ef94dee4fa283a7e3b4f618ea2e,task122_conala_list_index_addition,Program Execution,"In this task you will be given a list, of lists, of numbers. Each list is presented with brackets and comma-separated values. For example, a list of numbers is [1,2,3] and a list of two lists of numbers is [[1,2],[3,4,6]]. You should sum up the values at every position of every inner list and put it as an element of your answer, that is, you should sum the first members of each inner list together and put it as the first element of the list, then sum the second members of each inner list together and put it as the second element of your list, etc. The output should be a list of numbers with the same length as the longest inner list.","[[74, 54, -95], [-28, 26, -23], [-31, -10, 50, -60, -33, 52, -40], [-1, -100, -14, 89, -85], [-17, -80, 18, -92], [69, -81, 83, -81]]","[66, -191, 19, -144, -118, 52, -40]","[112, -195, -79, -76, -133, 52, -40]",0.213151216506958
task122-84da67cab9544128bebfa96c442350cd,task122_conala_list_index_addition,Program Execution,"In this task you will be given a list, of lists, of numbers. Each list is presented with brackets and comma-separated values. For example, a list of numbers is [1,2,3] and a list of two lists of numbers is [[1,2],[3,4,6]]. You should sum up the values at every position of every inner list and put it as an element of your answer, that is, you should sum the first members of each inner list together and put it as the first element of the list, then sum the second members of each inner list together and put it as the second element of your list, etc. The output should be a list of numbers with the same length as the longest inner list.","[[41, -47, -1], [-9, 16], [58, -81, -23, -72, -58, -93, 36], [-53, -72, -50, -91]]","[37, -184, -74, -163, -58, -93, 36]","[-23, -154, -79, -154, -58, -93, 36]",0.340221643447876
task122-b8b8b36386d44e499ddf1c69bfd2f120,task122_conala_list_index_addition,Program Execution,"In this task you will be given a list, of lists, of numbers. Each list is presented with brackets and comma-separated values. For example, a list of numbers is [1,2,3] and a list of two lists of numbers is [[1,2],[3,4,6]]. You should sum up the values at every position of every inner list and put it as an element of your answer, that is, you should sum the first members of each inner list together and put it as the first element of the list, then sum the second members of each inner list together and put it as the second element of your list, etc. The output should be a list of numbers with the same length as the longest inner list.","[[74, -6, 64, -68], [-33, -89, -39, -56, -84, 4], [85, 48]]","[126, -47, 25, -124, -84, 4]","[176, -23, -23, -56, -84, 4]",0.16626566648483276
task122-0e0429da98f440ce87c9570e7beaa8d6,task122_conala_list_index_addition,Program Execution,"In this task you will be given a list, of lists, of numbers. Each list is presented with brackets and comma-separated values. For example, a list of numbers is [1,2,3] and a list of two lists of numbers is [[1,2],[3,4,6]]. You should sum up the values at every position of every inner list and put it as an element of your answer, that is, you should sum the first members of each inner list together and put it as the first element of the list, then sum the second members of each inner list together and put it as the second element of your list, etc. The output should be a list of numbers with the same length as the longest inner list.","[[5, 62], [-95, -14, 55, 33, 1, -12, 2, -50], [60, 93], [65, -17], [-19, 32, -67, 16, 84, 50], [-18, -62, -20, -35], [92, 31, -59, -42, -30, 33, 100, 55, -82]]","[90, 125, -91, -28, 55, 71, 102, 5, -82]","[220, -23, -79, -76, -34, 105, 102, 55, -82]",0.24059605598449707
task122-2a3d18b71c1440ab8b8ad0d6ab746db8,task122_conala_list_index_addition,Program Execution,"In this task you will be given a list, of lists, of numbers. Each list is presented with brackets and comma-separated values. For example, a list of numbers is [1,2,3] and a list of two lists of numbers is [[1,2],[3,4,6]]. You should sum up the values at every position of every inner list and put it as an element of your answer, that is, you should sum the first members of each inner list together and put it as the first element of the list, then sum the second members of each inner list together and put it as the second element of your list, etc. The output should be a list of numbers with the same length as the longest inner list.","[[87, -34, -3, -80, 92, -37, 69], [87, 54, -37]]","[174, 20, -40, -80, 92, -37, 69]","[220, -23, -79, -80, 92, -37, 69]",0.19483333826065063
task122-1591bf2af95c4c1693883779e59bd673,task122_conala_list_index_addition,Program Execution,"In this task you will be given a list, of lists, of numbers. Each list is presented with brackets and comma-separated values. For example, a list of numbers is [1,2,3] and a list of two lists of numbers is [[1,2],[3,4,6]]. You should sum up the values at every position of every inner list and put it as an element of your answer, that is, you should sum the first members of each inner list together and put it as the first element of the list, then sum the second members of each inner list together and put it as the second element of your list, etc. The output should be a list of numbers with the same length as the longest inner list.","[[-25, -74, -37, 27, 28, -83, -42, 59, -6], [-92, -85, -40, -11, 90, -49], [81, -43, -5, 98, 56, 29, 11], [9, 71, -94, -23, -56, -29, 72, 7], [3, 52], [-30, 39]]","[-54, -40, -176, 91, 118, -132, 41, 66, -6]","[-113, -79, -154, -23, 176, -98, -58, 126, -6]",0.25466179847717285
task122-4f5cf350084047aeaeaba0fbb57e67d2,task122_conala_list_index_addition,Program Execution,"In this task you will be given a list, of lists, of numbers. Each list is presented with brackets and comma-separated values. For example, a list of numbers is [1,2,3] and a list of two lists of numbers is [[1,2],[3,4,6]]. You should sum up the values at every position of every inner list and put it as an element of your answer, that is, you should sum the first members of each inner list together and put it as the first element of the list, then sum the second members of each inner list together and put it as the second element of your list, etc. The output should be a list of numbers with the same length as the longest inner list.","[[65, -32, 71, -42, 79], [-61, 45, -13], [-77, 100, -13, 20, 14, -80, 21, -99, 30], [78, 37, -88, -8, -9, -10, 11], [42, 3], [68, 39, 27, 19, 27, 78, -42], [-88, -96, -97, 80, -91, -88, -81]]","[27, 96, -113, 69, 20, -100, -91, -99, 30]","[-154, -23, -79, -23, -76, -154, -99, 30]",0.2260569930076599
task122-dbe8dd83041d448e93d70f54fd452f24,task122_conala_list_index_addition,Program Execution,"In this task you will be given a list, of lists, of numbers. Each list is presented with brackets and comma-separated values. For example, a list of numbers is [1,2,3] and a list of two lists of numbers is [[1,2],[3,4,6]]. You should sum up the values at every position of every inner list and put it as an element of your answer, that is, you should sum the first members of each inner list together and put it as the first element of the list, then sum the second members of each inner list together and put it as the second element of your list, etc. The output should be a list of numbers with the same length as the longest inner list.","[[28, 7], [-55, 33, 42, -33, 88, 85, -40, -70], [94, 26, 62, -15, 50, 64, 31, -21]]","[67, 66, 104, -48, 138, 149, -9, -91]","[-23, 57, 62, -35, 176, 126, -70, -70]",0.21849185228347778
task122-dfb59315ef89402fbab79c8ad4031dd1,task122_conala_list_index_addition,Program Execution,"In this task you will be given a list, of lists, of numbers. Each list is presented with brackets and comma-separated values. For example, a list of numbers is [1,2,3] and a list of two lists of numbers is [[1,2],[3,4,6]]. You should sum up the values at every position of every inner list and put it as an element of your answer, that is, you should sum the first members of each inner list together and put it as the first element of the list, then sum the second members of each inner list together and put it as the second element of your list, etc. The output should be a list of numbers with the same length as the longest inner list.","[[-42, 22, -64], [77, 75, 96, -26, -68, -22, -6, 17, -80], [-40, 15, -92, 98, 20, 16, 73, 17], [-59, 86, -92, -64, 99, 62, -98], [-3, 50, -77, 55, 69, -29, -90, 21]]","[-67, 248, -229, 63, 120, 27, -121, 55, -80]","[-57, 176, -154, -23, 176, -34, -154, -80]",0.2344428300857544
