id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task1428-83383f3c9d0f41d8891cf3a0d71142f0,task1428_country_surface_area,Misc.,"In this task, you are given a country name, and you need to return the country's surface area in terms of square kilometers. Up to two decimal places are allowed in your answer.",Barbados,430.00,0.088,0.1537388563156128
task1428-17027cab4337433a931f391cec6175b8,task1428_country_surface_area,Misc.,"In this task, you are given a country name, and you need to return the country's surface area in terms of square kilometers. Up to two decimal places are allowed in your answer.",Saint Kitts and Nevis,261.00,0.088,0.1280326247215271
task1428-2e78605002c94b38a2620005ee8cb42f,task1428_country_surface_area,Misc.,"In this task, you are given a country name, and you need to return the country's surface area in terms of square kilometers. Up to two decimal places are allowed in your answer.",Malaysia,329758.00,0.088,0.09943604469299316
task1428-71916bf78fa049caab57c472a87f0f1e,task1428_country_surface_area,Misc.,"In this task, you are given a country name, and you need to return the country's surface area in terms of square kilometers. Up to two decimal places are allowed in your answer.",Sweden,449964.00,0.088,0.13149839639663696
task1428-b4d491decdeb4d8eba4e6385fbb4456a,task1428_country_surface_area,Misc.,"In this task, you are given a country name, and you need to return the country's surface area in terms of square kilometers. Up to two decimal places are allowed in your answer.",Belarus,207600.00,0.088,0.14832401275634766
task1428-32cd9f317b0345189af2b21abb694066,task1428_country_surface_area,Misc.,"In this task, you are given a country name, and you need to return the country's surface area in terms of square kilometers. Up to two decimal places are allowed in your answer.",Indonesia,1904569.00,0.088,0.08486098051071167
task1428-106f9ed4a00340b88c5f06170af537fd,task1428_country_surface_area,Misc.,"In this task, you are given a country name, and you need to return the country's surface area in terms of square kilometers. Up to two decimal places are allowed in your answer.",British Indian Ocean Territory,78.00,0.088,0.4134094715118408
task1428-f91782aa0fe84db5ac092526b4b7c375,task1428_country_surface_area,Misc.,"In this task, you are given a country name, and you need to return the country's surface area in terms of square kilometers. Up to two decimal places are allowed in your answer.",Fiji Islands,18274.00,0.088,0.7153794765472412
task1428-cc8de70e2d674153a7c8e2237570ffb5,task1428_country_surface_area,Misc.,"In this task, you are given a country name, and you need to return the country's surface area in terms of square kilometers. Up to two decimal places are allowed in your answer.",Swaziland,17364.00,0.088,0.16343212127685547
task1428-0ce620d9742245c9b0df7912b674ece8,task1428_country_surface_area,Misc.,"In this task, you are given a country name, and you need to return the country's surface area in terms of square kilometers. Up to two decimal places are allowed in your answer.",Djibouti,23200.00,0.088,0.17386478185653687
task1428-adbd6f16ea3748a6a8fb9c3b64396905,task1428_country_surface_area,Misc.,"In this task, you are given a country name, and you need to return the country's surface area in terms of square kilometers. Up to two decimal places are allowed in your answer.",Azerbaijan,86600.00,0.088,0.059873223304748535
task1428-3e1f2cc21b46485bb94f89648b0b04d5,task1428_country_surface_area,Misc.,"In this task, you are given a country name, and you need to return the country's surface area in terms of square kilometers. Up to two decimal places are allowed in your answer.",Martinique,1102.00,0.088,0.4355520009994507
