id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task1316-2aef64428a5c473e82e67376dd894d74,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",SwUTgAzgSuHxHiuLjUMlBpkqrU,SwUTgAzuHxiLjMlBpkqr,SwUTgAzgSuHxHiLjMlBpkqrU,0.19407624006271362
task1316-9dedbe85e9124c13b2e0b574451b9777,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",CDcnHTHNKVZUuThezXQbxTX,CDcnHTNKVZUuhezXQbx,CDcnHTHNKVZUuThezXQbxTX,0.16069293022155762
task1316-584fa5c779ed4e4387850b036c076e39,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",yIHZfTLvRxeCpFyKpaaUvvjWk,yIHZfTLvRxeCpFKaUjWk,yIHZfTLvRxeCpFyKpaUvjWk,0.418390154838562
task1316-539299a10f4f44c68bd6e7dec4132f58,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",jNMSbKjwKIdYhAaZRvVkcSniTpb,jNMSbKwIdYhAaZRvVkcniTp,jNMSbKjwKIdYhAaZRvVkcniTp,0.6597550511360168
task1316-e9ca190976da4ec6a1e97aa05ae66943,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",yNuwnqBsSCMSttcxfDtHV,yNuwnqBsSCMtcxfDHV,yNuwnqBsSCMtcxfDV,0.11858439445495605
task1316-e09c45d43055447d9f7bbd799f4bf7c7,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",HuYHfZxsdwtzapmLmmFunDczqY,HuYfZxsdwtzapmLFnDcq,HuYHfZxsdwtzapmLmFunDczqY,0.16117829084396362
task1316-6d95429059604344b16ca355a21c241b,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",SIZayKTLqjQMnNpPLFVRhnPVyHXlxY,SIZayKTLqjQMnNpPFVRhHXlxY,SIZayKTLqjQMnPpFVRhnPvxY,0.1643652319908142
task1316-8f493451ab604773ab84394be0852093,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",OIrNYBqClnipsOAEbYYImPKkBDq,OIrNYBqClnipsAEbmPKkD,OIrNYbqClnipsOAEbYmPKkBD,0.34673601388931274
task1316-867220960e12415b806c6cea223ed0db,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",XvvFtcaSyJPwQyoifYBdQcxGECNG,XvFtcaSyJPwQoifYBdxGECN,XvvFtcaSyJPwQyoifYBdQcxGNG,0.18540281057357788
task1316-09869f2e44fb4b9bbb068cbaddb686ea,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",wAsRjpOXVvfYfdiZmFYrqi,wAsRjpOXVvfYdiZmFrq,wAsRjpOXVvfYdiZmFq,0.17112380266189575
task1316-ccb74a90bf0244da83ffa62a0abfcf44,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",VcrgYTUvOnvbXXSZoTTgrtPoOIhlUW,VcrgYTUvOnbXSZotPIhlW,VcrgYTUvOnvbXXSZoTgrtPIhlUW,0.1849650740623474
task1316-28a52289d1f94e6cbdee4b095d3ab5bb,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",BeZEQbbgVZcjWBaojjCUQbZhonBH,BeZEQbgVcjWaoCUhnH,BeZEbqgVZcjWBaojJCUbqhonBH,0.16433608531951904
task1316-830ddda7dd7e4bf18bfc36a15851ab83,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",SQBoeSRHVIZoNXohmlLcdefoCi,SQBoeRHVIZNXhmlLcdfCi,SQBoeSRHVIZNXhmlLcdfCi,0.18107157945632935
task1316-6bcf9c75dd414e9ba492c5fc17a31ca0,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",cwBQvgwEkNhVLIoizKkgpaphR,cwBQvgEkNhVLIoizKpaR,cwBQvgwEkNhVLizKkgpR,0.16131389141082764
task1316-d5896e9587194110bd35742e0618a456,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",nzUqqilKVDvdWlSqkjyLss,nzUqilKVDvdWSkjyLs,nzUqqilKVDvdWlSqkjyLss,0.1923903226852417
task1316-bde7e2693f484eb798bc6065b25bccfa,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",DlmAHZNmehvEvkQpzINROIAZ,DlmAHZNehvEkQpzIRO,DlmAHZNmehvEvkQpzINRAZ,0.3725953698158264
task1316-742fd4c62565494c85a7d0768de49ebd,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",huZGjSZbzraOBIBjsbJmLZ,huZGjSbzraOBIsJmL,huZGjSZbzraOBIbJmLZ,0.28695249557495117
task1316-dd2705c9159c40908ed4d330f5cf4ab1,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",rBeRPfuOhSCAIkgalGBywtdRPxi,rBeRPfuOhSCAIkgalGywtdxi,rBeRPfuOhSCAIkgalGBywtdRPxi,0.147053062915802
task1316-cfcb5064356c4732b3c02f3afca0c404,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",VWsxAlGyZQlGHcQRmPIeuEC,VWsxAlGyZQHcRmPIeuEC,VWsxAlGyZQlGHcRmPIeuEC,0.1643851399421692
task1316-c19ec1ba71524c3595db6112774fe6c3,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",plpzTuEtlZcteRrekofKr,plzTuEtZceRrkofK,plpzTuEtlZcteRkofKr,0.12740135192871094
task1316-8c8730bd96eb420e81cc0be2792b8fe8,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",nXnGFzHFYudOiHyWLZXQfpw,nXGFzHYudOiyWLZQfpw,nXGFzHYudOiHyWZQfpw,0.1494935154914856
task1316-9f7349cd7adc460980f30cd0d8838ae7,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",kFYhXiGpfqXrSOvkICCiLY,kFYhXiGpfqrSOvICL,kFYhXiGpfqrSOvkCILY,0.13301116228103638
task1316-2a3b12d918b34e17b89bf5685428993e,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",vSdLBugCbKUwEzgkOnVZvyGCRdrwlq,vSdLBugCbKUwEzkOnVZyGRrlq,vSdLBgCbKUwEzkOnVZvyCdrwlq,0.18365085124969482
task1316-6912dcfb9a0843ffb4fe773790b0b6d9,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",EpmhbcqBTOnKFvPKTORfDMqS,EpmhbcqBTOnKFvPRfDMS,EpmhbcqBtonKFvPKTfDMqS,0.1871967315673828
task1316-584a8616a5574c26b947392c82fbf6e2,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",nnwHcphCQVDGXSZLhoodXFVgJioCfp,nwHcphCQVDGXSZLodFgJif,nwHcphCQVDGXSZLhoXFgJioCfp,0.1987321972846985
task1316-d807dfea737347e9a86e94dcb1be6ad7,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",mgbQjVSQauFIaVRpCVIBgXH,mgbQjVSauFIRpCBXH,mgbQjVSaVRpCBgXH,0.9041884541511536
task1316-6377001e6d704128bda653ef420a877a,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",XdpkpDFgCzvwuncTvKEPOS,XdpkDFgCzvwuncTKEPOS,XdpDFgCzvwuncTvKPOS,0.12666022777557373
task1316-9830f93aaf164ed48c4ec42906f6e627,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",pHAgIveCCMySyMbOvQzwZjRvQkoOci,pHAgIveCMySbOQzwZjRkoci,pHAgIveCCMySyMbOqzwZjRqko,0.18621361255645752
task1316-1a10fa082c374414994b07201b4e3dea,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",YoJYejBwcUKVbOsBpadYe,YoJejBwcUKVbOspad,YoJYjBwcUKVbOsbp,0.1133618950843811
task1316-28cbe139d8f04c52af603682c724f8cf,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",syWqVWrvlDarbXGGXvjghpC,syWqVrvlDabXGjghpC,syWqVWrvlDarbXGGvjghpC,0.15940523147583008
task1316-72dbd4c4b11f4609bebb19dd7e352451,task1316_remove_duplicates_string,Program Execution,"In this task, you are given a string of characters. You need to remove duplicate characters from the string if any, and return the resulting string.",FsDiXVqAymUcNSwuyNjb,FsDiXVqAymUcNSwujb,FsDiXVqAymUcNwyjb,0.1333146095275879
