id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task105-58fe6ffbf13d437db5afdf8f4e945d1f,task105_story_cloze-rocstories_sentence_generation,Text Completion,"In this task, you're given a four sentences of story written in natural language. Your job is to complete end part of the story by predicting appropriate last sentence which is coherent with the given sentences.","Sentence1: Maggie's cousin was going to be in a parade. Sentence2: Maggie had to bring her her coat before the float left. Sentence3: She was watching them get ready and thought it looked fun. Sentence4: Suddenly, the owner asked if she would like to ride.",Maggie said yes and rode in the parade.,Maggie agreed and rode the float.,0.0919068455696106
task105-1bc40aba6a3c4f479200273ddc0f44c2,task105_story_cloze-rocstories_sentence_generation,Text Completion,"In this task, you're given a four sentences of story written in natural language. Your job is to complete end part of the story by predicting appropriate last sentence which is coherent with the given sentences.",Sentence1: Monica was taking her daughter to see Santa at the mall. Sentence2: The line was insanely long. Sentence3: Monica didn't want to wait but knew her daughter would be upset. Sentence4: Finally she decided to just suck it up and wait.,They actually made it through the line quicker than expected.,She was glad she did.,0.20949214696884155
task105-eba2ff23941d4c8e8836c67926a2c5c8,task105_story_cloze-rocstories_sentence_generation,Text Completion,"In this task, you're given a four sentences of story written in natural language. Your job is to complete end part of the story by predicting appropriate last sentence which is coherent with the given sentences.","Sentence1: Al wanted to go to his friend's party to find a girl to date. Sentence2: But his dad insisted he stay home to mow the lawn instead! Sentence3: Angrily, Al went out front and began to mow. Sentence4: He was interrupted by a pretty classmate, out walking her dog.",They chatted for a few minutes - and then she asked him out!,"Al was so excited to see her, he walked over to her.",0.2417823076248169
task105-8938323afca9473a85bdc880da7f8e23,task105_story_cloze-rocstories_sentence_generation,Text Completion,"In this task, you're given a four sentences of story written in natural language. Your job is to complete end part of the story by predicting appropriate last sentence which is coherent with the given sentences.",Sentence1: I knew I was in Labor. Sentence2: This pain was different. Sentence3: It took all of 17 hours for him to be born. Sentence4: And after he was born the pain just stopped.,Labor is really the most intense pain ever.,I was so happy to have a baby.,0.270194947719574
task105-3d75448e47034e6f9279724884a8bbaa,task105_story_cloze-rocstories_sentence_generation,Text Completion,"In this task, you're given a four sentences of story written in natural language. Your job is to complete end part of the story by predicting appropriate last sentence which is coherent with the given sentences.",Sentence1: Matt just turned sixteen and bought a new car. Sentence2: He realized that he never learned how to change a tire. Sentence3: He asked his dad to teach him so he will know just in case. Sentence4: His dad showed him once and then made Matt change it while he watched.,After one try Matt changed the tire by himself perfectly.,Matt was very proud of his dad for teaching him.,0.09725576639175415
task105-a9431ed644154051b93f674537969514,task105_story_cloze-rocstories_sentence_generation,Text Completion,"In this task, you're given a four sentences of story written in natural language. Your job is to complete end part of the story by predicting appropriate last sentence which is coherent with the given sentences.",Sentence1: Derek has an interview for a job. Sentence2: He walks in the meeting place. Sentence3: He is noticeably nervous Sentence4: He messes up during it.,He doesn't get the job.,He is fired.,0.13666987419128418
task105-196a00ff2b484a82b6dc1671d2aff29e,task105_story_cloze-rocstories_sentence_generation,Text Completion,"In this task, you're given a four sentences of story written in natural language. Your job is to complete end part of the story by predicting appropriate last sentence which is coherent with the given sentences.",Sentence1: Nina wanted a nice Halloween costume. Sentence2: But she could not afford anything fancy. Sentence3: She looked through her house for ideas. Sentence4: Then she found a great costume for free.,Nina was excited.,Nina was happy to have a costume for Halloween.,0.09994614124298096
task105-5891e7a9f46f46f5b3fb228b042dd11f,task105_story_cloze-rocstories_sentence_generation,Text Completion,"In this task, you're given a four sentences of story written in natural language. Your job is to complete end part of the story by predicting appropriate last sentence which is coherent with the given sentences.",Sentence1: Sarah was playing with her cat. Sentence2: Her cat accidentally scratched her in the face. Sentence3: Her face started to turn red and swell up. Sentence4: Sarah went to the emergency room afterwards.,She had to get a few stitches on her face.,Sarah was treated for her cat scratch.,0.07251852750778198
task105-4a9694b19ba14b3bb04cc6c8ec84fa0f,task105_story_cloze-rocstories_sentence_generation,Text Completion,"In this task, you're given a four sentences of story written in natural language. Your job is to complete end part of the story by predicting appropriate last sentence which is coherent with the given sentences.",Sentence1: Today was the big day! Sentence2: Jason and his family were going to the sea park. Sentence3: He was hoping to see the big killer whale. Sentence4: They bought tickets and were waiting in the stands.,"Then, right in front of jason, the whale jumped out of the water!",Jason was excited to see the whale.,0.07476180791854858
task105-745fa04d2f744ebb91251056ba96e119,task105_story_cloze-rocstories_sentence_generation,Text Completion,"In this task, you're given a four sentences of story written in natural language. Your job is to complete end part of the story by predicting appropriate last sentence which is coherent with the given sentences.",Sentence1: I got on the sled at the top of the hill. Sentence2: My son gave me a big push. Sentence3: I crashed into a tree halfway down. Sentence4: My son was yelling something at me.,I had snow in my ears.,I screamed back at him.,0.15075886249542236
task105-a05005cfb62a4ecbb744207a1ad0f5ed,task105_story_cloze-rocstories_sentence_generation,Text Completion,"In this task, you're given a four sentences of story written in natural language. Your job is to complete end part of the story by predicting appropriate last sentence which is coherent with the given sentences.",Sentence1: Johann wakes up feeling sleepy. Sentence2: He decides to make a cup of coffee. Sentence3: Johann beings by grinding some coffee beans. Sentence4: He makes a delicious cup of coffee.,Johann is happy not to feel sleepy any longer.,Johann enjoys his coffee.,0.059709787368774414
task105-2a60c425ee3f46b5b9493985531f75cf,task105_story_cloze-rocstories_sentence_generation,Text Completion,"In this task, you're given a four sentences of story written in natural language. Your job is to complete end part of the story by predicting appropriate last sentence which is coherent with the given sentences.",Sentence1: Ben had a spat with his best friend. Sentence2: They did not speak for weeks. Sentence3: But then Ben realized it was silly to fight over something trivial. Sentence4: He called his friend and made overtures of apology.,"To his relief, his friend apologized too!",Ben's friend was very happy to hear that.,0.08783990144729614
task105-b323f62998e74a40b224e3ac4d1fb3f7,task105_story_cloze-rocstories_sentence_generation,Text Completion,"In this task, you're given a four sentences of story written in natural language. Your job is to complete end part of the story by predicting appropriate last sentence which is coherent with the given sentences.","Sentence1: Jim received his license today. Sentence2: To celebrate, he took a few friends out for drinks. Sentence3: Unfortunately, a police officer stopped them and handed Jim a DUI Sentence4: When his mom found out, she was disappointed.",She punished him by taking away his license.,Jim was very upset.,0.09929102659225464
task105-97b7c308d4f744f194e7fece8c152645,task105_story_cloze-rocstories_sentence_generation,Text Completion,"In this task, you're given a four sentences of story written in natural language. Your job is to complete end part of the story by predicting appropriate last sentence which is coherent with the given sentences.",Sentence1: Phil went for a walk in the park. Sentence2: It was a warm breezy day. Sentence3: He ran into a few friends along his walk. Sentence4: One of them offered him a drink.,Phil was thirsty and accepted the drink.,Phil was very thankful for the offer.,0.10209983587265015
task105-a8041e570aa7410a88624e2db1473f8c,task105_story_cloze-rocstories_sentence_generation,Text Completion,"In this task, you're given a four sentences of story written in natural language. Your job is to complete end part of the story by predicting appropriate last sentence which is coherent with the given sentences.",Sentence1: Sammy's father owned a Chinese restaurant. Sentence2: His father wanted to retire and pass the restaurant to him. Sentence3: The only problem was that Sammy did not know how to run a restaurant. Sentence4: Sammy spent many months working closely with his father.,He eventually was able to successfully run the restaurant by himself.,Sammy was able to run the restaurant successfully.,0.18207329511642456
task105-bc2b127442764cb3900af4aa56fd2da4,task105_story_cloze-rocstories_sentence_generation,Text Completion,"In this task, you're given a four sentences of story written in natural language. Your job is to complete end part of the story by predicting appropriate last sentence which is coherent with the given sentences.",Sentence1: I went on a blind date a few days ago. Sentence2: She was cute and friendly. Sentence3: We were set up through a co worker. Sentence4: We seem to have some things in common.,Soon we were boyfriend and girlfriend and thinking of marriage.,We ended up getting married.,0.05542159080505371
task105-558a75e71b3c4fab986ca655b38c9467,task105_story_cloze-rocstories_sentence_generation,Text Completion,"In this task, you're given a four sentences of story written in natural language. Your job is to complete end part of the story by predicting appropriate last sentence which is coherent with the given sentences.",Sentence1: I took my girlfriend to my cousin's wedding. Sentence2: It was a lovely ceremony. Sentence3: When it came time to throw the bouquet everyone lined up. Sentence4: My girlfriend wound up catching it.,She hasn't stopped talking about marriage since then.,She was so happy to have a bouquet.,0.10019797086715698
