id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task076-9a72be54d5af46dfb714588f9a27c3cf,task076_splash_correcting_sql_mistake,Text to Code,"In this task you are expected to fix an SQL query based on feedback. You will be given an SQL statement and an English description with what is wrong about that SQL statement. You must correct the SQL statement based off of the feedback. An SQL query works by selecting data from a table where certain conditions apply. A table contains columns where every row in that table must have a value for each column. Every table has a primary key that uniquely identifies each row, usually an id. To choose which columns are returned you specify that after the ""SELECT"" statement. Next, you use a ""FROM"" statement to specify what tables you want to select the data from. When you specify a table you can rename it with the ""AS"" statement. You can reference that table by whatever name follows the ""AS"" statement. If you want to select data from multiple tables you need to use the ""JOIN"" statement. This will join the tables together by pairing a row in one table with every row in the other table (Cartesian Product). To limit the number of rows returned you should use the ""ON"" statement. This will only return rows where the condition specified after the statement is true, this is usually an equals operator with primary keys. You can also use the ""WHERE"" statement to specify that only rows with column values statisfying a certain condition, should be returned. The ""GROUP BY"" statement will group rows together that have equal column values for whatever columns follows the statement. The ""HAVING"" statement will return groups that statisfy whatever condition follows the statement. Any column(s) being returned from grouped rows must either be an aggregate function, (AVG, MAX, COUNT, SUM, ...) of a column, or the column(s) that the data was grouped by. To sort the returned data you can use the ""ORDER BY"" command which will order the data by whatever aggregate function or column follows the statement. The ""DESC"" statement will sort in descending order and the ""ASC"" statement will sort in ascending order. Finally, you can use the ""LIMIT"" statement to return a certain number of rows. When ""*"" is used in an SQL statement every column is returned. For example, SELECT * FROM table WHERE attribute = 1, will select every column from rows with the attribute column equal to 1. ","SQL: SELECT Count ( DISTINCT Region_code ) FROM region
Feedback: Replace region code with region id in affected region table instead of region table",SELECT count(DISTINCT region_id) FROM affected_region,SELECT * FROM attribute WHERE attribute = 1,0.13290661573410034
task076-a2d9691cacdf4434abf9b7457172ed32,task076_splash_correcting_sql_mistake,Text to Code,"In this task you are expected to fix an SQL query based on feedback. You will be given an SQL statement and an English description with what is wrong about that SQL statement. You must correct the SQL statement based off of the feedback. An SQL query works by selecting data from a table where certain conditions apply. A table contains columns where every row in that table must have a value for each column. Every table has a primary key that uniquely identifies each row, usually an id. To choose which columns are returned you specify that after the ""SELECT"" statement. Next, you use a ""FROM"" statement to specify what tables you want to select the data from. When you specify a table you can rename it with the ""AS"" statement. You can reference that table by whatever name follows the ""AS"" statement. If you want to select data from multiple tables you need to use the ""JOIN"" statement. This will join the tables together by pairing a row in one table with every row in the other table (Cartesian Product). To limit the number of rows returned you should use the ""ON"" statement. This will only return rows where the condition specified after the statement is true, this is usually an equals operator with primary keys. You can also use the ""WHERE"" statement to specify that only rows with column values statisfying a certain condition, should be returned. The ""GROUP BY"" statement will group rows together that have equal column values for whatever columns follows the statement. The ""HAVING"" statement will return groups that statisfy whatever condition follows the statement. Any column(s) being returned from grouped rows must either be an aggregate function, (AVG, MAX, COUNT, SUM, ...) of a column, or the column(s) that the data was grouped by. To sort the returned data you can use the ""ORDER BY"" command which will order the data by whatever aggregate function or column follows the statement. The ""DESC"" statement will sort in descending order and the ""ASC"" statement will sort in ascending order. Finally, you can use the ""LIMIT"" statement to return a certain number of rows. When ""*"" is used in an SQL statement every column is returned. For example, SELECT * FROM table WHERE attribute = 1, will select every column from rows with the attribute column equal to 1. ","SQL: SELECT name , Industry FROM Companies ORDER BY name Asc
Feedback: Replace industry with assets billion .","SELECT name ,  Assets_billion FROM Companies ORDER BY name ASC",SELECT * FROM attribute WHERE attribute = 1,0.1309593915939331
task076-64f4320ef37747e1ae41ee82cc6d09b4,task076_splash_correcting_sql_mistake,Text to Code,"In this task you are expected to fix an SQL query based on feedback. You will be given an SQL statement and an English description with what is wrong about that SQL statement. You must correct the SQL statement based off of the feedback. An SQL query works by selecting data from a table where certain conditions apply. A table contains columns where every row in that table must have a value for each column. Every table has a primary key that uniquely identifies each row, usually an id. To choose which columns are returned you specify that after the ""SELECT"" statement. Next, you use a ""FROM"" statement to specify what tables you want to select the data from. When you specify a table you can rename it with the ""AS"" statement. You can reference that table by whatever name follows the ""AS"" statement. If you want to select data from multiple tables you need to use the ""JOIN"" statement. This will join the tables together by pairing a row in one table with every row in the other table (Cartesian Product). To limit the number of rows returned you should use the ""ON"" statement. This will only return rows where the condition specified after the statement is true, this is usually an equals operator with primary keys. You can also use the ""WHERE"" statement to specify that only rows with column values statisfying a certain condition, should be returned. The ""GROUP BY"" statement will group rows together that have equal column values for whatever columns follows the statement. The ""HAVING"" statement will return groups that statisfy whatever condition follows the statement. Any column(s) being returned from grouped rows must either be an aggregate function, (AVG, MAX, COUNT, SUM, ...) of a column, or the column(s) that the data was grouped by. To sort the returned data you can use the ""ORDER BY"" command which will order the data by whatever aggregate function or column follows the statement. The ""DESC"" statement will sort in descending order and the ""ASC"" statement will sort in ascending order. Finally, you can use the ""LIMIT"" statement to return a certain number of rows. When ""*"" is used in an SQL statement every column is returned. For example, SELECT * FROM table WHERE attribute = 1, will select every column from rows with the attribute column equal to 1. ","SQL: SELECT T1.Airline FROM airlines AS T1 JOIN airports AS T2 WHERE T2.Country = ""APG"" INTERSECT SELECT T1.Airline FROM airlines AS T1 JOIN airports AS T2 WHERE T2.Country = ""CVO""
Feedback: Exchange country with airport code in both step 2 and step 3.","SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""APG"" INTERSECT SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""CVO""",SELECT * FROM attribute WHERE attribute = 1,0.1301555633544922
task076-f45eb47343bd4d7da4ad6366cec72141,task076_splash_correcting_sql_mistake,Text to Code,"In this task you are expected to fix an SQL query based on feedback. You will be given an SQL statement and an English description with what is wrong about that SQL statement. You must correct the SQL statement based off of the feedback. An SQL query works by selecting data from a table where certain conditions apply. A table contains columns where every row in that table must have a value for each column. Every table has a primary key that uniquely identifies each row, usually an id. To choose which columns are returned you specify that after the ""SELECT"" statement. Next, you use a ""FROM"" statement to specify what tables you want to select the data from. When you specify a table you can rename it with the ""AS"" statement. You can reference that table by whatever name follows the ""AS"" statement. If you want to select data from multiple tables you need to use the ""JOIN"" statement. This will join the tables together by pairing a row in one table with every row in the other table (Cartesian Product). To limit the number of rows returned you should use the ""ON"" statement. This will only return rows where the condition specified after the statement is true, this is usually an equals operator with primary keys. You can also use the ""WHERE"" statement to specify that only rows with column values statisfying a certain condition, should be returned. The ""GROUP BY"" statement will group rows together that have equal column values for whatever columns follows the statement. The ""HAVING"" statement will return groups that statisfy whatever condition follows the statement. Any column(s) being returned from grouped rows must either be an aggregate function, (AVG, MAX, COUNT, SUM, ...) of a column, or the column(s) that the data was grouped by. To sort the returned data you can use the ""ORDER BY"" command which will order the data by whatever aggregate function or column follows the statement. The ""DESC"" statement will sort in descending order and the ""ASC"" statement will sort in ascending order. Finally, you can use the ""LIMIT"" statement to return a certain number of rows. When ""*"" is used in an SQL statement every column is returned. For example, SELECT * FROM table WHERE attribute = 1, will select every column from rows with the attribute column equal to 1. ","SQL: SELECT incident_type_code , incident_type_description FROM Ref_Incident_Type GROUP BY incident_type_code ORDER BY Count ( * ) Desc LIMIT 1
Feedback: Find incident type code of behavior incident table instead of reference incident type table in step 1.","SELECT T1.incident_type_code ,  T2.incident_type_description FROM Behavior_Incident AS T1 JOIN Ref_Incident_Type AS T2 ON T1.incident_type_code  =  T2.incident_type_code GROUP BY T1.incident_type_code ORDER BY count(*) DESC LIMIT 1",SELECT * FROM attribute WHERE attribute = 1,0.12993115186691284
task076-ae40f7e4014f46e78682a190652762e3,task076_splash_correcting_sql_mistake,Text to Code,"In this task you are expected to fix an SQL query based on feedback. You will be given an SQL statement and an English description with what is wrong about that SQL statement. You must correct the SQL statement based off of the feedback. An SQL query works by selecting data from a table where certain conditions apply. A table contains columns where every row in that table must have a value for each column. Every table has a primary key that uniquely identifies each row, usually an id. To choose which columns are returned you specify that after the ""SELECT"" statement. Next, you use a ""FROM"" statement to specify what tables you want to select the data from. When you specify a table you can rename it with the ""AS"" statement. You can reference that table by whatever name follows the ""AS"" statement. If you want to select data from multiple tables you need to use the ""JOIN"" statement. This will join the tables together by pairing a row in one table with every row in the other table (Cartesian Product). To limit the number of rows returned you should use the ""ON"" statement. This will only return rows where the condition specified after the statement is true, this is usually an equals operator with primary keys. You can also use the ""WHERE"" statement to specify that only rows with column values statisfying a certain condition, should be returned. The ""GROUP BY"" statement will group rows together that have equal column values for whatever columns follows the statement. The ""HAVING"" statement will return groups that statisfy whatever condition follows the statement. Any column(s) being returned from grouped rows must either be an aggregate function, (AVG, MAX, COUNT, SUM, ...) of a column, or the column(s) that the data was grouped by. To sort the returned data you can use the ""ORDER BY"" command which will order the data by whatever aggregate function or column follows the statement. The ""DESC"" statement will sort in descending order and the ""ASC"" statement will sort in ascending order. Finally, you can use the ""LIMIT"" statement to return a certain number of rows. When ""*"" is used in an SQL statement every column is returned. For example, SELECT * FROM table WHERE attribute = 1, will select every column from rows with the attribute column equal to 1. ","SQL: SELECT property_name FROM Properties WHERE room_count > 1
Feedback: Be assured to look for code of property type which are  equivalent to houses or apartments alone.","SELECT property_name FROM Properties WHERE property_type_code  =  ""House"" UNION SELECT property_name FROM Properties WHERE property_type_code  =  ""Apartment"" AND room_count  >  1",SELECT * FROM attribute WHERE attribute = 1,0.2620951533317566
task076-1135385d7a564a128cdcda953293561b,task076_splash_correcting_sql_mistake,Text to Code,"In this task you are expected to fix an SQL query based on feedback. You will be given an SQL statement and an English description with what is wrong about that SQL statement. You must correct the SQL statement based off of the feedback. An SQL query works by selecting data from a table where certain conditions apply. A table contains columns where every row in that table must have a value for each column. Every table has a primary key that uniquely identifies each row, usually an id. To choose which columns are returned you specify that after the ""SELECT"" statement. Next, you use a ""FROM"" statement to specify what tables you want to select the data from. When you specify a table you can rename it with the ""AS"" statement. You can reference that table by whatever name follows the ""AS"" statement. If you want to select data from multiple tables you need to use the ""JOIN"" statement. This will join the tables together by pairing a row in one table with every row in the other table (Cartesian Product). To limit the number of rows returned you should use the ""ON"" statement. This will only return rows where the condition specified after the statement is true, this is usually an equals operator with primary keys. You can also use the ""WHERE"" statement to specify that only rows with column values statisfying a certain condition, should be returned. The ""GROUP BY"" statement will group rows together that have equal column values for whatever columns follows the statement. The ""HAVING"" statement will return groups that statisfy whatever condition follows the statement. Any column(s) being returned from grouped rows must either be an aggregate function, (AVG, MAX, COUNT, SUM, ...) of a column, or the column(s) that the data was grouped by. To sort the returned data you can use the ""ORDER BY"" command which will order the data by whatever aggregate function or column follows the statement. The ""DESC"" statement will sort in descending order and the ""ASC"" statement will sort in ascending order. Finally, you can use the ""LIMIT"" statement to return a certain number of rows. When ""*"" is used in an SQL statement every column is returned. For example, SELECT * FROM table WHERE attribute = 1, will select every column from rows with the attribute column equal to 1. ","SQL: SELECT T1.name , T3.balance FROM ACCOUNTS AS T1 JOIN SAVINGS AS T2 ON T1.custid = T2.custid JOIN CHECKING AS T3 ON T1.custid = T3.custid ORDER BY T2.balance Asc LIMIT 1
Feedback: Remove CHECKING's customer id and make sure to find addition of SAVING's and CHECKING's customer id .",SELECT T1.name FROM accounts AS T1 JOIN checking AS T2 ON T1.custid  =  T2.custid JOIN savings AS T3 ON T1.custid  =  T3.custid ORDER BY T2.balance + T3.balance LIMIT 1,SELECT * FROM attribute WHERE attribute = 1,0.12792688608169556
task076-29b05f2539ee49ad8d4eb9df2e85cfd2,task076_splash_correcting_sql_mistake,Text to Code,"In this task you are expected to fix an SQL query based on feedback. You will be given an SQL statement and an English description with what is wrong about that SQL statement. You must correct the SQL statement based off of the feedback. An SQL query works by selecting data from a table where certain conditions apply. A table contains columns where every row in that table must have a value for each column. Every table has a primary key that uniquely identifies each row, usually an id. To choose which columns are returned you specify that after the ""SELECT"" statement. Next, you use a ""FROM"" statement to specify what tables you want to select the data from. When you specify a table you can rename it with the ""AS"" statement. You can reference that table by whatever name follows the ""AS"" statement. If you want to select data from multiple tables you need to use the ""JOIN"" statement. This will join the tables together by pairing a row in one table with every row in the other table (Cartesian Product). To limit the number of rows returned you should use the ""ON"" statement. This will only return rows where the condition specified after the statement is true, this is usually an equals operator with primary keys. You can also use the ""WHERE"" statement to specify that only rows with column values statisfying a certain condition, should be returned. The ""GROUP BY"" statement will group rows together that have equal column values for whatever columns follows the statement. The ""HAVING"" statement will return groups that statisfy whatever condition follows the statement. Any column(s) being returned from grouped rows must either be an aggregate function, (AVG, MAX, COUNT, SUM, ...) of a column, or the column(s) that the data was grouped by. To sort the returned data you can use the ""ORDER BY"" command which will order the data by whatever aggregate function or column follows the statement. The ""DESC"" statement will sort in descending order and the ""ASC"" statement will sort in ascending order. Finally, you can use the ""LIMIT"" statement to return a certain number of rows. When ""*"" is used in an SQL statement every column is returned. For example, SELECT * FROM table WHERE attribute = 1, will select every column from rows with the attribute column equal to 1. ","SQL: SELECT order_id , customer_id FROM Orders ORDER BY customer_id Desc LIMIT 1
Feedback: Need to find smallest value of date order placed .","SELECT order_id ,  customer_id FROM orders ORDER BY date_order_placed LIMIT 1",SELECT * FROM attribute WHERE attribute = 1,0.13013988733291626
task076-f6eaa577bdba4f298a81e6df71f9dcc1,task076_splash_correcting_sql_mistake,Text to Code,"In this task you are expected to fix an SQL query based on feedback. You will be given an SQL statement and an English description with what is wrong about that SQL statement. You must correct the SQL statement based off of the feedback. An SQL query works by selecting data from a table where certain conditions apply. A table contains columns where every row in that table must have a value for each column. Every table has a primary key that uniquely identifies each row, usually an id. To choose which columns are returned you specify that after the ""SELECT"" statement. Next, you use a ""FROM"" statement to specify what tables you want to select the data from. When you specify a table you can rename it with the ""AS"" statement. You can reference that table by whatever name follows the ""AS"" statement. If you want to select data from multiple tables you need to use the ""JOIN"" statement. This will join the tables together by pairing a row in one table with every row in the other table (Cartesian Product). To limit the number of rows returned you should use the ""ON"" statement. This will only return rows where the condition specified after the statement is true, this is usually an equals operator with primary keys. You can also use the ""WHERE"" statement to specify that only rows with column values statisfying a certain condition, should be returned. The ""GROUP BY"" statement will group rows together that have equal column values for whatever columns follows the statement. The ""HAVING"" statement will return groups that statisfy whatever condition follows the statement. Any column(s) being returned from grouped rows must either be an aggregate function, (AVG, MAX, COUNT, SUM, ...) of a column, or the column(s) that the data was grouped by. To sort the returned data you can use the ""ORDER BY"" command which will order the data by whatever aggregate function or column follows the statement. The ""DESC"" statement will sort in descending order and the ""ASC"" statement will sort in ascending order. Finally, you can use the ""LIMIT"" statement to return a certain number of rows. When ""*"" is used in an SQL statement every column is returned. For example, SELECT * FROM table WHERE attribute = 1, will select every column from rows with the attribute column equal to 1. ","SQL: SELECT product_name , Count ( * ) FROM Products GROUP BY product_name
Feedback: Give me the product's name and number of order placed by customer.","SELECT T2.product_name ,  count(*) FROM Order_items AS T1 JOIN Products AS T2 ON T1.product_id  =  T2.product_id JOIN Orders AS T3 ON T3.order_id  =  T1.order_id GROUP BY T2.product_name",SELECT * FROM attribute WHERE attribute = 1,0.12746524810791016
task076-1c06b4bef074491ea2c30ed5965bdef7,task076_splash_correcting_sql_mistake,Text to Code,"In this task you are expected to fix an SQL query based on feedback. You will be given an SQL statement and an English description with what is wrong about that SQL statement. You must correct the SQL statement based off of the feedback. An SQL query works by selecting data from a table where certain conditions apply. A table contains columns where every row in that table must have a value for each column. Every table has a primary key that uniquely identifies each row, usually an id. To choose which columns are returned you specify that after the ""SELECT"" statement. Next, you use a ""FROM"" statement to specify what tables you want to select the data from. When you specify a table you can rename it with the ""AS"" statement. You can reference that table by whatever name follows the ""AS"" statement. If you want to select data from multiple tables you need to use the ""JOIN"" statement. This will join the tables together by pairing a row in one table with every row in the other table (Cartesian Product). To limit the number of rows returned you should use the ""ON"" statement. This will only return rows where the condition specified after the statement is true, this is usually an equals operator with primary keys. You can also use the ""WHERE"" statement to specify that only rows with column values statisfying a certain condition, should be returned. The ""GROUP BY"" statement will group rows together that have equal column values for whatever columns follows the statement. The ""HAVING"" statement will return groups that statisfy whatever condition follows the statement. Any column(s) being returned from grouped rows must either be an aggregate function, (AVG, MAX, COUNT, SUM, ...) of a column, or the column(s) that the data was grouped by. To sort the returned data you can use the ""ORDER BY"" command which will order the data by whatever aggregate function or column follows the statement. The ""DESC"" statement will sort in descending order and the ""ASC"" statement will sort in ascending order. Finally, you can use the ""LIMIT"" statement to return a certain number of rows. When ""*"" is used in an SQL statement every column is returned. For example, SELECT * FROM table WHERE attribute = 1, will select every column from rows with the attribute column equal to 1. ","SQL: SELECT email_address , email_address FROM Customers WHERE first_name = ""Carole""
Feedback: You need to use date of birth.","SELECT email_address ,  date_of_birth FROM Customers WHERE first_name = ""Carole""",SELECT * FROM attribute WHERE attribute = 1,0.20529168844223022
task076-39aae3d8a7214c699cbc0d8a0b38f190,task076_splash_correcting_sql_mistake,Text to Code,"In this task you are expected to fix an SQL query based on feedback. You will be given an SQL statement and an English description with what is wrong about that SQL statement. You must correct the SQL statement based off of the feedback. An SQL query works by selecting data from a table where certain conditions apply. A table contains columns where every row in that table must have a value for each column. Every table has a primary key that uniquely identifies each row, usually an id. To choose which columns are returned you specify that after the ""SELECT"" statement. Next, you use a ""FROM"" statement to specify what tables you want to select the data from. When you specify a table you can rename it with the ""AS"" statement. You can reference that table by whatever name follows the ""AS"" statement. If you want to select data from multiple tables you need to use the ""JOIN"" statement. This will join the tables together by pairing a row in one table with every row in the other table (Cartesian Product). To limit the number of rows returned you should use the ""ON"" statement. This will only return rows where the condition specified after the statement is true, this is usually an equals operator with primary keys. You can also use the ""WHERE"" statement to specify that only rows with column values statisfying a certain condition, should be returned. The ""GROUP BY"" statement will group rows together that have equal column values for whatever columns follows the statement. The ""HAVING"" statement will return groups that statisfy whatever condition follows the statement. Any column(s) being returned from grouped rows must either be an aggregate function, (AVG, MAX, COUNT, SUM, ...) of a column, or the column(s) that the data was grouped by. To sort the returned data you can use the ""ORDER BY"" command which will order the data by whatever aggregate function or column follows the statement. The ""DESC"" statement will sort in descending order and the ""ASC"" statement will sort in ascending order. Finally, you can use the ""LIMIT"" statement to return a certain number of rows. When ""*"" is used in an SQL statement every column is returned. For example, SELECT * FROM table WHERE attribute = 1, will select every column from rows with the attribute column equal to 1. ","SQL: SELECT T2.Employee_ID FROM Roles AS T1 JOIN Employees AS T2 ON T1.Role_Code = T2.Role_Code WHERE T1.Role_Name ! = ""Human Resource""
Feedback: Make sure role name equals Human Resource or Manager .","SELECT T1.employee_id FROM Employees AS T1 JOIN ROLES AS T2 ON T1.role_code  =  T2.role_code WHERE T2.role_name  =  ""Human Resource"" OR T2.role_name  =  ""Manager""",SELECT * FROM attribute WHERE attribute = 1,0.14099258184432983
