id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task1713-4ec9bfd400c94a6da2adc2a61c1f3cde,task1713_convai3_sentence_generation,Intent Identification,"You are given a request sent by a user in a human and computer dialogue. Your task is to generate a prediction of what the requester is actually trying to do. The input is a sentence written by the human user, trying to achieve certain objective through this human computer interaction, and the output should be a sentence or two succinctly describing the human user's objective mentioned previously.",I’m looking for the music man.,"Find songs, lyrics, music, and information about the musical The Music Man",Find the music man.,0.17792445421218872
task1713-6077057ae6d045f693046ebe8a604592,task1713_convai3_sentence_generation,Intent Identification,"You are given a request sent by a user in a human and computer dialogue. Your task is to generate a prediction of what the requester is actually trying to do. The input is a sentence written by the human user, trying to achieve certain objective through this human computer interaction, and the output should be a sentence or two succinctly describing the human user's objective mentioned previously.",Tell me about sonoma county medical services.,"What medical services are available in Sonoma County, California?",Find information about Sonoma County Medical Services.,0.08882230520248413
task1713-c6cec1273a434f7ca86d950b79fba614,task1713_convai3_sentence_generation,Intent Identification,"You are given a request sent by a user in a human and computer dialogue. Your task is to generate a prediction of what the requester is actually trying to do. The input is a sentence written by the human user, trying to achieve certain objective through this human computer interaction, and the output should be a sentence or two succinctly describing the human user's objective mentioned previously.",Tell me about weather stripping,How do you weather strip automobile windows and doors?,What is weather stripping?,0.0674545168876648
task1713-b0e6eb8f47a2450594cc379d7b79dff1,task1713_convai3_sentence_generation,Intent Identification,"You are given a request sent by a user in a human and computer dialogue. Your task is to generate a prediction of what the requester is actually trying to do. The input is a sentence written by the human user, trying to achieve certain objective through this human computer interaction, and the output should be a sentence or two succinctly describing the human user's objective mentioned previously.",Tell me about er television show.,"Find information about the television show \""ER\"".",Find a television show.,0.06527608633041382
task1713-ec2e4113482c44c0a8033d71c2c8792c,task1713_convai3_sentence_generation,Intent Identification,"You are given a request sent by a user in a human and computer dialogue. Your task is to generate a prediction of what the requester is actually trying to do. The input is a sentence written by the human user, trying to achieve certain objective through this human computer interaction, and the output should be a sentence or two succinctly describing the human user's objective mentioned previously.",How to register dmv in va?,information and procedures for registering vehicles in Virginia,How can I register a dmv in va?,0.33289259672164917
task1713-fdfb3778752e4d1f8bb968da4718fd27,task1713_convai3_sentence_generation,Intent Identification,"You are given a request sent by a user in a human and computer dialogue. Your task is to generate a prediction of what the requester is actually trying to do. The input is a sentence written by the human user, trying to achieve certain objective through this human computer interaction, and the output should be a sentence or two succinctly describing the human user's objective mentioned previously.",tell me about bart sf,Find information about the BART (Bay Area Rapid Transit) system in San Francisco.,Find information about the bart sf.,0.12915658950805664
task1713-632a15fd31084a1bb635bf05eeb3dd46,task1713_convai3_sentence_generation,Intent Identification,"You are given a request sent by a user in a human and computer dialogue. Your task is to generate a prediction of what the requester is actually trying to do. The input is a sentence written by the human user, trying to achieve certain objective through this human computer interaction, and the output should be a sentence or two succinctly describing the human user's objective mentioned previously.",How do I get my free annual credit report?,How do I get my free annual credit report?,How can I get my free annual credit report?,0.08486098051071167
task1713-59584925c4564fb88e4b67b6bc07e8dc,task1713_convai3_sentence_generation,Intent Identification,"You are given a request sent by a user in a human and computer dialogue. Your task is to generate a prediction of what the requester is actually trying to do. The input is a sentence written by the human user, trying to achieve certain objective through this human computer interaction, and the output should be a sentence or two succinctly describing the human user's objective mentioned previously.",Find information about atari,"Find information about Atari, its game consoles and games.",Find information about atari.,0.05930572748184204
task1713-c318aeab1c8d41058d0883bdd9314557,task1713_convai3_sentence_generation,Intent Identification,"You are given a request sent by a user in a human and computer dialogue. Your task is to generate a prediction of what the requester is actually trying to do. The input is a sentence written by the human user, trying to achieve certain objective through this human computer interaction, and the output should be a sentence or two succinctly describing the human user's objective mentioned previously.",Find information on French Lick Resort and Casino.,Find information on French Lick Resort and Casino in Indiana.,Find information on French Lick Resort and Casino.,0.11397504806518555
task1713-673d4867084742c7972dd06e081646aa,task1713_convai3_sentence_generation,Intent Identification,"You are given a request sent by a user in a human and computer dialogue. Your task is to generate a prediction of what the requester is actually trying to do. The input is a sentence written by the human user, trying to achieve certain objective through this human computer interaction, and the output should be a sentence or two succinctly describing the human user's objective mentioned previously.",tell me about uss yorktown charleston SC,"Find information on the USS Yorktown, an aircraft carrier that is part of the museum exhibit at the Patriots Point museum in Charleston Harbor, SC.","Find information about the USS Yorktown, a United States Navy ship, located in Charleston, South Carolina.",0.20529168844223022
