id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task094-b8f0e8501a9b45aea6eaf09bbd364cb0,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[12.756, -0.667, 72.255, 112.734, 52.952, -73.403, -33.839, 71.471, -44.483, 133.245]",30.302,59.427,0.2968316078186035
task094-3367b14e57fb4ee1a0012dbaa84e5b70,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[-59.526, 55.871, 118.248, 197.073]",77.916,89.427,0.22713488340377808
task094-122153b3212a4c9ca59b4170a561bde8,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[242.395, -30.85, 10.764, 112.975, 135.905, 151.714, 22.596, 214.319]",107.477,115.827,0.34895020723342896
task094-95cc96c19a3b4a648db995224d7a3977,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[243.119, 198.975, 44.828, 192.078, 66.175, 169.375, 220.423, 45.768, 20.289, -56.022]",114.501,89.427,0.08169734477996826
task094-437557545ae640e2939f63104eb3ff7e,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[-51.199, -66.219]",-58.709,-23.0,0.058854639530181885
task094-425555e021df44909aadc1ebd1f71ded,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[207.117, 121.279, 23.27, 231.597, -49.636, 28.83, 84.584, -87.796, 19.494]",64.304,69.427,0.11995857954025269
task094-2b03b60baca44ebf8dc7ec8adf6b4cc4,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[237.861, 119.858, -8.107, -30.075, 180.524]",100.012,89.427,0.11773014068603516
task094-da11130a599c4cd8bdc264b76d3bba54,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[-14.919, 55.56, 143.852, 49.852, 149.067, -38.197]",57.536,59.4,0.0929597020149231
task094-38df486d33b143d6a1a4b5788155cab4,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[53.126, 235.803, 214.379, -13.572, 204.492, 157.953, -86.192, 62.323, 100.931]",103.249,108.4,0.4643160104751587
task094-987e3bf02de44dbbbf4b21b6994be9f9,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[20.042, -34.805, 194.951, 100.986, -65.679, 83.11, 151.529, 129.186, -80.74, -5.566]",49.301,59.4,0.29933857917785645
task094-ef93db2649db44f2a4fa99c02abf5509,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[73.69, 17.53]",45.61,54.4,0.07618933916091919
task094-1d65bda0fad04a69a21527814fa16734,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[28.797, 188.196, 148.309, 197.013, -45.842, 189.915, 249.708]",136.585,118.4,0.05934333801269531
task094-6186b051d9fc46b39902ab82c35672af,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[232.39, 28.124, 179.446, 228.788, 90.985, 60.823, 92.908]",130.495,108.4,0.2162598967552185
task094-e35600033c7c4e42a7ad24e09e8df4da,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[5.39, 42.69, 26.401]",24.827,58.4,0.07413244247436523
task094-79e410fa55974818a709814845bc26d1,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[-62.667, 70.273, -14.332, 65.006, -22.429, 180.931, -22.908, 158.395, -27.315, 154.473]",47.943,59.427,0.048183441162109375
task094-d5606b3ddc13419d957208be72a630c0,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[213.172, 139.72, -16.158, 11.292, 243.889]",118.383,117.4,0.08836448192596436
task094-a33983a372684e78b52f0d31a4b431cd,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[-61.761, -14.678]",-38.22,-23.026,0.17336952686309814
task094-9983ef4afa1347d4907dfbc01a252566,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[-47.024, 25.07, 65.069, 151.48, 205.827, 55.257, 231.689, 38.509, 142.422]",96.478,89.4,0.16772830486297607
task094-0b4dd728d887408382b3185d0d95d892,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[151.208, 165.432, 158.885, -88.153, 7.223, -68.982, 240.131]",80.821,89.427,0.7711111903190613
task094-2ea79d27b11d44679793319fdfcf5a94,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[-19.074, 72.372, 213.216, 101.647, 143.126, 145.458, 80.88, -93.455]",80.521,89.427,0.06451517343521118
task094-82787b195a154d4f90c9da22911b6aba,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[158.1, 31.472, -51.026, 117.739, 188.909]",89.039,89.4,0.7175057530403137
task094-739549f3592b4c668ff8ab0e465d2915,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[174.54, 146.255, 25.722, 197.448]",135.991,137.827,0.15246236324310303
task094-363a7bbb2e794afd9217e54d135043a8,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[102.962, -12.02, 181.008, -23.382, 39.984, -58.016, 132.51, 21.728, 160.143]",60.546,60.704,0.049854159355163574
task094-c0b868a842c148c78bce771b4ac5e409,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[148.261, -51.308, -98.748, -41.832, 44.313, -41.042, -19.943]",-8.614,-23.027,0.05859774351119995
task094-a732b6865cc14da79ab888e839c0e7f7,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[8.653, -8.358, 0.014, 111.749, -69.492, 119.796]",27.06,59.4,0.31883734464645386
task094-9817f6ea14484f05a2abf5ed01f632c0,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[-57.334, 24.995, 72.22, -78.376, 218.297, 203.999, 21.93, -20.246, 15.97]",44.606,69.4,0.11076432466506958
task094-ecc57121d5784f6db4098fcdd673cc80,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[152.092, 146.978, 206.202]",168.424,159.4,0.07218164205551147
task094-9d1e52d7e7c443768de2ffb2051ebc29,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[78.782, 45.834, 148.226, 183.431]",114.068,89.427,0.15124869346618652
task094-696693e7105440bfb4a1dade237aa1ff,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[27.108, 247.344, 151.996, 178.085]",151.133,117.4,0.1799839735031128
task094-f1c1db45be984d498fdd3f47ab651ace,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[86.277, 221.081]",153.679,117.4,0.07437938451766968
task094-1f3cc97c58a4440ea4855c529da6901d,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[-75.704, -31.361, 79.286, 154.808, -82.324, 216.429, 54.074, -70.835, 164.234, 111.267]",51.987,69.427,0.06814855337142944
task094-4e1de9241ccf469097dca01dfc27cc90,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[112.92, 86.109]",99.514,89.4,0.046666502952575684
task094-7393adfcae204425bd98215b70202f65,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[243.009, 114.471]",178.74,159.4,0.09228962659835815
task094-0e15520224bf4a97bb3a90d1b0d5ed6f,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[136.024, 191.168, 157.037, -89.703, 28.159, 159.426, 64.25, 115.458, 95.064]",95.209,89.427,0.3667451739311218
task094-9348ea5aef924807a63fbdd3cff9be0f,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[133.192, 63.648, 230.508, 160.372, 77.396, 104.918, 125.243, 197.82, 52.326, 127.281]",127.27,117.427,0.16966742277145386
task094-083fda5c110444c48c8d9fb7761c044d,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[193.711, 110.309, -20.334, 151.607, 158.797, -97.825, -59.931]",62.333,79.427,0.32285016775131226
task094-060f4cf606284afdb8025dd5ee0472fc,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[205.331, 212.917, 143.657, 235.033, -83.9, 54.057, 88.002, 20.22]",109.415,89.4,0.18786776065826416
task094-9903556ca900482d8e7a0067dbde7ad9,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[102.553, 221.594, -69.406, 192.534, 139.703, -38.208, 228.963, 32.921]",101.332,117.427,0.12986749410629272
task094-71c7a0049770404bbd4aa92c18fda775,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[102.115, 237.034, 176.879, 29.401, -85.078, 225.883, 106.49, 242.128, 40.775, -18.185]",105.744,117.427,0.07607632875442505
task094-7d42fb346ab74ff2900abcf17f32eabc,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[-36.901, 11.999]",-12.451,-23.0,0.05387115478515625
task094-d685d3da7a6f4243893a7a3a957527ad,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[37.529, -27.613, -39.996, -21.265, -87.647]",-27.798,-23.027,0.054473042488098145
task094-f31b6730a03b4880a0bf2a9469ab35e3,task094_conala_calculate_mean,Program Execution,In this task you will be given a list of numbers and you need to find the mean (average) of that list. The mean of a list can be found by summing every number in the list then dividing the result by the size of that list. The output should be rounded to 3 decimal places.,"[147.11, 6.136, 38.349, -12.25, 133.293, 108.999, 199.834, 66.233, -76.197, 234.451]",84.596,89.427,0.1896350383758545
