id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task1087-c1546c3857db48dc96b5c5af7260c3fd,task1087_two_number_sum,Program Execution,"You are given a list of integers and an integer target, return a list of a pair of numbers in any order such that they add up to target. If there is no such pair of numbers, then return an empty list","[17, 22, 14, 32, 31, 47, 33, 25, 12, 24, 45, 3, 35, 41, 46, 34, 42, 30, 43, 19], target=47","[17, 30]","[17, 22, 32, 31, 47, 33, 25, 12, 24, 45, 3, 35, 41, 46, 34, 42, 30, 43, 19]",0.23558121919631958
task1087-ea4e4eb9db3047f2b78dc5f2b0e34948,task1087_two_number_sum,Program Execution,"You are given a list of integers and an integer target, return a list of a pair of numbers in any order such that they add up to target. If there is no such pair of numbers, then return an empty list","[34, 12, 24, 21, 25, 35, 13, 11, 40, 30, 2, 32, 1, 7, 31, 14, 33, 42, 22, 20], target=41","[30, 11]","[34, 35, 35, 35, 13, 11, 40, 30, 2, 32, 1, 7, 31, 14, 33, 42, 22, 20]",0.22004777193069458
task1087-49d515ef24f84d549ca238f3fe4e652d,task1087_two_number_sum,Program Execution,"You are given a list of integers and an integer target, return a list of a pair of numbers in any order such that they add up to target. If there is no such pair of numbers, then return an empty list","[15, 7, 36, 31, 5, 8, 21, 34, 23, 41, 30, 28, 49, 18, 40, 16, 24, 48, 19, 6], target=70","[49, 21]","[15, 7, 36, 31, 5, 8, 21, 34, 23, 41, 30, 28, 49, 18, 40, 16, 24, 48, 19, 6]",0.2805224061012268
task1087-89693545fa754f099e4404cf81fad5ae,task1087_two_number_sum,Program Execution,"You are given a list of integers and an integer target, return a list of a pair of numbers in any order such that they add up to target. If there is no such pair of numbers, then return an empty list","[25, 1, 39, 40, 29, 49, 22, 43, 42, 38, 48, 2, 46, 15, 16, 12, 34, 3, 27, 30], target=55","[15, 40]","[25, 1, 39, 40, 29, 49, 22, 43, 42, 38, 48, 2, 46, 15, 16, 12, 34, 3, 27]",0.23398452997207642
task1087-fa700c5ce60d4fa5ac88d08efc39ba89,task1087_two_number_sum,Program Execution,"You are given a list of integers and an integer target, return a list of a pair of numbers in any order such that they add up to target. If there is no such pair of numbers, then return an empty list","[18, 11, 44, 20, 33, 38, 14, 21, 43, 9, 5, 42, 27, 29, 37, 25, 28, 3, 8, 49], target=48","[27, 21]","[18, 44, 20, 33, 38, 14, 21, 43, 9, 5, 42, 27, 29, 37, 25, 28, 3, 8, 49]",0.2096254825592041
task1087-5f4b12e171a24f9fb30adfd9cfa8585e,task1087_two_number_sum,Program Execution,"You are given a list of integers and an integer target, return a list of a pair of numbers in any order such that they add up to target. If there is no such pair of numbers, then return an empty list","[15, 1, 18, 48, 6, 31, 19, 22, 5, 16, 30, 43, 17, 46, 41, 32, 45, 40, 14, 26], target=47","[32, 15]","[15, 1]",0.15085184574127197
task1087-d7b8d6ead2d648dd8074853ae93ad7bf,task1087_two_number_sum,Program Execution,"You are given a list of integers and an integer target, return a list of a pair of numbers in any order such that they add up to target. If there is no such pair of numbers, then return an empty list","[24, 29, 9, 12, 2, 18, 11, 7, 31, 6, 30, 14, 3, 41, 13, 33, 21, 47, 45, 4], target=22","[18, 4]",[],0.05050694942474365
task1087-1f2deb9f3503443fb3e562a9ef1d8f76,task1087_two_number_sum,Program Execution,"You are given a list of integers and an integer target, return a list of a pair of numbers in any order such that they add up to target. If there is no such pair of numbers, then return an empty list","[32, 39, 17, 25, 9, 37, 12, 18, 7, 43, 38, 34, 5, 8, 1, 46, 24, 35, 15, 3], target=23","[18, 5]","[32, 39, 17, 25, 9, 37, 12, 18, 7, 43, 38, 34, 5, 8, 1, 46, 24, 35, 15, 3]",0.23663419485092163
task1087-05393ca951624125a78c1fa098edf99d,task1087_two_number_sum,Program Execution,"You are given a list of integers and an integer target, return a list of a pair of numbers in any order such that they add up to target. If there is no such pair of numbers, then return an empty list","[35, 27, 26, 16, 8, 44, 33, 38, 42, 37, 28, 43, 39, 25, 12, 14, 31, 24, 7, 49], target=57","[14, 43]","[35, 26, 16]",0.14053380489349365
task1087-23e6d11647c2472cbcf964f45ee81adb,task1087_two_number_sum,Program Execution,"You are given a list of integers and an integer target, return a list of a pair of numbers in any order such that they add up to target. If there is no such pair of numbers, then return an empty list","[22, 21, 11, 10, 9, 29, 8, 45, 36, 18, 4, 3, 26, 16, 30, 34, 44, 12, 15, 39], target=24","[9, 15]","[22, 10]",0.08443289995193481
