id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task454-6e7d8c9290b1480f8a9184bc55ea9b9f,task454_swag_incorrect_answer_generation,Wrong Candidate Generation,"Given a sentence, generate a most unlikely next statement. The next statement should not be logically relevant to the given context","He is almost suffocated by their tentacles. Struggling to fight them off, he","flips past someone, and staggers away.",slams the door shut.,0.08786439895629883
task454-2413ba014fbd4cbe9a23791cc488bd46,task454_swag_incorrect_answer_generation,Wrong Candidate Generation,"Given a sentence, generate a most unlikely next statement. The next statement should not be logically relevant to the given context",She undoes the belt on her dress. She,slides the inch thumper shut and finds the bra.,pulls the hood off her head.,0.08350718021392822
task454-86f467ba3f134b4a90044cb7b8a130ab,task454_swag_incorrect_answer_generation,Wrong Candidate Generation,"Given a sentence, generate a most unlikely next statement. The next statement should not be logically relevant to the given context","Then, the men put soap on the car, after they rinse the car with water. A man",walks around them with inflated leaves.,is seen putting the car in the car wash.,0.09138661623001099
task454-5e20023cdf974b9b8e84332a947b5b58,task454_swag_incorrect_answer_generation,Wrong Candidate Generation,"Given a sentence, generate a most unlikely next statement. The next statement should not be logically relevant to the given context",The camera pans over to the left to show the slide in another part of the jungle gym. The camera,pans to part of showing the ride.,pans over to the left to show the slide in the middle of the jungle gym.,0.1856241226196289
task454-77fd2f6a1eb14e4c81a12fab8d17cb9d,task454_swag_incorrect_answer_generation,Wrong Candidate Generation,"Given a sentence, generate a most unlikely next statement. The next statement should not be logically relevant to the given context","In a hotel lobby, someone stands waiting as someone talks on her phone. Someone","pockets a cell phone, then crosses over to his drafting table.",slams the door shut.,0.08965373039245605
task454-f3af59808b654e07b2dc272f94042eba,task454_swag_incorrect_answer_generation,Wrong Candidate Generation,"Given a sentence, generate a most unlikely next statement. The next statement should not be logically relevant to the given context",We see an opening title scene. We,see a woman pushing a purple ship.,see a man in a hat.,0.08706384897232056
task454-18908db8344e40c89f0136c858435579,task454_swag_incorrect_answer_generation,Wrong Candidate Generation,"Given a sentence, generate a most unlikely next statement. The next statement should not be logically relevant to the given context",Girls dancing are seen walking through the parade as other people watch on the side. More dancers,move their arms and jab with each other.,are seen dancing in the background as people watch on the side.,0.10609400272369385
task454-c217e4351a97497ba5b252a7052e5cf9,task454_swag_incorrect_answer_generation,Wrong Candidate Generation,"Given a sentence, generate a most unlikely next statement. The next statement should not be logically relevant to the given context",The video then cuts between the two of them fighting and back to the man in white pants perform various kicks and flips. The two,continue his routine on the camera.,continue to fight and the man in white pants is shown again.,0.13079184293746948
task454-6294828de7394e159e401857f41c4775,task454_swag_incorrect_answer_generation,Wrong Candidate Generation,"Given a sentence, generate a most unlikely next statement. The next statement should not be logically relevant to the given context","At the box office, a few anonymous patrons mill into the theater. The agent",slows down as someone's bare legs stretch out of its exit.,slams the door shut.,0.10899472236633301
task454-18648367416f4427bffe1d8447751286,task454_swag_incorrect_answer_generation,Wrong Candidate Generation,"Given a sentence, generate a most unlikely next statement. The next statement should not be logically relevant to the given context",The interior of the car has been cleaned and lined with bedspreads and quilts. Someone,comes back into the kitchen.,slams the door shut.,0.24641728401184082
task454-9b6bee46086b411f96ed6ce1c7adcf70,task454_swag_incorrect_answer_generation,Wrong Candidate Generation,"Given a sentence, generate a most unlikely next statement. The next statement should not be logically relevant to the given context",The Mustang rounds a darkened corner and stops halfway through the gate of a chain link fence with an address number on a sign. The delivery guy,turns in the driver's seat and watches the little lady drive back toward shore.,is a slender man with a slender slender body.,0.164420485496521
task454-4718fb3a2d8a41cdaac7ee87f5257a16,task454_swag_incorrect_answer_generation,Wrong Candidate Generation,"Given a sentence, generate a most unlikely next statement. The next statement should not be logically relevant to the given context","Someone carefully peers over the lip of the gully. Minas morgul, a massive dead city,",sits followed in four marble statues.,slams into the sand.,0.11982870101928711
task454-d2b7ecc6157c48289536500e6555fc6d,task454_swag_incorrect_answer_generation,Wrong Candidate Generation,"Given a sentence, generate a most unlikely next statement. The next statement should not be logically relevant to the given context",He is being pulled by a motor boat. He,pulls a bottle out of the kayak of the boat.,is standing on the beach.,0.19083958864212036
