id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task1446-f58081e792f647bfbb819d34c41d9342,task1446_farthest_integers,Program Execution,In this task you will be given a list of integers. You should find the maximum absolute difference between 2 integers in the list. The absolute difference is the absolute value of one integer subtracted by another. The output should be a single integer which is the largest possible absolute distance.,"[-25, -4, 47]",72,76,0.14733213186264038
task1446-268ec8fd1f4741d9aaeef87b6b75fec3,task1446_farthest_integers,Program Execution,In this task you will be given a list of integers. You should find the maximum absolute difference between 2 integers in the list. The absolute difference is the absolute value of one integer subtracted by another. The output should be a single integer which is the largest possible absolute distance.,"[14, 4, -57, 49, -41, -5, -97, 33]",146,147,0.06605088710784912
task1446-d9540d37a7b2449ea79f418011233100,task1446_farthest_integers,Program Execution,In this task you will be given a list of integers. You should find the maximum absolute difference between 2 integers in the list. The absolute difference is the absolute value of one integer subtracted by another. The output should be a single integer which is the largest possible absolute distance.,"[99, 88, -53, -100, 22]",199,198,0.07926374673843384
task1446-7da6916cf91445d6b799be8f30a8777b,task1446_farthest_integers,Program Execution,In this task you will be given a list of integers. You should find the maximum absolute difference between 2 integers in the list. The absolute difference is the absolute value of one integer subtracted by another. The output should be a single integer which is the largest possible absolute distance.,"[-95, 38, 8, -43, -6, -3, -98, 3]",136,147,0.09488934278488159
task1446-6d84b7f0adeb480082d66a9cd58633b3,task1446_farthest_integers,Program Execution,In this task you will be given a list of integers. You should find the maximum absolute difference between 2 integers in the list. The absolute difference is the absolute value of one integer subtracted by another. The output should be a single integer which is the largest possible absolute distance.,"[67, -61, 19, 63, -79, -93, -57, -44]",160,167,0.1878805160522461
task1446-6159d5b52c3b48b5a0d4e24ac63cccc0,task1446_farthest_integers,Program Execution,In this task you will be given a list of integers. You should find the maximum absolute difference between 2 integers in the list. The absolute difference is the absolute value of one integer subtracted by another. The output should be a single integer which is the largest possible absolute distance.,"[-31, -33, -6, 30]",63,66,0.08425837755203247
task1446-e2e19ad3e5ac4a61b6eac618649663b7,task1446_farthest_integers,Program Execution,In this task you will be given a list of integers. You should find the maximum absolute difference between 2 integers in the list. The absolute difference is the absolute value of one integer subtracted by another. The output should be a single integer which is the largest possible absolute distance.,"[-22, -77, -56, -11, 95, -87]",182,185,0.2628505825996399
task1446-0af56650ac0443b5aff84edafe8d37ad,task1446_farthest_integers,Program Execution,In this task you will be given a list of integers. You should find the maximum absolute difference between 2 integers in the list. The absolute difference is the absolute value of one integer subtracted by another. The output should be a single integer which is the largest possible absolute distance.,"[52, -86, 62, -93, 86]",179,169,0.07113367319107056
task1446-fd7970993bb44343ba5df871377efd12,task1446_farthest_integers,Program Execution,In this task you will be given a list of integers. You should find the maximum absolute difference between 2 integers in the list. The absolute difference is the absolute value of one integer subtracted by another. The output should be a single integer which is the largest possible absolute distance.,"[17, -12, -32, 0, 90, 0, 51]",122,102,0.06154757738113403
task1446-88baf235c7804d0884df84ef2c060fda,task1446_farthest_integers,Program Execution,In this task you will be given a list of integers. You should find the maximum absolute difference between 2 integers in the list. The absolute difference is the absolute value of one integer subtracted by another. The output should be a single integer which is the largest possible absolute distance.,"[-90, 6, 1, 10, -54, -7, -27, 46]",136,137,0.0607793927192688
task1446-cbd38eecb6da4a7ba881d7fbf0284e02,task1446_farthest_integers,Program Execution,In this task you will be given a list of integers. You should find the maximum absolute difference between 2 integers in the list. The absolute difference is the absolute value of one integer subtracted by another. The output should be a single integer which is the largest possible absolute distance.,"[77, 64, 98, -58, 38, -93]",191,183,0.14762145280838013
task1446-4114c8ac65ac42bb9d44cb44c6d2e139,task1446_farthest_integers,Program Execution,In this task you will be given a list of integers. You should find the maximum absolute difference between 2 integers in the list. The absolute difference is the absolute value of one integer subtracted by another. The output should be a single integer which is the largest possible absolute distance.,"[-14, 34, 35]",49,57,0.22068804502487183
task1446-11ffe846612c4aa89f4222977549837c,task1446_farthest_integers,Program Execution,In this task you will be given a list of integers. You should find the maximum absolute difference between 2 integers in the list. The absolute difference is the absolute value of one integer subtracted by another. The output should be a single integer which is the largest possible absolute distance.,"[80, 52, -99]",179,169,0.10381335020065308
task1446-7a39f50ecafe42818e7e7f0deb239340,task1446_farthest_integers,Program Execution,In this task you will be given a list of integers. You should find the maximum absolute difference between 2 integers in the list. The absolute difference is the absolute value of one integer subtracted by another. The output should be a single integer which is the largest possible absolute distance.,"[-99, -33, -51, 8, -5]",107,103,0.05344146490097046
task1446-68e1d629c802468480843cccf164520a,task1446_farthest_integers,Program Execution,In this task you will be given a list of integers. You should find the maximum absolute difference between 2 integers in the list. The absolute difference is the absolute value of one integer subtracted by another. The output should be a single integer which is the largest possible absolute distance.,"[62, -14, -68, 44, -27, 63, 90]",158,136,0.04424548149108887
task1446-57d620bc203c4d12993524c25cb592f1,task1446_farthest_integers,Program Execution,In this task you will be given a list of integers. You should find the maximum absolute difference between 2 integers in the list. The absolute difference is the absolute value of one integer subtracted by another. The output should be a single integer which is the largest possible absolute distance.,"[93, -33, 88, 41, -37, 18, 60, 97]",134,159,0.048407137393951416
task1446-1010c48a5bef45209b915b4227443ae4,task1446_farthest_integers,Program Execution,In this task you will be given a list of integers. You should find the maximum absolute difference between 2 integers in the list. The absolute difference is the absolute value of one integer subtracted by another. The output should be a single integer which is the largest possible absolute distance.,"[70, 41, -5, 72, -85, -20, -85, -84]",157,185,0.15535187721252441
